datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:CHD	7.31	7.36	7.29	7.33	568796.00
2004-04-08 15:30:00	:CHD	7.32	7.35	7.22	7.24	302396.00
2004-04-12 15:30:00	:CHD	7.26	7.29	7.18	7.21	603596.00
2004-04-13 15:30:00	:CHD	7.23	7.23	7.08	7.09	574196.00
2004-04-14 15:30:00	:CHD	7.03	7.13	7.03	7.08	596396.00
2004-04-15 15:30:00	:CHD	7.10	7.25	7.10	7.21	640796.00
2004-04-16 15:30:00	:CHD	7.19	7.26	7.18	7.21	961192.00
2004-04-19 15:30:00	:CHD	7.25	7.29	7.22	7.25	584396.00
2004-04-20 15:30:00	:CHD	7.24	7.27	7.14	7.17	1573792.00
2004-04-21 15:30:00	:CHD	7.14	7.31	7.14	7.25	484796.00
2004-04-22 15:30:00	:CHD	7.23	7.38	7.23	7.38	597596.00
2004-04-23 15:30:00	:CHD	7.38	7.41	7.32	7.36	558596.00
2004-04-26 15:30:00	:CHD	7.40	7.47	7.36	7.37	648596.00
2004-04-27 15:30:00	:CHD	7.40	7.47	7.37	7.41	1163992.00
2004-04-28 15:30:00	:CHD	7.41	7.44	7.33	7.44	1115392.00
2004-04-29 15:30:00	:CHD	7.42	7.53	7.42	7.49	1763388.00
2004-04-30 15:30:00	:CHD	7.50	7.56	7.47	7.49	1018192.00
2004-05-03 15:30:00	:CHD	7.48	7.50	7.43	7.45	819592.00
2004-05-04 15:30:00	:CHD	7.43	7.61	7.43	7.57	799796.00
2004-05-05 15:30:00	:CHD	7.61	7.61	7.48	7.52	553796.00
2004-05-06 15:30:00	:CHD	7.71	7.86	7.68	7.72	3119984.00
2004-05-07 15:30:00	:CHD	7.69	7.72	7.59	7.61	1101592.00
2004-05-10 15:30:00	:CHD	7.60	7.62	7.47	7.47	924592.00
2004-05-11 15:30:00	:CHD	7.47	7.59	7.38	7.43	3287980.00
2004-05-12 15:30:00	:CHD	7.43	7.50	7.40	7.45	973792.00
2004-05-13 15:30:00	:CHD	7.41	7.48	7.41	7.44	1495192.00
2004-05-14 15:30:00	:CHD	7.44	7.48	7.40	7.44	1720788.00
2004-05-17 15:30:00	:CHD	7.44	7.45	7.33	7.37	1266592.00
2004-05-18 15:30:00	:CHD	7.38	7.39	7.29	7.32	752396.00
2004-05-19 15:30:00	:CHD	7.32	7.38	7.28	7.28	902392.00
2004-05-20 15:30:00	:CHD	7.28	7.31	7.26	7.29	446996.00
2004-05-21 15:30:00	:CHD	7.30	7.31	7.25	7.28	2070588.00
2004-05-24 15:30:00	:CHD	7.35	7.50	7.34	7.44	1358992.00
2004-05-25 15:30:00	:CHD	7.48	7.50	7.39	7.50	1090792.00
2004-05-26 15:30:00	:CHD	7.50	7.51	7.46	7.50	959392.00
2004-05-27 15:30:00	:CHD	7.48	7.53	7.47	7.51	586796.00
2004-05-28 15:30:00	:CHD	7.53	7.58	7.50	7.57	789596.00
2004-06-01 15:30:00	:CHD	7.58	7.63	7.55	7.60	1013392.00
2004-06-02 15:30:00	:CHD	7.60	7.69	7.60	7.65	1014592.00
2004-06-03 15:30:00	:CHD	7.66	7.66	7.44	7.44	813592.00
2004-06-04 15:30:00	:CHD	7.46	7.51	7.38	7.40	888592.00
2004-06-07 15:30:00	:CHD	7.44	7.54	7.44	7.54	1384192.00
2004-06-08 15:30:00	:CHD	7.50	7.50	7.35	7.38	1812588.00
2004-06-09 15:30:00	:CHD	7.38	7.45	7.37	7.43	781796.00
2004-06-10 15:30:00	:CHD	7.42	7.45	7.34	7.37	570596.00
2004-06-14 15:30:00	:CHD	7.37	7.42	7.33	7.34	646796.00
2004-06-15 15:30:00	:CHD	7.38	7.45	7.36	7.41	513596.00
2004-06-16 15:30:00	:CHD	7.42	7.48	7.40	7.46	2051388.00
2004-06-17 15:30:00	:CHD	7.46	7.46	7.40	7.41	828592.00
2004-06-18 15:30:00	:CHD	7.39	7.48	7.39	7.43	818392.00
2004-06-21 15:30:00	:CHD	7.42	7.49	7.42	7.47	641396.00
2004-06-22 15:30:00	:CHD	7.50	7.58	7.48	7.55	725996.00
2004-06-23 15:30:00	:CHD	7.56	7.56	7.52	7.54	1165192.00
2004-06-24 15:30:00	:CHD	7.55	7.55	7.51	7.53	990592.00
2004-06-25 15:30:00	:CHD	7.56	7.63	7.52	7.63	1534792.00
2004-06-28 15:30:00	:CHD	7.63	7.64	7.56	7.56	639596.00
2004-06-29 15:30:00	:CHD	7.57	7.65	7.56	7.65	675596.00
2004-06-30 15:30:00	:CHD	7.66	7.66	7.56	7.63	722996.00
2004-07-01 15:30:00	:CHD	7.63	7.63	7.42	7.42	1288792.00
2004-07-02 15:30:00	:CHD	7.44	7.59	7.44	7.57	647996.00
2004-07-06 15:30:00	:CHD	7.58	7.62	7.57	7.60	1201192.00
2004-07-07 15:30:00	:CHD	7.60	7.66	7.59	7.64	586196.00
2004-07-08 15:30:00	:CHD	7.63	7.64	7.59	7.61	563396.00
2004-07-09 15:30:00	:CHD	7.61	7.63	7.60	7.63	564596.00
2004-07-12 15:30:00	:CHD	7.66	7.73	7.63	7.71	1119592.00
2004-07-13 15:30:00	:CHD	7.73	7.89	7.69	7.87	1539592.00
2004-07-14 15:30:00	:CHD	7.87	7.99	7.84	7.92	1839588.00
2004-07-15 15:30:00	:CHD	7.92	7.95	7.85	7.85	836992.00
2004-07-16 15:30:00	:CHD	7.88	7.92	7.81	7.89	1000192.00
