datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:CHRW	21.91	22.00	21.36	21.59	1445668.00
2004-04-08 15:30:00	:CHRW	21.44	21.73	20.91	21.05	1013316.00
2004-04-12 15:30:00	:CHRW	21.12	21.38	20.88	21.22	894726.00
2004-04-13 15:30:00	:CHRW	21.19	21.27	20.84	20.93	943336.00
2004-04-14 15:30:00	:CHRW	20.82	20.96	20.70	20.90	1367476.00
2004-04-15 15:30:00	:CHRW	20.88	21.13	20.73	20.98	745940.00
2004-04-16 15:30:00	:CHRW	20.79	21.00	20.71	20.82	863954.00
2004-04-19 15:30:00	:CHRW	20.85	21.04	20.54	21.04	499956.00
2004-04-20 15:30:00	:CHRW	20.89	21.23	20.68	21.00	993674.00
2004-04-21 15:30:00	:CHRW	20.77	20.95	20.39	20.77	1025982.00
2004-04-22 15:30:00	:CHRW	20.71	21.25	20.50	20.99	909798.00
2004-04-23 15:30:00	:CHRW	20.89	21.00	20.43	20.95	1005634.00
2004-04-26 15:30:00	:CHRW	21.00	21.32	20.55	20.77	503982.00
2004-04-27 15:30:00	:CHRW	20.91	21.24	20.68	20.87	1041568.00
2004-04-28 15:30:00	:CHRW	20.82	20.93	20.46	20.71	1424446.00
2004-04-29 15:30:00	:CHRW	20.76	21.25	20.42	20.62	1173504.00
2004-04-30 15:30:00	:CHRW	20.66	20.95	20.38	20.52	749972.00
2004-05-03 15:30:00	:CHRW	20.46	20.97	20.36	20.77	1561498.00
2004-05-04 15:30:00	:CHRW	20.68	20.73	20.31	20.45	1186798.00
2004-05-05 15:30:00	:CHRW	20.45	20.73	20.14	20.68	888640.00
2004-05-06 15:30:00	:CHRW	20.62	20.95	20.38	20.71	1234900.00
2004-05-07 15:30:00	:CHRW	20.57	20.95	20.40	20.61	1424920.00
2004-05-10 15:30:00	:CHRW	20.46	20.59	20.27	20.43	1210434.00
2004-05-11 15:30:00	:CHRW	20.41	20.56	19.93	20.12	1088714.00
2004-05-12 15:30:00	:CHRW	20.02	20.27	19.88	20.23	1302816.00
2004-05-13 15:30:00	:CHRW	20.32	20.41	19.93	20.16	574260.00
2004-05-14 15:30:00	:CHRW	20.23	20.33	19.90	20.09	611786.00
2004-05-17 15:30:00	:CHRW	20.07	20.09	19.70	19.82	1237072.00
2004-05-18 15:30:00	:CHRW	19.85	19.92	19.48	19.77	1716206.00
2004-05-19 15:30:00	:CHRW	19.89	20.03	19.43	19.48	1778072.00
2004-05-20 15:30:00	:CHRW	19.60	19.70	19.50	19.53	864614.00
2004-05-21 15:30:00	:CHRW	19.63	19.86	19.51	19.86	1069138.00
2004-05-24 15:30:00	:CHRW	19.97	20.07	19.86	20.00	922370.00
2004-05-25 15:30:00	:CHRW	20.02	20.81	19.98	20.80	1387464.00
2004-05-26 15:30:00	:CHRW	20.66	20.78	20.50	20.64	594176.00
2004-05-27 15:30:00	:CHRW	20.67	20.75	20.32	20.57	778752.00
2004-05-28 15:30:00	:CHRW	20.52	20.79	20.48	20.79	501774.00
2004-06-01 15:30:00	:CHRW	20.57	20.98	20.52	20.95	1303334.00
2004-06-02 15:30:00	:CHRW	21.02	21.12	20.89	21.03	789070.00
2004-06-03 15:30:00	:CHRW	20.95	21.02	20.75	20.75	574340.00
2004-06-04 15:30:00	:CHRW	20.86	21.07	20.70	20.84	823710.00
2004-06-07 15:30:00	:CHRW	20.91	21.21	20.84	21.16	710132.00
2004-06-08 15:30:00	:CHRW	21.18	21.52	21.09	21.52	765674.00
2004-06-09 15:30:00	:CHRW	21.36	21.43	21.21	21.25	568072.00
2004-06-10 15:30:00	:CHRW	21.36	21.47	21.25	21.39	761678.00
2004-06-14 15:30:00	:CHRW	21.35	21.40	21.16	21.18	729904.00
2004-06-15 15:30:00	:CHRW	21.38	21.71	21.36	21.57	789366.00
2004-06-16 15:30:00	:CHRW	21.61	21.68	21.32	21.55	541258.00
2004-06-17 15:30:00	:CHRW	21.48	21.59	21.25	21.50	487702.00
2004-06-18 15:30:00	:CHRW	21.42	21.75	21.35	21.50	1043818.00
2004-06-21 15:30:00	:CHRW	21.48	21.51	21.26	21.30	764892.00
2004-06-22 15:30:00	:CHRW	21.33	21.63	21.00	21.63	767260.00
2004-06-23 15:30:00	:CHRW	21.62	22.09	21.61	22.09	1069612.00
2004-06-24 15:30:00	:CHRW	22.16	22.16	21.73	21.85	578762.00
2004-06-25 15:30:00	:CHRW	21.83	22.50	21.82	22.46	2053396.00
2004-06-28 15:30:00	:CHRW	22.50	22.88	22.43	22.82	1764466.00
2004-06-29 15:30:00	:CHRW	22.73	23.09	22.55	22.61	1334704.00
2004-06-30 15:30:00	:CHRW	22.32	22.92	22.30	22.92	1527236.00
2004-07-01 15:30:00	:CHRW	23.14	23.38	22.64	22.76	1474314.00
2004-07-02 15:30:00	:CHRW	22.84	22.93	22.61	22.77	663208.00
2004-07-06 15:30:00	:CHRW	22.80	22.96	22.59	22.73	1319006.00
2004-07-07 15:30:00	:CHRW	22.68	22.97	22.64	22.96	566208.00
2004-07-08 15:30:00	:CHRW	23.00	23.00	22.30	22.36	1162142.00
2004-07-09 15:30:00	:CHRW	22.26	22.66	22.26	22.59	694618.00
2004-07-12 15:30:00	:CHRW	22.56	22.77	22.20	22.57	981322.00
2004-07-13 15:30:00	:CHRW	22.59	22.74	22.45	22.71	896710.00
2004-07-14 15:30:00	:CHRW	22.57	22.87	22.52	22.66	614318.00
2004-07-15 15:30:00	:CHRW	22.61	23.20	22.52	23.00	758880.00
2004-07-16 15:30:00	:CHRW	23.00	23.07	22.67	22.67	778408.00
2004-07-19 15:30:00	:CHRW	22.84	23.00	22.75	22.91	978736.00
2004-07-20 15:30:00	:CHRW	22.93	23.32	22.90	23.32	921862.00
2004-07-21 15:30:00	:CHRW	22.93	23.06	21.84	22.26	3512872.00
2004-07-22 15:30:00	:CHRW	22.30	22.33	22.00	22.18	1459272.00
2004-07-23 15:30:00	:CHRW	22.12	22.32	21.90	21.95	722946.00
2004-07-26 15:30:00	:CHRW	21.92	22.30	21.75	21.80	900334.00
2004-07-27 15:30:00	:CHRW	21.92	22.00	21.32	21.62	1198262.00
2004-07-28 15:30:00	:CHRW	21.52	21.77	21.31	21.63	1376296.00
2004-07-29 15:30:00	:CHRW	21.74	22.12	21.57	22.00	1006658.00
2004-07-30 15:30:00	:CHRW	21.93	22.05	21.52	21.86	705532.00
2004-08-02 15:30:00	:CHRW	21.80	22.20	21.73	22.11	1140774.00
2004-08-03 15:30:00	:CHRW	22.05	22.39	22.00	22.02	889756.00
2004-08-04 15:30:00	:CHRW	22.09	22.23	21.86	22.05	807440.00
2004-08-05 15:30:00	:CHRW	22.05	22.05	21.42	21.42	1046562.00
2004-08-06 15:30:00	:CHRW	21.37	21.40	20.57	20.61	1926326.00
2004-08-09 15:30:00	:CHRW	21.32	21.80	20.62	21.01	2023908.00
2004-08-10 15:30:00	:CHRW	21.12	21.57	21.02	21.48	1105122.00
2004-08-11 15:30:00	:CHRW	21.38	21.64	21.25	21.46	771036.00
2004-08-12 15:30:00	:CHRW	21.32	21.46	21.00	21.02	924112.00
2004-08-13 15:30:00	:CHRW	21.10	21.34	20.68	20.80	787198.00
2004-08-16 15:30:00	:CHRW	20.89	21.15	20.77	20.91	1322648.00
2004-08-17 15:30:00	:CHRW	20.87	21.09	20.75	21.09	998558.00
2004-08-18 15:30:00	:CHRW	21.00	21.40	20.84	21.36	956418.00
2004-08-19 15:30:00	:CHRW	21.30	21.36	20.98	21.14	785670.00
2004-08-20 15:30:00	:CHRW	21.14	21.34	20.86	21.27	617012.00
2004-08-23 15:30:00	:CHRW	21.27	21.56	20.89	21.02	922706.00
2004-08-24 15:30:00	:CHRW	21.23	21.34	20.96	21.11	906348.00
2004-08-25 15:30:00	:CHRW	21.20	21.52	21.09	21.41	806244.00
2004-08-26 15:30:00	:CHRW	21.31	21.73	21.20	21.24	855190.00
2004-08-27 15:30:00	:CHRW	21.36	21.52	21.19	21.41	563206.00
2004-08-30 15:30:00	:CHRW	21.30	21.77	21.00	21.03	703870.00
2004-08-31 15:30:00	:CHRW	21.00	21.34	21.00	21.34	801100.00
2004-09-01 15:30:00	:CHRW	21.16	21.69	21.12	21.39	850178.00
2004-09-02 15:30:00	:CHRW	21.40	21.89	21.36	21.82	758078.00
2004-09-03 15:30:00	:CHRW	21.82	21.90	21.60	21.68	779838.00
2004-09-07 15:30:00	:CHRW	21.77	22.25	21.70	22.25	1078628.00
2004-09-08 15:30:00	:CHRW	22.27	22.36	21.95	22.05	837056.00
2004-09-09 15:30:00	:CHRW	22.11	22.35	22.03	22.16	617056.00
2004-09-10 15:30:00	:CHRW	22.23	22.36	22.00	22.36	631378.00
2004-09-13 15:30:00	:CHRW	22.33	22.50	22.30	22.43	790822.00
2004-09-14 15:30:00	:CHRW	22.43	22.46	22.13	22.27	1211718.00
2004-09-15 15:30:00	:CHRW	22.32	22.47	22.20	22.25	843980.00
2004-09-16 15:30:00	:CHRW	22.30	22.46	22.24	22.43	610096.00
2004-09-17 15:30:00	:CHRW	22.54	22.79	22.50	22.60	1034606.00
2004-09-20 15:30:00	:CHRW	22.66	22.84	22.47	22.73	671012.00
2004-09-21 15:30:00	:CHRW	22.85	23.00	22.70	22.91	873744.00
2004-09-22 15:30:00	:CHRW	22.93	22.93	22.29	22.46	958410.00
2004-09-23 15:30:00	:CHRW	22.35	22.57	22.27	22.32	895648.00
2004-09-24 15:30:00	:CHRW	22.39	22.98	22.27	22.82	874492.00
2004-09-27 15:30:00	:CHRW	22.73	22.91	22.55	22.70	821318.00
2004-09-28 15:30:00	:CHRW	22.73	22.73	22.52	22.66	888908.00
2004-09-29 15:30:00	:CHRW	22.62	23.20	22.54	23.20	1127562.00
2004-09-30 15:30:00	:CHRW	23.13	23.27	22.98	23.20	758940.00
2004-10-01 15:30:00	:CHRW	23.42	23.88	23.28	23.82	1156604.00
2004-10-04 15:30:00	:CHRW	23.73	24.04	23.61	23.66	834760.00
2004-10-05 15:30:00	:CHRW	23.71	24.12	23.67	23.89	1341812.00
2004-10-06 15:30:00	:CHRW	23.91	24.00	23.70	23.75	1171994.00
2004-10-07 15:30:00	:CHRW	23.66	23.77	23.34	23.37	622494.00
2004-10-08 15:30:00	:CHRW	23.40	23.60	23.27	23.41	800984.00
2004-10-11 15:30:00	:CHRW	23.50	23.59	23.30	23.38	567500.00
2004-10-12 15:30:00	:CHRW	23.36	23.36	22.95	23.21	791064.00
2004-10-13 15:30:00	:CHRW	23.07	23.42	22.79	22.97	913774.00
2004-10-14 15:30:00	:CHRW	23.05	23.42	23.05	23.07	710800.00
2004-10-15 15:30:00	:CHRW	23.05	23.84	23.05	23.65	1279732.00
2004-10-18 15:30:00	:CHRW	23.63	24.15	23.54	24.03	959962.00
2004-10-19 15:30:00	:CHRW	23.98	24.03	23.13	23.34	1326090.00
2004-10-20 15:30:00	:CHRW	24.65	25.25	24.20	25.22	5504156.00
2004-10-21 15:30:00	:CHRW	24.95	26.41	24.90	26.14	2802976.00
2004-10-22 15:30:00	:CHRW	25.94	26.56	25.84	25.90	1925662.00
2004-10-25 15:30:00	:CHRW	25.96	26.24	25.64	26.17	1188804.00
2004-10-26 15:30:00	:CHRW	26.14	27.12	26.12	27.05	2180626.00
2004-10-27 15:30:00	:CHRW	27.02	27.12	26.23	26.92	1905236.00
2004-10-28 15:30:00	:CHRW	26.77	26.93	26.47	26.80	1051674.00
2004-10-29 15:30:00	:CHRW	26.63	27.14	26.39	26.97	1186658.00
2004-11-01 15:30:00	:CHRW	26.80	27.17	26.53	26.73	1285004.00
2004-11-02 15:30:00	:CHRW	26.16	26.58	25.94	26.18	2166682.00
2004-11-03 15:30:00	:CHRW	26.32	26.75	26.32	26.75	1313728.00
2004-11-04 15:30:00	:CHRW	26.80	27.29	26.75	27.16	1676382.00
2004-11-05 15:30:00	:CHRW	27.25	27.68	27.22	27.43	1148534.00
2004-11-08 15:30:00	:CHRW	27.50	27.50	27.14	27.41	1047664.00
2004-11-09 15:30:00	:CHRW	27.50	27.50	27.09	27.29	1222766.00
2004-11-10 15:30:00	:CHRW	27.30	27.43	27.08	27.23	1081010.00
2004-11-11 15:30:00	:CHRW	27.27	27.62	27.12	27.52	1017416.00
2004-11-12 15:30:00	:CHRW	27.23	27.25	26.77	27.25	1253442.00
2004-11-15 15:30:00	:CHRW	26.50	26.57	25.84	26.04	1903964.00
2004-11-16 15:30:00	:CHRW	25.93	26.05	25.62	25.77	1467716.00
2004-11-17 15:30:00	:CHRW	25.65	26.54	25.65	26.20	930702.00
2004-11-18 15:30:00	:CHRW	26.16	26.34	26.09	26.20	709868.00
2004-11-19 15:30:00	:CHRW	26.23	26.30	25.66	25.88	976204.00
2004-11-22 15:30:00	:CHRW	25.86	26.36	25.75	26.29	1158366.00
2004-11-23 15:30:00	:CHRW	26.15	26.43	25.90	26.39	871230.00
