datetime	symbol	open	high	low	close	volume
2009-12-02 15:30:00	:CHTR	36.50	36.50	36.50	36.50	1293.00
2009-12-03 15:30:00	:CHTR	39.81	39.81	39.81	39.81	45210.00
2009-12-04 15:30:00	:CHTR	43.96	43.96	40.09	40.09	90165.00
2009-12-08 15:30:00	:CHTR	40.09	40.37	40.09	40.37	62029.00
2009-12-09 15:30:00	:CHTR	40.09	40.37	39.81	39.81	16501.00
2009-12-10 15:30:00	:CHTR	39.54	39.65	39.54	39.54	90420.00
2009-12-11 15:30:00	:CHTR	39.81	39.81	39.26	39.26	22695.00
2009-12-14 15:30:00	:CHTR	39.81	39.81	39.81	39.81	271.00
2009-12-15 15:30:00	:CHTR	38.98	38.98	38.71	38.71	34580.00
2009-12-16 15:30:00	:CHTR	38.98	38.98	38.71	38.98	13621.00
2009-12-17 15:30:00	:CHTR	38.43	38.43	38.43	38.43	90.00
2009-12-18 15:30:00	:CHTR	38.60	38.98	38.43	38.98	4873.00
2009-12-24 15:30:00	:CHTR	38.16	38.16	38.16	38.16	1356.00
2009-12-31 15:30:00	:CHTR	38.16	39.81	35.39	39.26	1542.00
2010-01-04 15:30:00	:CHTR	39.26	39.26	38.16	38.16	42949.00
2010-01-05 15:30:00	:CHTR	38.71	38.71	38.71	38.71	9042.00
2010-01-07 15:30:00	:CHTR	38.98	39.26	38.71	38.71	8861.00
2010-01-08 15:30:00	:CHTR	38.21	38.21	37.05	37.05	29067.00
2010-01-11 15:30:00	:CHTR	37.05	37.05	37.05	37.05	3308.00
2010-01-12 15:30:00	:CHTR	37.05	37.10	37.05	37.05	4611.00
2010-01-13 15:30:00	:CHTR	36.51	36.51	35.94	36.22	204597.00
2010-01-14 15:30:00	:CHTR	36.22	36.22	36.22	36.22	136082.00
2010-01-15 15:30:00	:CHTR	35.94	35.94	35.67	35.67	41091.00
2010-01-19 15:30:00	:CHTR	35.67	35.67	35.11	35.39	17541.00
2010-01-20 15:30:00	:CHTR	34.84	35.11	34.84	35.11	480.00
2010-01-21 15:30:00	:CHTR	34.84	34.95	34.84	34.95	531.00
2010-01-22 15:30:00	:CHTR	34.84	34.84	34.84	34.84	180.00
2010-01-25 15:30:00	:CHTR	34.40	34.56	34.28	34.56	1175.00
2010-01-26 15:30:00	:CHTR	34.28	34.28	34.01	34.01	210.00
2010-01-27 15:30:00	:CHTR	33.79	34.28	33.79	34.01	69623.00
2010-01-28 15:30:00	:CHTR	34.28	34.28	34.01	34.01	9335.00
2010-01-29 15:30:00	:CHTR	34.12	34.12	33.73	33.88	27739.00
2010-02-01 15:30:00	:CHTR	33.45	33.73	33.45	33.73	3164.00
2010-02-02 15:30:00	:CHTR	33.73	33.73	33.73	33.73	529.00
2010-02-03 15:30:00	:CHTR	33.29	33.29	32.90	32.90	4677.00
2010-02-04 15:30:00	:CHTR	33.18	33.45	33.18	33.45	26583.00
2010-02-05 15:30:00	:CHTR	33.71	33.73	33.18	33.73	1583.00
2010-02-08 15:30:00	:CHTR	33.18	33.18	32.90	33.01	42851.00
2010-02-09 15:30:00	:CHTR	32.18	33.18	32.18	32.96	26799.00
2010-02-10 15:30:00	:CHTR	32.51	33.01	32.51	32.90	97253.00
2010-02-11 15:30:00	:CHTR	32.89	32.89	32.63	32.89	9042.00
2010-02-12 15:30:00	:CHTR	32.89	32.89	32.89	32.89	90.00
2010-02-18 15:30:00	:CHTR	32.18	32.85	32.18	32.85	1537.00
2010-02-22 15:30:00	:CHTR	32.18	32.87	32.18	32.85	17812.00
2010-02-23 15:30:00	:CHTR	32.63	32.63	32.63	32.63	56449.00
2010-02-25 15:30:00	:CHTR	32.63	32.85	32.63	32.63	2531.00
2010-02-26 15:30:00	:CHTR	32.35	32.90	32.35	32.90	2385.00
2010-03-01 15:30:00	:CHTR	32.90	33.29	32.90	33.29	22424.00
2010-03-02 15:30:00	:CHTR	33.29	33.62	33.18	33.62	26258.00
2010-03-03 15:30:00	:CHTR	33.73	34.01	33.73	34.01	119173.00
2010-03-04 15:30:00	:CHTR	34.28	34.84	34.01	34.31	15308.00
2010-03-05 15:30:00	:CHTR	34.56	35.11	34.56	35.11	44137.00
2010-03-08 15:30:00	:CHTR	34.84	35.11	34.84	35.11	44369.00
