datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:CL	27.32	27.43	27.07	27.18	3254400.00
2004-04-08 15:30:00	:CL	27.27	27.48	27.04	27.14	3129600.00
2004-04-12 15:30:00	:CL	27.15	27.18	26.93	26.99	2711800.00
2004-04-13 15:30:00	:CL	27.00	27.14	26.64	26.78	4553000.00
2004-04-14 15:30:00	:CL	26.75	27.48	26.70	27.43	6340600.00
2004-04-15 15:30:00	:CL	27.52	27.83	27.45	27.75	3774600.00
2004-04-16 15:30:00	:CL	27.90	27.98	27.77	27.88	2744000.00
2004-04-19 15:30:00	:CL	28.00	28.18	27.89	28.16	4562400.00
2004-04-20 15:30:00	:CL	28.23	28.50	28.18	28.30	4839200.00
2004-04-21 15:30:00	:CL	28.50	28.73	28.00	28.12	6866200.00
2004-04-22 15:30:00	:CL	28.05	28.27	27.77	28.21	4454600.00
2004-04-23 15:30:00	:CL	28.11	28.40	28.00	28.32	2949400.00
2004-04-26 15:30:00	:CL	28.45	28.62	28.27	28.53	6618600.00
2004-04-27 15:30:00	:CL	28.50	28.57	28.45	28.51	3562400.00
2004-04-28 15:30:00	:CL	28.43	28.43	28.12	28.20	3497800.00
2004-04-29 15:30:00	:CL	28.27	29.07	28.20	28.93	4937800.00
2004-04-30 15:30:00	:CL	29.07	29.24	28.89	28.94	5161200.00
2004-05-03 15:30:00	:CL	28.95	29.48	28.89	29.46	4152800.00
2004-05-04 15:30:00	:CL	29.34	29.50	29.11	29.36	5725000.00
2004-05-05 15:30:00	:CL	29.28	29.38	29.08	29.29	3476400.00
2004-05-06 15:30:00	:CL	29.15	29.34	28.89	29.25	3515800.00
2004-05-07 15:30:00	:CL	29.17	29.30	28.70	28.82	3215800.00
2004-05-10 15:30:00	:CL	28.73	28.94	28.43	28.50	3541600.00
2004-05-11 15:30:00	:CL	28.66	28.66	28.18	28.54	3396200.00
2004-05-12 15:30:00	:CL	28.43	28.55	28.17	28.45	2880200.00
2004-05-13 15:30:00	:CL	28.46	28.58	27.95	28.00	4065400.00
2004-05-14 15:30:00	:CL	27.98	28.18	27.57	27.88	4935200.00
2004-05-17 15:30:00	:CL	27.75	28.40	27.74	28.09	3169800.00
2004-05-18 15:30:00	:CL	28.18	28.32	28.00	28.07	2152000.00
2004-05-19 15:30:00	:CL	28.12	28.27	27.95	27.95	2600400.00
2004-05-20 15:30:00	:CL	27.88	28.10	27.75	27.98	2502800.00
2004-05-21 15:30:00	:CL	28.25	28.78	28.10	28.61	4303400.00
2004-05-24 15:30:00	:CL	28.74	28.89	28.38	28.40	2852000.00
2004-05-25 15:30:00	:CL	28.41	28.65	28.18	28.58	3398400.00
