datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:CMI	16.06	16.38	15.87	16.05	4614400.00
2004-04-08 15:30:00	:CMI	16.03	16.18	15.78	15.93	2776800.00
2004-04-12 15:30:00	:CMI	15.93	16.23	15.93	16.13	2128800.00
2004-04-13 15:30:00	:CMI	16.13	16.21	15.84	15.92	3478400.00
2004-04-14 15:30:00	:CMI	15.75	15.92	15.50	15.78	3889200.00
2004-04-15 15:30:00	:CMI	15.78	16.05	15.78	15.91	2423600.00
2004-04-16 15:30:00	:CMI	16.15	16.47	15.99	16.44	3440400.00
2004-04-19 15:30:00	:CMI	16.44	16.61	16.28	16.49	2009200.00
2004-04-20 15:30:00	:CMI	16.49	16.54	16.00	16.00	1892000.00
2004-04-21 15:30:00	:CMI	16.01	16.26	15.74	16.22	2006400.00
2004-04-22 15:30:00	:CMI	16.55	16.66	15.95	16.10	4513200.00
2004-04-23 15:30:00	:CMI	16.10	16.17	15.71	15.75	4164000.00
2004-04-26 15:30:00	:CMI	15.56	15.78	15.50	15.68	3880000.00
2004-04-27 15:30:00	:CMI	15.44	15.87	15.44	15.66	2958000.00
2004-04-28 15:30:00	:CMI	15.60	15.62	15.20	15.30	2726400.00
2004-04-29 15:30:00	:CMI	15.39	15.39	14.77	15.04	1857600.00
2004-04-30 15:30:00	:CMI	15.04	15.13	14.78	14.95	2991200.00
2004-05-03 15:30:00	:CMI	14.95	15.47	14.95	15.30	3388000.00
2004-05-04 15:30:00	:CMI	15.25	15.46	15.17	15.33	2847200.00
2004-05-05 15:30:00	:CMI	15.34	15.47	15.29	15.40	1957200.00
2004-05-06 15:30:00	:CMI	15.34	15.34	14.86	14.91	2630400.00
2004-05-07 15:30:00	:CMI	14.86	15.00	14.59	14.61	2676800.00
2004-05-10 15:30:00	:CMI	14.19	14.19	13.64	13.89	7223200.00
2004-05-11 15:30:00	:CMI	13.88	13.92	13.70	13.81	5046400.00
2004-05-12 15:30:00	:CMI	13.79	13.80	13.33	13.60	4595600.00
2004-05-13 15:30:00	:CMI	13.60	14.02	13.53	13.91	3186800.00
2004-05-14 15:30:00	:CMI	13.88	14.50	13.69	14.42	8463200.00
2004-05-17 15:30:00	:CMI	14.25	14.25	14.00	14.10	3602800.00
2004-05-18 15:30:00	:CMI	14.10	14.47	14.10	14.36	3575200.00
2004-05-19 15:30:00	:CMI	14.56	14.97	14.31	14.34	5460800.00
2004-05-20 15:30:00	:CMI	13.96	14.18	13.85	14.12	5443200.00
2004-05-21 15:30:00	:CMI	14.12	14.12	13.45	13.67	7010000.00
2004-05-24 15:30:00	:CMI	13.71	14.10	13.71	13.90	4979200.00
2004-05-25 15:30:00	:CMI	13.90	14.28	13.80	14.25	2588800.00
2004-05-26 15:30:00	:CMI	14.26	14.41	14.24	14.34	1804800.00
2004-05-27 15:30:00	:CMI	14.40	14.73	14.40	14.60	3200400.00
2004-05-28 15:30:00	:CMI	14.57	14.57	14.47	14.56	1744000.00
2004-06-01 15:30:00	:CMI	14.54	14.82	14.54	14.75	2539600.00
2004-06-02 15:30:00	:CMI	14.81	14.97	14.70	14.91	2385600.00
2004-06-03 15:30:00	:CMI	14.91	14.93	14.74	14.75	2114000.00
2004-06-04 15:30:00	:CMI	14.81	14.93	14.77	14.87	2477600.00
2004-06-07 15:30:00	:CMI	14.93	15.42	14.93	15.33	3472400.00
2004-06-08 15:30:00	:CMI	15.28	15.40	15.21	15.39	2308000.00
2004-06-09 15:30:00	:CMI	15.39	15.47	15.34	15.36	3704800.00
2004-06-10 15:30:00	:CMI	15.37	15.47	15.37	15.42	1932800.00
2004-06-14 15:30:00	:CMI	15.39	15.39	15.07	15.15	1366800.00
2004-06-15 15:30:00	:CMI	15.25	15.55	15.25	15.38	1422400.00
2004-06-16 15:30:00	:CMI	15.38	15.38	15.14	15.24	1478400.00
2004-06-17 15:30:00	:CMI	15.28	15.39	15.15	15.30	1958800.00
2004-06-18 15:30:00	:CMI	15.38	15.47	15.31	15.39	1534400.00
2004-06-21 15:30:00	:CMI	15.38	15.53	15.31	15.34	974000.00
2004-06-22 15:30:00	:CMI	15.31	15.53	15.24	15.50	1823200.00
2004-06-23 15:30:00	:CMI	15.50	15.72	15.50	15.70	1382000.00
2004-06-24 15:30:00	:CMI	15.70	15.79	15.68	15.75	1332800.00
2004-06-25 15:30:00	:CMI	15.75	15.93	15.75	15.87	1499200.00
2004-06-28 15:30:00	:CMI	15.92	16.00	15.72	15.80	2035600.00
2004-06-29 15:30:00	:CMI	15.80	15.81	15.68	15.73	1525200.00
2004-06-30 15:30:00	:CMI	15.72	15.76	15.47	15.62	3516800.00
2004-07-01 15:30:00	:CMI	15.62	15.70	15.40	15.43	4906400.00
2004-07-02 15:30:00	:CMI	15.39	15.42	15.06	15.14	3144000.00
2004-07-06 15:30:00	:CMI	15.14	15.14	14.87	14.90	2822000.00
