datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:COF	76.80	76.80	75.11	75.86	1344300.00
2004-04-08 15:30:00	:COF	75.86	76.58	74.96	75.41	1231000.00
2004-04-12 15:30:00	:COF	76.35	77.67	76.32	77.52	2095800.00
2004-04-13 15:30:00	:COF	77.40	77.41	74.61	75.10	2171800.00
2004-04-14 15:30:00	:COF	74.75	74.85	72.44	73.15	2364200.00
2004-04-15 15:30:00	:COF	73.25	73.29	71.00	71.73	3590100.00
2004-04-16 15:30:00	:COF	72.05	73.72	71.21	73.72	2855300.00
2004-04-19 15:30:00	:COF	73.72	73.77	72.70	73.77	2025900.00
2004-04-20 15:30:00	:COF	73.77	74.39	71.94	71.98	1941000.00
2004-04-21 15:30:00	:COF	71.98	71.98	69.33	71.43	3261800.00
2004-04-22 15:30:00	:COF	70.81	71.65	68.30	70.65	7642000.00
2004-04-23 15:30:00	:COF	70.50	70.58	68.70	68.85	3162500.00
2004-04-26 15:30:00	:COF	69.00	69.10	67.21	67.68	3481600.00
2004-04-27 15:30:00	:COF	67.90	69.85	67.90	68.43	2441100.00
2004-04-28 15:30:00	:COF	68.26	68.27	66.15	66.40	2633300.00
2004-04-29 15:30:00	:COF	66.65	67.75	65.63	66.07	2205400.00
2004-04-30 15:30:00	:COF	66.25	66.57	65.04	65.53	1390600.00
2004-05-03 15:30:00	:COF	65.40	66.13	64.50	65.62	2217300.00
2004-05-04 15:30:00	:COF	65.68	67.45	65.59	66.81	2360600.00
2004-05-05 15:30:00	:COF	66.81	67.87	66.65	66.97	1897900.00
2004-05-06 15:30:00	:COF	66.63	66.76	65.81	66.48	2177700.00
2004-05-07 15:30:00	:COF	65.40	66.05	63.75	63.96	3846300.00
2004-05-10 15:30:00	:COF	63.60	63.75	61.15	61.64	4680398.00
2004-05-11 15:30:00	:COF	62.35	63.63	62.16	63.40	3083000.00
2004-05-12 15:30:00	:COF	64.10	64.76	63.54	64.59	3404300.00
2004-05-13 15:30:00	:COF	64.50	66.15	64.25	65.57	3140000.00
2004-05-14 15:30:00	:COF	65.66	66.40	65.39	65.84	1517100.00
2004-05-17 15:30:00	:COF	64.80	65.10	64.42	64.66	1694400.00
2004-05-18 15:30:00	:COF	64.91	65.80	64.86	65.71	1701100.00
2004-05-19 15:30:00	:COF	66.37	67.71	65.92	66.00	2313300.00
2004-05-20 15:30:00	:COF	66.08	67.23	66.01	66.88	1718400.00
2004-05-21 15:30:00	:COF	67.10	67.65	66.94	67.17	1392500.00
2004-05-24 15:30:00	:COF	67.60	67.65	66.62	67.35	1456700.00
2004-05-25 15:30:00	:COF	67.31	69.44	66.78	69.25	2739700.00
2004-05-26 15:30:00	:COF	69.20	69.74	68.70	69.02	1401300.00
2004-05-27 15:30:00	:COF	69.15	70.33	69.15	69.99	2191800.00
2004-05-28 15:30:00	:COF	70.05	70.45	69.80	70.06	978300.00
2004-06-01 15:30:00	:COF	69.80	69.85	68.54	69.38	1638200.00
2004-06-02 15:30:00	:COF	69.80	70.20	68.78	69.67	1110200.00
2004-06-03 15:30:00	:COF	69.07	69.27	68.19	68.31	1269000.00
