datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:COST	37.98	38.38	37.50	38.15	4088017.00
2004-04-08 15:30:00	:COST	38.48	38.77	37.58	37.90	5281004.00
2004-04-12 15:30:00	:COST	38.04	38.10	37.48	37.66	2009940.00
2004-04-13 15:30:00	:COST	37.65	37.79	37.02	37.16	3828401.00
2004-04-14 15:30:00	:COST	37.05	37.96	36.75	37.70	3335837.00
2004-04-15 15:30:00	:COST	37.85	37.99	37.25	37.37	2825334.00
2004-04-16 15:30:00	:COST	37.41	38.29	37.27	38.08	3071271.00
2004-04-19 15:30:00	:COST	38.02	38.33	37.93	38.04	2294925.00
2004-04-20 15:30:00	:COST	38.15	38.63	37.72	37.79	2431015.00
2004-04-21 15:30:00	:COST	37.75	38.38	37.61	38.31	2884840.00
2004-04-22 15:30:00	:COST	38.07	38.75	37.95	38.29	4166797.00
2004-04-23 15:30:00	:COST	38.26	38.56	37.99	38.54	2813112.00
2004-04-26 15:30:00	:COST	38.55	38.72	38.00	38.09	2339018.00
2004-04-27 15:30:00	:COST	38.15	38.50	37.95	38.04	3510131.00
2004-04-28 15:30:00	:COST	38.19	38.34	37.83	37.99	6324566.00
2004-04-29 15:30:00	:COST	38.04	38.34	37.30	37.66	2508131.00
2004-04-30 15:30:00	:COST	37.98	38.12	37.41	37.50	2984780.00
2004-05-03 15:30:00	:COST	37.41	38.09	37.33	37.58	2986341.00
2004-05-04 15:30:00	:COST	37.58	37.90	37.33	37.47	3443564.00
2004-05-05 15:30:00	:COST	37.32	37.70	37.22	37.41	4736477.00
2004-05-06 15:30:00	:COST	37.01	37.10	36.15	36.30	5389930.00
2004-05-07 15:30:00	:COST	36.31	36.59	35.50	35.66	4776258.00
2004-05-10 15:30:00	:COST	35.55	36.48	35.35	36.42	4091385.00
2004-05-11 15:30:00	:COST	36.41	36.67	35.90	36.12	2734227.00
2004-05-12 15:30:00	:COST	35.80	36.64	35.47	36.55	2984447.00
2004-05-13 15:30:00	:COST	36.46	36.50	35.60	36.07	3051088.00
2004-05-14 15:30:00	:COST	36.11	36.45	35.65	35.85	2595418.00
2004-05-17 15:30:00	:COST	35.61	35.77	35.05	35.54	2626422.00
2004-05-18 15:30:00	:COST	35.84	36.96	35.77	36.39	4410723.00
2004-05-19 15:30:00	:COST	36.80	37.05	36.45	36.52	3376532.00
2004-05-20 15:30:00	:COST	36.46	36.73	36.31	36.69	3439709.00
2004-05-21 15:30:00	:COST	36.89	36.93	36.40	36.54	2718732.00
2004-05-24 15:30:00	:COST	36.57	37.30	36.54	36.81	2558861.00
2004-05-25 15:30:00	:COST	36.66	37.42	36.56	37.34	2568844.00
2004-05-26 15:30:00	:COST	37.12	37.55	37.00	37.44	1675886.00
2004-05-27 15:30:00	:COST	38.50	39.32	37.96	38.07	7801379.00
2004-05-28 15:30:00	:COST	38.50	38.52	37.76	37.90	2682540.00
2004-06-01 15:30:00	:COST	37.72	38.21	37.65	38.14	2723828.00
2004-06-02 15:30:00	:COST	38.38	38.99	38.16	38.78	3463020.00
2004-06-03 15:30:00	:COST	39.25	39.86	38.80	39.25	5426535.00
2004-06-04 15:30:00	:COST	39.58	39.84	38.46	39.05	3710207.00
2004-06-07 15:30:00	:COST	38.65	39.50	38.29	39.34	3849866.00
2004-06-08 15:30:00	:COST	39.31	40.13	39.17	40.05	5485379.00
2004-06-09 15:30:00	:COST	39.74	40.83	39.66	40.68	6895016.00
2004-06-10 15:30:00	:COST	41.33	41.77	40.84	41.62	6662344.00
2004-06-14 15:30:00	:COST	41.18	41.37	40.44	40.96	3219760.00
2004-06-15 15:30:00	:COST	41.25	41.80	41.05	41.47	2777312.00
2004-06-16 15:30:00	:COST	41.40	41.67	41.33	41.56	2339632.00
2004-06-17 15:30:00	:COST	41.51	41.67	41.01	41.60	2389006.00
2004-06-18 15:30:00	:COST	41.61	42.19	41.39	42.02	3157065.00
2004-06-21 15:30:00	:COST	42.02	42.10	41.67	41.82	2467158.00
2004-06-22 15:30:00	:COST	41.78	42.30	41.41	42.14	4258559.00
2004-06-23 15:30:00	:COST	41.90	43.00	41.88	42.89	3783188.00
2004-06-24 15:30:00	:COST	42.72	42.98	42.31	42.51	3250464.00
2004-06-25 15:30:00	:COST	42.36	42.60	40.58	41.82	4152023.00
2004-06-28 15:30:00	:COST	41.70	42.45	41.62	41.93	3156821.00
2004-06-29 15:30:00	:COST	41.72	41.88	40.66	41.00	5008316.00
2004-06-30 15:30:00	:COST	41.05	41.60	40.55	41.18	4422090.00
2004-07-01 15:30:00	:COST	41.30	41.40	40.71	40.87	4047527.00
2004-07-02 15:30:00	:COST	40.86	41.20	40.36	40.68	3170151.00
2004-07-06 15:30:00	:COST	40.42	41.36	40.37	40.79	3579132.00
2004-07-07 15:30:00	:COST	40.72	41.69	40.67	41.38	3161951.00
2004-07-08 15:30:00	:COST	40.37	40.68	39.84	40.16	5878367.00
2004-07-09 15:30:00	:COST	40.69	40.73	39.91	40.20	3044959.00
2004-07-12 15:30:00	:COST	40.11	40.86	40.00	40.82	3592352.00
2004-07-13 15:30:00	:COST	40.93	41.36	40.67	41.26	2594150.00
2004-07-14 15:30:00	:COST	41.00	41.78	40.70	40.85	4112414.00
2004-07-15 15:30:00	:COST	40.88	41.34	40.77	40.98	4120516.00
2004-07-16 15:30:00	:COST	41.34	41.49	40.49	40.62	3050135.00
2004-07-19 15:30:00	:COST	40.86	41.02	40.35	40.66	2750367.00
2004-07-20 15:30:00	:COST	40.73	41.26	40.63	41.02	3049806.00
2004-07-21 15:30:00	:COST	40.97	41.80	40.90	41.15	2949994.00
2004-07-22 15:30:00	:COST	40.70	41.16	40.13	40.89	3640833.00
2004-07-23 15:30:00	:COST	40.94	41.27	40.52	40.67	2205654.00
2004-07-26 15:30:00	:COST	40.62	40.82	39.81	40.16	2283754.00
2004-07-27 15:30:00	:COST	40.32	41.32	40.00	41.32	3967317.00
2004-07-28 15:30:00	:COST	41.21	41.50	40.35	41.21	3123737.00
2004-07-29 15:30:00	:COST	41.40	41.98	41.40	41.80	3952621.00
2004-07-30 15:30:00	:COST	41.42	41.50	40.53	40.71	4239676.00
2004-08-02 15:30:00	:COST	40.61	41.18	40.53	41.10	2014059.00
2004-08-03 15:30:00	:COST	40.91	41.20	40.22	40.71	3305159.00
2004-08-04 15:30:00	:COST	40.81	41.36	40.48	41.15	3160300.00
2004-08-05 15:30:00	:COST	41.10	41.45	40.58	40.59	3694914.00
2004-08-06 15:30:00	:COST	40.49	40.51	39.62	39.74	3984091.00
2004-08-09 15:30:00	:COST	39.59	40.55	39.56	40.19	3382916.00
2004-08-10 15:30:00	:COST	40.21	40.97	40.21	40.87	4409742.00
2004-08-11 15:30:00	:COST	40.75	40.85	40.16	40.49	3347930.00
2004-08-12 15:30:00	:COST	40.81	41.05	40.26	40.49	3812772.00
2004-08-13 15:30:00	:COST	40.49	41.08	40.49	40.73	2318008.00
2004-08-16 15:30:00	:COST	40.94	41.00	40.59	40.82	3002542.00
2004-08-17 15:30:00	:COST	41.19	41.71	41.03	41.31	3876351.00
2004-08-18 15:30:00	:COST	41.43	41.92	40.86	41.66	4139730.00
2004-08-19 15:30:00	:COST	41.65	42.45	41.52	42.35	6388070.00
2004-08-20 15:30:00	:COST	42.45	42.79	42.09	42.40	3698097.00
2004-08-23 15:30:00	:COST	42.12	42.27	41.54	41.82	3969798.00
2004-08-24 15:30:00	:COST	41.95	42.32	41.84	42.09	2475252.00
2004-08-25 15:30:00	:COST	42.18	42.35	41.71	42.04	2777670.00
2004-08-26 15:30:00	:COST	42.05	42.60	41.86	42.42	1938227.00
2004-08-27 15:30:00	:COST	42.41	42.53	41.95	42.05	2231565.00
2004-08-30 15:30:00	:COST	41.94	42.28	41.71	41.79	2603326.00
2004-08-31 15:30:00	:COST	41.74	41.99	41.03	41.17	4132551.00
2004-09-01 15:30:00	:COST	41.11	41.33	40.46	40.83	4786164.00
2004-09-02 15:30:00	:COST	39.10	40.76	39.05	40.41	9234336.00
2004-09-03 15:30:00	:COST	40.26	40.90	40.26	40.60	3536837.00
2004-09-07 15:30:00	:COST	40.70	40.95	40.25	40.61	3235617.00
2004-09-08 15:30:00	:COST	40.55	40.88	40.05	40.12	3498083.00
2004-09-09 15:30:00	:COST	40.10	40.25	39.59	39.99	3023172.00
2004-09-10 15:30:00	:COST	39.92	40.78	39.79	40.54	4132219.00
2004-09-13 15:30:00	:COST	40.84	41.79	40.50	41.15	4745934.00
2004-09-14 15:30:00	:COST	40.83	41.59	40.81	41.42	2949809.00
2004-09-15 15:30:00	:COST	41.16	41.61	41.13	41.41	2133482.00
2004-09-16 15:30:00	:COST	41.50	41.74	41.30	41.57	2292046.00
2004-09-17 15:30:00	:COST	41.60	41.98	41.20	41.26	3102220.00
2004-09-20 15:30:00	:COST	41.18	41.55	40.69	41.01	2530593.00
2004-09-21 15:30:00	:COST	41.16	41.53	40.94	41.41	2073740.00
2004-09-22 15:30:00	:COST	41.16	41.40	40.82	40.98	2010219.00
