datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:CSX	1.68	1.69	1.66	1.67	11403125.00
2004-04-08 15:30:00	:CSX	1.68	1.68	1.66	1.67	15309168.00
2004-04-12 15:30:00	:CSX	1.67	1.67	1.65	1.66	12807138.00
2004-04-13 15:30:00	:CSX	1.67	1.68	1.65	1.65	18513201.00
2004-04-14 15:30:00	:CSX	1.65	1.66	1.64	1.64	16318978.00
2004-04-15 15:30:00	:CSX	1.64	1.65	1.63	1.63	17071385.00
2004-04-16 15:30:00	:CSX	1.64	1.65	1.63	1.65	30004530.00
2004-04-19 15:30:00	:CSX	1.65	1.65	1.64	1.65	10112509.00
2004-04-20 15:30:00	:CSX	1.65	1.67	1.64	1.66	24356067.00
2004-04-21 15:30:00	:CSX	1.66	1.67	1.65	1.67	28596913.00
2004-04-22 15:30:00	:CSX	1.67	1.73	1.67	1.72	26528690.00
2004-04-23 15:30:00	:CSX	1.72	1.74	1.71	1.74	17584391.00
2004-04-26 15:30:00	:CSX	1.74	1.79	1.69	1.70	19332211.00
2004-04-27 15:30:00	:CSX	1.70	1.72	1.68	1.69	19238611.00
2004-04-28 15:30:00	:CSX	1.71	1.76	1.69	1.76	55442407.00
2004-04-29 15:30:00	:CSX	1.76	1.76	1.71	1.72	32106953.00
2004-04-30 15:30:00	:CSX	1.73	1.74	1.70	1.71	21242031.00
2004-05-03 15:30:00	:CSX	1.71	1.73	1.71	1.73	15726771.00
2004-05-04 15:30:00	:CSX	1.74	1.74	1.71	1.72	21333834.00
2004-05-05 15:30:00	:CSX	1.72	1.72	1.70	1.71	12641538.00
2004-05-06 15:30:00	:CSX	1.70	1.72	1.69	1.71	11667725.00
2004-05-07 15:30:00	:CSX	1.71	1.71	1.68	1.68	17667191.00
2004-05-10 15:30:00	:CSX	1.67	1.70	1.66	1.68	21188031.00
2004-05-11 15:30:00	:CSX	1.68	1.72	1.68	1.72	18851604.00
2004-05-12 15:30:00	:CSX	1.72	1.73	1.67	1.72	22847650.00
2004-05-13 15:30:00	:CSX	1.72	1.74	1.71	1.74	15442368.00
2004-05-14 15:30:00	:CSX	1.73	1.74	1.72	1.72	22662247.00
2004-05-17 15:30:00	:CSX	1.71	1.73	1.70	1.72	23326454.00
2004-05-18 15:30:00	:CSX	1.71	1.73	1.69	1.71	15856371.00
2004-05-19 15:30:00	:CSX	1.71	1.74	1.70	1.71	18709404.00
2004-05-20 15:30:00	:CSX	1.71	1.72	1.70	1.71	10929718.00
2004-05-21 15:30:00	:CSX	1.70	1.71	1.68	1.69	14389355.00
2004-05-24 15:30:00	:CSX	1.69	1.72	1.69	1.72	13685548.00
2004-05-25 15:30:00	:CSX	1.71	1.74	1.70	1.74	14725961.00
2004-05-26 15:30:00	:CSX	1.73	1.74	1.71	1.73	11610125.00
2004-05-27 15:30:00	:CSX	1.74	1.77	1.73	1.76	13678348.00
2004-05-28 15:30:00	:CSX	1.77	1.77	1.75	1.76	11592125.00
2004-06-01 15:30:00	:CSX	1.75	1.76	1.74	1.75	13836751.00
2004-06-02 15:30:00	:CSX	1.75	1.79	1.75	1.78	16115575.00
2004-06-03 15:30:00	:CSX	1.78	1.78	1.76	1.76	15856371.00
2004-06-04 15:30:00	:CSX	1.77	1.80	1.76	1.79	15487368.00
2004-06-07 15:30:00	:CSX	1.79	1.83	1.79	1.82	13370545.00
2004-06-08 15:30:00	:CSX	1.81	1.84	1.81	1.83	19636414.00
2004-06-09 15:30:00	:CSX	1.79	1.81	1.78	1.80	28393510.00
