datetime	symbol	open	high	low	close	volume
2014-07-31 15:30:00	:CTLT	20.00	20.33	19.30	19.99	14208657.00
2014-08-01 15:30:00	:CTLT	20.00	20.10	19.34	19.85	2125626.00
2014-08-04 15:30:00	:CTLT	19.85	20.10	19.60	20.01	592817.00
2014-08-05 15:30:00	:CTLT	19.94	20.48	19.77	20.21	1077591.00
2014-08-06 15:30:00	:CTLT	20.20	20.33	20.05	20.33	900913.00
2014-08-07 15:30:00	:CTLT	20.33	20.49	20.30	20.42	546020.00
2014-08-08 15:30:00	:CTLT	20.49	20.68	20.40	20.53	402530.00
2014-08-11 15:30:00	:CTLT	20.51	20.60	20.44	20.50	442471.00
2014-08-12 15:30:00	:CTLT	20.45	20.55	20.45	20.50	240691.00
2014-08-13 15:30:00	:CTLT	20.50	20.60	20.47	20.53	438485.00
2014-08-14 15:30:00	:CTLT	20.50	20.59	20.45	20.50	200595.00
2014-08-15 15:30:00	:CTLT	20.68	20.68	20.45	20.51	143341.00
2014-08-18 15:30:00	:CTLT	21.20	21.20	20.41	20.66	186915.00
2014-08-19 15:30:00	:CTLT	20.50	20.68	20.50	20.63	403960.00
2014-08-20 15:30:00	:CTLT	20.51	20.75	20.50	20.58	291124.00
2014-08-21 15:30:00	:CTLT	20.54	20.74	20.54	20.72	221909.00
2014-08-22 15:30:00	:CTLT	20.75	20.91	20.66	20.85	259679.00
2014-08-25 15:30:00	:CTLT	20.74	21.31	20.55	21.20	558939.00
2014-08-26 15:30:00	:CTLT	21.15	21.45	21.15	21.32	691048.00
2014-08-27 15:30:00	:CTLT	21.20	21.35	21.15	21.27	265050.00
2014-08-28 15:30:00	:CTLT	21.10	21.70	21.02	21.50	3070248.00
2014-08-29 15:30:00	:CTLT	21.50	21.74	21.33	21.50	1271821.00
2014-09-02 15:30:00	:CTLT	21.35	21.79	21.32	21.70	665741.00
2014-09-03 15:30:00	:CTLT	21.64	21.80	21.52	21.68	329716.00
2014-09-04 15:30:00	:CTLT	21.59	21.95	21.21	21.50	445570.00
2014-09-05 15:30:00	:CTLT	21.50	22.55	21.50	22.40	835298.00
2014-09-08 15:30:00	:CTLT	22.35	22.80	22.26	22.50	654132.00
2014-09-09 15:30:00	:CTLT	22.53	23.09	22.19	22.48	945831.00
2014-09-10 15:30:00	:CTLT	22.48	23.18	22.40	22.99	976551.00
2014-09-11 15:30:00	:CTLT	22.81	23.70	22.60	23.25	929995.00
