datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:CTSH	5.90	5.91	5.76	5.86	4529528.00
2004-04-08 15:30:00	:CTSH	5.93	6.03	5.81	5.85	3537432.00
2004-04-12 15:30:00	:CTSH	5.87	5.91	5.83	5.87	2967640.00
2004-04-13 15:30:00	:CTSH	6.04	6.05	5.81	5.84	8568232.00
2004-04-14 15:30:00	:CTSH	5.76	5.81	5.75	5.78	9145128.00
2004-04-15 15:30:00	:CTSH	5.80	5.87	5.67	5.79	6532752.00
2004-04-16 15:30:00	:CTSH	5.79	5.82	5.73	5.81	5243848.00
2004-04-19 15:30:00	:CTSH	5.83	6.06	5.80	6.01	8321040.00
2004-04-20 15:30:00	:CTSH	5.75	6.04	5.69	5.82	18255688.00
2004-04-21 15:30:00	:CTSH	5.81	5.94	5.75	5.90	7538960.00
2004-04-22 15:30:00	:CTSH	5.92	6.12	5.84	6.09	6524608.00
2004-04-23 15:30:00	:CTSH	6.10	6.17	5.94	6.03	8293096.00
2004-04-26 15:30:00	:CTSH	6.01	6.04	5.91	5.96	6155216.00
2004-04-27 15:30:00	:CTSH	5.95	5.96	5.80	5.81	8208768.00
2004-04-28 15:30:00	:CTSH	5.81	5.82	5.50	5.59	12027272.00
2004-04-29 15:30:00	:CTSH	5.52	5.66	5.39	5.47	7214720.00
2004-04-30 15:30:00	:CTSH	5.46	5.59	5.40	5.41	6456728.00
2004-05-03 15:30:00	:CTSH	5.41	5.50	5.32	5.37	10877544.00
2004-05-04 15:30:00	:CTSH	5.34	5.55	5.34	5.46	6169192.00
2004-05-05 15:30:00	:CTSH	5.50	5.65	5.49	5.61	4710264.00
2004-05-06 15:30:00	:CTSH	5.56	5.62	5.52	5.54	6490432.00
2004-05-07 15:30:00	:CTSH	5.52	5.54	5.34	5.35	12231768.00
2004-05-10 15:30:00	:CTSH	5.28	5.46	5.19	5.33	13038400.00
2004-05-11 15:30:00	:CTSH	5.36	5.46	5.30	5.35	5699624.00
2004-05-12 15:30:00	:CTSH	5.34	5.42	5.23	5.40	9230392.00
2004-05-13 15:30:00	:CTSH	5.38	5.59	5.29	5.49	7045552.00
2004-05-14 15:30:00	:CTSH	5.49	5.49	4.95	5.25	23322472.00
2004-05-17 15:30:00	:CTSH	4.93	5.18	4.90	5.09	20354592.00
2004-05-18 15:30:00	:CTSH	5.37	5.55	5.28	5.38	20782000.00
2004-05-19 15:30:00	:CTSH	5.38	5.58	5.33	5.36	8475320.00
2004-05-20 15:30:00	:CTSH	5.33	5.49	5.31	5.33	6512840.00
2004-05-21 15:30:00	:CTSH	5.38	5.42	5.32	5.40	3912960.00
2004-05-24 15:30:00	:CTSH	5.53	5.58	5.49	5.52	5843912.00
2004-05-25 15:30:00	:CTSH	5.53	5.71	5.43	5.71	8038952.00
2004-05-26 15:30:00	:CTSH	5.70	5.82	5.69	5.74	8262960.00
2004-05-27 15:30:00	:CTSH	5.76	5.79	5.63	5.69	2889872.00
2004-05-28 15:30:00	:CTSH	5.70	5.79	5.63	5.78	4796192.00
2004-06-01 15:30:00	:CTSH	5.71	5.91	5.69	5.77	7276736.00
2004-06-02 15:30:00	:CTSH	5.77	5.83	5.72	5.79	5283264.00
2004-06-03 15:30:00	:CTSH	5.79	5.79	5.50	5.53	9732816.00
2004-06-04 15:30:00	:CTSH	5.64	5.76	5.59	5.63	6969744.00
2004-06-07 15:30:00	:CTSH	5.66	5.76	5.65	5.74	3519568.00
2004-06-08 15:30:00	:CTSH	5.72	5.79	5.64	5.75	3192096.00
2004-06-09 15:30:00	:CTSH	5.70	5.77	5.67	5.68	3394640.00
2004-06-10 15:30:00	:CTSH	5.69	5.80	5.66	5.75	4003120.00
2004-06-14 15:30:00	:CTSH	5.72	5.85	5.72	5.79	6163024.00
2004-06-15 15:30:00	:CTSH	5.82	6.18	5.80	6.06	14271520.00
2004-06-16 15:30:00	:CTSH	6.09	6.20	6.08	6.17	7576608.00
2004-06-17 15:30:00	:CTSH	6.17	6.19	6.08	6.16	6705584.00
2004-06-18 15:30:00	:CTSH	6.08	6.25	6.05	6.13	7139864.00
2004-06-21 15:30:00	:CTSH	6.25	6.37	6.14	6.21	5793448.00
2004-06-22 15:30:00	:CTSH	6.30	6.35	6.12	6.15	5064008.00
2004-06-23 15:30:00	:CTSH	6.15	6.34	6.11	6.34	5063004.00
2004-06-24 15:30:00	:CTSH	6.38	6.45	6.28	6.32	5087032.00
2004-06-25 15:30:00	:CTSH	6.38	6.57	6.35	6.48	5505572.00
2004-06-28 15:30:00	:CTSH	6.61	6.66	6.46	6.58	7623600.00
2004-06-29 15:30:00	:CTSH	6.42	6.44	6.17	6.31	12567524.00
2004-06-30 15:30:00	:CTSH	6.27	6.37	6.25	6.35	4474876.00
2004-07-01 15:30:00	:CTSH	6.41	6.45	6.18	6.20	5117700.00
2004-07-02 15:30:00	:CTSH	6.18	6.26	6.13	6.19	2903632.00
2004-07-06 15:30:00	:CTSH	6.24	6.24	5.94	6.07	5495548.00
