datetime	symbol	open	high	low	close	volume
2019-05-24 15:30:00	:CTVA	29.75	32.00	28.50	29.00	43994.00
2019-05-28 15:30:00	:CTVA	29.25	30.50	28.51	28.77	61544.00
2019-05-29 15:30:00	:CTVA	29.90	29.90	27.66	28.50	207765.00
2019-05-30 15:30:00	:CTVA	28.99	29.16	28.22	28.80	666050.00
2019-05-31 15:30:00	:CTVA	28.50	28.59	26.97	26.97	853801.00
2019-06-03 15:30:00	:CTVA	26.54	27.00	24.37	24.81	19259630.00
2019-06-04 15:30:00	:CTVA	24.35	27.94	24.35	27.75	20135135.00
2019-06-05 15:30:00	:CTVA	27.54	28.22	26.46	28.01	10740207.00
2019-06-06 15:30:00	:CTVA	27.69	27.69	26.23	26.90	13986084.00
2019-06-07 15:30:00	:CTVA	26.17	26.93	25.71	26.31	10049260.00
2019-06-10 15:30:00	:CTVA	26.07	26.74	25.12	25.31	10247186.00
2019-06-11 15:30:00	:CTVA	25.01	25.36	24.53	24.95	11641364.00
2019-06-12 15:30:00	:CTVA	25.11	25.45	24.48	25.07	13392038.00
2019-06-13 15:30:00	:CTVA	25.06	25.19	24.70	24.97	9710759.00
2019-06-14 15:30:00	:CTVA	24.76	25.24	24.55	25.19	7036775.00
2019-06-17 15:30:00	:CTVA	25.53	26.90	25.45	25.95	13710322.00
2019-06-18 15:30:00	:CTVA	26.03	27.57	25.75	27.30	14485407.00
2019-06-19 15:30:00	:CTVA	27.48	27.48	26.87	27.15	10228757.00
2019-06-20 15:30:00	:CTVA	27.37	27.60	26.42	27.16	7727962.00
2019-06-21 15:30:00	:CTVA	26.87	27.71	26.87	27.21	12548904.00
2019-06-24 15:30:00	:CTVA	27.14	28.45	27.05	28.01	6495057.00
2019-06-25 15:30:00	:CTVA	28.02	28.09	27.48	27.67	6698570.00
2019-06-26 15:30:00	:CTVA	27.93	29.38	27.85	29.26	6735131.00
2019-06-27 15:30:00	:CTVA	29.38	30.33	29.26	29.57	5879610.00
2019-06-28 15:30:00	:CTVA	29.60	29.75	29.26	29.57	15517796.00
2019-07-01 15:30:00	:CTVA	29.58	30.75	28.95	29.68	5290363.00
2019-07-02 15:30:00	:CTVA	29.50	29.60	28.14	28.99	5438576.00
2019-07-03 15:30:00	:CTVA	28.78	28.90	28.20	28.80	2234906.00
2019-07-05 15:30:00	:CTVA	28.45	29.32	28.26	28.64	2888235.00
2019-07-08 15:30:00	:CTVA	28.39	28.39	27.64	27.77	3478698.00
2019-07-09 15:30:00	:CTVA	27.47	27.77	26.83	26.99	5286013.00
2019-07-10 15:30:00	:CTVA	26.81	27.00	26.44	26.50	5133693.00
2019-07-11 15:30:00	:CTVA	26.55	26.80	25.96	26.43	6066191.00
2019-07-12 15:30:00	:CTVA	26.42	27.73	26.26	27.60	5154558.00
2019-07-15 15:30:00	:CTVA	27.41	28.27	27.40	28.08	3443097.00
2019-07-16 15:30:00	:CTVA	27.93	28.50	27.71	27.86	3735879.00
2019-07-17 15:30:00	:CTVA	27.60	27.71	26.85	26.88	3999305.00
2019-07-18 15:30:00	:CTVA	26.58	26.98	26.41	26.65	3035241.00
2019-07-19 15:30:00	:CTVA	26.79	27.48	26.64	27.39	4694910.00
2019-07-22 15:30:00	:CTVA	27.34	27.85	27.21	27.76	2546126.00
2019-07-23 15:30:00	:CTVA	27.65	28.48	27.45	28.12	2921396.00
2019-07-24 15:30:00	:CTVA	27.77	28.52	27.63	28.32	2311843.00
2019-07-25 15:30:00	:CTVA	28.10	28.40	27.75	28.02	3532155.00
2019-07-26 15:30:00	:CTVA	27.72	28.52	27.65	28.48	3052703.00
2019-07-29 15:30:00	:CTVA	28.36	28.95	28.32	28.78	6245243.00
2019-07-30 15:30:00	:CTVA	28.00	29.29	27.80	29.13	7142273.00
2019-07-31 15:30:00	:CTVA	29.10	30.15	28.71	29.50	7662047.00
2019-08-01 15:30:00	:CTVA	29.50	32.78	29.45	31.25	11564155.00
2019-08-02 15:30:00	:CTVA	30.94	31.54	30.85	31.46	7305783.00
2019-08-05 15:30:00	:CTVA	30.63	30.97	29.64	29.90	5552538.00
2019-08-06 15:30:00	:CTVA	30.06	30.22	29.47	30.05	5355879.00
2019-08-07 15:30:00	:CTVA	29.58	30.83	29.43	30.64	4925218.00
2019-08-08 15:30:00	:CTVA	30.71	31.79	30.67	31.61	3962550.00
