datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:CVS	18.38	18.55	18.26	18.42	7351000.00
2004-04-08 15:30:00	:CVS	18.40	18.62	18.16	18.23	6644800.00
2004-04-12 15:30:00	:CVS	18.23	18.71	18.23	18.70	6054400.00
2004-04-13 15:30:00	:CVS	19.25	19.25	18.59	18.62	8129400.00
2004-04-14 15:30:00	:CVS	18.60	18.62	18.27	18.52	9222204.00
2004-04-15 15:30:00	:CVS	18.52	18.62	18.32	18.59	4354800.00
2004-04-16 15:30:00	:CVS	18.59	18.85	18.34	18.80	5444400.00
2004-04-19 15:30:00	:CVS	18.80	19.09	18.73	19.07	6633800.00
2004-04-20 15:30:00	:CVS	19.07	19.60	18.93	19.00	5655000.00
2004-04-21 15:30:00	:CVS	18.98	19.50	18.86	19.34	5986400.00
2004-04-22 15:30:00	:CVS	19.35	19.73	19.10	19.53	4356200.00
2004-04-23 15:30:00	:CVS	19.50	19.59	19.36	19.47	3254600.00
2004-04-26 15:30:00	:CVS	19.57	19.74	19.50	19.55	4024600.00
2004-04-27 15:30:00	:CVS	19.55	19.90	19.45	19.52	4945000.00
2004-04-28 15:30:00	:CVS	19.52	19.59	19.35	19.35	3429000.00
2004-04-29 15:30:00	:CVS	19.38	19.61	19.14	19.27	4653000.00
2004-04-30 15:30:00	:CVS	19.29	19.54	19.20	19.32	4011800.00
2004-05-03 15:30:00	:CVS	19.32	19.84	19.32	19.75	7311000.00
2004-05-04 15:30:00	:CVS	19.85	20.14	19.83	20.00	7359000.00
2004-05-05 15:30:00	:CVS	20.00	20.40	19.74	20.27	9460000.00
2004-05-06 15:30:00	:CVS	20.00	20.38	19.92	20.34	7658800.00
2004-05-07 15:30:00	:CVS	20.25	20.59	20.23	20.47	6908800.00
2004-05-10 15:30:00	:CVS	20.38	20.67	20.36	20.52	8316204.00
2004-05-11 15:30:00	:CVS	20.50	20.53	19.75	19.95	8311398.00
2004-05-12 15:30:00	:CVS	19.94	20.11	19.64	20.05	5296400.00
2004-05-13 15:30:00	:CVS	20.02	20.20	19.80	19.87	3552600.00
2004-05-14 15:30:00	:CVS	19.87	20.25	19.73	20.09	4072000.00
2004-05-17 15:30:00	:CVS	20.09	20.09	19.50	19.75	3897000.00
2004-05-18 15:30:00	:CVS	19.80	20.33	19.77	20.02	4539000.00
2004-05-19 15:30:00	:CVS	20.10	20.21	19.82	19.84	3832800.00
2004-05-20 15:30:00	:CVS	19.82	20.02	19.73	19.98	2582800.00
2004-05-21 15:30:00	:CVS	19.95	20.27	19.81	19.93	4943000.00
2004-05-24 15:30:00	:CVS	20.02	20.05	19.64	19.99	3938600.00
2004-05-25 15:30:00	:CVS	20.00	20.57	19.84	20.57	3350200.00
2004-05-26 15:30:00	:CVS	20.57	20.66	20.41	20.52	3429200.00
2004-05-27 15:30:00	:CVS	20.62	21.07	20.61	20.98	5182600.00
2004-05-28 15:30:00	:CVS	20.98	21.00	20.82	20.84	2969800.00
2004-06-01 15:30:00	:CVS	20.80	20.83	20.56	20.81	3408400.00
2004-06-02 15:30:00	:CVS	20.81	20.92	20.64	20.81	2996400.00
2004-06-03 15:30:00	:CVS	20.77	21.11	20.75	20.80	3171400.00
2004-06-04 15:30:00	:CVS	21.00	21.15	20.88	20.95	2343200.00
2004-06-07 15:30:00	:CVS	21.12	21.12	20.83	20.95	2998400.00
2004-06-08 15:30:00	:CVS	20.73	21.09	20.50	20.89	4645400.00
2004-06-09 15:30:00	:CVS	20.82	21.00	20.74	20.74	2415800.00
2004-06-10 15:30:00	:CVS	20.74	21.26	20.59	21.26	3226200.00
2004-06-14 15:30:00	:CVS	21.26	21.40	21.16	21.23	4876600.00
2004-06-15 15:30:00	:CVS	21.39	21.50	21.19	21.30	3031800.00
2004-06-16 15:30:00	:CVS	21.29	21.41	21.21	21.32	1970400.00
2004-06-17 15:30:00	:CVS	21.29	21.29	21.04	21.19	2519200.00
2004-06-18 15:30:00	:CVS	20.85	21.04	20.69	20.98	4797400.00
2004-06-21 15:30:00	:CVS	21.02	21.19	20.90	20.96	2494600.00
2004-06-22 15:30:00	:CVS	20.90	20.94	20.68	20.84	2505400.00
2004-06-23 15:30:00	:CVS	20.84	20.90	20.62	20.85	3646800.00
2004-06-24 15:30:00	:CVS	20.85	20.92	20.71	20.75	3503400.00
2004-06-25 15:30:00	:CVS	20.76	21.25	20.59	20.67	5899000.00
2004-06-28 15:30:00	:CVS	21.00	21.11	20.68	20.84	4036800.00
2004-06-29 15:30:00	:CVS	20.84	21.19	20.84	21.07	4562000.00
2004-06-30 15:30:00	:CVS	21.15	21.25	20.94	21.01	3747600.00
2004-07-01 15:30:00	:CVS	21.02	21.04	20.76	20.85	3248600.00
2004-07-02 15:30:00	:CVS	20.88	21.05	20.70	20.83	2259200.00
2004-07-06 15:30:00	:CVS	20.68	21.04	20.57	20.92	3115600.00
2004-07-07 15:30:00	:CVS	20.93	21.20	20.93	21.05	2725800.00
2004-07-08 15:30:00	:CVS	21.05	21.27	20.75	21.27	4038800.00
2004-07-09 15:30:00	:CVS	21.27	21.75	21.15	21.54	4610600.00
2004-07-12 15:30:00	:CVS	21.59	21.71	21.12	21.22	4859400.00
2004-07-13 15:30:00	:CVS	21.32	21.84	21.32	21.82	3951800.00
2004-07-14 15:30:00	:CVS	21.82	21.96	21.54	21.64	3098000.00
2004-07-15 15:30:00	:CVS	21.75	21.75	21.39	21.42	2020400.00
2004-07-16 15:30:00	:CVS	21.56	21.57	21.21	21.24	3468600.00
2004-07-19 15:30:00	:CVS	21.27	21.52	21.12	21.48	3035000.00
2004-07-20 15:30:00	:CVS	21.48	21.73	21.35	21.69	3867600.00
2004-07-21 15:30:00	:CVS	21.80	22.07	21.44	21.44	3586000.00
2004-07-22 15:30:00	:CVS	21.35	21.44	21.00	21.27	3339800.00
2004-07-23 15:30:00	:CVS	21.25	21.25	20.79	20.98	3228800.00
2004-07-26 15:30:00	:CVS	21.05	21.09	20.61	20.68	2744800.00
2004-07-27 15:30:00	:CVS	20.68	21.39	20.65	21.31	3928200.00
2004-07-28 15:30:00	:CVS	21.27	21.27	20.55	20.94	4604400.00
2004-07-29 15:30:00	:CVS	21.05	21.20	20.79	21.00	3631400.00
2004-07-30 15:30:00	:CVS	20.98	21.04	20.82	20.93	2362600.00
2004-08-02 15:30:00	:CVS	20.94	21.45	20.76	21.32	3322400.00
2004-08-03 15:30:00	:CVS	21.27	21.27	20.74	20.89	3018400.00
2004-08-04 15:30:00	:CVS	20.89	20.89	20.23	20.61	5397200.00
2004-08-05 15:30:00	:CVS	20.73	20.73	20.15	20.16	2762400.00
2004-08-06 15:30:00	:CVS	19.95	20.04	19.55	19.64	4241400.00
2004-08-09 15:30:00	:CVS	19.59	19.79	19.54	19.70	2288400.00
2004-08-10 15:30:00	:CVS	19.80	19.90	19.48	19.88	4169200.00
2004-08-11 15:30:00	:CVS	19.75	19.95	19.65	19.80	3124200.00
2004-08-12 15:30:00	:CVS	19.65	19.85	19.49	19.53	3068400.00
2004-08-13 15:30:00	:CVS	19.54	19.59	19.30	19.57	4533600.00
