datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:CVX	44.59	44.99	44.45	44.88	5356600.00
2004-04-08 15:30:00	:CVX	45.00	45.29	44.80	44.97	6016600.00
2004-04-12 15:30:00	:CVX	45.02	45.98	45.02	45.73	5520800.00
2004-04-13 15:30:00	:CVX	45.75	46.05	45.38	45.38	11384204.00
2004-04-14 15:30:00	:CVX	45.18	45.82	45.16	45.50	6707600.00
2004-04-15 15:30:00	:CVX	45.52	46.02	45.35	45.75	5013600.00
2004-04-16 15:30:00	:CVX	46.15	46.15	45.55	45.87	5050400.00
2004-04-19 15:30:00	:CVX	45.87	46.23	45.80	45.94	4925000.00
2004-04-20 15:30:00	:CVX	45.55	45.86	45.01	45.01	6162000.00
2004-04-21 15:30:00	:CVX	44.95	45.13	44.55	44.94	6093600.00
2004-04-22 15:30:00	:CVX	44.80	45.93	44.80	45.90	5308800.00
2004-04-23 15:30:00	:CVX	45.91	45.91	45.46	45.84	5140800.00
2004-04-26 15:30:00	:CVX	45.98	46.45	45.98	46.12	5662200.00
2004-04-27 15:30:00	:CVX	46.15	47.08	46.15	46.45	6423800.00
2004-04-28 15:30:00	:CVX	46.52	46.62	45.82	45.87	5644400.00
2004-04-29 15:30:00	:CVX	45.80	45.99	44.89	45.18	6123200.00
2004-04-30 15:30:00	:CVX	45.70	46.30	45.67	45.75	7969600.00
2004-05-03 15:30:00	:CVX	45.80	46.82	45.70	46.59	6461800.00
2004-05-04 15:30:00	:CVX	46.68	47.14	46.47	46.54	6945600.00
2004-05-05 15:30:00	:CVX	46.35	47.32	46.26	47.20	7227000.00
2004-05-06 15:30:00	:CVX	47.10	47.24	46.41	46.76	5419600.00
2004-05-07 15:30:00	:CVX	46.44	46.65	45.80	45.82	5225800.00
2004-05-10 15:30:00	:CVX	45.25	45.38	44.01	44.59	8857602.00
2004-05-11 15:30:00	:CVX	44.59	45.50	44.59	45.48	6580200.00
2004-05-12 15:30:00	:CVX	45.35	46.04	45.31	45.91	8284204.00
2004-05-13 15:30:00	:CVX	45.77	46.33	45.73	45.94	7424600.00
2004-05-14 15:30:00	:CVX	45.98	46.70	45.98	46.34	7829200.00
2004-05-17 15:30:00	:CVX	46.02	46.32	45.57	45.77	6864000.00
2004-05-18 15:30:00	:CVX	45.77	45.77	44.83	45.09	6067800.00
2004-05-19 15:30:00	:CVX	45.21	45.49	44.75	44.95	7408800.00
2004-05-20 15:30:00	:CVX	44.91	45.23	44.75	44.75	4789800.00
2004-05-21 15:30:00	:CVX	45.00	45.22	44.57	44.80	6480000.00
2004-05-24 15:30:00	:CVX	44.95	45.20	44.40	45.09	7448200.00
2004-05-25 15:30:00	:CVX	45.55	46.07	45.50	45.84	7541600.00
2004-05-26 15:30:00	:CVX	45.84	46.00	45.48	45.49	7356200.00
2004-05-27 15:30:00	:CVX	45.52	45.56	45.01	45.11	6381600.00
2004-05-28 15:30:00	:CVX	45.00	45.39	44.88	45.20	4662000.00
2004-06-01 15:30:00	:CVX	45.41	45.87	45.41	45.65	7680200.00
2004-06-02 15:30:00	:CVX	45.85	45.95	45.68	45.69	7268000.00
2004-06-03 15:30:00	:CVX	45.70	45.87	45.30	45.47	5605000.00
2004-06-04 15:30:00	:CVX	45.45	45.52	44.98	45.10	5209600.00
2004-06-07 15:30:00	:CVX	45.30	46.08	45.27	46.08	4715000.00
2004-06-08 15:30:00	:CVX	46.25	46.27	45.32	45.57	8511204.00
2004-06-09 15:30:00	:CVX	45.30	45.32	44.77	45.00	8362000.00
2004-06-10 15:30:00	:CVX	45.27	45.64	45.08	45.39	6607600.00
2004-06-14 15:30:00	:CVX	45.05	45.14	44.88	45.00	6121200.00
2004-06-15 15:30:00	:CVX	45.16	45.59	45.12	45.30	6954200.00
2004-06-16 15:30:00	:CVX	45.65	46.17	45.65	46.00	6133200.00
2004-06-17 15:30:00	:CVX	46.10	46.47	46.06	46.39	5142800.00
2004-06-18 15:30:00	:CVX	46.40	46.84	46.38	46.71	7791400.00
2004-06-21 15:30:00	:CVX	46.68	46.94	46.38	46.65	5152800.00
2004-06-22 15:30:00	:CVX	46.50	47.04	46.36	46.91	5413400.00
2004-06-23 15:30:00	:CVX	46.99	47.50	46.93	47.44	5801200.00
2004-06-24 15:30:00	:CVX	47.35	47.49	47.20	47.20	5044600.00
2004-06-25 15:30:00	:CVX	47.20	47.38	46.70	46.70	7174000.00
2004-06-28 15:30:00	:CVX	46.82	46.90	46.25	46.41	5697200.00
2004-06-29 15:30:00	:CVX	46.32	46.82	46.30	46.72	4717400.00
2004-06-30 15:30:00	:CVX	46.73	47.09	46.52	47.05	7178800.00
2004-07-01 15:30:00	:CVX	47.02	47.19	46.38	46.73	6522200.00
2004-07-02 15:30:00	:CVX	46.73	47.27	46.46	46.62	5270000.00
2004-07-06 15:30:00	:CVX	46.70	47.00	46.57	46.70	6902000.00
2004-07-07 15:30:00	:CVX	46.68	46.72	46.44	46.72	5749000.00
