datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:C	524.20	524.20	515.30	517.10	983480.00
2004-04-08 15:30:00	:C	521.80	521.90	513.20	515.30	825689.00
2004-04-12 15:30:00	:C	519.20	521.30	517.70	520.60	705260.00
2004-04-13 15:30:00	:C	520.70	521.10	509.10	512.00	1530960.00
2004-04-14 15:30:00	:C	507.00	512.00	500.50	509.50	1491760.00
2004-04-15 15:30:00	:C	503.00	508.00	494.50	499.20	2622080.00
2004-04-16 15:30:00	:C	501.90	504.10	499.60	501.00	1762880.00
2004-04-19 15:30:00	:C	500.00	501.40	497.10	499.80	979119.00
2004-04-20 15:30:00	:C	499.80	501.80	492.00	492.10	1281339.00
2004-04-21 15:30:00	:C	491.00	495.00	489.60	491.40	1252289.00
2004-04-22 15:30:00	:C	493.50	499.00	490.30	496.60	1458760.00
2004-04-23 15:30:00	:C	494.60	494.90	488.70	491.80	1175600.00
2004-04-26 15:30:00	:C	491.50	494.10	488.40	489.90	971369.00
2004-04-27 15:30:00	:C	490.00	494.70	489.00	489.60	1370039.00
2004-04-28 15:30:00	:C	487.60	488.70	483.40	484.30	1790720.00
2004-04-29 15:30:00	:C	485.00	490.50	478.50	481.70	1722049.00
2004-04-30 15:30:00	:C	481.70	484.90	479.50	480.90	1185660.00
2004-05-03 15:30:00	:C	481.00	486.80	480.90	485.60	1227569.00
2004-05-04 15:30:00	:C	486.50	491.80	484.00	488.40	1342810.00
2004-05-05 15:30:00	:C	488.40	491.70	484.00	486.30	1104219.00
2004-05-06 15:30:00	:C	483.50	483.70	473.10	475.10	1594719.00
2004-05-07 15:30:00	:C	472.60	476.90	464.70	467.20	2064800.00
2004-05-10 15:30:00	:C	457.50	457.50	449.70	454.10	2983200.00
2004-05-11 15:30:00	:C	457.00	458.50	452.90	456.90	1511039.00
2004-05-12 15:30:00	:C	456.90	463.40	448.30	463.10	1635410.00
2004-05-13 15:30:00	:C	460.60	467.00	457.30	459.60	1357619.00
2004-05-14 15:30:00	:C	459.70	462.70	454.70	456.50	1164230.00
2004-05-17 15:30:00	:C	450.20	453.00	448.30	448.60	1577780.00
2004-05-18 15:30:00	:C	451.90	454.20	449.60	451.50	1229430.00
2004-05-19 15:30:00	:C	456.30	459.40	450.00	450.00	1679280.00
2004-05-20 15:30:00	:C	450.50	455.70	450.40	452.80	1080519.00
2004-05-21 15:30:00	:C	453.00	458.40	450.10	453.40	1914590.00
2004-05-24 15:30:00	:C	457.60	458.20	452.70	453.80	855219.00
2004-05-25 15:30:00	:C	455.20	466.10	451.70	465.00	1307789.00
2004-05-26 15:30:00	:C	465.00	467.00	460.70	465.40	1031519.00
2004-05-27 15:30:00	:C	469.00	469.70	461.00	465.20	1185430.00
2004-05-28 15:30:00	:C	466.90	467.00	462.10	464.30	993900.00
2004-06-01 15:30:00	:C	464.60	468.30	460.60	467.70	1128500.00
2004-06-02 15:30:00	:C	470.80	472.80	462.20	470.30	1316569.00
2004-06-03 15:30:00	:C	475.00	475.00	463.60	463.60	1008380.00
2004-06-04 15:30:00	:C	468.90	470.00	464.50	465.50	1032300.00
2004-06-07 15:30:00	:C	469.40	476.00	468.30	475.30	1274010.00
2004-06-08 15:30:00	:C	474.00	476.00	472.80	476.00	916160.00
2004-06-09 15:30:00	:C	475.50	475.90	470.50	470.50	816230.00
2004-06-10 15:30:00	:C	471.00	473.90	469.80	473.50	678930.00
2004-06-14 15:30:00	:C	469.60	472.00	465.20	467.40	1261469.00
2004-06-15 15:30:00	:C	472.00	473.60	468.20	470.20	1227400.00
2004-06-16 15:30:00	:C	471.00	473.20	468.50	470.20	669839.00
2004-06-17 15:30:00	:C	469.20	472.00	467.70	470.80	641239.00
2004-06-18 15:30:00	:C	472.30	475.90	471.70	475.00	1367750.00
2004-06-21 15:30:00	:C	474.20	476.20	471.00	471.80	853250.00
2004-06-22 15:30:00	:C	470.00	472.50	465.50	469.90	1050550.00
2004-06-23 15:30:00	:C	469.80	473.10	466.60	472.40	1130660.00
2004-06-24 15:30:00	:C	473.30	475.70	471.00	471.20	1304919.00
2004-06-25 15:30:00	:C	472.40	475.30	467.30	468.00	1276969.00
2004-06-28 15:30:00	:C	470.00	471.00	464.70	465.20	1138419.00
2004-06-29 15:30:00	:C	462.40	465.30	461.10	463.30	1234389.00
2004-06-30 15:30:00	:C	463.50	468.70	461.80	465.00	1490519.00
2004-07-01 15:30:00	:C	465.00	467.50	457.90	460.30	1488580.00
2004-07-02 15:30:00	:C	460.50	461.10	456.70	457.60	1068639.00
2004-07-06 15:30:00	:C	456.70	458.00	451.50	454.50	1175300.00
2004-07-07 15:30:00	:C	452.30	457.90	452.30	456.30	915489.00
2004-07-08 15:30:00	:C	456.50	457.60	450.20	451.70	1186250.00
2004-07-09 15:30:00	:C	452.40	454.20	449.40	450.30	1203010.00
2004-07-12 15:30:00	:C	450.00	452.38	448.60	449.00	1313650.00
2004-07-13 15:30:00	:C	449.10	453.70	448.20	453.00	1153660.00
2004-07-14 15:30:00	:C	453.00	456.20	448.90	451.00	1353400.00
2004-07-15 15:30:00	:C	451.00	454.00	436.20	442.10	2861060.00
2004-07-16 15:30:00	:C	443.70	444.20	435.80	436.20	1836580.00
2004-07-19 15:30:00	:C	438.00	443.50	437.00	439.90	1400550.00
2004-07-20 15:30:00	:C	438.80	441.10	436.30	440.50	1480980.00
2004-07-21 15:30:00	:C	443.50	447.70	439.00	439.40	1549160.00
2004-07-22 15:30:00	:C	439.40	447.70	437.00	446.00	1520469.00
2004-07-23 15:30:00	:C	446.00	447.29	438.00	443.10	1270910.00
2004-07-26 15:30:00	:C	443.30	444.20	435.50	438.10	1248150.00
2004-07-27 15:30:00	:C	441.00	442.00	436.50	439.00	1372560.00
2004-07-28 15:30:00	:C	438.20	442.40	436.70	441.10	1750310.00
2004-07-29 15:30:00	:C	441.70	445.00	440.00	442.80	1297219.00
2004-07-30 15:30:00	:C	441.10	443.00	438.20	440.90	1057019.00
2004-08-02 15:30:00	:C	431.70	446.40	431.70	443.20	1586780.00
2004-08-03 15:30:00	:C	443.20	447.40	439.60	440.40	1054880.00
2004-08-04 15:30:00	:C	440.00	445.90	438.10	444.00	986339.00
2004-08-05 15:30:00	:C	444.00	444.90	437.70	438.30	910300.00
2004-08-06 15:30:00	:C	436.10	439.30	429.90	431.90	1550580.00
2004-08-09 15:30:00	:C	432.50	437.50	432.50	434.70	1058489.00
2004-08-10 15:30:00	:C	437.30	441.80	436.10	441.80	939350.00
2004-08-11 15:30:00	:C	441.50	444.20	438.70	443.50	885069.00
2004-08-12 15:30:00	:C	443.50	445.30	438.20	439.00	971600.00
2004-08-13 15:30:00	:C	440.30	442.80	438.00	440.10	749500.00
2004-08-16 15:30:00	:C	440.20	448.40	440.10	447.70	1002660.00
2004-08-17 15:30:00	:C	449.50	452.40	448.80	451.60	1029519.00
2004-08-18 15:30:00	:C	451.60	456.50	450.50	456.40	1160930.00
2004-08-19 15:30:00	:C	454.10	455.50	451.20	454.60	812069.00
2004-08-20 15:30:00	:C	454.60	460.40	452.80	459.50	951050.00
2004-08-23 15:30:00	:C	459.00	460.10	454.80	458.20	1115410.00
2004-08-24 15:30:00	:C	461.00	461.80	457.30	459.20	761410.00
2004-08-25 15:30:00	:C	460.30	463.90	458.50	463.00	965830.00
2004-08-26 15:30:00	:C	463.00	465.70	460.90	464.60	859050.00
2004-08-27 15:30:00	:C	464.60	468.10	462.30	467.20	754219.00
2004-08-30 15:30:00	:C	467.20	467.30	464.10	464.10	708850.00
2004-08-31 15:30:00	:C	465.60	466.30	461.70	465.80	917319.00
2004-09-01 15:30:00	:C	465.70	468.00	462.00	464.50	923510.00
2004-09-02 15:30:00	:C	465.70	471.70	463.00	469.90	883750.00
2004-09-03 15:30:00	:C	470.00	473.40	468.40	468.40	790919.00
2004-09-07 15:30:00	:C	471.50	474.60	469.00	472.10	1048550.00
2004-09-08 15:30:00	:C	472.00	472.80	467.60	468.20	1119900.00
2004-09-09 15:30:00	:C	470.20	471.80	467.00	469.50	950339.00
2004-09-10 15:30:00	:C	468.50	473.70	467.60	472.40	727930.00
2004-09-13 15:30:00	:C	472.10	473.30	468.30	470.00	892210.00
2004-09-14 15:30:00	:C	470.00	474.10	469.00	471.90	834410.00
2004-09-15 15:30:00	:C	470.70	472.60	469.10	469.80	713630.00
2004-09-16 15:30:00	:C	469.80	474.70	469.00	471.80	825439.00
2004-09-17 15:30:00	:C	472.80	472.90	467.60	469.50	1735489.00
2004-09-20 15:30:00	:C	460.60	462.50	452.60	454.00	2544120.00
2004-09-21 15:30:00	:C	455.30	458.60	450.80	456.50	1802270.00
2004-09-22 15:30:00	:C	454.10	454.10	443.80	443.80	2187139.00
2004-09-23 15:30:00	:C	443.00	444.60	438.60	438.80	1520050.00
2004-09-24 15:30:00	:C	439.80	442.10	436.20	441.50	1875089.00
2004-09-27 15:30:00	:C	440.30	441.10	435.40	436.10	1753280.00
2004-09-28 15:30:00	:C	437.00	443.30	436.10	443.10	1725649.00
2004-09-29 15:30:00	:C	439.30	447.00	439.20	447.00	1547169.00
2004-09-30 15:30:00	:C	445.20	446.50	440.00	441.20	1651400.00
2004-10-01 15:30:00	:C	444.70	449.10	442.50	448.70	1363789.00
2004-10-04 15:30:00	:C	450.00	451.20	445.30	447.30	1512400.00
2004-10-05 15:30:00	:C	447.20	449.30	443.20	445.20	1264000.00
2004-10-06 15:30:00	:C	445.00	447.40	442.30	447.40	1187100.00
2004-10-07 15:30:00	:C	447.80	451.00	446.70	447.60	1068780.00
2004-10-08 15:30:00	:C	447.60	451.80	443.00	445.60	1081869.00
2004-10-11 15:30:00	:C	446.10	449.80	446.10	448.60	787900.00
2004-10-12 15:30:00	:C	445.00	450.40	445.00	448.00	1208510.00
2004-10-13 15:30:00	:C	450.50	451.10	440.20	441.10	1365889.00
2004-10-14 15:30:00	:C	442.40	443.40	432.60	437.00	1980209.00
2004-10-15 15:30:00	:C	442.60	443.90	438.40	439.40	1559539.00
2004-10-18 15:30:00	:C	436.20	443.50	436.20	442.20	1077239.00
2004-10-19 15:30:00	:C	443.00	446.00	435.90	435.90	1544500.00
2004-10-20 15:30:00	:C	435.10	435.20	427.60	432.90	1882520.00
2004-10-21 15:30:00	:C	434.40	435.30	428.00	429.50	1600219.00
2004-10-22 15:30:00	:C	428.90	431.00	425.00	425.60	1319389.00
2004-10-25 15:30:00	:C	425.50	426.50	421.00	425.80	1629269.00
2004-10-26 15:30:00	:C	427.90	433.90	427.50	433.40	1705800.00
2004-10-27 15:30:00	:C	433.50	440.00	430.80	439.50	1761910.00
2004-10-28 15:30:00	:C	436.50	444.60	435.10	442.60	1505419.00
2004-10-29 15:30:00	:C	444.00	445.60	441.40	443.70	1299339.00
2004-11-01 15:30:00	:C	444.50	446.00	442.10	443.10	1347589.00
2004-11-02 15:30:00	:C	443.10	449.90	443.10	449.00	1642360.00
2004-11-03 15:30:00	:C	456.10	456.50	450.80	452.90	1538939.00
2004-11-04 15:30:00	:C	453.10	461.20	451.00	460.90	1412110.00
2004-11-05 15:30:00	:C	462.80	464.70	457.20	461.30	1646300.00
2004-11-08 15:30:00	:C	461.30	462.90	459.40	462.50	1121569.00
2004-11-09 15:30:00	:C	462.50	465.70	460.70	462.10	1090280.00
2004-11-10 15:30:00	:C	461.50	462.80	458.50	460.50	1121810.00
2004-11-11 15:30:00	:C	462.00	463.90	459.10	462.60	1108410.00
2004-11-12 15:30:00	:C	462.00	470.90	462.00	470.70	1632250.00
2004-11-15 15:30:00	:C	470.00	471.00	465.50	466.70	1379269.00
2004-11-16 15:30:00	:C	461.70	464.50	459.00	460.50	1766139.00
2004-11-17 15:30:00	:C	461.80	466.10	460.00	461.80	1980000.00
2004-11-18 15:30:00	:C	462.00	462.90	459.10	459.10	1612750.00
2004-11-19 15:30:00	:C	460.70	460.70	450.30	451.50	2329000.00
2004-11-22 15:30:00	:C	452.50	454.80	450.30	451.70	1490139.00
2004-11-23 15:30:00	:C	453.00	453.70	449.40	452.10	1482610.00
2004-11-24 15:30:00	:C	454.50	456.00	453.10	455.20	1122960.00
2004-11-26 15:30:00	:C	455.50	455.80	454.00	454.20	532100.00
2004-11-29 15:30:00	:C	454.30	455.80	448.50	449.60	1553360.00
2004-11-30 15:30:00	:C	449.70	450.20	446.00	447.50	1486460.00
2004-12-01 15:30:00	:C	450.30	459.90	449.30	459.40	1538939.00
2004-12-02 15:30:00	:C	457.50	462.00	456.50	457.60	1367250.00
2004-12-03 15:30:00	:C	455.20	459.60	454.80	456.50	1517510.00
2004-12-06 15:30:00	:C	456.60	462.80	455.50	461.70	1418900.00
2004-12-07 15:30:00	:C	463.50	464.90	460.00	460.00	1361550.00
2004-12-08 15:30:00	:C	462.10	463.30	459.00	462.90	1361460.00
