datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:DGX	41.57	41.80	41.39	41.75	470600.00
2004-04-08 15:30:00	:DGX	41.88	41.95	41.57	41.77	491000.00
2004-04-12 15:30:00	:DGX	41.89	42.15	41.78	42.05	1011200.00
2004-04-13 15:30:00	:DGX	42.30	42.48	41.89	41.98	1256800.00
2004-04-14 15:30:00	:DGX	41.76	42.26	41.38	41.69	875800.00
2004-04-15 15:30:00	:DGX	41.60	41.70	40.62	41.00	1622200.00
2004-04-16 15:30:00	:DGX	41.00	41.30	40.50	41.09	1081800.00
2004-04-19 15:30:00	:DGX	41.00	41.15	40.77	40.88	912200.00
2004-04-20 15:30:00	:DGX	40.90	41.62	40.82	41.00	984200.00
2004-04-21 15:30:00	:DGX	41.00	41.57	40.82	41.18	1640400.00
2004-04-22 15:30:00	:DGX	42.25	42.38	41.50	42.30	3143600.00
2004-04-23 15:30:00	:DGX	42.37	43.25	42.11	43.07	1738400.00
2004-04-26 15:30:00	:DGX	43.00	43.34	42.48	42.51	1496400.00
2004-04-27 15:30:00	:DGX	42.12	42.76	42.12	42.34	1225400.00
2004-04-28 15:30:00	:DGX	42.23	42.77	42.23	42.62	1110800.00
2004-04-29 15:30:00	:DGX	42.62	42.75	42.00	42.18	988200.00
2004-04-30 15:30:00	:DGX	42.18	42.32	41.95	42.18	1027800.00
2004-05-03 15:30:00	:DGX	42.13	43.05	42.12	42.97	1268000.00
2004-05-04 15:30:00	:DGX	42.68	42.93	42.32	42.58	1104000.00
2004-05-05 15:30:00	:DGX	42.55	43.40	42.51	43.21	1210400.00
2004-05-06 15:30:00	:DGX	43.00	43.28	42.55	43.00	1680400.00
2004-05-07 15:30:00	:DGX	43.00	43.12	42.00	42.07	1241400.00
2004-05-10 15:30:00	:DGX	41.90	42.23	41.15	41.42	1504000.00
2004-05-11 15:30:00	:DGX	41.38	41.79	41.29	41.77	1122600.00
2004-05-12 15:30:00	:DGX	41.88	41.93	40.45	41.24	1775200.00
2004-05-13 15:30:00	:DGX	41.19	41.67	41.19	41.41	1154200.00
2004-05-14 15:30:00	:DGX	41.25	41.64	41.04	41.37	802200.00
2004-05-17 15:30:00	:DGX	41.01	41.34	40.65	41.05	938400.00
2004-05-18 15:30:00	:DGX	41.04	41.25	40.88	41.09	718400.00
2004-05-19 15:30:00	:DGX	41.12	41.30	40.80	40.88	1213000.00
2004-05-20 15:30:00	:DGX	40.88	41.07	40.65	40.98	1550200.00
2004-05-21 15:30:00	:DGX	41.15	41.50	41.05	41.20	1233200.00
2004-05-24 15:30:00	:DGX	41.35	41.71	41.20	41.56	1330600.00
2004-05-25 15:30:00	:DGX	41.61	42.59	41.50	42.49	1878800.00
