datetime	symbol	open	high	low	close	volume
2009-11-13 15:30:00	:DG	22.00	23.10	21.75	22.73	22079120.00
2009-11-16 15:30:00	:DG	22.90	23.10	22.13	23.10	2079999.00
2009-11-17 15:30:00	:DG	23.03	23.17	22.50	23.04	1328008.00
2009-11-18 15:30:00	:DG	23.00	23.02	22.50	22.55	918213.00
2009-11-19 15:30:00	:DG	22.27	23.14	22.27	22.87	1031588.00
2009-11-20 15:30:00	:DG	22.50	23.33	22.50	23.21	1080890.00
2009-11-23 15:30:00	:DG	23.70	23.98	23.18	23.40	741004.00
2009-11-24 15:30:00	:DG	23.60	23.65	23.25	23.50	633092.00
2009-11-25 15:30:00	:DG	23.00	23.80	22.99	23.74	362503.00
2009-11-27 15:30:00	:DG	22.74	23.30	22.74	23.15	142948.00
2009-11-30 15:30:00	:DG	23.12	23.12	22.62	23.00	852994.00
2009-12-01 15:30:00	:DG	23.44	23.57	23.00	23.31	803467.00
2009-12-02 15:30:00	:DG	23.29	23.75	23.25	23.60	571241.00
2009-12-03 15:30:00	:DG	23.82	23.82	23.00	23.31	409981.00
2009-12-04 15:30:00	:DG	23.47	23.98	23.30	23.85	318029.00
2009-12-07 15:30:00	:DG	23.77	23.77	23.28	23.63	271484.00
2009-12-08 15:30:00	:DG	23.50	23.75	23.00	23.63	652830.00
2009-12-09 15:30:00	:DG	23.63	24.12	23.50	24.00	609321.00
2009-12-10 15:30:00	:DG	24.77	24.77	23.39	23.70	848336.00
2009-12-11 15:30:00	:DG	23.60	23.74	23.11	23.34	600254.00
2009-12-14 15:30:00	:DG	23.29	23.33	22.75	22.80	489059.00
2009-12-15 15:30:00	:DG	22.80	22.89	22.52	22.69	700010.00
2009-12-16 15:30:00	:DG	22.84	23.05	22.55	22.73	585402.00
2009-12-17 15:30:00	:DG	22.75	22.75	22.08	22.44	633912.00
2009-12-18 15:30:00	:DG	22.61	22.61	22.11	22.57	2105021.00
2009-12-21 15:30:00	:DG	22.50	22.61	22.17	22.60	536379.00
2009-12-22 15:30:00	:DG	22.58	22.61	22.30	22.40	766036.00
2009-12-23 15:30:00	:DG	23.22	23.25	22.40	22.41	1103650.00
2009-12-24 15:30:00	:DG	22.46	22.60	22.10	22.15	254211.00
2009-12-28 15:30:00	:DG	22.15	22.68	22.15	22.62	804430.00
2009-12-29 15:30:00	:DG	22.69	22.80	22.53	22.61	123419.00
2009-12-30 15:30:00	:DG	22.52	22.80	22.52	22.61	173289.00
2009-12-31 15:30:00	:DG	22.80	22.84	22.38	22.43	156622.00
2010-01-04 15:30:00	:DG	22.55	23.40	22.40	23.08	437154.00
