datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:DHI	24.64	24.64	24.13	24.29	1669200.00
2004-04-08 15:30:00	:DHI	24.75	24.75	23.39	23.94	2020666.00
2004-04-12 15:30:00	:DHI	23.95	24.04	23.29	23.48	2970933.00
2004-04-13 15:30:00	:DHI	23.48	23.52	22.42	22.92	3825600.00
2004-04-14 15:30:00	:DHI	22.46	23.25	22.22	23.18	3471600.00
2004-04-15 15:30:00	:DHI	23.81	23.92	23.30	23.49	4177866.00
2004-04-16 15:30:00	:DHI	24.00	24.11	23.56	23.83	2358400.00
2004-04-19 15:30:00	:DHI	23.92	23.92	23.40	23.79	2180133.00
2004-04-20 15:30:00	:DHI	23.70	23.70	22.64	22.66	3855600.00
2004-04-21 15:30:00	:DHI	23.26	23.26	22.53	22.95	3055333.00
2004-04-22 15:30:00	:DHI	23.50	23.82	23.19	23.76	3584933.00
2004-04-23 15:30:00	:DHI	23.70	23.70	22.99	23.00	2101200.00
2004-04-26 15:30:00	:DHI	22.93	23.33	22.88	22.90	2288266.00
2004-04-27 15:30:00	:DHI	22.88	23.25	22.87	23.08	3928933.00
2004-04-28 15:30:00	:DHI	22.95	23.08	22.02	22.27	2182933.00
2004-04-29 15:30:00	:DHI	22.16	22.50	21.20	21.60	2982800.00
2004-04-30 15:30:00	:DHI	21.60	21.91	21.52	21.60	1966800.00
2004-05-03 15:30:00	:DHI	21.71	22.04	21.29	21.86	2218933.00
2004-05-04 15:30:00	:DHI	21.86	22.19	21.53	21.63	2161333.00
2004-05-05 15:30:00	:DHI	21.75	21.89	21.57	21.80	1462400.00
2004-05-06 15:30:00	:DHI	21.64	21.77	21.02	21.25	2282133.00
2004-05-07 15:30:00	:DHI	20.86	20.96	19.82	20.20	4391066.00
2004-05-10 15:30:00	:DHI	19.50	20.00	18.94	19.18	5803333.00
2004-05-11 15:30:00	:DHI	18.47	19.73	18.47	19.55	4250400.00
2004-05-12 15:30:00	:DHI	19.20	19.65	18.86	19.62	3854400.00
2004-05-13 15:30:00	:DHI	19.46	19.90	19.20	19.82	2724533.00
2004-05-14 15:30:00	:DHI	19.85	20.17	19.82	20.08	2261466.00
2004-05-17 15:30:00	:DHI	19.85	20.24	19.63	19.93	2628000.00
2004-05-18 15:30:00	:DHI	19.93	20.17	19.65	20.02	1708666.00
2004-05-19 15:30:00	:DHI	20.02	20.14	19.42	19.45	2440266.00
2004-05-20 15:30:00	:DHI	19.58	19.68	19.07	19.27	3369333.00
2004-05-21 15:30:00	:DHI	19.31	19.85	19.31	19.61	2105200.00
2004-05-24 15:30:00	:DHI	19.99	20.52	19.73	20.48	2445466.00
2004-05-25 15:30:00	:DHI	20.48	21.82	20.17	21.79	4150133.00
2004-05-26 15:30:00	:DHI	21.67	22.05	21.11	21.45	3468666.00
2004-05-27 15:30:00	:DHI	21.56	22.09	21.48	21.94	2162800.00
2004-05-28 15:30:00	:DHI	22.03	22.28	21.58	21.67	4989066.00
2004-06-01 15:30:00	:DHI	21.72	21.88	21.21	21.64	2255066.00
2004-06-02 15:30:00	:DHI	21.90	21.98	21.40	21.71	1793466.00
2004-06-03 15:30:00	:DHI	21.60	21.67	21.16	21.16	1597066.00
2004-06-04 15:30:00	:DHI	21.72	21.72	21.08	21.48	1579466.00
2004-06-07 15:30:00	:DHI	21.98	22.76	21.56	22.70	2719200.00
2004-06-08 15:30:00	:DHI	22.39	22.39	21.75	21.96	2524133.00
2004-06-09 15:30:00	:DHI	21.96	21.96	21.24	21.25	2765066.00
2004-06-10 15:30:00	:DHI	21.50	21.60	21.11	21.20	1535466.00
2004-06-14 15:30:00	:DHI	21.21	21.50	20.55	20.73	2174800.00
2004-06-15 15:30:00	:DHI	21.30	21.38	20.95	21.09	2409066.00
2004-06-16 15:30:00	:DHI	21.09	21.38	20.56	20.68	3200400.00
2004-06-17 15:30:00	:DHI	20.77	21.04	20.64	20.92	1708400.00
2004-06-18 15:30:00	:DHI	20.92	21.21	20.84	20.96	1741733.00
2004-06-21 15:30:00	:DHI	20.99	21.23	20.85	20.85	1446533.00
