datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:DLTR	10.29	10.29	9.98	10.17	2723338.00
2004-04-08 15:30:00	:DLTR	10.21	10.23	9.69	9.78	5550106.00
2004-04-12 15:30:00	:DLTR	9.78	10.05	9.76	9.91	3703274.00
2004-04-13 15:30:00	:DLTR	10.00	10.03	9.56	9.68	3517722.00
2004-04-14 15:30:00	:DLTR	9.73	9.80	9.59	9.65	2484080.00
2004-04-15 15:30:00	:DLTR	9.67	9.84	9.62	9.75	2722936.00
2004-04-16 15:30:00	:DLTR	9.71	10.00	9.70	9.87	2958518.00
2004-04-19 15:30:00	:DLTR	9.87	10.00	9.76	9.99	3407928.00
2004-04-20 15:30:00	:DLTR	9.89	10.05	9.82	9.85	6868996.00
2004-04-21 15:30:00	:DLTR	9.93	9.93	9.57	9.68	6733888.00
2004-04-22 15:30:00	:DLTR	9.65	9.84	9.52	9.77	4555440.00
2004-04-23 15:30:00	:DLTR	9.68	9.81	9.61	9.78	2013172.00
2004-04-26 15:30:00	:DLTR	9.79	9.85	9.45	9.50	4490122.00
2004-04-27 15:30:00	:DLTR	9.55	9.62	9.25	9.37	8113072.00
2004-04-28 15:30:00	:DLTR	9.36	9.40	9.21	9.24	3793964.00
2004-04-29 15:30:00	:DLTR	9.29	9.34	9.01	9.05	3131608.00
2004-04-30 15:30:00	:DLTR	9.09	9.12	8.94	8.99	3863956.00
2004-05-03 15:30:00	:DLTR	9.07	9.28	8.92	9.18	5135374.00
2004-05-04 15:30:00	:DLTR	9.14	9.48	9.13	9.43	5595662.00
2004-05-05 15:30:00	:DLTR	9.42	9.54	9.39	9.47	5997188.00
2004-05-06 15:30:00	:DLTR	8.90	8.95	8.59	8.68	24487658.00
2004-05-07 15:30:00	:DLTR	8.58	8.70	8.39	8.41	6496584.00
2004-05-10 15:30:00	:DLTR	8.38	8.49	8.26	8.42	6110012.00
2004-05-11 15:30:00	:DLTR	8.53	8.63	8.41	8.47	5182708.00
2004-05-12 15:30:00	:DLTR	8.45	8.52	8.19	8.51	6935862.00
2004-05-13 15:30:00	:DLTR	8.50	8.50	8.31	8.38	2454452.00
2004-05-14 15:30:00	:DLTR	8.43	8.49	8.29	8.36	3212262.00
2004-05-17 15:30:00	:DLTR	8.20	8.42	8.17	8.31	4664804.00
2004-05-18 15:30:00	:DLTR	8.35	8.43	8.24	8.28	4152264.00
2004-05-19 15:30:00	:DLTR	8.36	8.45	8.24	8.24	6476976.00
2004-05-20 15:30:00	:DLTR	8.32	8.35	8.24	8.28	3603910.00
2004-05-21 15:30:00	:DLTR	8.36	8.49	8.29	8.47	4510282.00
2004-05-24 15:30:00	:DLTR	8.52	8.59	8.30	8.37	6978084.00
2004-05-25 15:30:00	:DLTR	8.33	8.54	8.26	8.50	6659048.00
2004-05-26 15:30:00	:DLTR	8.45	8.60	8.44	8.51	3679942.00
2004-05-27 15:30:00	:DLTR	9.06	9.57	9.04	9.24	19478808.00
2004-05-28 15:30:00	:DLTR	9.31	9.37	9.20	9.30	8532712.00
2004-06-01 15:30:00	:DLTR	9.25	9.54	9.25	9.45	5773806.00
2004-06-02 15:30:00	:DLTR	9.47	9.49	9.32	9.47	4219984.00
2004-06-03 15:30:00	:DLTR	9.46	9.56	9.37	9.37	2542154.00
2004-06-04 15:30:00	:DLTR	9.45	9.72	9.43	9.50	4257098.00
2004-06-07 15:30:00	:DLTR	9.58	9.69	9.48	9.64	2129536.00
2004-06-08 15:30:00	:DLTR	9.61	9.73	9.52	9.66	1975444.00
2004-06-09 15:30:00	:DLTR	9.61	9.66	9.46	9.52	3887158.00
2004-06-10 15:30:00	:DLTR	9.49	9.63	9.41	9.52	2266028.00
2004-06-14 15:30:00	:DLTR	9.14	9.33	9.09	9.20	5394012.00
2004-06-15 15:30:00	:DLTR	9.19	9.43	9.19	9.36	2645986.00
2004-06-16 15:30:00	:DLTR	9.31	9.42	9.22	9.37	2078380.00
2004-06-17 15:30:00	:DLTR	9.29	9.40	9.22	9.29	1761720.00
2004-06-18 15:30:00	:DLTR	9.23	9.45	9.17	9.34	3051446.00
2004-06-21 15:30:00	:DLTR	9.33	9.39	9.21	9.24	1980022.00
2004-06-22 15:30:00	:DLTR	9.22	9.24	9.02	9.18	2670922.00
2004-06-23 15:30:00	:DLTR	9.11	9.43	9.05	9.42	3461420.00
2004-06-24 15:30:00	:DLTR	9.42	9.53	9.31	9.38	3116006.00
2004-06-25 15:30:00	:DLTR	9.33	9.65	9.33	9.65	3790636.00
2004-06-28 15:30:00	:DLTR	9.64	9.73	9.28	9.33	3498194.00
2004-06-29 15:30:00	:DLTR	9.39	9.43	9.05	9.14	5168854.00
2004-06-30 15:30:00	:DLTR	9.16	9.17	8.96	9.14	4985426.00
2004-07-01 15:30:00	:DLTR	9.15	9.15	8.93	8.93	2914068.00
2004-07-02 15:30:00	:DLTR	9.04	9.08	8.83	8.87	2344016.00
2004-07-06 15:30:00	:DLTR	8.86	8.92	8.71	8.71	3349488.00
2004-07-07 15:30:00	:DLTR	9.02	9.29	8.93	9.03	7763514.00
2004-07-08 15:30:00	:DLTR	9.05	9.08	8.85	8.94	2705962.00
2004-07-09 15:30:00	:DLTR	8.94	9.10	8.90	9.07	2689690.00
2004-07-12 15:30:00	:DLTR	9.06	9.16	8.97	9.13	1956284.00
2004-07-13 15:30:00	:DLTR	9.15	9.29	9.12	9.24	2440754.00
2004-07-14 15:30:00	:DLTR	9.16	9.23	9.00	9.10	3745954.00
2004-07-15 15:30:00	:DLTR	9.14	9.19	9.01	9.06	2020522.00
