datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:DTE	35.24	35.24	34.80	34.84	521362.00
2004-04-08 15:30:00	:DTE	34.85	35.05	34.57	34.63	471176.00
2004-04-12 15:30:00	:DTE	34.90	34.90	33.74	34.00	948700.00
2004-04-13 15:30:00	:DTE	33.95	33.96	32.97	33.40	1084447.00
2004-04-14 15:30:00	:DTE	33.31	33.37	32.85	33.23	727509.00
2004-04-15 15:30:00	:DTE	33.48	33.62	32.97	33.07	1037905.00
2004-04-16 15:30:00	:DTE	33.40	33.59	33.14	33.51	1043312.00
2004-04-19 15:30:00	:DTE	33.51	33.51	33.31	33.40	825646.00
2004-04-20 15:30:00	:DTE	33.40	33.62	33.27	33.27	914734.00
2004-04-21 15:30:00	:DTE	33.27	33.29	32.99	32.99	1626612.00
2004-04-22 15:30:00	:DTE	33.00	33.47	32.80	33.32	1167070.00
2004-04-23 15:30:00	:DTE	33.29	33.40	33.14	33.34	792738.00
2004-04-26 15:30:00	:DTE	33.35	33.60	33.32	33.55	744551.00
2004-04-27 15:30:00	:DTE	33.63	33.70	33.28	33.40	640537.00
2004-04-28 15:30:00	:DTE	33.40	33.57	33.15	33.34	844804.00
2004-04-29 15:30:00	:DTE	33.42	33.53	32.88	33.03	967622.00
2004-04-30 15:30:00	:DTE	33.12	33.32	33.06	33.20	730447.00
2004-05-03 15:30:00	:DTE	33.18	33.58	33.03	33.45	627844.00
2004-05-04 15:30:00	:DTE	33.45	33.74	33.23	33.44	673210.00
2004-05-05 15:30:00	:DTE	33.57	33.77	33.47	33.63	621967.00
2004-05-06 15:30:00	:DTE	33.64	34.03	33.31	33.79	949875.00
2004-05-07 15:30:00	:DTE	33.59	33.65	33.00	33.23	1357469.00
2004-05-10 15:30:00	:DTE	33.18	33.18	32.32	32.49	1321035.00
2004-05-11 15:30:00	:DTE	32.76	32.80	32.33	32.54	775814.00
2004-05-12 15:30:00	:DTE	32.53	32.72	32.23	32.61	734208.00
2004-05-13 15:30:00	:DTE	32.59	32.89	32.43	32.83	686256.00
2004-05-14 15:30:00	:DTE	32.80	33.35	32.80	33.18	519481.00
2004-05-17 15:30:00	:DTE	33.04	33.12	32.73	32.80	561204.00
2004-05-18 15:30:00	:DTE	32.93	33.11	32.72	32.72	431216.00
2004-05-19 15:30:00	:DTE	32.93	33.16	32.68	32.76	651232.00
2004-05-20 15:30:00	:DTE	32.76	32.97	32.72	32.78	628079.00
2004-05-21 15:30:00	:DTE	32.87	32.92	32.65	32.80	401951.00
2004-05-24 15:30:00	:DTE	32.97	33.14	32.85	33.12	389728.00
2004-05-25 15:30:00	:DTE	33.12	33.57	32.88	33.51	573427.00
2004-05-26 15:30:00	:DTE	33.35	33.91	33.26	33.59	883941.00
2004-05-27 15:30:00	:DTE	33.80	34.10	33.77	34.03	1185640.00
2004-05-28 15:30:00	:DTE	34.12	34.25	34.03	34.21	747842.00
2004-06-01 15:30:00	:DTE	34.21	34.21	33.97	34.01	537463.00
2004-06-02 15:30:00	:DTE	34.06	34.25	33.86	34.08	487866.00
2004-06-03 15:30:00	:DTE	34.08	34.08	33.70	33.77	561557.00
2004-06-04 15:30:00	:DTE	33.81	33.94	33.62	33.74	503145.00
2004-06-07 15:30:00	:DTE	33.74	34.14	33.74	34.14	405595.00
2004-06-08 15:30:00	:DTE	34.08	34.14	33.91	34.13	606336.00
2004-06-09 15:30:00	:DTE	34.13	34.20	33.86	33.94	504672.00
2004-06-10 15:30:00	:DTE	33.90	34.19	33.90	34.14	683670.00
2004-06-14 15:30:00	:DTE	34.15	34.15	33.91	34.03	535465.00
2004-06-15 15:30:00	:DTE	34.20	34.45	33.98	34.03	745021.00
2004-06-16 15:30:00	:DTE	34.16	34.42	34.12	34.39	1132752.00
2004-06-17 15:30:00	:DTE	34.09	34.33	33.95	34.16	2539348.00
2004-06-18 15:30:00	:DTE	34.17	34.56	34.17	34.43	1279664.00
2004-06-21 15:30:00	:DTE	34.53	34.70	34.43	34.60	672388.00
2004-06-22 15:30:00	:DTE	34.54	34.77	34.45	34.57	644063.00
2004-06-23 15:30:00	:DTE	34.61	34.66	34.43	34.61	575543.00
