datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:DUK	38.55	38.61	37.80	37.86	3031197.00
2004-04-08 15:30:00	:DUK	38.00	38.08	37.73	37.80	1728318.00
2004-04-12 15:30:00	:DUK	38.03	38.17	37.16	37.52	1903543.00
2004-04-13 15:30:00	:DUK	37.44	37.44	36.56	36.70	3395957.00
2004-04-14 15:30:00	:DUK	36.34	36.62	36.02	36.23	5196347.00
2004-04-15 15:30:00	:DUK	36.51	36.89	36.02	36.21	3631403.00
2004-04-16 15:30:00	:DUK	36.75	36.75	36.30	36.49	2432022.00
2004-04-19 15:30:00	:DUK	36.60	36.62	36.34	36.41	2109279.00
2004-04-20 15:30:00	:DUK	36.60	36.77	36.48	36.51	2402369.00
2004-04-21 15:30:00	:DUK	36.51	36.65	36.27	36.53	2366477.00
2004-04-22 15:30:00	:DUK	36.55	37.26	36.51	37.07	2285419.00
2004-04-23 15:30:00	:DUK	37.09	37.52	36.81	37.49	1914591.00
2004-04-26 15:30:00	:DUK	37.58	37.82	37.51	37.73	1825004.00
2004-04-27 15:30:00	:DUK	37.91	37.98	37.09	37.31	2498712.00
2004-04-28 15:30:00	:DUK	37.38	38.12	37.21	38.12	3498941.00
2004-04-29 15:30:00	:DUK	38.08	38.09	36.48	36.65	3751502.00
2004-04-30 15:30:00	:DUK	37.09	37.30	36.53	36.79	2773829.00
2004-05-03 15:30:00	:DUK	36.70	36.75	36.44	36.60	1872230.00
2004-05-04 15:30:00	:DUK	36.60	36.79	36.25	36.48	1983055.00
2004-05-05 15:30:00	:DUK	36.34	36.48	35.78	35.79	2326692.00
2004-05-06 15:30:00	:DUK	35.46	35.81	35.25	35.72	2858550.00
2004-05-07 15:30:00	:DUK	35.15	35.39	34.24	34.59	3450684.00
2004-05-10 15:30:00	:DUK	33.98	34.41	33.61	34.03	3884137.00
2004-05-11 15:30:00	:DUK	34.05	34.94	33.92	34.15	2576564.00
2004-05-12 15:30:00	:DUK	34.24	34.27	33.21	33.33	4020664.00
2004-05-13 15:30:00	:DUK	33.28	34.05	32.93	33.85	3583604.00
2004-05-14 15:30:00	:DUK	33.89	34.27	33.65	33.87	2114374.00
2004-05-17 15:30:00	:DUK	33.63	33.98	33.40	33.84	1686015.00
2004-05-18 15:30:00	:DUK	34.20	34.26	33.72	33.73	1105959.00
2004-05-19 15:30:00	:DUK	34.06	34.12	33.49	33.65	1052435.00
2004-05-20 15:30:00	:DUK	33.58	34.06	33.56	33.75	1118094.00
