datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:DVA	16.00	16.26	15.99	16.15	1407592.00
2004-04-08 15:30:00	:DVA	16.20	16.33	15.98	16.06	1538992.00
2004-04-12 15:30:00	:DVA	16.13	16.28	16.13	16.18	921894.00
2004-04-13 15:30:00	:DVA	16.32	16.63	15.78	15.85	1693190.00
2004-04-14 15:30:00	:DVA	15.80	15.98	15.78	15.85	718796.00
2004-04-15 15:30:00	:DVA	15.94	15.94	15.71	15.78	1514992.00
2004-04-16 15:30:00	:DVA	15.80	16.23	15.76	16.20	1574692.00
2004-04-19 15:30:00	:DVA	16.33	16.33	16.13	16.25	816894.00
2004-04-20 15:30:00	:DVA	16.30	16.40	16.18	16.18	1359592.00
2004-04-21 15:30:00	:DVA	16.22	16.43	16.22	16.30	1422892.00
2004-04-22 15:30:00	:DVA	16.33	16.63	16.30	16.55	1111794.00
2004-04-23 15:30:00	:DVA	16.63	16.72	16.47	16.65	887094.00
2004-04-26 15:30:00	:DVA	16.67	17.06	16.66	16.68	1759790.00
2004-04-27 15:30:00	:DVA	16.80	16.93	16.80	16.87	1602590.00
2004-04-28 15:30:00	:DVA	17.00	17.12	16.87	17.05	2415286.00
2004-04-29 15:30:00	:DVA	17.08	17.13	16.92	17.08	2321688.00
2004-04-30 15:30:00	:DVA	17.12	17.33	16.51	17.03	2713786.00
2004-05-03 15:30:00	:DVA	17.08	17.22	16.23	16.59	5330672.00
2004-05-04 15:30:00	:DVA	16.59	16.66	16.47	16.54	1413292.00
2004-05-05 15:30:00	:DVA	16.60	16.75	16.55	16.64	1396192.00
2004-05-06 15:30:00	:DVA	16.73	16.73	16.50	16.56	1070394.00
2004-05-07 15:30:00	:DVA	16.58	16.89	16.51	16.52	1446592.00
2004-05-10 15:30:00	:DVA	16.55	16.58	15.62	15.77	1385692.00
2004-05-11 15:30:00	:DVA	15.85	16.17	15.85	16.10	1974590.00
2004-05-12 15:30:00	:DVA	16.25	16.31	15.47	15.96	2210388.00
2004-05-13 15:30:00	:DVA	15.97	16.03	15.77	15.84	1850390.00
2004-05-14 15:30:00	:DVA	15.85	15.90	15.67	15.69	2251788.00
2004-05-17 15:30:00	:DVA	15.63	15.63	15.23	15.36	1793990.00
2004-05-18 15:30:00	:DVA	15.33	15.49	15.27	15.42	1883690.00
2004-05-19 15:30:00	:DVA	15.47	15.48	15.13	15.22	1470892.00
2004-05-20 15:30:00	:DVA	15.25	15.33	15.06	15.14	911994.00
2004-05-21 15:30:00	:DVA	15.13	15.33	15.13	15.27	551396.00
2004-05-24 15:30:00	:DVA	15.23	15.49	15.23	15.33	1036494.00
2004-05-25 15:30:00	:DVA	15.33	15.50	15.27	15.46	1328692.00
2004-05-26 15:30:00	:DVA	15.46	15.50	15.37	15.39	752696.00
2004-05-27 15:30:00	:DVA	15.39	15.47	15.21	15.25	1856990.00
2004-05-28 15:30:00	:DVA	15.40	15.53	15.24	15.47	1368292.00
2004-06-01 15:30:00	:DVA	15.60	15.88	15.60	15.82	2278188.00
2004-06-02 15:30:00	:DVA	16.00	16.18	15.82	15.83	1617890.00
2004-06-03 15:30:00	:DVA	15.88	15.88	15.59	15.61	1646990.00
2004-06-04 15:30:00	:DVA	15.73	15.84	15.67	15.75	674996.00
2004-06-07 15:30:00	:DVA	15.77	15.77	15.63	15.73	1641290.00
2004-06-08 15:30:00	:DVA	15.75	15.75	15.60	15.60	1636790.00
2004-06-09 15:30:00	:DVA	15.61	15.61	15.25	15.28	1308292.00
2004-06-10 15:30:00	:DVA	15.30	15.30	14.83	15.13	2195388.00
2004-06-14 15:30:00	:DVA	15.10	15.12	15.03	15.06	962394.00
2004-06-15 15:30:00	:DVA	15.02	15.14	14.97	15.02	1655390.00
2004-06-16 15:30:00	:DVA	14.82	14.97	14.50	14.70	1994200.00
2004-06-17 15:30:00	:DVA	14.70	14.75	14.55	14.63	1350000.00
2004-06-18 15:30:00	:DVA	14.51	14.72	14.50	14.60	1083400.00
2004-06-21 15:30:00	:DVA	14.55	15.05	14.40	14.97	2297600.00
2004-06-22 15:30:00	:DVA	15.00	15.00	14.72	14.86	1544400.00
2004-06-23 15:30:00	:DVA	14.88	15.05	14.80	14.98	648400.00
2004-06-24 15:30:00	:DVA	14.90	15.05	14.75	14.98	1030600.00
2004-06-25 15:30:00	:DVA	14.97	15.29	14.95	15.04	1310600.00
2004-06-28 15:30:00	:DVA	15.11	15.12	14.65	14.73	974800.00
2004-06-29 15:30:00	:DVA	14.80	15.00	14.80	15.00	735200.00
2004-06-30 15:30:00	:DVA	15.10	15.43	14.90	15.41	1791800.00
2004-07-01 15:30:00	:DVA	15.75	15.88	15.04	15.25	1467000.00
2004-07-02 15:30:00	:DVA	15.45	15.45	15.09	15.12	576800.00
