datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:D	32.25	32.32	32.06	32.19	1568200.00
2004-04-08 15:30:00	:D	32.20	32.20	32.03	32.19	1515200.00
2004-04-12 15:30:00	:D	32.19	32.38	31.46	31.50	2480400.00
2004-04-13 15:30:00	:D	31.43	31.43	30.93	31.38	4369600.00
2004-04-14 15:30:00	:D	31.25	31.48	30.95	31.48	3685800.00
2004-04-15 15:30:00	:D	31.48	32.00	31.48	31.93	3794400.00
2004-04-16 15:30:00	:D	32.02	32.32	31.87	31.95	2299200.00
2004-04-19 15:30:00	:D	31.95	32.06	31.71	31.85	1826400.00
2004-04-20 15:30:00	:D	31.50	31.96	31.40	31.59	3636600.00
2004-04-21 15:30:00	:D	31.59	31.68	31.38	31.61	2308400.00
2004-04-22 15:30:00	:D	31.52	31.91	31.50	31.80	2608800.00
2004-04-23 15:30:00	:D	31.75	31.95	31.61	31.79	1965800.00
2004-04-26 15:30:00	:D	31.79	31.97	31.75	31.86	1531200.00
2004-04-27 15:30:00	:D	31.86	31.90	31.71	31.75	1997200.00
2004-04-28 15:30:00	:D	31.75	31.89	31.59	31.72	2015200.00
2004-04-29 15:30:00	:D	31.75	32.03	31.62	31.73	3605000.00
2004-04-30 15:30:00	:D	31.75	31.94	31.67	31.91	2415200.00
2004-05-03 15:30:00	:D	31.82	31.98	31.55	31.95	1717600.00
2004-05-04 15:30:00	:D	31.95	32.12	31.75	31.95	1694400.00
2004-05-05 15:30:00	:D	31.86	32.25	31.66	31.66	2502800.00
2004-05-06 15:30:00	:D	31.66	32.05	31.48	31.96	2595600.00
2004-05-07 15:30:00	:D	31.89	31.89	31.14	31.49	4610200.00
2004-05-10 15:30:00	:D	31.21	31.30	30.89	31.00	2621600.00
2004-05-11 15:30:00	:D	30.94	31.05	30.68	30.82	2379800.00
2004-05-12 15:30:00	:D	30.82	31.00	30.39	30.88	3084200.00
2004-05-13 15:30:00	:D	30.88	31.23	30.70	31.07	2723000.00
2004-05-14 15:30:00	:D	31.07	31.46	31.05	31.23	3271200.00
2004-05-17 15:30:00	:D	31.18	31.18	30.78	31.00	1707000.00
2004-05-18 15:30:00	:D	31.14	31.30	30.93	30.98	2382800.00
2004-05-19 15:30:00	:D	31.02	31.02	30.62	30.62	3109000.00
2004-05-20 15:30:00	:D	30.65	31.02	30.61	30.80	1801800.00
2004-05-21 15:30:00	:D	30.99	31.03	30.70	30.80	1695400.00
2004-05-24 15:30:00	:D	30.92	31.34	30.87	31.32	1970000.00
2004-05-25 15:30:00	:D	31.30	31.65	31.04	31.65	2727200.00
2004-05-26 15:30:00	:D	31.41	31.43	31.11	31.25	4137800.00
2004-05-27 15:30:00	:D	31.27	31.50	31.25	31.37	2039800.00
2004-05-28 15:30:00	:D	31.45	31.51	31.36	31.48	1641600.00
2004-06-01 15:30:00	:D	31.49	31.56	31.23	31.42	1468600.00
2004-06-02 15:30:00	:D	31.38	31.50	31.18	31.19	2451400.00
2004-06-03 15:30:00	:D	31.12	31.15	30.78	30.79	2614400.00
2004-06-04 15:30:00	:D	30.79	31.09	30.68	30.75	2287600.00
2004-06-07 15:30:00	:D	30.86	30.95	30.77	30.80	1493400.00
2004-06-08 15:30:00	:D	30.80	30.85	30.63	30.82	2402800.00
2004-06-09 15:30:00	:D	30.82	30.96	30.65	30.68	2500800.00
2004-06-10 15:30:00	:D	30.82	30.87	30.66	30.87	1959200.00
2004-06-14 15:30:00	:D	30.75	30.98	30.68	30.91	1302400.00
