datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:EMN	21.71	21.85	21.55	21.64	938200.00
2004-04-08 15:30:00	:EMN	21.84	21.93	21.48	21.61	713800.00
2004-04-12 15:30:00	:EMN	21.59	21.95	21.59	21.77	686000.00
2004-04-13 15:30:00	:EMN	21.88	21.93	21.32	21.41	764200.00
2004-04-14 15:30:00	:EMN	21.41	21.57	21.30	21.40	1053600.00
2004-04-15 15:30:00	:EMN	21.43	21.55	21.28	21.38	720800.00
2004-04-16 15:30:00	:EMN	21.48	21.52	21.27	21.48	795200.00
2004-04-19 15:30:00	:EMN	21.48	21.65	21.40	21.61	737400.00
2004-04-20 15:30:00	:EMN	21.59	21.80	21.20	21.21	647200.00
2004-04-21 15:30:00	:EMN	21.18	21.23	20.95	21.15	713600.00
2004-04-22 15:30:00	:EMN	21.15	22.00	21.09	21.98	1073600.00
2004-04-23 15:30:00	:EMN	21.90	22.05	21.71	21.93	1216800.00
2004-04-26 15:30:00	:EMN	21.96	22.02	21.84	21.90	595000.00
2004-04-27 15:30:00	:EMN	21.64	21.73	21.20	21.64	1812200.00
2004-04-28 15:30:00	:EMN	21.60	21.60	21.10	21.36	1167400.00
2004-04-29 15:30:00	:EMN	21.36	21.45	20.98	21.13	1415400.00
2004-04-30 15:30:00	:EMN	21.65	21.77	21.21	21.29	2122800.00
2004-05-03 15:30:00	:EMN	21.38	21.55	21.12	21.50	1291200.00
2004-05-04 15:30:00	:EMN	21.62	22.30	21.60	22.10	2750000.00
2004-05-05 15:30:00	:EMN	22.19	22.56	22.01	22.11	2078600.00
2004-05-06 15:30:00	:EMN	22.12	22.18	21.77	21.95	1057600.00
2004-05-07 15:30:00	:EMN	21.95	22.02	21.61	21.63	1968800.00
2004-05-10 15:30:00	:EMN	21.63	21.78	21.27	21.41	1484600.00
2004-05-11 15:30:00	:EMN	21.48	22.02	21.48	21.98	1605400.00
2004-05-12 15:30:00	:EMN	21.95	22.05	21.73	22.03	2466800.00
2004-05-13 15:30:00	:EMN	22.04	22.50	22.04	22.45	1447600.00
2004-05-14 15:30:00	:EMN	22.35	22.48	22.18	22.32	1146000.00
2004-05-17 15:30:00	:EMN	22.30	22.30	21.82	21.93	1286400.00
2004-05-18 15:30:00	:EMN	22.00	22.24	21.95	22.20	1057800.00
2004-05-19 15:30:00	:EMN	22.32	22.94	22.32	22.48	2217000.00
2004-05-20 15:30:00	:EMN	22.50	22.60	22.27	22.37	1810600.00
2004-05-21 15:30:00	:EMN	22.50	22.80	22.45	22.63	1378000.00
2004-05-24 15:30:00	:EMN	22.70	22.99	22.64	22.82	992000.00
2004-05-25 15:30:00	:EMN	22.86	23.25	22.68	23.18	1378400.00
2004-05-26 15:30:00	:EMN	23.18	23.21	23.12	23.17	1358000.00
2004-05-27 15:30:00	:EMN	23.18	23.34	23.07	23.10	1739200.00
2004-05-28 15:30:00	:EMN	23.14	23.20	22.89	23.17	1444400.00
2004-06-01 15:30:00	:EMN	23.17	23.32	22.99	23.11	1463200.00
2004-06-02 15:30:00	:EMN	23.25	23.26	23.09	23.14	1585000.00
2004-06-03 15:30:00	:EMN	23.15	23.17	22.75	22.78	1160800.00
2004-06-04 15:30:00	:EMN	22.93	23.12	22.76	22.85	985000.00
2004-06-07 15:30:00	:EMN	22.98	23.18	22.90	23.14	964400.00
2004-06-08 15:30:00	:EMN	23.01	23.30	22.89	23.30	1004800.00
2004-06-09 15:30:00	:EMN	23.30	23.48	23.16	23.29	1502400.00
2004-06-10 15:30:00	:EMN	23.39	23.39	22.98	23.16	1025000.00
2004-06-14 15:30:00	:EMN	22.91	22.91	22.27	22.27	1849400.00
2004-06-15 15:30:00	:EMN	22.35	22.40	22.06	22.22	2158600.00
2004-06-16 15:30:00	:EMN	22.27	22.27	21.65	21.99	2281400.00
2004-06-17 15:30:00	:EMN	22.02	22.02	21.77	21.84	1318600.00
2004-06-18 15:30:00	:EMN	21.85	22.04	21.70	21.91	1480800.00
2004-06-21 15:30:00	:EMN	21.93	21.93	21.61	21.73	1900600.00
2004-06-22 15:30:00	:EMN	21.78	21.94	21.54	21.75	2146400.00
2004-06-23 15:30:00	:EMN	21.79	22.23	21.70	22.18	1093000.00
2004-06-24 15:30:00	:EMN	22.21	22.43	22.11	22.30	1015600.00
2004-06-25 15:30:00	:EMN	22.41	22.68	22.39	22.68	1335800.00
2004-06-28 15:30:00	:EMN	22.84	23.05	22.68	22.77	1954400.00
2004-06-29 15:30:00	:EMN	22.74	23.18	22.71	23.11	848800.00
2004-06-30 15:30:00	:EMN	23.05	23.26	23.00	23.11	1458000.00
2004-07-01 15:30:00	:EMN	23.16	23.16	22.69	22.78	1371600.00
2004-07-02 15:30:00	:EMN	22.73	22.75	22.46	22.47	1209600.00
2004-07-06 15:30:00	:EMN	22.48	22.65	22.43	22.50	1507200.00
2004-07-07 15:30:00	:EMN	22.50	22.61	22.36	22.47	1153800.00
2004-07-08 15:30:00	:EMN	22.47	22.52	22.20	22.20	897600.00
2004-07-09 15:30:00	:EMN	22.31	22.45	22.18	22.39	1342200.00
2004-07-12 15:30:00	:EMN	22.40	22.60	22.29	22.53	1107800.00
2004-07-13 15:30:00	:EMN	22.58	22.59	22.44	22.50	670400.00
2004-07-14 15:30:00	:EMN	22.50	22.57	22.25	22.49	691800.00
2004-07-15 15:30:00	:EMN	22.46	22.68	22.46	22.51	611400.00
2004-07-16 15:30:00	:EMN	22.64	22.71	22.50	22.50	679200.00
2004-07-19 15:30:00	:EMN	22.52	22.52	22.25	22.35	703600.00
2004-07-20 15:30:00	:EMN	22.30	22.43	22.18	22.40	718600.00
2004-07-21 15:30:00	:EMN	22.43	22.49	21.98	22.06	723400.00
2004-07-22 15:30:00	:EMN	22.02	22.07	21.52	21.84	934600.00
2004-07-23 15:30:00	:EMN	21.79	21.90	21.57	21.80	598400.00
2004-07-26 15:30:00	:EMN	21.73	21.79	21.20	21.39	909400.00
2004-07-27 15:30:00	:EMN	21.45	21.75	21.27	21.66	758000.00
2004-07-28 15:30:00	:EMN	21.66	22.10	21.45	22.06	1088000.00
2004-07-29 15:30:00	:EMN	22.06	22.39	22.04	22.33	671400.00
2004-07-30 15:30:00	:EMN	22.57	22.65	22.18	22.34	1105600.00
2004-08-02 15:30:00	:EMN	22.38	22.65	22.18	22.57	910200.00
2004-08-03 15:30:00	:EMN	22.59	22.59	22.32	22.43	844800.00
2004-08-04 15:30:00	:EMN	22.36	22.53	22.17	22.46	1028600.00
2004-08-05 15:30:00	:EMN	22.52	22.52	21.70	21.80	1334800.00
2004-08-06 15:30:00	:EMN	21.70	21.75	21.09	21.26	898200.00
2004-08-09 15:30:00	:EMN	21.27	21.57	21.27	21.51	621400.00
