datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:EOG	11.48	11.60	11.44	11.50	3780800.00
2004-04-08 15:30:00	:EOG	11.60	11.77	11.56	11.77	4200800.00
2004-04-12 15:30:00	:EOG	11.77	12.11	11.77	11.97	3773600.00
2004-04-13 15:30:00	:EOG	11.97	12.04	11.84	11.85	3322800.00
2004-04-14 15:30:00	:EOG	11.77	11.90	11.67	11.88	4380400.00
2004-04-15 15:30:00	:EOG	12.00	12.21	12.00	12.13	3649200.00
2004-04-16 15:30:00	:EOG	12.29	12.32	12.21	12.29	4961600.00
2004-04-19 15:30:00	:EOG	12.36	12.52	12.35	12.52	6242800.00
2004-04-20 15:30:00	:EOG	12.39	12.50	12.26	12.26	3450400.00
2004-04-21 15:30:00	:EOG	12.19	12.25	12.04	12.06	4123600.00
2004-04-22 15:30:00	:EOG	12.07	12.26	12.01	12.24	4013200.00
2004-04-23 15:30:00	:EOG	12.22	12.24	12.06	12.17	2204000.00
2004-04-26 15:30:00	:EOG	12.22	12.36	12.22	12.30	2726000.00
2004-04-27 15:30:00	:EOG	12.39	12.70	12.35	12.61	4628000.00
2004-04-28 15:30:00	:EOG	12.61	12.64	12.48	12.53	4196800.00
2004-04-29 15:30:00	:EOG	12.38	12.45	12.17	12.24	5137600.00
2004-04-30 15:30:00	:EOG	12.26	12.45	12.21	12.31	3317200.00
2004-05-03 15:30:00	:EOG	12.36	13.04	12.28	13.04	9717600.00
2004-05-04 15:30:00	:EOG	13.08	13.69	13.08	13.51	15029600.00
2004-05-05 15:30:00	:EOG	13.47	13.55	13.32	13.50	8014400.00
2004-05-06 15:30:00	:EOG	13.50	13.60	13.29	13.54	6204000.00
2004-05-07 15:30:00	:EOG	13.55	13.67	13.45	13.47	6413200.00
2004-05-10 15:30:00	:EOG	13.28	13.28	12.88	13.05	8418000.00
2004-05-11 15:30:00	:EOG	13.11	13.25	13.04	13.13	5682000.00
2004-05-12 15:30:00	:EOG	13.13	13.36	13.04	13.25	4965600.00
2004-05-13 15:30:00	:EOG	13.22	13.34	13.14	13.28	3906000.00
2004-05-14 15:30:00	:EOG	13.36	13.65	13.35	13.54	4802400.00
2004-05-17 15:30:00	:EOG	13.54	13.82	13.54	13.66	4298000.00
2004-05-18 15:30:00	:EOG	13.66	13.69	13.38	13.45	6008000.00
2004-05-19 15:30:00	:EOG	13.46	13.52	13.22	13.23	5185200.00
2004-05-20 15:30:00	:EOG	13.25	13.37	13.11	13.11	5073600.00
2004-05-21 15:30:00	:EOG	13.28	13.28	13.01	13.17	4829200.00
2004-05-24 15:30:00	:EOG	13.21	13.50	13.18	13.46	3130800.00
2004-05-25 15:30:00	:EOG	13.38	13.65	13.37	13.64	3388800.00
2004-05-26 15:30:00	:EOG	13.70	13.76	13.51	13.52	3848800.00
2004-05-27 15:30:00	:EOG	13.50	13.50	13.24	13.28	3923200.00
