datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:EQIX	32.84	33.01	31.40	32.04	352786.00
2004-04-08 15:30:00	:EQIX	32.12	34.30	32.01	33.99	151033.00
2004-04-12 15:30:00	:EQIX	34.00	34.50	33.15	33.74	83715.00
2004-04-13 15:30:00	:EQIX	33.92	33.92	32.50	32.87	136657.00
2004-04-14 15:30:00	:EQIX	32.72	32.72	31.49	31.76	112421.00
2004-04-15 15:30:00	:EQIX	32.15	32.51	31.50	31.58	283251.00
2004-04-16 15:30:00	:EQIX	31.50	31.90	30.50	30.50	278121.00
2004-04-19 15:30:00	:EQIX	30.40	30.55	29.60	29.99	134564.00
2004-04-20 15:30:00	:EQIX	29.90	30.50	28.33	28.60	348759.00
2004-04-21 15:30:00	:EQIX	28.74	30.40	28.43	30.38	186159.00
2004-04-22 15:30:00	:EQIX	30.55	32.98	30.30	31.50	200623.00
2004-04-23 15:30:00	:EQIX	31.01	32.81	30.55	32.60	323575.00
2004-04-26 15:30:00	:EQIX	32.79	32.80	31.06	32.25	167337.00
2004-04-27 15:30:00	:EQIX	32.26	32.41	31.36	31.52	127825.00
2004-04-28 15:30:00	:EQIX	31.87	31.87	29.96	30.02	127861.00
2004-04-29 15:30:00	:EQIX	30.46	30.69	29.69	30.35	220681.00
2004-04-30 15:30:00	:EQIX	30.49	30.49	28.35	29.19	163436.00
2004-05-03 15:30:00	:EQIX	29.34	31.48	29.34	31.30	216290.00
2004-05-04 15:30:00	:EQIX	31.48	31.48	29.91	30.00	169379.00
2004-05-05 15:30:00	:EQIX	30.36	30.43	29.75	30.14	165748.00
2004-05-06 15:30:00	:EQIX	30.06	30.13	28.93	30.13	120404.00
2004-05-07 15:30:00	:EQIX	30.09	30.86	29.60	30.11	94824.00
2004-05-10 15:30:00	:EQIX	30.00	30.00	28.37	28.45	174545.00
2004-05-11 15:30:00	:EQIX	28.61	29.73	28.61	29.10	49086.00
2004-05-12 15:30:00	:EQIX	28.74	29.49	27.29	29.04	166528.00
2004-05-13 15:30:00	:EQIX	28.48	29.51	28.48	29.33	197986.00
2004-05-14 15:30:00	:EQIX	29.22	29.23	28.02	28.30	186059.00
2004-05-17 15:30:00	:EQIX	28.00	28.04	27.27	27.86	107354.00
2004-05-18 15:30:00	:EQIX	27.86	28.42	27.80	28.13	239674.00
2004-05-19 15:30:00	:EQIX	28.04	29.73	28.04	28.62	83177.00
2004-05-20 15:30:00	:EQIX	28.50	29.28	28.46	28.93	82834.00
2004-05-21 15:30:00	:EQIX	29.25	29.50	28.60	29.41	77318.00
2004-05-24 15:30:00	:EQIX	29.60	30.54	29.45	30.25	217774.00
2004-05-25 15:30:00	:EQIX	30.34	32.14	29.97	32.08	160226.00
2004-05-26 15:30:00	:EQIX	31.99	32.47	31.87	32.09	60699.00
2004-05-27 15:30:00	:EQIX	32.01	32.50	31.27	31.52	47750.00
2004-05-28 15:30:00	:EQIX	31.39	31.70	30.48	31.55	55727.00
2004-06-01 15:30:00	:EQIX	31.66	32.60	30.27	32.25	186887.00
2004-06-02 15:30:00	:EQIX	32.57	32.57	31.22	31.27	57779.00
2004-06-03 15:30:00	:EQIX	31.44	31.44	30.00	30.74	67279.00
2004-06-04 15:30:00	:EQIX	31.34	31.82	30.12	31.81	119166.00
2004-06-07 15:30:00	:EQIX	31.67	31.85	30.78	31.85	65448.00
2004-06-08 15:30:00	:EQIX	31.71	32.08	31.01	31.83	57615.00
2004-06-09 15:30:00	:EQIX	31.79	31.79	31.06	31.10	32397.00
2004-06-10 15:30:00	:EQIX	31.12	32.05	30.97	31.93	159819.00
2004-06-14 15:30:00	:EQIX	31.21	31.70	30.65	30.76	181946.00
2004-06-15 15:30:00	:EQIX	30.86	31.86	30.86	31.54	227207.00
2004-06-16 15:30:00	:EQIX	31.04	32.05	31.04	32.00	129875.00
2004-06-17 15:30:00	:EQIX	31.45	31.96	31.45	31.80	48994.00
2004-06-18 15:30:00	:EQIX	31.50	32.50	31.50	32.00	178076.00
