datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:EQT	12.65	12.79	12.48	12.52	1978484.00
2004-04-08 15:30:00	:EQT	12.63	12.69	12.48	12.52	790145.00
2004-04-12 15:30:00	:EQT	12.53	12.65	12.47	12.52	912101.00
2004-04-13 15:30:00	:EQT	12.55	12.67	12.32	12.35	1132504.00
2004-04-14 15:30:00	:EQT	12.35	12.51	12.25	12.38	1160422.00
2004-04-15 15:30:00	:EQT	12.52	12.67	12.52	12.60	1830447.00
2004-04-16 15:30:00	:EQT	12.60	12.69	12.47	12.66	1193850.00
2004-04-19 15:30:00	:EQT	12.66	12.72	12.60	12.68	511335.00
2004-04-20 15:30:00	:EQT	12.63	12.67	12.42	12.43	1211114.00
2004-04-21 15:30:00	:EQT	12.43	12.52	12.33	12.50	841572.00
2004-04-22 15:30:00	:EQT	12.43	12.61	12.41	12.60	719248.00
2004-04-23 15:30:00	:EQT	12.56	12.70	12.56	12.69	836062.00
2004-04-26 15:30:00	:EQT	12.72	12.90	12.72	12.79	872796.00
2004-04-27 15:30:00	:EQT	12.84	12.92	12.78	12.80	701249.00
2004-04-28 15:30:00	:EQT	12.80	12.92	12.72	12.92	1196054.00
2004-04-29 15:30:00	:EQT	12.93	13.00	12.84	12.90	2312395.00
2004-04-30 15:30:00	:EQT	12.91	13.01	12.73	12.79	1716572.00
2004-05-03 15:30:00	:EQT	12.82	12.86	12.68	12.80	1876732.00
2004-05-04 15:30:00	:EQT	12.86	12.91	12.70	12.80	1894731.00
2004-05-05 15:30:00	:EQT	12.67	12.81	12.47	12.78	1728327.00
2004-05-06 15:30:00	:EQT	12.75	12.85	12.68	12.79	941488.00
2004-05-07 15:30:00	:EQT	12.75	12.76	12.58	12.62	982263.00
2004-05-10 15:30:00	:EQT	12.56	12.56	12.36	12.36	1558617.00
2004-05-11 15:30:00	:EQT	12.39	12.54	12.37	12.50	1276501.00
2004-05-12 15:30:00	:EQT	12.51	12.51	12.29	12.40	1665512.00
2004-05-13 15:30:00	:EQT	12.45	12.60	12.42	12.53	1487720.00
2004-05-14 15:30:00	:EQT	12.56	12.76	12.55	12.73	732105.00
2004-05-17 15:30:00	:EQT	12.72	12.81	12.66	12.76	999160.00
2004-05-18 15:30:00	:EQT	12.75	12.80	12.69	12.80	1269889.00
2004-05-19 15:30:00	:EQT	12.82	12.88	12.74	12.77	1038465.00
2004-05-20 15:30:00	:EQT	12.71	13.01	12.71	13.00	2231948.00
2004-05-21 15:30:00	:EQT	12.98	13.05	12.90	12.93	978222.00
2004-05-24 15:30:00	:EQT	12.95	13.21	12.93	13.21	1440701.00
2004-05-25 15:30:00	:EQT	13.16	13.26	13.12	13.15	2168398.00
2004-05-26 15:30:00	:EQT	13.18	13.21	13.07	13.16	1061975.00
2004-05-27 15:30:00	:EQT	13.16	13.16	13.03	13.08	1128096.00
2004-05-28 15:30:00	:EQT	13.10	13.18	13.06	13.18	788675.00
2004-06-01 15:30:00	:EQT	13.22	13.41	13.22	13.26	1146463.00
2004-06-02 15:30:00	:EQT	13.24	13.28	13.19	13.20	1523352.00
2004-06-03 15:30:00	:EQT	13.16	13.24	13.06	13.07	988140.00
2004-06-04 15:30:00	:EQT	13.07	13.08	12.96	13.02	674066.00
2004-06-07 15:30:00	:EQT	13.02	13.19	13.00	13.14	676270.00
2004-06-08 15:30:00	:EQT	13.11	13.11	12.90	12.94	1975546.00
2004-06-09 15:30:00	:EQT	12.93	13.00	12.89	12.95	1406171.00
2004-06-10 15:30:00	:EQT	13.04	13.21	13.02	13.19	908428.00
2004-06-14 15:30:00	:EQT	13.20	13.32	13.19	13.22	890428.00
2004-06-15 15:30:00	:EQT	13.34	13.43	13.31	13.36	1153075.00
2004-06-16 15:30:00	:EQT	13.42	13.48	13.41	13.46	791981.00
2004-06-17 15:30:00	:EQT	13.47	13.58	13.46	13.56	670392.00
2004-06-18 15:30:00	:EQT	13.53	13.64	13.51	13.61	560925.00
