datetime	symbol	open	high	low	close	volume
2015-04-16 15:30:00	:ETSY	31.00	35.74	28.22	30.00	19763334.00
2015-04-17 15:30:00	:ETSY	29.77	30.30	26.51	27.58	3965469.00
2015-04-20 15:30:00	:ETSY	28.77	28.90	24.87	24.90	3076216.00
2015-04-21 15:30:00	:ETSY	24.97	26.04	24.56	25.75	2185407.00
2015-04-22 15:30:00	:ETSY	26.00	26.24	24.95	25.12	1442915.00
2015-04-23 15:30:00	:ETSY	24.93	25.74	24.08	25.62	1299238.00
2015-04-24 15:30:00	:ETSY	25.55	25.70	25.00	25.58	532833.00
2015-04-27 15:30:00	:ETSY	25.70	26.47	25.21	25.90	731504.00
2015-04-28 15:30:00	:ETSY	25.75	25.90	24.18	24.49	954977.00
2015-04-29 15:30:00	:ETSY	24.49	24.97	22.32	22.42	1674691.00
2015-04-30 15:30:00	:ETSY	22.66	23.18	21.82	22.24	1221650.00
2015-05-01 15:30:00	:ETSY	22.25	23.00	21.27	21.75	687379.00
2015-05-04 15:30:00	:ETSY	21.75	23.29	21.75	23.24	648635.00
2015-05-05 15:30:00	:ETSY	23.22	24.32	21.90	24.15	1065845.00
2015-05-06 15:30:00	:ETSY	24.15	25.42	23.03	23.40	1290653.00
2015-05-07 15:30:00	:ETSY	23.40	24.42	22.71	23.69	616890.00
2015-05-08 15:30:00	:ETSY	23.93	24.10	22.50	22.71	784007.00
2015-05-11 15:30:00	:ETSY	20.71	21.49	20.02	20.85	2115351.00
2015-05-12 15:30:00	:ETSY	21.23	21.45	20.36	20.57	1140278.00
2015-05-13 15:30:00	:ETSY	20.50	20.78	19.50	19.83	1536009.00
2015-05-14 15:30:00	:ETSY	19.83	20.75	19.62	20.60	1044166.00
2015-05-15 15:30:00	:ETSY	20.56	20.82	19.51	20.05	1177791.00
2015-05-18 15:30:00	:ETSY	19.51	20.75	19.15	20.56	1211067.00
2015-05-19 15:30:00	:ETSY	20.56	21.31	19.66	21.00	2015138.00
2015-05-20 15:30:00	:ETSY	16.90	17.32	15.70	17.20	11105196.00
2015-05-21 15:30:00	:ETSY	17.37	17.69	16.91	17.51	2319080.00
2015-05-22 15:30:00	:ETSY	17.82	18.15	17.00	17.17	2012076.00
2015-05-26 15:30:00	:ETSY	16.59	17.30	16.18	17.09	1798475.00
2015-05-27 15:30:00	:ETSY	17.02	17.63	16.85	17.06	878589.00
2015-05-28 15:30:00	:ETSY	16.95	17.10	16.72	17.04	489191.00
2015-05-29 15:30:00	:ETSY	17.00	17.10	16.50	16.76	940363.00
2015-06-01 15:30:00	:ETSY	16.76	16.77	16.00	16.05	858370.00
2015-06-02 15:30:00	:ETSY	15.98	16.10	15.73	15.86	763034.00
2015-06-03 15:30:00	:ETSY	15.70	15.87	14.96	15.32	1432977.00
2015-06-04 15:30:00	:ETSY	15.25	15.63	15.00	15.07	807976.00
2015-06-05 15:30:00	:ETSY	15.15	15.28	14.64	15.03	712415.00
2015-06-08 15:30:00	:ETSY	14.95	15.13	14.68	14.86	503307.00
2015-06-09 15:30:00	:ETSY	15.11	16.25	15.01	15.99	2273800.00
2015-06-10 15:30:00	:ETSY	16.05	18.42	16.01	16.78	3384287.00
2015-06-11 15:30:00	:ETSY	17.08	17.68	16.75	16.86	1418064.00
2015-06-12 15:30:00	:ETSY	16.75	17.14	16.32	16.64	747291.00
2015-06-15 15:30:00	:ETSY	16.20	17.10	16.14	16.32	1088417.00
2015-06-16 15:30:00	:ETSY	16.51	16.89	16.20	16.29	767566.00
2015-06-17 15:30:00	:ETSY	16.30	16.49	15.65	15.77	1427871.00
2015-06-18 15:30:00	:ETSY	15.77	15.87	14.90	15.33	1386563.00
2015-06-19 15:30:00	:ETSY	15.26	15.39	14.30	14.31	2590318.00
2015-06-22 15:30:00	:ETSY	14.38	14.72	13.78	14.42	1537430.00
2015-06-23 15:30:00	:ETSY	14.45	14.80	14.13	14.34	916859.00
2015-06-24 15:30:00	:ETSY	14.33	14.59	14.17	14.39	842452.00
2015-06-25 15:30:00	:ETSY	14.43	14.96	14.20	14.90	874884.00
2015-06-26 15:30:00	:ETSY	14.28	14.57	13.95	14.25	4215946.00
2015-06-29 15:30:00	:ETSY	14.00	14.31	13.91	14.23	1251403.00
2015-06-30 15:30:00	:ETSY	14.30	14.42	13.95	14.05	1509222.00
2015-07-01 15:30:00	:ETSY	14.13	14.48	13.96	14.01	1764880.00
2015-07-02 15:30:00	:ETSY	14.00	14.24	12.81	13.27	1977538.00
2015-07-06 15:30:00	:ETSY	13.46	13.46	12.80	13.40	1435040.00
2015-07-07 15:30:00	:ETSY	13.51	13.53	13.00	13.32	1030716.00
2015-07-08 15:30:00	:ETSY	13.17	14.56	13.10	14.55	961003.00
2015-07-09 15:30:00	:ETSY	14.61	16.25	14.60	16.20	1937262.00
2015-07-10 15:30:00	:ETSY	16.25	17.29	15.82	16.53	1260259.00
2015-07-13 15:30:00	:ETSY	16.65	16.90	15.62	16.03	715285.00
2015-07-14 15:30:00	:ETSY	16.10	17.02	16.00	16.51	520176.00
2015-07-15 15:30:00	:ETSY	16.58	17.15	16.41	16.82	1070849.00
2015-07-16 15:30:00	:ETSY	16.90	17.30	16.32	16.83	987952.00
2015-07-17 15:30:00	:ETSY	16.94	23.44	16.57	21.98	11961130.00
2015-07-20 15:30:00	:ETSY	20.44	20.97	18.92	19.56	3561256.00
2015-07-21 15:30:00	:ETSY	19.55	20.38	18.61	18.98	1734628.00
2015-07-22 15:30:00	:ETSY	18.82	19.46	18.02	18.45	869429.00
2015-07-23 15:30:00	:ETSY	18.37	19.14	17.77	18.44	1156252.00
2015-07-24 15:30:00	:ETSY	18.31	19.89	18.16	19.31	1292397.00
2015-07-27 15:30:00	:ETSY	19.28	19.47	18.16	18.30	645512.00
2015-07-28 15:30:00	:ETSY	18.47	19.15	18.31	18.65	955764.00
2015-07-29 15:30:00	:ETSY	18.70	19.45	18.25	18.98	874734.00
2015-07-30 15:30:00	:ETSY	18.96	21.66	18.90	21.20	2323709.00
2015-07-31 15:30:00	:ETSY	21.30	21.90	20.41	20.84	1922560.00
2015-08-03 15:30:00	:ETSY	21.00	21.48	19.85	20.50	1829680.00
2015-08-04 15:30:00	:ETSY	20.36	20.59	18.81	19.23	3028649.00
