datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:EVRG	21.12	21.26	20.92	21.08	411900.00
2004-04-08 15:30:00	:EVRG	21.08	21.24	21.00	21.05	195500.00
2004-04-12 15:30:00	:EVRG	21.05	21.22	20.61	20.76	422300.00
2004-04-13 15:30:00	:EVRG	20.86	20.86	20.11	20.31	720300.00
2004-04-14 15:30:00	:EVRG	20.20	20.50	19.95	20.30	549700.00
2004-04-15 15:30:00	:EVRG	20.20	20.64	20.20	20.55	363600.00
2004-04-16 15:30:00	:EVRG	20.42	20.69	20.40	20.65	398700.00
2004-04-19 15:30:00	:EVRG	20.60	20.75	20.21	20.70	496200.00
2004-04-20 15:30:00	:EVRG	20.70	20.90	20.35	20.35	351700.00
2004-04-21 15:30:00	:EVRG	20.33	20.65	20.29	20.62	234500.00
2004-04-22 15:30:00	:EVRG	20.47	20.98	20.47	20.95	405300.00
2004-04-23 15:30:00	:EVRG	20.80	20.85	20.67	20.77	293600.00
2004-04-26 15:30:00	:EVRG	20.70	20.98	20.64	20.81	550700.00
2004-04-27 15:30:00	:EVRG	20.81	20.90	20.55	20.60	376400.00
2004-04-28 15:30:00	:EVRG	20.60	20.70	20.20	20.57	451000.00
2004-04-29 15:30:00	:EVRG	20.43	20.75	20.36	20.40	553400.00
2004-04-30 15:30:00	:EVRG	20.45	20.60	20.30	20.41	387200.00
2004-05-03 15:30:00	:EVRG	20.40	20.50	20.20	20.45	375100.00
2004-05-04 15:30:00	:EVRG	20.40	20.83	20.33	20.46	320100.00
2004-05-05 15:30:00	:EVRG	20.41	20.71	20.38	20.40	159400.00
2004-05-06 15:30:00	:EVRG	20.35	20.59	20.08	20.50	309300.00
2004-05-07 15:30:00	:EVRG	20.40	20.50	19.68	19.82	423300.00
2004-05-10 15:30:00	:EVRG	19.22	19.51	18.75	19.01	654700.00
2004-05-11 15:30:00	:EVRG	19.15	19.44	18.99	19.28	526600.00
2004-05-12 15:30:00	:EVRG	19.10	19.15	18.36	19.00	609800.00
2004-05-13 15:30:00	:EVRG	18.84	19.18	18.77	18.90	306500.00
2004-05-14 15:30:00	:EVRG	18.85	19.11	18.63	18.90	505000.00
2004-05-17 15:30:00	:EVRG	18.85	18.90	18.33	18.45	389700.00
2004-05-18 15:30:00	:EVRG	18.65	18.65	18.35	18.60	457500.00
2004-05-19 15:30:00	:EVRG	18.65	18.90	18.57	18.64	316800.00
2004-05-20 15:30:00	:EVRG	18.62	18.65	18.24	18.49	429700.00
2004-05-21 15:30:00	:EVRG	18.55	18.69	18.38	18.50	369300.00
2004-05-24 15:30:00	:EVRG	18.51	18.80	18.51	18.80	362600.00
2004-05-25 15:30:00	:EVRG	18.70	19.11	18.65	19.00	506400.00
2004-05-26 15:30:00	:EVRG	19.00	19.25	18.92	19.20	365100.00
2004-05-27 15:30:00	:EVRG	19.25	19.50	19.03	19.40	406900.00
2004-05-28 15:30:00	:EVRG	19.26	19.76	19.26	19.72	592400.00
