datetime	symbol	open	high	low	close	volume
2004-08-12 15:30:00	:EXR	12.76	12.77	12.50	12.50	3796200.00
2004-08-13 15:30:00	:EXR	12.50	12.52	12.50	12.50	669300.00
2004-08-16 15:30:00	:EXR	12.50	12.53	12.50	12.50	188800.00
2004-08-17 15:30:00	:EXR	12.50	12.54	12.50	12.51	153600.00
2004-08-18 15:30:00	:EXR	12.50	12.65	12.50	12.51	149800.00
2004-08-19 15:30:00	:EXR	12.50	12.55	12.50	12.53	126900.00
2004-08-20 15:30:00	:EXR	12.53	12.59	12.50	12.55	144900.00
2004-08-23 15:30:00	:EXR	12.55	12.59	12.50	12.55	64400.00
2004-08-24 15:30:00	:EXR	12.55	12.99	12.55	12.98	382900.00
2004-08-25 15:30:00	:EXR	12.75	13.09	12.75	13.00	500200.00
2004-08-26 15:30:00	:EXR	13.05	13.45	12.95	13.38	435200.00
2004-08-27 15:30:00	:EXR	13.40	13.63	13.21	13.45	694300.00
2004-08-30 15:30:00	:EXR	13.45	13.59	13.35	13.48	119100.00
2004-08-31 15:30:00	:EXR	13.54	13.80	13.00	13.80	261900.00
2004-09-01 15:30:00	:EXR	14.30	14.38	13.42	13.65	170900.00
2004-09-02 15:30:00	:EXR	13.65	13.88	13.10	13.79	149200.00
2004-09-03 15:30:00	:EXR	13.55	13.84	13.50	13.65	88600.00
2004-09-07 15:30:00	:EXR	13.55	13.85	13.46	13.80	101100.00
2004-09-08 15:30:00	:EXR	13.80	13.83	13.61	13.65	93800.00
2004-09-09 15:30:00	:EXR	13.65	13.71	13.41	13.49	113900.00
2004-09-10 15:30:00	:EXR	13.40	13.73	13.25	13.60	139900.00
2004-09-13 15:30:00	:EXR	13.10	13.75	12.94	13.71	223700.00
2004-09-14 15:30:00	:EXR	13.65	13.65	13.30	13.51	130000.00
2004-09-15 15:30:00	:EXR	13.30	13.55	13.09	13.35	138900.00
2004-09-16 15:30:00	:EXR	13.35	13.48	13.10	13.33	126300.00
2004-09-17 15:30:00	:EXR	12.55	13.64	12.55	13.64	400200.00
2004-09-20 15:30:00	:EXR	13.54	13.64	13.13	13.35	112300.00
2004-09-21 15:30:00	:EXR	13.30	13.60	13.28	13.47	243700.00
2004-09-22 15:30:00	:EXR	13.20	13.62	13.05	13.50	455800.00
2004-09-23 15:30:00	:EXR	13.40	13.65	13.22	13.29	211000.00
2004-09-24 15:30:00	:EXR	13.30	13.55	13.25	13.50	67600.00
2004-09-27 15:30:00	:EXR	13.55	13.55	12.93	13.05	182200.00
2004-09-28 15:30:00	:EXR	13.06	13.14	12.63	12.91	202900.00
2004-09-29 15:30:00	:EXR	13.11	13.12	12.60	12.88	159900.00
2004-09-30 15:30:00	:EXR	12.85	12.85	12.30	12.75	1201800.00
2004-10-01 15:30:00	:EXR	12.76	13.06	12.60	13.00	218500.00
2004-10-04 15:30:00	:EXR	13.01	13.05	12.90	12.94	122500.00
2004-10-05 15:30:00	:EXR	12.90	13.03	12.82	12.86	128300.00
2004-10-06 15:30:00	:EXR	12.86	13.15	12.86	13.10	447600.00
2004-10-07 15:30:00	:EXR	13.00	13.39	12.96	13.02	160200.00
2004-10-08 15:30:00	:EXR	13.05	13.22	13.00	13.22	118200.00
2004-10-11 15:30:00	:EXR	13.22	13.25	13.00	13.10	90300.00
2004-10-12 15:30:00	:EXR	13.10	13.25	12.97	13.10	69000.00
2004-10-13 15:30:00	:EXR	13.15	13.30	12.95	12.96	75500.00
2004-10-14 15:30:00	:EXR	12.96	13.06	12.93	13.06	44100.00
2004-10-15 15:30:00	:EXR	13.04	13.17	12.87	12.98	73600.00
2004-10-18 15:30:00	:EXR	13.05	13.40	12.91	13.12	52000.00
2004-10-19 15:30:00	:EXR	13.10	13.50	13.05	13.05	56200.00
2004-10-20 15:30:00	:EXR	12.95	13.10	12.85	13.10	57400.00
2004-10-21 15:30:00	:EXR	13.05	13.40	12.90	13.38	49900.00
2004-10-22 15:30:00	:EXR	13.38	13.50	13.29	13.30	75200.00
2004-10-25 15:30:00	:EXR	13.27	13.49	13.20	13.30	100100.00
2004-10-26 15:30:00	:EXR	13.25	13.70	13.20	13.55	137200.00
2004-10-27 15:30:00	:EXR	13.50	14.00	13.40	13.90	173800.00
2004-10-28 15:30:00	:EXR	14.00	14.26	13.80	13.92	107400.00
2004-10-29 15:30:00	:EXR	13.95	13.96	13.50	13.86	233700.00
2004-11-01 15:30:00	:EXR	13.76	13.96	13.59	13.74	60200.00
2004-11-02 15:30:00	:EXR	13.84	14.10	13.80	13.86	93500.00
2004-11-03 15:30:00	:EXR	13.90	14.05	13.60	13.90	85300.00
2004-11-04 15:30:00	:EXR	13.90	14.24	13.80	14.00	47500.00
2004-11-05 15:30:00	:EXR	14.00	14.15	13.80	14.05	55700.00
2004-11-08 15:30:00	:EXR	14.10	14.18	13.95	14.05	63500.00
2004-11-09 15:30:00	:EXR	14.05	14.24	13.80	14.08	129100.00
2004-11-10 15:30:00	:EXR	14.07	14.47	13.70	14.13	59300.00
2004-11-11 15:30:00	:EXR	14.13	14.20	14.00	14.15	44800.00
2004-11-12 15:30:00	:EXR	14.15	14.21	14.04	14.10	39100.00
2004-11-15 15:30:00	:EXR	14.10	14.55	13.85	14.35	133400.00
2004-11-16 15:30:00	:EXR	14.20	14.20	13.65	14.10	74900.00
2004-11-17 15:30:00	:EXR	14.15	14.39	14.10	14.20	120700.00
2004-11-18 15:30:00	:EXR	14.10	14.25	13.83	14.05	43800.00
2004-11-19 15:30:00	:EXR	14.06	14.15	13.91	14.05	22100.00
2004-11-22 15:30:00	:EXR	14.05	14.18	13.80	14.18	71600.00
2004-11-23 15:30:00	:EXR	14.40	14.40	13.70	14.14	108600.00
2004-11-24 15:30:00	:EXR	14.14	14.20	13.90	13.98	80900.00
2004-11-26 15:30:00	:EXR	13.98	14.00	13.86	13.90	25400.00
2004-11-29 15:30:00	:EXR	13.95	14.10	13.85	14.00	115500.00
2004-11-30 15:30:00	:EXR	14.10	14.10	13.71	13.90	83400.00
2004-12-01 15:30:00	:EXR	13.85	14.11	13.71	14.00	145900.00
2004-12-02 15:30:00	:EXR	14.05	14.25	14.05	14.20	46500.00
2004-12-03 15:30:00	:EXR	14.20	14.40	14.20	14.35	76300.00
2004-12-06 15:30:00	:EXR	14.45	14.45	14.00	14.15	94800.00
2004-12-07 15:30:00	:EXR	14.15	14.20	13.89	14.00	326800.00
2004-12-08 15:30:00	:EXR	14.01	14.15	14.00	14.05	621000.00
2004-12-09 15:30:00	:EXR	13.85	13.86	13.65	13.75	84700.00
2004-12-10 15:30:00	:EXR	13.75	13.79	13.58	13.68	83300.00
2004-12-13 15:30:00	:EXR	13.75	13.88	13.27	13.69	98600.00
2004-12-14 15:30:00	:EXR	13.58	13.70	13.45	13.51	139100.00
2004-12-15 15:30:00	:EXR	13.51	13.68	13.35	13.36	75000.00
2004-12-16 15:30:00	:EXR	13.36	13.60	13.26	13.39	192700.00
2004-12-17 15:30:00	:EXR	13.47	13.47	13.22	13.29	134800.00
2004-12-20 15:30:00	:EXR	13.20	13.40	13.19	13.28	63600.00
2004-12-21 15:30:00	:EXR	13.30	13.37	13.25	13.36	112300.00
2004-12-22 15:30:00	:EXR	13.36	13.60	13.26	13.56	71200.00
2004-12-23 15:30:00	:EXR	13.65	13.79	13.50	13.55	44100.00
2004-12-27 15:30:00	:EXR	13.55	13.67	13.32	13.43	31500.00
2004-12-28 15:30:00	:EXR	13.43	13.67	13.35	13.60	50400.00
2004-12-29 15:30:00	:EXR	13.65	13.66	13.20	13.35	58800.00
2004-12-30 15:30:00	:EXR	13.40	13.63	13.33	13.40	98600.00
2004-12-31 15:30:00	:EXR	13.50	13.50	13.26	13.33	43700.00
2005-01-03 15:30:00	:EXR	13.35	13.48	12.82	13.29	157500.00
2005-01-04 15:30:00	:EXR	13.40	13.80	13.40	13.42	74700.00
2005-01-05 15:30:00	:EXR	13.50	13.50	12.96	13.00	77900.00
2005-01-06 15:30:00	:EXR	13.10	13.58	13.00	13.45	60800.00
2005-01-07 15:30:00	:EXR	13.50	13.95	13.28	13.76	68600.00
2005-01-10 15:30:00	:EXR	13.66	13.72	13.40	13.41	123200.00
2005-01-11 15:30:00	:EXR	13.40	13.49	13.10	13.46	41800.00
2005-01-12 15:30:00	:EXR	13.55	13.57	13.11	13.50	120200.00
2005-01-13 15:30:00	:EXR	13.40	13.43	13.00	13.05	281100.00
2005-01-14 15:30:00	:EXR	13.25	13.86	13.19	13.86	525800.00
2005-01-18 15:30:00	:EXR	13.45	13.45	12.95	13.25	790700.00
2005-01-19 15:30:00	:EXR	13.20	13.44	12.80	13.30	1628200.00
2005-01-20 15:30:00	:EXR	13.40	13.40	13.10	13.15	229000.00
2005-01-21 15:30:00	:EXR	13.18	13.20	13.07	13.18	64500.00
2005-01-24 15:30:00	:EXR	13.17	13.25	13.13	13.23	162000.00
2005-01-25 15:30:00	:EXR	13.23	13.30	12.95	13.11	246300.00
2005-01-26 15:30:00	:EXR	13.20	13.20	12.80	12.95	93200.00
2005-01-27 15:30:00	:EXR	12.95	13.06	12.94	13.00	61500.00
2005-01-28 15:30:00	:EXR	13.10	13.10	12.80	12.94	114800.00
2005-01-31 15:30:00	:EXR	12.98	13.06	12.75	12.97	208200.00
2005-02-01 15:30:00	:EXR	12.97	13.09	12.95	13.05	283000.00
2005-02-02 15:30:00	:EXR	13.07	13.19	12.81	12.96	162300.00
