datetime	symbol	open	high	low	close	volume
2012-10-12 15:30:00	:FANG	17.82	18.28	17.50	17.50	6468590.00
2012-10-15 15:30:00	:FANG	17.55	17.83	17.50	17.75	633045.00
2012-10-16 15:30:00	:FANG	17.57	17.95	17.25	17.79	180249.00
2012-10-17 15:30:00	:FANG	17.70	18.07	17.50	17.70	120963.00
2012-10-18 15:30:00	:FANG	17.60	17.87	17.52	17.70	146014.00
2012-10-19 15:30:00	:FANG	17.72	17.80	17.41	17.41	298003.00
2012-10-22 15:30:00	:FANG	17.50	17.51	16.93	17.03	359738.00
2012-10-23 15:30:00	:FANG	16.85	17.30	16.75	17.13	166064.00
2012-10-24 15:30:00	:FANG	16.92	17.47	16.92	17.39	158165.00
2012-10-25 15:30:00	:FANG	17.98	17.98	16.25	17.03	206839.00
2012-10-26 15:30:00	:FANG	17.51	17.51	16.60	17.14	199414.00
2012-10-31 14:30:00	:FANG	16.50	17.03	16.50	17.03	36351.00
2012-11-01 14:30:00	:FANG	17.10	17.48	16.51	17.23	202951.00
2012-11-02 14:30:00	:FANG	16.99	17.23	16.56	17.00	72011.00
2012-11-05 15:30:00	:FANG	16.79	17.00	16.50	16.71	33296.00
2012-11-06 15:30:00	:FANG	16.52	17.48	16.09	17.01	370536.00
2012-11-07 15:30:00	:FANG	16.75	17.40	16.75	17.06	155770.00
2012-11-08 15:30:00	:FANG	16.29	17.27	16.29	16.75	141575.00
2012-11-09 15:30:00	:FANG	16.33	16.94	16.33	16.55	209549.00
2012-11-12 15:30:00	:FANG	16.46	16.55	16.36	16.50	12780.00
2012-11-13 15:30:00	:FANG	16.52	16.76	15.97	16.04	47581.00
2012-11-14 15:30:00	:FANG	15.97	16.47	15.65	16.05	123384.00
2012-11-15 15:30:00	:FANG	16.38	17.26	15.71	16.70	366964.00
2012-11-16 15:30:00	:FANG	16.91	17.69	16.27	16.82	104600.00
2012-11-19 15:30:00	:FANG	16.85	17.25	16.50	17.12	77185.00
2012-11-20 15:30:00	:FANG	17.14	17.29	16.83	17.13	251385.00
2012-11-21 15:30:00	:FANG	17.12	17.48	16.85	17.20	33045.00
2012-11-23 15:30:00	:FANG	17.25	17.55	17.06	17.32	93965.00
2012-11-26 15:30:00	:FANG	17.30	17.42	17.06	17.26	77338.00
2012-11-27 15:30:00	:FANG	17.07	17.33	16.93	17.23	55711.00
2012-11-28 15:30:00	:FANG	17.45	17.49	16.98	17.25	93914.00
2012-11-29 15:30:00	:FANG	17.46	18.35	17.20	18.16	164381.00
2012-11-30 15:30:00	:FANG	18.44	18.48	17.77	18.00	44179.00
