datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:FFIV	16.85	17.04	16.55	16.93	1333506.00
2004-04-08 15:30:00	:FFIV	17.05	17.15	16.84	17.09	1163524.00
2004-04-12 15:30:00	:FFIV	17.10	17.41	17.00	17.06	854766.00
2004-04-13 15:30:00	:FFIV	17.07	17.26	16.55	16.67	1075728.00
2004-04-14 15:30:00	:FFIV	16.43	16.70	15.92	16.36	1351560.00
2004-04-15 15:30:00	:FFIV	16.46	16.61	15.88	16.02	1350884.00
2004-04-16 15:30:00	:FFIV	15.99	16.00	15.30	15.40	1756940.00
2004-04-19 15:30:00	:FFIV	15.35	15.88	15.23	15.59	1767656.00
2004-04-20 15:30:00	:FFIV	15.69	15.97	15.07	15.07	1430396.00
2004-04-21 15:30:00	:FFIV	15.13	16.30	15.07	15.91	2650800.00
2004-04-22 15:30:00	:FFIV	16.09	16.14	14.71	15.54	5563980.00
2004-04-23 15:30:00	:FFIV	15.47	16.06	15.47	15.80	1808940.00
2004-04-26 15:30:00	:FFIV	15.79	16.10	15.31	15.38	1485572.00
2004-04-27 15:30:00	:FFIV	15.46	15.48	14.96	15.00	1103400.00
2004-04-28 15:30:00	:FFIV	15.00	15.10	14.41	14.44	1178216.00
2004-04-29 15:30:00	:FFIV	14.45	14.78	13.96	14.05	2437106.00
2004-04-30 15:30:00	:FFIV	14.05	14.20	12.62	12.75	2925932.00
2004-05-03 15:30:00	:FFIV	12.75	13.72	12.53	13.63	4025832.00
2004-05-04 15:30:00	:FFIV	13.65	14.04	13.28	13.79	2219464.00
2004-05-05 15:30:00	:FFIV	13.79	13.88	13.53	13.71	1416270.00
2004-05-06 15:30:00	:FFIV	13.53	13.65	13.06	13.45	1491278.00
2004-05-07 15:30:00	:FFIV	13.40	14.15	13.35	13.69	2580936.00
2004-05-10 15:30:00	:FFIV	13.56	13.62	12.76	13.09	1877324.00
2004-05-11 15:30:00	:FFIV	13.28	13.98	13.27	13.96	1494674.00
2004-05-12 15:30:00	:FFIV	13.96	13.96	13.15	13.71	1514162.00
2004-05-13 15:30:00	:FFIV	13.50	13.85	13.28	13.73	1280656.00
2004-05-14 15:30:00	:FFIV	13.71	13.83	13.30	13.51	1430404.00
2004-05-17 15:30:00	:FFIV	13.32	13.43	12.88	13.16	1835166.00
2004-05-18 15:30:00	:FFIV	13.25	13.57	13.23	13.32	940834.00
2004-05-19 15:30:00	:FFIV	13.62	14.25	13.61	13.72	1655128.00
2004-05-20 15:30:00	:FFIV	13.83	14.03	13.65	13.82	1413542.00
2004-05-21 15:30:00	:FFIV	13.86	14.11	13.65	13.79	913732.00
2004-05-24 15:30:00	:FFIV	14.00	14.38	13.91	14.09	1359890.00
2004-05-25 15:30:00	:FFIV	14.05	14.73	13.96	14.73	1473070.00
2004-05-26 15:30:00	:FFIV	14.71	15.14	14.62	14.94	1700260.00
2004-05-27 15:30:00	:FFIV	14.97	15.05	14.45	14.73	914174.00
2004-05-28 15:30:00	:FFIV	14.71	14.88	14.43	14.84	703094.00
2004-06-01 15:30:00	:FFIV	14.85	15.00	14.66	14.98	961770.00
2004-06-02 15:30:00	:FFIV	15.28	15.38	14.85	15.04	1818204.00
2004-06-03 15:30:00	:FFIV	14.93	14.97	13.77	14.10	4256544.00
2004-06-04 15:30:00	:FFIV	14.30	14.36	13.97	14.10	1939542.00
2004-06-07 15:30:00	:FFIV	14.20	14.29	13.84	14.05	2061150.00
2004-06-08 15:30:00	:FFIV	14.03	14.16	13.91	14.06	1213242.00
2004-06-09 15:30:00	:FFIV	14.03	14.03	13.44	13.46	1448964.00
2004-06-10 15:30:00	:FFIV	13.30	13.66	13.16	13.38	1607472.00
2004-06-14 15:30:00	:FFIV	13.28	13.30	12.68	13.02	1851982.00
2004-06-15 15:30:00	:FFIV	13.27	13.59	13.11	13.42	1373088.00
2004-06-16 15:30:00	:FFIV	13.38	13.38	11.90	12.11	7868632.00
2004-06-17 15:30:00	:FFIV	12.14	12.25	11.70	11.88	4171308.00
2004-06-18 15:30:00	:FFIV	11.76	12.27	11.66	11.78	3405700.00
2004-06-21 15:30:00	:FFIV	11.88	11.89	11.04	11.21	3441196.00
2004-06-22 15:30:00	:FFIV	11.20	11.75	10.93	11.70	4751292.00
2004-06-23 15:30:00	:FFIV	11.71	12.47	11.53	12.21	3739390.00
2004-06-24 15:30:00	:FFIV	12.31	12.48	11.95	12.41	3018964.00
2004-06-25 15:30:00	:FFIV	12.38	12.94	12.38	12.73	2019300.00
2004-06-28 15:30:00	:FFIV	12.75	12.95	12.59	12.66	1806342.00
2004-06-29 15:30:00	:FFIV	12.65	13.47	12.57	13.05	3381548.00
2004-06-30 15:30:00	:FFIV	13.05	13.37	12.85	13.24	2624992.00
2004-07-01 15:30:00	:FFIV	13.14	13.22	12.45	12.68	1715500.00
2004-07-02 15:30:00	:FFIV	12.74	12.74	12.39	12.64	1128314.00
2004-07-06 15:30:00	:FFIV	12.62	12.62	11.97	12.13	1078508.00
2004-07-07 15:30:00	:FFIV	12.04	12.31	11.86	12.03	1611824.00
2004-07-08 15:30:00	:FFIV	11.94	12.05	11.71	11.75	1659626.00
2004-07-09 15:30:00	:FFIV	11.75	12.38	11.75	12.12	1798116.00
2004-07-12 15:30:00	:FFIV	12.05	12.07	11.38	11.43	2315104.00
2004-07-13 15:30:00	:FFIV	11.41	11.62	11.29	11.38	1127050.00
2004-07-14 15:30:00	:FFIV	11.29	12.29	11.29	11.54	1836122.00
2004-07-15 15:30:00	:FFIV	11.53	12.21	11.53	11.73	1070196.00
2004-07-16 15:30:00	:FFIV	11.75	12.00	11.44	11.54	1658150.00
2004-07-19 15:30:00	:FFIV	11.57	11.57	10.70	11.09	1773048.00
2004-07-20 15:30:00	:FFIV	11.01	12.09	11.01	11.59	2328054.00
2004-07-21 15:30:00	:FFIV	11.75	11.86	10.84	11.20	2644238.00
2004-07-22 15:30:00	:FFIV	11.88	12.99	11.05	12.84	9870336.00
2004-07-23 15:30:00	:FFIV	12.73	12.84	12.17	12.33	2745120.00
2004-07-26 15:30:00	:FFIV	12.29	12.59	11.81	12.32	2410254.00
2004-07-27 15:30:00	:FFIV	12.38	13.60	12.32	13.47	4035056.00
2004-07-28 15:30:00	:FFIV	13.41	13.45	12.60	13.10	3769286.00
2004-07-29 15:30:00	:FFIV	13.11	13.50	13.11	13.36	2347062.00
2004-07-30 15:30:00	:FFIV	13.30	13.35	12.97	13.10	1547654.00
2004-08-02 15:30:00	:FFIV	13.03	13.07	12.61	12.69	2132264.00
2004-08-03 15:30:00	:FFIV	12.63	12.75	12.18	12.25	1910516.00
2004-08-04 15:30:00	:FFIV	12.22	12.68	12.15	12.50	1796824.00
2004-08-05 15:30:00	:FFIV	12.48	12.73	11.98	12.00	1158602.00
