datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:FICO	36.60	36.74	36.04	36.53	548000.00
2004-04-08 15:30:00	:FICO	36.50	36.60	36.11	36.26	455100.00
2004-04-12 15:30:00	:FICO	36.28	36.49	36.15	36.30	220400.00
2004-04-13 15:30:00	:FICO	36.48	36.50	35.90	35.94	319200.00
2004-04-14 15:30:00	:FICO	35.10	35.53	34.55	35.14	1133100.00
2004-04-15 15:30:00	:FICO	35.14	35.30	35.00	35.20	632100.00
2004-04-16 15:30:00	:FICO	35.20	36.22	35.12	36.18	950600.00
2004-04-19 15:30:00	:FICO	35.98	36.57	35.86	36.19	637200.00
2004-04-20 15:30:00	:FICO	36.19	36.77	36.19	36.40	704900.00
2004-04-21 15:30:00	:FICO	36.41	36.68	36.21	36.54	538700.00
2004-04-22 15:30:00	:FICO	36.54	36.96	36.40	36.89	381600.00
2004-04-23 15:30:00	:FICO	36.85	37.07	36.15	36.87	456800.00
2004-04-26 15:30:00	:FICO	36.70	36.85	35.62	35.75	725900.00
2004-04-27 15:30:00	:FICO	35.70	36.33	35.65	36.22	970600.00
2004-04-28 15:30:00	:FICO	36.22	36.65	36.08	36.31	653000.00
2004-04-29 15:30:00	:FICO	36.31	36.47	35.62	36.20	837500.00
2004-04-30 15:30:00	:FICO	32.50	34.05	32.40	33.72	4295500.00
2004-05-03 15:30:00	:FICO	33.72	34.20	33.34	34.07	902800.00
2004-05-04 15:30:00	:FICO	34.00	34.24	33.82	34.09	1006700.00
2004-05-05 15:30:00	:FICO	34.09	34.52	33.93	34.49	1281500.00
2004-05-06 15:30:00	:FICO	34.49	34.49	33.94	34.15	757200.00
2004-05-07 15:30:00	:FICO	34.15	34.60	33.85	33.99	490000.00
2004-05-10 15:30:00	:FICO	33.80	33.80	33.00	33.44	712200.00
2004-05-11 15:30:00	:FICO	33.50	34.00	33.41	33.68	942000.00
2004-05-12 15:30:00	:FICO	33.62	33.63	33.36	33.50	996400.00
2004-05-13 15:30:00	:FICO	33.54	34.18	33.50	34.11	687000.00
2004-05-14 15:30:00	:FICO	34.10	34.40	34.02	34.06	979800.00
2004-05-17 15:30:00	:FICO	34.06	34.07	33.45	33.54	547800.00
2004-05-18 15:30:00	:FICO	34.05	34.05	33.40	33.50	1653100.00
2004-05-19 15:30:00	:FICO	33.80	34.12	33.80	33.94	913100.00
2004-05-20 15:30:00	:FICO	33.90	34.00	33.30	33.40	1053000.00
2004-05-21 15:30:00	:FICO	33.45	34.00	33.36	33.99	938900.00
2004-05-24 15:30:00	:FICO	33.87	34.28	33.77	34.00	937600.00
2004-05-25 15:30:00	:FICO	34.05	34.80	33.70	34.78	587600.00
2004-05-26 15:30:00	:FICO	34.78	35.17	34.15	35.10	646400.00
2004-05-27 15:30:00	:FICO	35.10	35.10	34.39	34.75	427300.00
2004-05-28 15:30:00	:FICO	34.75	34.93	34.40	34.75	546400.00
2004-06-01 15:30:00	:FICO	34.55	34.85	34.42	34.68	564000.00
2004-06-02 15:30:00	:FICO	34.80	35.10	34.51	35.10	574900.00
2004-06-03 15:30:00	:FICO	34.50	34.50	33.49	33.65	972300.00
2004-06-04 15:30:00	:FICO	33.75	34.15	33.70	34.13	515100.00
2004-06-07 15:30:00	:FICO	34.13	34.30	33.93	34.27	815000.00
2004-06-08 15:30:00	:FICO	34.17	34.25	33.52	33.80	813000.00
2004-06-09 15:30:00	:FICO	33.75	33.75	32.85	32.97	1229100.00
2004-06-10 15:30:00	:FICO	33.20	33.40	32.72	33.34	1676800.00
2004-06-14 15:30:00	:FICO	33.14	33.40	32.97	33.10	573600.00
2004-06-15 15:30:00	:FICO	33.30	33.68	33.29	33.50	506700.00
2004-06-16 15:30:00	:FICO	33.47	33.59	33.39	33.44	383400.00
2004-06-17 15:30:00	:FICO	33.34	33.60	33.10	33.52	413000.00
2004-06-18 15:30:00	:FICO	33.46	33.78	33.46	33.60	296200.00
2004-06-21 15:30:00	:FICO	33.58	33.58	33.04	33.04	475700.00
2004-06-22 15:30:00	:FICO	33.04	33.15	32.80	33.08	1020400.00
2004-06-23 15:30:00	:FICO	33.08	33.60	32.90	33.60	367600.00
2004-06-24 15:30:00	:FICO	33.60	33.94	33.33	33.70	425000.00
2004-06-25 15:30:00	:FICO	33.75	34.09	33.71	34.09	532900.00
2004-06-28 15:30:00	:FICO	34.08	34.13	33.13	33.26	680900.00
2004-06-29 15:30:00	:FICO	33.26	33.38	32.93	33.14	779400.00
2004-06-30 15:30:00	:FICO	33.15	33.38	33.01	33.38	659100.00
2004-07-01 15:30:00	:FICO	33.23	33.42	33.03	33.17	473100.00
2004-07-02 15:30:00	:FICO	33.15	33.15	32.26	32.53	581400.00
2004-07-06 15:30:00	:FICO	32.51	32.60	31.93	32.14	477700.00
2004-07-07 15:30:00	:FICO	31.95	32.38	31.90	32.01	618700.00
2004-07-08 15:30:00	:FICO	32.08	32.10	31.46	31.50	1066100.00
2004-07-09 15:30:00	:FICO	31.60	31.78	31.28	31.32	472400.00
2004-07-12 15:30:00	:FICO	31.32	31.48	30.90	31.36	886900.00
2004-07-13 15:30:00	:FICO	26.01	26.50	23.70	24.00	12183398.00
2004-07-14 15:30:00	:FICO	24.00	25.20	24.00	25.07	3937600.00
2004-07-15 15:30:00	:FICO	25.45	25.87	25.44	25.75	2514600.00
2004-07-16 15:30:00	:FICO	25.80	25.82	25.34	25.46	1501000.00
2004-07-19 15:30:00	:FICO	25.80	26.72	25.79	26.57	1714900.00
2004-07-20 15:30:00	:FICO	26.69	27.23	26.62	27.02	2071300.00
2004-07-21 15:30:00	:FICO	27.02	27.18	26.62	26.87	1143300.00
2004-07-22 15:30:00	:FICO	26.75	26.75	25.90	26.52	1195000.00
2004-07-23 15:30:00	:FICO	26.52	26.57	26.10	26.31	409500.00
2004-07-26 15:30:00	:FICO	26.32	26.44	26.18	26.37	563800.00
2004-07-27 15:30:00	:FICO	26.37	27.10	26.25	26.75	923700.00
2004-07-28 15:30:00	:FICO	26.72	27.00	26.50	26.85	818500.00
2004-07-29 15:30:00	:FICO	27.10	29.20	27.10	28.44	2134400.00
2004-07-30 15:30:00	:FICO	28.38	28.88	28.17	28.58	932500.00
2004-08-02 15:30:00	:FICO	28.43	28.77	28.25	28.75	678500.00
2004-08-03 15:30:00	:FICO	28.74	28.74	28.11	28.62	974700.00
2004-08-04 15:30:00	:FICO	28.55	28.65	28.41	28.51	783500.00
2004-08-05 15:30:00	:FICO	28.47	28.54	27.46	27.51	797400.00
2004-08-06 15:30:00	:FICO	27.41	27.75	27.20	27.40	585300.00
