datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:FITB	55.05	55.69	54.85	55.49	3755560.00
2004-04-08 15:30:00	:FITB	55.70	56.35	55.34	56.31	2444928.00
2004-04-12 15:30:00	:FITB	56.34	56.95	56.31	56.91	1788729.00
2004-04-13 15:30:00	:FITB	56.85	57.00	54.66	55.02	2474210.00
2004-04-14 15:30:00	:FITB	54.88	54.91	53.23	54.36	2884042.00
2004-04-15 15:30:00	:FITB	54.23	54.31	52.92	53.47	3113594.00
2004-04-16 15:30:00	:FITB	54.00	55.06	53.79	54.69	3041791.00
2004-04-19 15:30:00	:FITB	54.56	54.70	54.24	54.40	1365793.00
2004-04-20 15:30:00	:FITB	54.63	55.00	54.30	54.32	1911048.00
2004-04-21 15:30:00	:FITB	54.32	55.00	54.03	54.72	2851781.00
2004-04-22 15:30:00	:FITB	54.48	55.80	54.33	55.15	1962153.00
2004-04-23 15:30:00	:FITB	55.03	55.50	54.50	55.17	1223392.00
2004-04-26 15:30:00	:FITB	55.09	55.47	54.86	55.00	1240263.00
2004-04-27 15:30:00	:FITB	55.42	55.46	54.73	54.94	1340692.00
2004-04-28 15:30:00	:FITB	54.57	54.99	54.10	54.19	1077196.00
2004-04-29 15:30:00	:FITB	54.25	54.82	53.64	53.96	1233497.00
2004-04-30 15:30:00	:FITB	54.63	54.63	53.54	53.72	1641494.00
2004-05-03 15:30:00	:FITB	53.67	53.75	53.02	53.50	1837797.00
2004-05-04 15:30:00	:FITB	53.45	54.27	53.26	53.50	1391745.00
2004-05-05 15:30:00	:FITB	54.31	54.52	53.60	53.77	1578611.00
2004-05-06 15:30:00	:FITB	53.62	53.75	52.95	53.06	1235334.00
2004-05-07 15:30:00	:FITB	52.69	52.93	51.40	51.54	2866428.00
2004-05-10 15:30:00	:FITB	51.32	52.78	51.17	51.50	3303968.00
2004-05-11 15:30:00	:FITB	51.62	52.25	51.51	51.74	2458161.00
2004-05-12 15:30:00	:FITB	51.21	52.92	51.13	52.76	2224478.00
2004-05-13 15:30:00	:FITB	52.51	53.73	52.51	53.40	2955687.00
2004-05-14 15:30:00	:FITB	53.20	53.68	53.08	53.11	2041895.00
2004-05-17 15:30:00	:FITB	52.81	53.03	52.68	52.83	1902115.00
2004-05-18 15:30:00	:FITB	52.96	53.12	52.73	52.88	1695395.00
2004-05-19 15:30:00	:FITB	53.21	53.49	52.84	52.89	1866804.00
2004-05-20 15:30:00	:FITB	52.89	52.94	52.25	52.62	1427171.00
2004-05-21 15:30:00	:FITB	52.78	53.50	52.70	53.40	2117430.00
2004-05-24 15:30:00	:FITB	53.57	53.75	53.34	53.62	1218901.00
2004-05-25 15:30:00	:FITB	53.65	54.43	53.41	54.15	1453543.00
2004-05-26 15:30:00	:FITB	54.26	54.90	54.08	54.62	1733992.00
2004-05-27 15:30:00	:FITB	54.98	55.00	54.52	54.92	1586354.00
2004-05-28 15:30:00	:FITB	55.02	55.02	54.07	54.29	1126337.00
2004-06-01 15:30:00	:FITB	54.04	54.41	53.95	53.98	2324979.00
2004-06-02 15:30:00	:FITB	54.06	54.34	53.87	54.03	1689301.00
2004-06-03 15:30:00	:FITB	53.97	54.39	53.88	53.96	1342725.00
2004-06-04 15:30:00	:FITB	54.05	54.84	54.05	54.25	1368410.00
2004-06-07 15:30:00	:FITB	54.53	55.42	54.53	55.24	1811055.00
2004-06-08 15:30:00	:FITB	55.02	55.24	54.70	55.02	1088953.00
2004-06-09 15:30:00	:FITB	55.20	56.20	55.16	55.52	1906342.00
2004-06-10 15:30:00	:FITB	55.45	55.65	55.29	55.52	777283.00
2004-06-14 15:30:00	:FITB	55.19	55.39	54.39	54.42	1267092.00
2004-06-15 15:30:00	:FITB	54.83	55.25	54.60	54.73	2018917.00
2004-06-16 15:30:00	:FITB	54.59	55.12	54.41	54.55	1243245.00
2004-06-17 15:30:00	:FITB	54.38	54.50	53.97	54.07	1002370.00
2004-06-18 15:30:00	:FITB	54.03	54.45	53.81	54.20	3584562.00
2004-06-21 15:30:00	:FITB	54.15	54.38	53.72	53.74	1294644.00
2004-06-22 15:30:00	:FITB	53.80	54.02	53.31	53.50	1690283.00
2004-06-23 15:30:00	:FITB	53.48	53.71	53.27	53.66	2586702.00
2004-06-24 15:30:00	:FITB	53.70	53.91	53.53	53.53	1503292.00
2004-06-25 15:30:00	:FITB	53.84	54.08	53.39	53.56	3922116.00
2004-06-28 15:30:00	:FITB	53.75	54.03	53.63	53.73	2116106.00
2004-06-29 15:30:00	:FITB	53.59	53.81	53.42	53.66	1789533.00
2004-06-30 15:30:00	:FITB	53.79	54.28	53.60	53.78	2209432.00
2004-07-01 15:30:00	:FITB	53.95	53.95	52.89	53.03	1514195.00
2004-07-02 15:30:00	:FITB	52.91	53.54	52.83	53.37	1059720.00
2004-07-06 15:30:00	:FITB	53.05	53.25	52.59	52.92	1364715.00
2004-07-07 15:30:00	:FITB	53.05	53.10	52.75	52.96	1405457.00
2004-07-08 15:30:00	:FITB	52.85	53.24	52.58	52.96	1471000.00
2004-07-09 15:30:00	:FITB	52.97	53.01	52.50	52.51	1518799.00
2004-07-12 15:30:00	:FITB	52.68	53.42	52.59	53.23	2234817.00
2004-07-13 15:30:00	:FITB	53.35	53.49	53.05	53.34	1669203.00
2004-07-14 15:30:00	:FITB	53.18	54.07	53.18	53.98	2588382.00
2004-07-15 15:30:00	:FITB	53.01	53.50	50.50	50.50	8242195.00
