datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:FI	8.57	8.71	8.56	8.58	10921584.00
2004-04-08 15:30:00	:FI	8.67	8.72	8.53	8.56	9073872.00
2004-04-12 15:30:00	:FI	8.59	8.67	8.56	8.67	3793724.00
2004-04-13 15:30:00	:FI	8.70	8.78	8.63	8.66	11060976.00
2004-04-14 15:30:00	:FI	8.65	8.73	8.58	8.65	7392408.00
2004-04-15 15:30:00	:FI	8.68	8.70	8.57	8.64	9582712.00
2004-04-16 15:30:00	:FI	8.69	8.69	8.53	8.59	6975204.00
2004-04-19 15:30:00	:FI	8.59	8.80	8.56	8.79	10517112.00
2004-04-20 15:30:00	:FI	8.78	8.90	8.65	8.65	8988852.00
2004-04-21 15:30:00	:FI	8.63	8.81	8.53	8.77	12327620.00
2004-04-22 15:30:00	:FI	9.24	10.25	9.24	10.21	47060868.00
2004-04-23 15:30:00	:FI	9.88	9.99	9.65	9.73	21892480.00
2004-04-26 15:30:00	:FI	9.73	9.78	9.44	9.46	10520232.00
2004-04-27 15:30:00	:FI	9.51	9.61	9.41	9.49	11166588.00
2004-04-28 15:30:00	:FI	9.49	9.59	9.28	9.35	9908756.00
2004-04-29 15:30:00	:FI	9.35	9.38	9.13	9.18	7088508.00
2004-04-30 15:30:00	:FI	9.24	9.30	9.12	9.16	7489840.00
2004-05-03 15:30:00	:FI	9.19	9.32	9.12	9.28	7133636.00
2004-05-04 15:30:00	:FI	9.19	9.29	9.09	9.16	5541448.00
2004-05-05 15:30:00	:FI	9.17	9.36	9.11	9.20	6408416.00
2004-05-06 15:30:00	:FI	9.09	9.21	8.96	9.05	6312240.00
2004-05-07 15:30:00	:FI	9.03	9.18	8.95	9.01	8876000.00
2004-05-10 15:30:00	:FI	9.01	9.17	8.94	9.09	8017408.00
2004-05-11 15:30:00	:FI	9.15	9.34	9.06	9.32	10633448.00
2004-05-12 15:30:00	:FI	9.26	9.40	9.19	9.36	9175388.00
2004-05-13 15:30:00	:FI	9.37	9.55	9.31	9.40	10118744.00
2004-05-14 15:30:00	:FI	9.37	9.50	9.25	9.32	7229676.00
2004-05-17 15:30:00	:FI	9.27	9.36	9.12	9.21	7419728.00
2004-05-18 15:30:00	:FI	9.28	9.38	9.22	9.23	9581596.00
2004-05-19 15:30:00	:FI	9.30	9.39	9.26	9.28	9132456.00
2004-05-20 15:30:00	:FI	9.24	9.26	9.07	9.11	9253044.00
2004-05-21 15:30:00	:FI	9.20	9.24	9.07	9.21	5880052.00
2004-05-24 15:30:00	:FI	9.25	9.33	9.18	9.29	4768388.00
2004-05-25 15:30:00	:FI	9.30	9.41	9.19	9.41	7116140.00
2004-05-26 15:30:00	:FI	9.37	9.41	9.27	9.35	7002216.00
2004-05-27 15:30:00	:FI	9.40	9.49	9.38	9.44	3731900.00
2004-05-28 15:30:00	:FI	9.43	9.49	9.36	9.43	4062316.00
2004-06-01 15:30:00	:FI	9.45	9.46	9.15	9.26	8496148.00
2004-06-02 15:30:00	:FI	9.29	9.30	9.16	9.21	4586044.00
2004-06-03 15:30:00	:FI	9.19	9.27	9.12	9.13	3202664.00
2004-06-04 15:30:00	:FI	9.20	9.34	9.18	9.21	4360596.00
2004-06-07 15:30:00	:FI	9.24	9.43	9.18	9.40	3729388.00
2004-06-08 15:30:00	:FI	9.38	9.44	9.36	9.43	3382672.00
2004-06-09 15:30:00	:FI	9.36	9.44	9.33	9.36	4009252.00
2004-06-10 15:30:00	:FI	9.38	9.45	9.34	9.39	3673036.00
2004-06-14 15:30:00	:FI	9.40	9.41	9.25	9.28	3509972.00
2004-06-15 15:30:00	:FI	9.37	9.55	9.28	9.46	4654552.00
2004-06-16 15:30:00	:FI	9.48	9.51	9.40	9.46	4250772.00
2004-06-17 15:30:00	:FI	9.52	9.52	9.32	9.50	4016176.00
2004-06-18 15:30:00	:FI	9.47	9.63	9.35	9.57	7891008.00
2004-06-21 15:30:00	:FI	9.62	9.67	9.56	9.61	5002732.00
2004-06-22 15:30:00	:FI	9.62	9.71	9.53	9.66	5949016.00
2004-06-23 15:30:00	:FI	9.68	9.68	9.48	9.65	5347300.00
2004-06-24 15:30:00	:FI	9.66	9.85	9.61	9.79	5383240.00
2004-06-25 15:30:00	:FI	9.83	9.84	9.68	9.76	6285796.00
2004-06-28 15:30:00	:FI	9.76	9.92	9.69	9.72	7854364.00
2004-06-29 15:30:00	:FI	9.68	9.85	9.68	9.77	4261832.00
2004-06-30 15:30:00	:FI	9.75	9.78	9.57	9.72	6574016.00
2004-07-01 15:30:00	:FI	9.68	9.76	9.47	9.47	5072740.00
2004-07-02 15:30:00	:FI	9.45	9.54	9.38	9.43	5473060.00
2004-07-06 15:30:00	:FI	9.45	9.52	9.37	9.37	4648488.00
2004-07-07 15:30:00	:FI	9.40	9.52	9.30	9.34	7288144.00
2004-07-08 15:30:00	:FI	9.32	9.37	9.17	9.18	4187576.00
2004-07-09 15:30:00	:FI	9.20	9.33	9.11	9.31	4278536.00
2004-07-12 15:30:00	:FI	9.21	9.32	9.15	9.28	3914332.00
2004-07-13 15:30:00	:FI	9.23	9.30	9.04	9.04	6265200.00
2004-07-14 15:30:00	:FI	9.04	9.04	8.93	8.96	6316496.00
2004-07-15 15:30:00	:FI	9.03	9.05	8.92	8.95	5141756.00
2004-07-16 15:30:00	:FI	9.00	9.10	8.95	9.00	6509420.00
2004-07-19 15:30:00	:FI	9.07	9.18	8.95	9.04	4805312.00
2004-07-20 15:30:00	:FI	9.09	9.21	9.00	9.21	3856568.00
2004-07-21 15:30:00	:FI	9.19	9.22	8.95	8.95	5275648.00
2004-07-22 15:30:00	:FI	8.94	8.96	8.43	8.62	16612240.00
2004-07-23 15:30:00	:FI	8.60	8.63	8.46	8.49	6256512.00
2004-07-26 15:30:00	:FI	8.51	8.57	8.27	8.49	5968416.00
2004-07-27 15:30:00	:FI	8.51	8.64	8.49	8.60	4700400.00
2004-07-28 15:30:00	:FI	8.55	8.62	8.36	8.56	5929024.00
2004-07-29 15:30:00	:FI	8.63	8.64	8.19	8.55	10649780.00
2004-07-30 15:30:00	:FI	8.47	8.62	8.44	8.56	6062448.00
2004-08-02 15:30:00	:FI	8.53	8.71	8.38	8.71	7937776.00
2004-08-03 15:30:00	:FI	8.68	8.69	8.52	8.54	6901320.00
2004-08-04 15:30:00	:FI	8.53	8.63	8.48	8.51	6715608.00
2004-08-05 15:30:00	:FI	8.50	8.50	8.27	8.29	6118824.00
2004-08-06 15:30:00	:FI	8.29	8.31	8.09	8.11	7167580.00
2004-08-09 15:30:00	:FI	8.10	8.23	8.05	8.19	8166376.00
2004-08-10 15:30:00	:FI	8.18	8.40	8.18	8.39	5607072.00
2004-08-11 15:30:00	:FI	8.34	8.39	8.29	8.34	4257284.00
2004-08-12 15:30:00	:FI	8.26	8.48	8.23	8.43	7761608.00
