datetime	symbol	open	high	low	close	volume
2019-03-13 14:30:00	:FOX	38.60	39.30	38.00	39.20	305985.00
2019-03-14 14:30:00	:FOX	39.50	40.65	39.32	39.96	279685.00
2019-03-15 14:30:00	:FOX	40.55	41.05	40.50	41.02	164177.00
2019-03-18 14:30:00	:FOX	41.73	41.73	40.47	40.86	581717.00
2019-03-19 14:30:00	:FOX	41.40	41.40	39.05	39.55	2540234.00
2019-03-20 14:30:00	:FOX	39.85	39.85	37.46	37.60	5147908.00
2019-03-21 14:30:00	:FOX	38.00	38.91	37.84	38.88	8865546.00
2019-03-22 14:30:00	:FOX	38.76	38.84	36.55	37.46	4902540.00
2019-03-25 14:30:00	:FOX	37.57	37.81	36.35	36.45	4035118.00
2019-03-26 14:30:00	:FOX	36.46	37.35	36.46	36.71	3350854.00
2019-03-27 14:30:00	:FOX	36.75	37.17	36.06	36.20	2871305.00
2019-03-28 14:30:00	:FOX	36.14	36.47	35.55	35.67	2220583.00
2019-03-29 14:30:00	:FOX	35.88	36.17	35.39	35.88	2679171.00
2019-04-01 15:30:00	:FOX	36.17	36.34	35.94	36.15	4338366.00
2019-04-02 15:30:00	:FOX	36.21	36.46	35.21	35.70	1491180.00
2019-04-03 15:30:00	:FOX	35.78	35.89	35.30	35.50	2831551.00
2019-04-04 15:30:00	:FOX	35.56	36.07	35.39	36.03	2223200.00
2019-04-05 15:30:00	:FOX	35.99	37.09	35.94	36.98	2116209.00
2019-04-08 15:30:00	:FOX	36.94	36.94	36.65	36.85	1928972.00
2019-04-09 15:30:00	:FOX	36.81	37.07	36.59	36.89	1793850.00
2019-04-10 15:30:00	:FOX	36.91	37.05	35.86	35.93	843636.00
2019-04-11 15:30:00	:FOX	35.98	36.50	35.53	36.41	978211.00
2019-04-12 15:30:00	:FOX	36.47	37.08	35.92	36.95	3175196.00
2019-04-15 15:30:00	:FOX	36.91	36.99	36.47	36.98	891220.00
2019-04-16 15:30:00	:FOX	37.11	37.28	36.93	37.21	1869325.00
2019-04-17 15:30:00	:FOX	37.18	38.25	37.18	38.21	2122111.00
2019-04-18 15:30:00	:FOX	38.34	38.37	37.92	37.92	2315174.00
2019-04-22 15:30:00	:FOX	37.84	37.88	37.11	37.24	1665002.00
2019-04-23 15:30:00	:FOX	37.22	37.82	37.07	37.60	5455096.00
2019-04-24 15:30:00	:FOX	37.51	37.76	37.33	37.45	1230821.00
2019-04-25 15:30:00	:FOX	37.48	37.68	37.04	37.64	1422924.00
2019-04-26 15:30:00	:FOX	37.80	37.94	37.40	37.91	2505690.00
2019-04-29 15:30:00	:FOX	37.74	38.91	37.69	38.73	1716829.00
2019-04-30 15:30:00	:FOX	38.59	38.78	37.89	38.50	1809965.00
2019-05-01 15:30:00	:FOX	38.66	38.80	38.09	38.74	1474972.00
