datetime	symbol	open	high	low	close	volume
2016-06-13 15:30:00	:FTV	35.96	35.96	35.96	35.96	119.00
2016-06-14 15:30:00	:FTV	37.63	39.26	37.63	39.26	239.00
2016-06-15 15:30:00	:FTV	39.30	39.30	39.30	39.30	1674.00
2016-06-17 15:30:00	:FTV	40.97	41.81	40.97	41.81	597.00
2016-06-22 15:30:00	:FTV	41.81	41.81	40.14	40.14	299103.00
2016-06-23 15:30:00	:FTV	40.64	40.64	40.55	40.55	283190.00
2016-06-24 15:30:00	:FTV	39.76	39.76	38.46	38.46	1737.00
2016-06-27 15:30:00	:FTV	38.91	40.14	38.46	38.61	10866.00
2016-06-28 15:30:00	:FTV	40.14	41.39	38.57	40.14	803287.00
2016-06-29 15:30:00	:FTV	40.30	41.81	40.22	40.48	6576.00
2016-06-30 15:30:00	:FTV	40.75	41.81	40.22	41.19	34798.00
2016-07-01 15:30:00	:FTV	41.70	41.81	40.33	41.42	390949.00
2016-07-05 15:30:00	:FTV	41.31	45.44	40.47	40.64	7451516.00
2016-07-06 15:30:00	:FTV	39.36	40.64	38.71	39.93	8020513.00
2016-07-07 15:30:00	:FTV	39.82	40.14	39.59	39.92	6561897.00
2016-07-08 15:30:00	:FTV	40.10	42.32	39.74	41.98	5074952.00
2016-07-11 15:30:00	:FTV	41.15	42.84	40.96	42.74	7226251.00
2016-07-12 15:30:00	:FTV	42.64	42.69	42.03	42.28	6640947.00
2016-07-13 15:30:00	:FTV	42.28	42.73	41.67	42.33	5817885.00
2016-07-14 15:30:00	:FTV	42.08	43.26	41.77	43.12	4163759.00
2016-07-15 15:30:00	:FTV	43.30	43.41	42.32	42.84	4412770.00
2016-07-18 15:30:00	:FTV	42.45	43.13	42.23	42.89	1862711.00
2016-07-19 15:30:00	:FTV	42.68	43.11	42.18	43.10	2337637.00
2016-07-20 15:30:00	:FTV	43.35	43.41	41.82	42.09	4008403.00
2016-07-21 15:30:00	:FTV	42.14	42.33	41.80	42.01	3632195.00
2016-07-22 15:30:00	:FTV	41.81	42.05	41.21	41.31	2930787.00
2016-07-25 15:30:00	:FTV	41.16	41.35	40.02	40.96	3641420.00
2016-07-26 15:30:00	:FTV	40.60	41.32	40.37	41.21	1879304.00
2016-07-27 15:30:00	:FTV	41.04	41.39	40.73	40.91	1947696.00
2016-07-28 15:30:00	:FTV	40.75	41.05	40.42	40.68	3495789.00
2016-07-29 15:30:00	:FTV	40.52	40.80	40.14	40.31	5362665.00
2016-08-01 15:30:00	:FTV	40.23	40.56	39.79	39.97	3565072.00
2016-08-02 15:30:00	:FTV	39.72	40.15	39.45	39.72	3907483.00
2016-08-03 15:30:00	:FTV	39.72	41.37	39.59	41.21	5632786.00
2016-08-04 15:30:00	:FTV	41.47	41.90	41.37	41.83	3643777.00
2016-08-05 15:30:00	:FTV	42.03	42.63	42.03	42.29	3188216.00
2016-08-08 15:30:00	:FTV	42.34	42.54	41.76	41.85	2531154.00
2016-08-09 15:30:00	:FTV	40.75	42.25	40.49	42.19	1289112.00
2016-08-10 15:30:00	:FTV	42.20	42.48	41.89	42.18	1414088.00
2016-08-11 15:30:00	:FTV	42.42	44.07	42.39	43.94	2383119.00
2016-08-12 15:30:00	:FTV	43.48	44.21	43.31	44.07	1540129.00
2016-08-15 15:30:00	:FTV	44.27	44.96	44.20	44.87	1743599.00
2016-08-16 15:30:00	:FTV	44.80	45.11	44.54	44.78	1198667.00
2016-08-17 15:30:00	:FTV	44.88	44.93	44.60	44.66	1234550.00
2016-08-18 15:30:00	:FTV	44.50	44.75	44.26	44.45	1046051.00
2016-08-19 15:30:00	:FTV	44.27	44.27	43.24	43.41	1430570.00
2016-08-22 15:30:00	:FTV	43.41	43.51	42.71	42.86	1293616.00
2016-08-23 15:30:00	:FTV	42.95	43.56	42.76	43.40	3006312.00
2016-08-24 15:30:00	:FTV	42.86	43.30	42.31	42.95	828536.00
2016-08-25 15:30:00	:FTV	42.79	43.39	42.63	43.16	1656212.00
2016-08-26 15:30:00	:FTV	43.18	43.76	43.09	43.37	1121264.00
2016-08-29 15:30:00	:FTV	43.30	44.14	43.11	43.82	1249571.00
2016-08-30 15:30:00	:FTV	43.64	44.71	43.64	43.99	1138675.00
2016-08-31 15:30:00	:FTV	43.87	44.17	43.48	44.04	1977598.00
2016-09-01 15:30:00	:FTV	44.28	44.41	43.60	44.01	1147346.00
2016-09-02 15:30:00	:FTV	44.33	44.71	44.16	44.63	1005546.00
2016-09-06 15:30:00	:FTV	44.73	44.78	43.72	44.09	1547287.00
2016-09-07 15:30:00	:FTV	43.84	44.42	43.50	44.27	2084755.00
2016-09-08 15:30:00	:FTV	44.05	44.28	43.71	43.76	1312896.00
2016-09-09 15:30:00	:FTV	43.29	43.49	42.27	42.27	2596021.00
2016-09-12 15:30:00	:FTV	41.82	43.01	41.69	42.82	2227364.00
2016-09-13 15:30:00	:FTV	42.53	42.98	41.78	41.84	1922008.00
2016-09-14 15:30:00	:FTV	41.85	42.23	41.51	41.82	1378043.00
2016-09-15 15:30:00	:FTV	41.79	42.31	41.39	42.22	1694908.00
2016-09-16 15:30:00	:FTV	41.90	42.13	41.32	42.03	2812678.00
2016-09-19 15:30:00	:FTV	42.15	42.98	42.13	42.46	1166403.00
2016-09-20 15:30:00	:FTV	42.46	42.71	41.98	42.02	1280176.00
2016-09-21 15:30:00	:FTV	42.20	42.65	41.99	42.63	1017551.00
2016-09-22 15:30:00	:FTV	42.94	43.47	42.89	43.18	1972355.00
2016-09-23 15:30:00	:FTV	42.90	43.13	42.35	42.54	965345.00
2016-09-26 15:30:00	:FTV	42.36	43.05	42.06	42.83	1275184.00
2016-09-27 15:30:00	:FTV	42.73	43.30	42.69	43.15	1430807.00
2016-09-28 15:30:00	:FTV	43.26	43.29	42.94	43.25	1083118.00
2016-09-29 15:30:00	:FTV	42.72	43.15	42.34	42.39	1743745.00
2016-09-30 15:30:00	:FTV	42.74	42.87	42.04	42.56	2334997.00
2016-10-03 15:30:00	:FTV	42.32	43.20	42.32	42.97	1628258.00
2016-10-04 15:30:00	:FTV	42.86	43.02	42.28	42.49	1450376.00
2016-10-05 15:30:00	:FTV	42.66	42.89	42.31	42.59	1057810.00
2016-10-06 15:30:00	:FTV	42.50	42.62	42.23	42.39	913710.00
2016-10-07 15:30:00	:FTV	42.23	42.49	41.70	41.75	1262499.00
2016-10-10 15:30:00	:FTV	42.00	42.08	41.72	41.77	1221256.00
2016-10-11 15:30:00	:FTV	41.74	41.94	40.99	41.16	1676533.00
2016-10-12 15:30:00	:FTV	41.31	41.31	40.68	40.96	1937435.00
2016-10-13 15:30:00	:FTV	40.66	41.54	40.14	40.82	1446560.00
2016-10-14 15:30:00	:FTV	41.03	41.75	40.81	41.36	1043267.00
2016-10-17 15:30:00	:FTV	41.44	41.47	40.90	41.02	1335315.00
2016-10-18 15:30:00	:FTV	41.52	42.08	40.97	41.05	1378492.00
2016-10-19 15:30:00	:FTV	41.20	41.64	40.52	41.30	908813.00
2016-10-20 15:30:00	:FTV	41.09	41.12	40.50	40.72	1697367.00
2016-10-21 15:30:00	:FTV	40.32	40.88	40.24	40.70	2041427.00
2016-10-24 15:30:00	:FTV	40.86	41.19	40.44	40.60	1518365.00
2016-10-25 15:30:00	:FTV	40.55	40.55	40.02	40.07	1530127.00
2016-10-26 15:30:00	:FTV	39.97	40.24	39.75	39.94	1883222.00
2016-10-27 15:30:00	:FTV	39.88	39.88	39.14	39.71	3760257.00
2016-10-28 15:30:00	:FTV	42.00	43.22	41.58	41.98	4758370.00
2016-10-31 14:30:00	:FTV	41.98	42.94	41.84	42.69	1867749.00
2016-11-01 14:30:00	:FTV	42.59	42.66	41.80	42.22	2123769.00
2016-11-02 14:30:00	:FTV	42.18	42.77	42.04	42.08	1052170.00
2016-11-03 14:30:00	:FTV	42.05	42.81	41.80	42.63	1370228.00
2016-11-04 14:30:00	:FTV	42.66	43.20	42.26	42.74	1875495.00
2016-11-07 15:30:00	:FTV	43.12	43.54	42.67	43.30	1690971.00
2016-11-08 15:30:00	:FTV	43.38	44.15	42.95	44.02	1394374.00
2016-11-09 15:30:00	:FTV	43.47	45.09	43.40	44.70	2001846.00
2016-11-10 15:30:00	:FTV	45.11	46.27	44.90	45.32	2148108.00
2016-11-11 15:30:00	:FTV	45.23	45.77	44.55	44.65	1711834.00
2016-11-14 15:30:00	:FTV	44.87	45.20	44.73	45.00	3145748.00
2016-11-15 15:30:00	:FTV	45.10	45.53	44.89	45.25	2037199.00
2016-11-16 15:30:00	:FTV	44.98	45.53	44.91	45.52	1833993.00
2016-11-17 15:30:00	:FTV	45.47	45.70	45.09	45.57	1115892.00
2016-11-18 15:30:00	:FTV	45.55	45.78	45.23	45.68	1452995.00
2016-11-21 15:30:00	:FTV	45.36	46.12	45.15	45.85	1663922.00
2016-11-22 15:30:00	:FTV	45.77	46.63	45.62	46.30	1594414.00
2016-11-23 15:30:00	:FTV	46.50	46.77	46.21	46.66	1259311.00
2016-11-25 15:30:00	:FTV	46.89	46.95	46.37	46.80	585142.00
2016-11-28 15:30:00	:FTV	46.89	47.03	46.26	46.48	1260672.00
2016-11-29 15:30:00	:FTV	46.29	46.81	46.16	46.22	1289173.00
2016-11-30 15:30:00	:FTV	46.53	46.95	45.82	45.98	5643532.00
2016-12-01 15:30:00	:FTV	46.11	46.16	45.15	45.31	3976855.00
2016-12-02 15:30:00	:FTV	45.40	46.01	45.16	45.55	3044176.00
2016-12-05 15:30:00	:FTV	45.80	45.90	44.79	45.08	1699192.00
2016-12-06 15:30:00	:FTV	45.13	45.25	44.77	45.15	2728345.00
2016-12-07 15:30:00	:FTV	45.15	45.49	44.66	45.35	3929485.00
2016-12-08 15:30:00	:FTV	45.46	45.54	44.68	44.89	2634826.00
2016-12-09 15:30:00	:FTV	44.74	45.29	44.58	45.15	1723780.00
2016-12-12 15:30:00	:FTV	45.05	45.46	44.94	45.14	1833653.00
2016-12-13 15:30:00	:FTV	45.39	45.53	44.53	45.03	3291242.00
2016-12-14 15:30:00	:FTV	45.06	46.27	45.04	45.36	1865270.00
2016-12-15 15:30:00	:FTV	45.33	46.23	45.09	45.83	1887277.00
2016-12-16 15:30:00	:FTV	45.87	46.01	45.49	45.85	3164583.00
2016-12-19 15:30:00	:FTV	45.83	46.01	45.48	45.96	1398440.00
2016-12-20 15:30:00	:FTV	46.19	46.37	45.83	46.03	1420631.00
2016-12-21 15:30:00	:FTV	45.96	45.96	45.09	45.25	1757777.00
2016-12-22 15:30:00	:FTV	45.25	45.97	44.89	45.23	1845700.00
2016-12-23 15:30:00	:FTV	45.43	45.79	44.96	45.58	623952.00
2016-12-27 15:30:00	:FTV	45.78	45.86	45.24	45.54	1094706.00
2016-12-28 15:30:00	:FTV	45.70	45.70	44.71	44.94	720833.00
2016-12-29 15:30:00	:FTV	45.14	45.27	44.81	45.16	594584.00
2016-12-30 15:30:00	:FTV	45.32	45.55	44.64	44.84	843650.00
2017-01-03 15:30:00	:FTV	45.06	45.31	44.31	44.93	1931531.00
2017-01-04 15:30:00	:FTV	45.25	45.60	45.13	45.36	1778497.00
2017-01-05 15:30:00	:FTV	45.43	45.74	44.91	45.10	1710164.00
2017-01-06 15:30:00	:FTV	45.07	45.32	44.64	45.04	1506890.00
2017-01-09 15:30:00	:FTV	45.17	45.32	44.81	44.93	888981.00
2017-01-10 15:30:00	:FTV	44.93	45.22	44.72	44.99	1568604.00
