datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:GD	46.44	46.73	46.20	46.50	1326800.00
2004-04-08 15:30:00	:GD	46.82	46.88	46.05	46.21	1088200.00
2004-04-12 15:30:00	:GD	46.23	46.87	46.20	46.71	710200.00
2004-04-13 15:30:00	:GD	46.84	46.94	46.12	46.21	1554800.00
2004-04-14 15:30:00	:GD	46.21	46.66	46.00	46.36	1720800.00
2004-04-15 15:30:00	:GD	46.45	46.64	45.54	46.04	1276600.00
2004-04-16 15:30:00	:GD	46.35	46.35	45.86	46.18	1033200.00
2004-04-19 15:30:00	:GD	46.10	46.23	45.41	45.53	1235600.00
2004-04-20 15:30:00	:GD	45.38	45.75	45.13	45.50	1602200.00
2004-04-21 15:30:00	:GD	45.92	46.68	45.67	45.98	2098600.00
2004-04-22 15:30:00	:GD	46.25	47.50	46.12	47.11	1640200.00
2004-04-23 15:30:00	:GD	47.36	47.46	46.80	47.41	1179600.00
2004-04-26 15:30:00	:GD	47.38	47.49	46.86	47.15	812600.00
2004-04-27 15:30:00	:GD	47.27	47.81	47.18	47.50	1553600.00
2004-04-28 15:30:00	:GD	47.65	47.73	46.41	46.48	1601400.00
2004-04-29 15:30:00	:GD	46.35	47.00	46.20	46.96	1916600.00
2004-04-30 15:30:00	:GD	47.02	47.07	46.50	46.81	1654200.00
2004-05-03 15:30:00	:GD	46.80	47.59	46.62	47.10	1903000.00
2004-05-04 15:30:00	:GD	47.18	47.58	46.93	47.31	1866800.00
2004-05-05 15:30:00	:GD	47.05	47.17	46.73	47.09	1645800.00
2004-05-06 15:30:00	:GD	47.04	47.40	46.73	46.94	1081800.00
2004-05-07 15:30:00	:GD	46.70	47.33	46.55	46.72	1548400.00
2004-05-10 15:30:00	:GD	46.48	46.50	45.82	46.15	1517600.00
2004-05-11 15:30:00	:GD	46.10	46.15	45.63	45.77	1465600.00
2004-05-12 15:30:00	:GD	45.55	46.43	45.30	46.36	1485000.00
2004-05-13 15:30:00	:GD	46.20	46.90	45.92	46.81	1688000.00
2004-05-14 15:30:00	:GD	46.81	47.66	46.51	47.59	2985000.00
2004-05-17 15:30:00	:GD	47.05	47.43	46.80	47.19	2086800.00
2004-05-18 15:30:00	:GD	47.25	47.47	47.19	47.25	2243000.00
2004-05-19 15:30:00	:GD	47.43	47.62	46.86	46.86	2022600.00
2004-05-20 15:30:00	:GD	46.78	46.80	46.25	46.61	1880200.00
2004-05-21 15:30:00	:GD	46.88	47.11	46.45	46.73	1402200.00
2004-05-24 15:30:00	:GD	46.93	47.46	46.62	46.83	982600.00
