datetime	symbol	open	high	low	close	volume
2022-12-15 15:30:00	:GEHC	63.00	63.00	60.00	60.00	1318232.00
2022-12-16 15:30:00	:GEHC	60.00	60.00	55.00	56.74	2307458.00
2022-12-19 15:30:00	:GEHC	53.00	58.99	53.00	56.50	117213.00
2022-12-20 15:30:00	:GEHC	58.00	58.00	56.76	57.21	22207.00
2022-12-21 15:30:00	:GEHC	59.00	66.28	55.50	56.96	290666.00
2022-12-22 15:30:00	:GEHC	58.43	61.02	57.00	57.60	3253239.00
2022-12-23 15:30:00	:GEHC	58.09	60.65	57.00	57.50	125766.00
2022-12-27 15:30:00	:GEHC	57.98	58.99	57.38	57.45	26524.00
2022-12-28 15:30:00	:GEHC	57.93	58.00	57.00	57.50	515235.00
2022-12-29 15:30:00	:GEHC	58.50	58.78	57.75	58.00	374807.00
2022-12-30 15:30:00	:GEHC	58.74	59.00	57.73	58.38	351145.00
2023-01-03 15:30:00	:GEHC	60.68	60.68	55.87	56.00	1794102.00
2023-01-04 15:30:00	:GEHC	54.13	60.71	53.50	60.49	33338528.00
2023-01-05 15:30:00	:GEHC	60.64	62.98	58.14	59.00	8850591.00
2023-01-06 15:30:00	:GEHC	59.68	59.94	57.87	58.95	5902804.00
2023-01-09 15:30:00	:GEHC	58.79	59.98	57.73	58.10	5288931.00
2023-01-10 15:30:00	:GEHC	59.15	60.06	58.05	60.00	6662990.00
2023-01-11 15:30:00	:GEHC	60.44	66.38	60.08	64.99	9219390.00
2023-01-12 15:30:00	:GEHC	66.09	66.52	63.66	65.65	5819815.00
2023-01-13 15:30:00	:GEHC	65.00	65.50	63.74	65.44	3772080.00
2023-01-17 15:30:00	:GEHC	63.94	65.73	63.26	63.33	3774703.00
2023-01-18 15:30:00	:GEHC	63.20	63.50	61.99	62.08	2610293.00
2023-01-19 15:30:00	:GEHC	61.33	64.50	61.30	63.94	2585604.00
2023-01-20 15:30:00	:GEHC	63.96	67.82	63.54	66.77	4001585.00
2023-01-23 15:30:00	:GEHC	67.35	69.91	66.78	69.52	3724076.00
2023-01-24 15:30:00	:GEHC	69.03	70.63	68.71	69.60	2590993.00
2023-01-25 15:30:00	:GEHC	68.46	69.70	66.95	68.71	2802081.00
2023-01-26 15:30:00	:GEHC	68.51	69.45	67.80	69.22	2075885.00
2023-01-27 15:30:00	:GEHC	68.86	70.51	68.36	70.08	2810636.00
2023-01-30 15:30:00	:GEHC	68.41	73.95	67.92	71.50	4259947.00
2023-01-31 15:30:00	:GEHC	71.01	71.11	68.50	69.52	3084275.00
2023-02-01 15:30:00	:GEHC	69.00	70.74	67.53	70.01	2698934.00
2023-02-02 15:30:00	:GEHC	69.59	71.89	69.00	70.65	2775957.00
2023-02-03 15:30:00	:GEHC	69.63	70.63	69.10	70.55	3075109.00
2023-02-06 15:30:00	:GEHC	69.91	72.35	69.54	71.86	2227368.00
2023-02-07 15:30:00	:GEHC	71.58	72.20	71.10	71.63	1932266.00
2023-02-08 15:30:00	:GEHC	71.21	71.42	70.02	70.17	1111919.00
2023-02-09 15:30:00	:GEHC	70.25	70.98	68.21	68.41	1186247.00
2023-02-10 15:30:00	:GEHC	68.20	69.54	68.19	69.24	1968068.00
2023-02-13 15:30:00	:GEHC	68.52	69.87	67.91	69.43	2223241.00
