datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:GEN	23.95	24.06	23.50	23.75	6922286.00
2004-04-08 15:30:00	:GEN	23.86	24.10	23.78	23.93	6847964.00
2004-04-12 15:30:00	:GEN	24.10	24.70	24.05	24.39	6001498.00
2004-04-13 15:30:00	:GEN	24.61	24.89	23.85	24.17	8250880.00
2004-04-14 15:30:00	:GEN	24.12	24.51	23.82	24.04	6817608.00
2004-04-15 15:30:00	:GEN	23.91	24.00	23.35	23.54	7990758.00
2004-04-16 15:30:00	:GEN	23.65	23.68	22.77	22.83	11830334.00
2004-04-19 15:30:00	:GEN	22.79	23.82	22.79	23.75	9047358.00
2004-04-20 15:30:00	:GEN	23.90	24.56	23.51	23.59	12419608.00
2004-04-21 15:30:00	:GEN	23.56	23.95	23.32	23.64	8527920.00
2004-04-22 15:30:00	:GEN	23.55	24.94	23.55	24.68	8904990.00
2004-04-23 15:30:00	:GEN	24.30	24.59	24.04	24.36	7176220.00
2004-04-26 15:30:00	:GEN	24.38	24.93	24.30	24.46	8092878.00
2004-04-27 15:30:00	:GEN	24.64	25.44	24.37	24.42	14404740.00
2004-04-28 15:30:00	:GEN	24.25	24.37	23.26	23.55	14474060.00
2004-04-29 15:30:00	:GEN	22.77	24.20	22.77	23.61	17187202.00
2004-04-30 15:30:00	:GEN	23.59	23.71	22.39	22.53	11348350.00
2004-05-03 15:30:00	:GEN	22.70	23.75	22.70	23.52	12479272.00
2004-05-04 15:30:00	:GEN	23.55	24.82	23.51	24.57	10139130.00
2004-05-05 15:30:00	:GEN	24.65	24.82	24.15	24.52	7444900.00
2004-05-06 15:30:00	:GEN	24.21	24.61	23.96	24.47	7546512.00
2004-05-07 15:30:00	:GEN	24.29	24.88	24.05	24.12	7938504.00
2004-05-10 15:30:00	:GEN	23.68	23.78	23.27	23.45	9195716.00
2004-05-11 15:30:00	:GEN	23.69	23.89	23.46	23.79	6399458.00
2004-05-12 15:30:00	:GEN	23.64	23.91	22.93	23.55	10274444.00
2004-05-13 15:30:00	:GEN	23.30	24.03	23.25	23.94	8118486.00
2004-05-14 15:30:00	:GEN	23.95	24.36	23.73	24.00	8119374.00
2004-05-17 15:30:00	:GEN	23.70	24.09	23.59	23.61	5985824.00
2004-05-18 15:30:00	:GEN	23.87	23.93	23.09	23.32	9170326.00
2004-05-19 15:30:00	:GEN	23.59	24.16	23.43	23.54	7438256.00
2004-05-20 15:30:00	:GEN	23.45	23.77	23.16	23.30	9166772.00
2004-05-21 15:30:00	:GEN	23.55	23.75	23.25	23.40	5340598.00
2004-05-24 15:30:00	:GEN	23.52	23.60	23.00	23.09	8541224.00
2004-05-25 15:30:00	:GEN	23.02	23.16	22.10	23.16	16541436.00
2004-05-26 15:30:00	:GEN	22.95	23.00	22.21	22.50	14784716.00
2004-05-27 15:30:00	:GEN	22.52	22.88	22.30	22.82	14212092.00
2004-05-28 15:30:00	:GEN	23.04	23.07	22.47	22.85	6039116.00
2004-06-01 15:30:00	:GEN	22.46	22.79	21.85	22.17	10825474.00
2004-06-02 15:30:00	:GEN	22.37	22.80	22.10	22.56	10958374.00
2004-06-03 15:30:00	:GEN	22.62	23.09	22.46	22.93	11214146.00
2004-06-04 15:30:00	:GEN	23.15	23.46	23.06	23.19	7632936.00
2004-06-07 15:30:00	:GEN	23.30	23.34	22.79	23.15	10843388.00
2004-06-08 15:30:00	:GEN	23.11	23.14	22.67	23.00	8828100.00
2004-06-09 15:30:00	:GEN	22.81	22.91	21.91	21.93	11365288.00
2004-06-10 15:30:00	:GEN	22.15	22.43	22.01	22.12	10336866.00
2004-06-14 15:30:00	:GEN	21.98	22.07	21.40	21.50	9075514.00
2004-06-15 15:30:00	:GEN	20.67	21.37	20.20	21.21	32399374.00
2004-06-16 15:30:00	:GEN	21.04	21.13	20.26	20.39	16129186.00
2004-06-17 15:30:00	:GEN	20.22	20.78	19.88	20.44	19657748.00
2004-06-18 15:30:00	:GEN	20.33	20.61	20.00	20.00	12503810.00
2004-06-21 15:30:00	:GEN	20.02	20.72	20.00	20.36	11390990.00
2004-06-22 15:30:00	:GEN	20.04	20.28	19.71	20.08	20358646.00
2004-06-23 15:30:00	:GEN	20.06	20.76	20.01	20.65	12406044.00
2004-06-24 15:30:00	:GEN	20.70	21.25	20.70	20.87	10920646.00
2004-06-25 15:30:00	:GEN	21.19	21.43	20.95	21.07	12551178.00
2004-06-28 15:30:00	:GEN	21.50	21.65	21.27	21.52	12811600.00
2004-06-29 15:30:00	:GEN	21.57	21.75	21.47	21.70	6575470.00
2004-06-30 15:30:00	:GEN	21.79	22.00	21.56	21.89	11199896.00
2004-07-01 15:30:00	:GEN	21.94	22.05	21.21	21.46	10803310.00
2004-07-02 15:30:00	:GEN	21.55	21.61	21.25	21.47	4868188.00
2004-07-06 15:30:00	:GEN	21.28	21.28	20.69	20.81	8604280.00
2004-07-07 15:30:00	:GEN	20.74	21.32	20.70	21.12	6752768.00
2004-07-08 15:30:00	:GEN	20.95	21.12	20.38	20.55	10254224.00
2004-07-09 15:30:00	:GEN	20.49	20.95	20.37	20.55	7480454.00
2004-07-12 15:30:00	:GEN	20.40	20.61	20.20	20.57	6800564.00
2004-07-13 15:30:00	:GEN	20.54	20.60	20.18	20.30	5584462.00
2004-07-14 15:30:00	:GEN	20.07	20.60	20.00	20.25	7357014.00
2004-07-15 15:30:00	:GEN	20.31	20.99	20.14	20.85	11000482.00
2004-07-16 15:30:00	:GEN	21.02	21.17	20.22	20.28	7687134.00
2004-07-19 15:30:00	:GEN	20.40	20.82	20.08	20.38	7262416.00
2004-07-20 15:30:00	:GEN	20.38	21.55	20.35	21.55	11884146.00
2004-07-21 15:30:00	:GEN	21.55	22.00	20.41	21.52	20886904.00
2004-07-22 15:30:00	:GEN	22.01	22.11	20.44	21.45	19111366.00
2004-07-23 15:30:00	:GEN	21.25	21.76	21.02	21.51	9866350.00
2004-07-26 15:30:00	:GEN	21.38	21.57	21.20	21.52	10376646.00
2004-07-27 15:30:00	:GEN	21.41	22.56	21.36	22.46	11490154.00
2004-07-28 15:30:00	:GEN	22.05	22.85	22.04	22.48	10173388.00
