datetime	symbol	open	high	low	close	volume
2010-11-18 15:30:00	:GM	35.00	35.99	33.89	34.19	458097664.00
2010-11-19 15:30:00	:GM	34.15	34.50	33.11	34.26	107863184.00
2010-11-22 15:30:00	:GM	34.20	34.48	33.81	34.08	36657280.00
2010-11-23 15:30:00	:GM	33.95	33.99	33.19	33.25	31205504.00
2010-11-24 15:30:00	:GM	33.73	33.80	33.22	33.48	26147936.00
2010-11-26 15:30:00	:GM	33.41	33.81	33.21	33.81	12301246.00
2010-11-29 15:30:00	:GM	33.80	33.81	33.07	33.80	27779600.00
2010-11-30 15:30:00	:GM	33.53	34.25	33.36	34.20	57483408.00
2010-12-01 15:30:00	:GM	34.65	34.95	34.42	34.78	34636720.00
2010-12-02 15:30:00	:GM	34.92	34.98	34.51	34.68	23252032.00
2010-12-03 15:30:00	:GM	34.55	34.60	33.97	34.55	19397104.00
2010-12-06 15:30:00	:GM	34.48	34.78	34.41	34.48	11679340.00
2010-12-07 15:30:00	:GM	34.75	34.89	34.46	34.68	20823728.00
2010-12-08 15:30:00	:GM	34.61	34.73	34.33	34.45	12606031.00
2010-12-09 15:30:00	:GM	34.36	34.43	33.62	33.74	18411072.00
2010-12-10 15:30:00	:GM	33.85	33.99	33.53	33.81	11748582.00
2010-12-13 15:30:00	:GM	33.96	34.05	33.70	33.80	11098316.00
2010-12-14 15:30:00	:GM	33.73	33.92	33.45	33.89	15223980.00
2010-12-15 15:30:00	:GM	33.81	34.01	33.61	33.61	10183633.00
2010-12-16 15:30:00	:GM	33.57	33.86	33.56	33.61	9887418.00
2010-12-17 15:30:00	:GM	33.53	34.00	33.19	34.00	35682192.00
2010-12-20 15:30:00	:GM	33.91	34.05	33.74	33.76	12478176.00
2010-12-21 15:30:00	:GM	33.86	33.94	33.72	33.85	9012934.00
2010-12-22 15:30:00	:GM	33.72	34.95	33.53	34.92	20943968.00
2010-12-23 15:30:00	:GM	34.67	35.52	34.62	34.81	20530864.00
2010-12-27 15:30:00	:GM	34.41	34.89	34.19	34.60	7369559.00
2010-12-28 15:30:00	:GM	35.38	35.67	35.07	35.32	23504032.00
2010-12-29 15:30:00	:GM	35.47	36.30	35.25	36.02	20977856.00
2010-12-30 15:30:00	:GM	36.10	36.98	36.02	36.82	16992768.00
2010-12-31 15:30:00	:GM	36.84	36.96	36.57	36.86	6169578.00
2011-01-03 15:30:00	:GM	37.32	38.00	37.03	37.06	24887520.00
2011-01-04 15:30:00	:GM	37.10	37.99	36.68	37.90	32363328.00
2011-01-05 15:30:00	:GM	37.47	38.30	37.47	38.07	22504704.00
2011-01-06 15:30:00	:GM	38.24	39.48	38.07	38.90	38574800.00
2011-01-07 15:30:00	:GM	38.84	39.33	38.51	38.98	19903440.00
2011-01-10 15:30:00	:GM	39.34	39.36	38.44	38.56	18345008.00
2011-01-11 15:30:00	:GM	38.66	39.43	38.51	38.75	14865844.00
2011-01-12 15:30:00	:GM	38.95	39.37	38.37	38.62	16773867.00
2011-01-13 15:30:00	:GM	38.66	38.71	38.11	38.27	11366758.00
2011-01-14 15:30:00	:GM	38.18	38.47	38.04	38.20	5897148.00
2011-01-18 15:30:00	:GM	38.05	38.33	37.32	38.03	8919039.00
2011-01-19 15:30:00	:GM	37.78	37.93	37.26	37.40	12667645.00
2011-01-20 15:30:00	:GM	37.11	37.29	36.27	37.18	15845621.00
2011-01-21 15:30:00	:GM	37.33	37.85	36.82	37.24	9548691.00
2011-01-24 15:30:00	:GM	37.71	37.86	37.03	37.64	12202832.00
2011-01-25 15:30:00	:GM	37.85	38.49	37.71	38.40	12322633.00
2011-01-26 15:30:00	:GM	38.75	38.91	37.86	37.89	11538199.00
2011-01-27 15:30:00	:GM	38.20	38.95	38.03	38.67	13952195.00
2011-01-28 15:30:00	:GM	38.00	38.02	36.01	36.60	37136048.00
2011-01-31 15:30:00	:GM	36.89	37.05	35.89	36.49	13958195.00
2011-02-01 15:30:00	:GM	36.93	37.23	36.13	36.45	28094544.00
2011-02-02 15:30:00	:GM	36.46	36.56	35.58	35.68	17444688.00
