datetime	symbol	open	high	low	close	volume
2010-02-11 15:30:00	:GNRC	9.75	9.94	9.30	9.63	12823448.00
2010-02-12 15:30:00	:GNRC	9.57	10.06	9.57	10.06	1178666.00
2010-02-16 15:30:00	:GNRC	10.05	10.06	9.68	9.99	222516.00
2010-02-17 15:30:00	:GNRC	9.91	10.50	9.90	9.97	533822.00
2010-02-18 15:30:00	:GNRC	9.82	9.86	9.64	9.77	536382.00
2010-02-19 15:30:00	:GNRC	9.75	9.92	9.68	9.92	434038.00
2010-02-22 15:30:00	:GNRC	9.96	10.28	9.79	9.82	253132.00
2010-02-23 15:30:00	:GNRC	9.79	9.97	9.76	9.80	146636.00
2010-02-24 15:30:00	:GNRC	9.75	9.79	9.69	9.79	48940.00
2010-02-25 15:30:00	:GNRC	9.75	9.90	9.74	9.90	256682.00
2010-02-26 15:30:00	:GNRC	9.77	10.15	9.76	10.07	96073.00
2010-03-01 15:30:00	:GNRC	10.12	10.16	9.83	9.94	122846.00
2010-03-02 15:30:00	:GNRC	9.94	10.04	9.79	9.92	133842.00
2010-03-03 15:30:00	:GNRC	9.84	9.95	9.78	9.86	52914.00
2010-03-04 15:30:00	:GNRC	9.78	10.01	9.76	9.94	71345.00
2010-03-05 15:30:00	:GNRC	9.90	9.90	9.79	9.82	58656.00
2010-03-08 15:30:00	:GNRC	9.85	10.16	9.83	10.11	43550.00
2010-03-09 15:30:00	:GNRC	10.02	10.19	9.91	10.19	40909.00
2010-03-10 15:30:00	:GNRC	10.05	10.37	10.04	10.31	101258.00
2010-03-11 15:30:00	:GNRC	10.13	10.57	10.12	10.49	170176.00
2010-03-12 15:30:00	:GNRC	10.38	10.65	10.28	10.61	196062.00
2010-03-15 14:30:00	:GNRC	10.50	11.77	10.50	11.24	550733.00
2010-03-16 14:30:00	:GNRC	11.48	11.84	10.99	11.50	386281.00
2010-03-17 14:30:00	:GNRC	11.45	11.62	10.79	11.55	224281.00
2010-03-18 14:30:00	:GNRC	11.47	11.59	11.41	11.54	51462.00
2010-03-19 14:30:00	:GNRC	11.34	11.62	10.72	11.55	272236.00
2010-03-22 14:30:00	:GNRC	11.43	11.59	11.28	11.33	128030.00
2010-03-23 14:30:00	:GNRC	11.38	11.80	11.10	11.36	228892.00
2010-03-24 14:30:00	:GNRC	11.33	11.45	11.19	11.38	75040.00
2010-03-25 14:30:00	:GNRC	11.27	11.38	11.11	11.27	67173.00
2010-03-26 14:30:00	:GNRC	11.18	11.58	10.88	11.06	353869.00
2010-03-29 15:30:00	:GNRC	10.13	10.96	10.13	10.81	468458.00
2010-03-30 15:30:00	:GNRC	11.06	11.39	10.54	10.61	339457.00
2010-03-31 15:30:00	:GNRC	10.69	10.79	10.37	10.51	2040757.00
2010-04-01 15:30:00	:GNRC	10.54	10.78	10.46	10.72	266993.00
2010-04-05 15:30:00	:GNRC	10.81	10.90	10.74	10.80	131462.00
2010-04-06 15:30:00	:GNRC	10.69	11.12	10.61	11.09	96890.00
2010-04-07 15:30:00	:GNRC	11.03	11.18	10.91	11.18	88357.00
2010-04-08 15:30:00	:GNRC	11.18	11.55	11.08	11.54	83998.00
2010-04-09 15:30:00	:GNRC	11.44	11.54	11.40	11.48	127869.00
2010-04-12 15:30:00	:GNRC	11.51	11.65	11.40	11.43	122038.00
2010-04-13 15:30:00	:GNRC	11.37	11.56	11.13	11.41	109240.00
2010-04-14 15:30:00	:GNRC	11.51	11.62	11.32	11.42	175889.00
2010-04-15 15:30:00	:GNRC	11.50	11.56	11.40	11.47	294088.00
2010-04-16 15:30:00	:GNRC	11.50	11.65	11.41	11.47	112092.00
2010-04-19 15:30:00	:GNRC	11.45	11.56	11.23	11.44	62589.00
2010-04-20 15:30:00	:GNRC	11.45	11.45	11.29	11.39	122476.00
2010-04-21 15:30:00	:GNRC	11.41	11.56	11.36	11.48	62161.00
2010-04-22 15:30:00	:GNRC	11.45	11.56	11.38	11.55	112220.00
2010-04-23 15:30:00	:GNRC	11.52	11.52	11.39	11.51	79658.00
2010-04-26 15:30:00	:GNRC	11.47	11.50	11.36	11.42	169169.00
2010-04-27 15:30:00	:GNRC	11.41	11.46	11.32	11.41	75324.00
2010-04-28 15:30:00	:GNRC	11.42	11.47	11.25	11.41	112965.00
2010-04-29 15:30:00	:GNRC	11.46	11.47	11.25	11.44	72022.00
2010-04-30 15:30:00	:GNRC	11.38	11.59	11.27	11.32	123652.00
2010-05-03 15:30:00	:GNRC	11.32	11.40	11.22	11.38	96684.00
2010-05-04 15:30:00	:GNRC	11.36	11.36	10.94	11.11	133058.00
2010-05-05 15:30:00	:GNRC	11.11	11.17	10.93	11.02	153238.00
2010-05-06 15:30:00	:GNRC	10.99	11.24	10.20	10.57	126076.00
2010-05-07 15:30:00	:GNRC	10.50	10.50	10.06	10.14	204705.00
2010-05-10 15:30:00	:GNRC	10.31	10.45	9.97	10.23	210158.00
2010-05-11 15:30:00	:GNRC	10.15	10.69	10.12	10.59	80938.00
2010-05-12 15:30:00	:GNRC	10.63	10.67	10.40	10.59	122525.00
2010-05-13 15:30:00	:GNRC	10.46	10.57	10.28	10.33	689213.00
2010-05-14 15:30:00	:GNRC	10.28	10.37	10.06	10.11	108262.00
2010-05-17 15:30:00	:GNRC	10.17	10.18	9.76	9.83	143869.00
2010-05-18 15:30:00	:GNRC	9.99	9.99	9.61	9.68	415726.00
2010-05-19 15:30:00	:GNRC	9.61	9.82	9.35	9.73	175080.00
2010-05-20 15:30:00	:GNRC	9.62	9.62	9.02	9.03	108794.00
2010-05-21 15:30:00	:GNRC	8.95	8.99	8.75	8.87	182837.00
2010-05-24 15:30:00	:GNRC	8.85	8.85	8.47	8.47	289908.00
2010-05-25 15:30:00	:GNRC	8.34	8.34	7.93	8.14	254440.00
2010-05-26 15:30:00	:GNRC	8.18	8.21	8.05	8.16	197492.00
2010-05-27 15:30:00	:GNRC	8.26	8.32	8.14	8.26	137585.00
2010-05-28 15:30:00	:GNRC	8.24	8.30	8.20	8.24	287336.00
2010-06-01 15:30:00	:GNRC	8.21	8.26	7.98	7.99	77993.00
2010-06-02 15:30:00	:GNRC	8.06	8.96	7.95	8.95	152713.00
2010-06-03 15:30:00	:GNRC	8.86	9.75	8.86	9.73	66745.00
2010-06-04 15:30:00	:GNRC	9.50	9.78	9.26	9.32	189402.00
2010-06-07 15:30:00	:GNRC	9.40	9.55	9.23	9.38	101844.00
2010-06-08 15:30:00	:GNRC	9.38	9.62	9.22	9.58	64216.00
2010-06-09 15:30:00	:GNRC	9.62	9.86	9.37	9.44	91333.00
2010-06-10 15:30:00	:GNRC	9.49	9.73	9.40	9.63	83814.00
2010-06-11 15:30:00	:GNRC	9.57	9.86	9.53	9.84	79118.00
2010-06-14 15:30:00	:GNRC	9.89	10.24	9.86	10.05	155280.00
2010-06-15 15:30:00	:GNRC	10.07	10.49	10.01	10.39	300401.00
2010-06-16 15:30:00	:GNRC	10.34	10.42	10.12	10.15	87577.00
2010-06-17 15:30:00	:GNRC	10.24	10.34	10.06	10.25	52672.00
2010-06-18 15:30:00	:GNRC	10.24	10.47	10.11	10.35	317622.00
2010-06-21 15:30:00	:GNRC	10.43	10.81	10.37	10.43	127902.00
2010-06-22 15:30:00	:GNRC	10.52	10.62	10.32	10.37	75670.00
2010-06-23 15:30:00	:GNRC	10.36	10.47	10.28	10.37	72124.00
