datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:GWW	49.95	50.49	49.55	50.01	649200.00
2004-04-08 15:30:00	:GWW	50.25	51.19	50.06	50.16	607800.00
2004-04-12 15:30:00	:GWW	50.22	50.75	50.22	50.64	250300.00
2004-04-13 15:30:00	:GWW	50.60	50.70	49.64	49.80	524200.00
2004-04-14 15:30:00	:GWW	49.30	50.64	49.26	50.18	359800.00
2004-04-15 15:30:00	:GWW	50.10	50.66	49.53	50.62	542600.00
2004-04-16 15:30:00	:GWW	51.66	55.10	51.00	54.22	2267100.00
2004-04-19 15:30:00	:GWW	53.60	53.97	52.79	53.82	615100.00
2004-04-20 15:30:00	:GWW	53.95	56.44	53.90	55.00	1169400.00
2004-04-21 15:30:00	:GWW	54.80	55.55	54.68	55.48	921600.00
2004-04-22 15:30:00	:GWW	55.45	56.19	55.23	56.09	701500.00
2004-04-23 15:30:00	:GWW	56.10	56.10	54.60	54.77	633400.00
2004-04-26 15:30:00	:GWW	54.30	54.70	53.60	53.82	620500.00
2004-04-27 15:30:00	:GWW	53.82	54.28	53.57	54.14	1863300.00
2004-04-28 15:30:00	:GWW	54.14	54.14	52.76	53.10	566100.00
2004-04-29 15:30:00	:GWW	52.85	53.52	52.85	53.26	439400.00
2004-04-30 15:30:00	:GWW	53.26	53.41	52.19	52.40	456600.00
2004-05-03 15:30:00	:GWW	52.35	52.69	51.90	52.40	547500.00
2004-05-04 15:30:00	:GWW	52.65	53.55	52.56	53.13	471600.00
2004-05-05 15:30:00	:GWW	52.99	53.32	52.75	53.27	377700.00
2004-05-06 15:30:00	:GWW	52.89	52.89	51.90	52.25	340800.00
2004-05-07 15:30:00	:GWW	52.40	52.85	51.67	51.70	439700.00
2004-05-10 15:30:00	:GWW	51.10	51.30	49.74	50.25	597900.00
2004-05-11 15:30:00	:GWW	50.40	51.76	50.40	51.49	443900.00
2004-05-12 15:30:00	:GWW	51.50	51.50	50.11	51.23	388000.00
2004-05-13 15:30:00	:GWW	51.12	52.06	50.70	51.96	519200.00
2004-05-14 15:30:00	:GWW	51.95	52.80	51.50	52.66	588300.00
2004-05-17 15:30:00	:GWW	52.41	52.41	51.00	51.10	394800.00
2004-05-18 15:30:00	:GWW	51.04	52.13	51.04	51.69	389800.00
2004-05-19 15:30:00	:GWW	51.94	52.78	51.80	51.97	597800.00
2004-05-20 15:30:00	:GWW	51.90	52.05	51.37	51.80	178200.00
2004-05-21 15:30:00	:GWW	52.16	52.80	52.07	52.36	248000.00
2004-05-24 15:30:00	:GWW	52.50	53.13	52.26	52.56	193900.00
2004-05-25 15:30:00	:GWW	52.36	53.22	52.04	53.14	426400.00
2004-05-26 15:30:00	:GWW	53.23	53.55	52.90	53.43	207200.00
2004-05-27 15:30:00	:GWW	53.61	54.55	53.61	54.00	388300.00
2004-05-28 15:30:00	:GWW	53.80	54.59	53.80	54.45	241800.00
2004-06-01 15:30:00	:GWW	54.45	55.13	54.45	54.83	428400.00
2004-06-02 15:30:00	:GWW	54.69	55.15	54.63	54.98	464000.00
2004-06-03 15:30:00	:GWW	55.10	55.17	53.83	53.84	349600.00
2004-06-04 15:30:00	:GWW	53.94	54.06	53.51	53.59	452000.00
2004-06-07 15:30:00	:GWW	53.84	54.48	53.83	54.48	446700.00
2004-06-08 15:30:00	:GWW	54.61	55.73	54.61	55.65	498300.00
2004-06-09 15:30:00	:GWW	55.76	55.99	54.83	54.89	329900.00
2004-06-10 15:30:00	:GWW	54.91	55.99	54.88	55.98	335100.00
2004-06-14 15:30:00	:GWW	55.58	55.69	54.52	54.72	371700.00
2004-06-15 15:30:00	:GWW	54.93	55.97	54.93	55.91	248000.00
2004-06-16 15:30:00	:GWW	55.71	55.71	55.27	55.45	229900.00
2004-06-17 15:30:00	:GWW	55.17	55.39	55.01	55.15	240200.00
2004-06-18 15:30:00	:GWW	55.20	55.93	55.20	55.40	325900.00
2004-06-21 15:30:00	:GWW	55.59	55.91	55.25	55.47	274700.00
2004-06-22 15:30:00	:GWW	55.30	55.99	55.15	55.95	463500.00
2004-06-23 15:30:00	:GWW	55.77	56.52	55.69	56.39	286400.00
2004-06-24 15:30:00	:GWW	56.00	56.40	55.71	55.71	238600.00
2004-06-25 15:30:00	:GWW	55.80	56.33	55.63	56.20	338100.00
2004-06-28 15:30:00	:GWW	56.40	56.60	55.87	56.02	291600.00
2004-06-29 15:30:00	:GWW	55.96	57.26	55.85	57.08	420500.00
2004-06-30 15:30:00	:GWW	57.28	57.66	56.96	57.50	337800.00
2004-07-01 15:30:00	:GWW	57.68	57.68	56.03	56.47	250800.00
2004-07-02 15:30:00	:GWW	56.60	56.60	55.53	55.88	221300.00
2004-07-06 15:30:00	:GWW	55.89	55.95	55.36	55.65	344300.00
2004-07-07 15:30:00	:GWW	55.65	56.22	55.55	55.87	537700.00
2004-07-08 15:30:00	:GWW	55.62	55.66	54.50	54.59	464400.00
2004-07-09 15:30:00	:GWW	54.40	55.83	54.38	55.67	508600.00
2004-07-12 15:30:00	:GWW	55.88	56.23	55.36	55.93	365900.00
2004-07-13 15:30:00	:GWW	56.15	56.32	56.03	56.14	313600.00
2004-07-14 15:30:00	:GWW	55.95	56.16	55.40	55.66	630600.00
2004-07-15 15:30:00	:GWW	55.80	56.92	55.73	56.00	526400.00
2004-07-16 15:30:00	:GWW	58.00	58.90	57.00	57.22	921500.00
2004-07-19 15:30:00	:GWW	56.22	56.58	55.54	55.89	617300.00
2004-07-20 15:30:00	:GWW	56.20	56.25	55.37	55.50	643000.00
2004-07-21 15:30:00	:GWW	55.75	56.00	54.11	54.15	642400.00
2004-07-22 15:30:00	:GWW	54.16	54.30	53.03	53.81	813800.00
2004-07-23 15:30:00	:GWW	53.56	53.99	52.97	53.33	625700.00
2004-07-26 15:30:00	:GWW	53.47	53.82	52.96	53.17	424500.00
2004-07-27 15:30:00	:GWW	53.03	53.30	52.74	53.20	594100.00
2004-07-28 15:30:00	:GWW	53.15	53.25	52.20	52.62	494900.00
2004-07-29 15:30:00	:GWW	53.00	53.10	52.76	53.00	470200.00
2004-07-30 15:30:00	:GWW	53.00	53.20	52.87	52.95	497300.00
2004-08-02 15:30:00	:GWW	52.96	53.02	52.29	52.66	360400.00
2004-08-03 15:30:00	:GWW	52.55	52.83	52.35	52.50	356100.00
2004-08-04 15:30:00	:GWW	52.12	52.60	51.80	52.48	523500.00
2004-08-05 15:30:00	:GWW	52.27	52.27	51.08	51.08	501000.00
2004-08-06 15:30:00	:GWW	51.08	51.12	50.33	50.65	497600.00
2004-08-09 15:30:00	:GWW	50.50	51.09	50.40	50.89	544000.00
2004-08-10 15:30:00	:GWW	50.87	52.21	50.76	52.09	730000.00
2004-08-11 15:30:00	:GWW	52.10	52.10	51.25	51.71	528600.00
2004-08-12 15:30:00	:GWW	51.51	51.63	50.78	50.91	369800.00
2004-08-13 15:30:00	:GWW	50.91	51.30	50.66	50.88	250500.00
2004-08-16 15:30:00	:GWW	50.83	52.16	50.71	52.16	479700.00
2004-08-17 15:30:00	:GWW	52.19	52.74	51.66	51.80	302900.00
2004-08-18 15:30:00	:GWW	51.45	52.99	51.10	52.84	388900.00
2004-08-19 15:30:00	:GWW	52.64	52.64	51.70	52.01	270600.00
2004-08-20 15:30:00	:GWW	51.91	53.24	51.91	53.09	260900.00
2004-08-23 15:30:00	:GWW	52.93	53.45	52.91	53.02	240200.00
2004-08-24 15:30:00	:GWW	53.10	53.64	52.96	53.25	274600.00
2004-08-25 15:30:00	:GWW	53.14	53.48	52.58	53.36	208600.00
2004-08-26 15:30:00	:GWW	53.15	53.58	53.07	53.45	137500.00
2004-08-27 15:30:00	:GWW	53.60	53.81	53.38	53.80	161000.00
2004-08-30 15:30:00	:GWW	53.95	53.95	53.51	53.65	182100.00
2004-08-31 15:30:00	:GWW	53.65	53.82	52.79	53.41	387700.00
2004-09-01 15:30:00	:GWW	53.21	53.79	53.17	53.23	243300.00
2004-09-02 15:30:00	:GWW	53.23	53.80	52.76	53.77	247600.00
2004-09-03 15:30:00	:GWW	53.89	53.90	53.14	53.21	302200.00
2004-09-07 15:30:00	:GWW	53.26	53.57	52.95	53.02	579100.00
2004-09-08 15:30:00	:GWW	52.89	52.99	52.34	52.44	484600.00
2004-09-09 15:30:00	:GWW	52.54	52.54	51.81	52.06	433900.00
2004-09-10 15:30:00	:GWW	52.28	53.70	52.21	53.67	398800.00
2004-09-13 15:30:00	:GWW	53.75	55.50	53.50	55.41	769200.00
2004-09-14 15:30:00	:GWW	55.37	55.43	55.05	55.43	301100.00
2004-09-15 15:30:00	:GWW	55.44	55.98	55.07	55.78	389300.00
2004-09-16 15:30:00	:GWW	55.67	56.33	55.58	55.86	234700.00
2004-09-17 15:30:00	:GWW	56.16	56.60	55.99	56.17	202100.00
2004-09-20 15:30:00	:GWW	55.97	56.16	55.60	55.76	220500.00
2004-09-21 15:30:00	:GWW	55.75	56.40	55.73	56.14	355200.00
2004-09-22 15:30:00	:GWW	55.94	55.94	55.18	55.36	236400.00
2004-09-23 15:30:00	:GWW	55.11	55.36	54.99	55.02	265700.00
2004-09-24 15:30:00	:GWW	55.00	55.52	54.90	55.20	233900.00
2004-09-27 15:30:00	:GWW	55.18	55.26	54.72	55.08	305700.00
2004-09-28 15:30:00	:GWW	54.94	55.49	54.75	55.40	370100.00
2004-09-29 15:30:00	:GWW	55.32	56.78	55.32	56.56	286200.00
2004-09-30 15:30:00	:GWW	56.79	57.65	56.61	57.65	414500.00
2004-10-01 15:30:00	:GWW	57.66	58.01	57.34	57.97	389700.00
2004-10-04 15:30:00	:GWW	58.15	59.15	58.15	59.00	540200.00
2004-10-05 15:30:00	:GWW	59.05	59.33	58.62	59.25	516700.00
2004-10-06 15:30:00	:GWW	59.04	59.45	58.70	59.40	501800.00
2004-10-07 15:30:00	:GWW	59.80	59.94	59.42	59.76	845300.00
2004-10-08 15:30:00	:GWW	59.76	59.76	58.20	58.33	601400.00
2004-10-11 15:30:00	:GWW	58.27	58.50	58.13	58.39	253200.00
2004-10-12 15:30:00	:GWW	58.20	58.21	57.11	57.34	509500.00
2004-10-13 15:30:00	:GWW	57.59	57.84	56.75	57.31	305800.00
2004-10-14 15:30:00	:GWW	57.31	57.68	56.70	56.74	427400.00
2004-10-15 15:30:00	:GWW	57.00	57.98	56.95	57.77	315900.00
2004-10-18 15:30:00	:GWW	58.00	59.00	57.59	58.00	1031800.00
2004-10-19 15:30:00	:GWW	58.00	58.19	56.27	56.95	890500.00
2004-10-20 15:30:00	:GWW	56.95	57.79	56.55	57.67	528700.00
2004-10-21 15:30:00	:GWW	57.57	58.06	56.95	57.87	346200.00
2004-10-22 15:30:00	:GWW	57.90	58.48	57.44	57.54	182100.00
