datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:HD	37.12	37.21	36.42	36.49	7767199.00
2004-04-08 15:30:00	:HD	36.75	36.84	36.06	36.20	9025398.00
2004-04-12 15:30:00	:HD	36.26	36.49	36.20	36.46	3910700.00
2004-04-13 15:30:00	:HD	36.46	36.52	35.72	35.86	8009898.00
2004-04-14 15:30:00	:HD	35.50	36.04	35.45	35.82	6885602.00
2004-04-15 15:30:00	:HD	35.83	36.14	35.77	35.86	6164602.00
2004-04-16 15:30:00	:HD	36.15	36.25	35.60	36.20	7030602.00
2004-04-19 15:30:00	:HD	36.05	36.10	35.62	36.00	4980301.00
2004-04-20 15:30:00	:HD	36.15	36.53	35.65	35.65	4915801.00
2004-04-21 15:30:00	:HD	35.71	35.96	35.40	35.54	6626301.00
2004-04-22 15:30:00	:HD	35.47	36.50	35.40	36.35	6015102.00
2004-04-23 15:30:00	:HD	36.10	36.75	36.07	36.49	4768801.00
2004-04-26 15:30:00	:HD	36.60	36.84	36.31	36.35	4549699.00
2004-04-27 15:30:00	:HD	36.37	36.87	36.36	36.53	5152000.00
2004-04-28 15:30:00	:HD	36.28	36.42	35.83	35.99	5011199.00
2004-04-29 15:30:00	:HD	35.90	36.19	35.40	35.73	6266500.00
2004-04-30 15:30:00	:HD	35.73	35.88	35.19	35.19	6377801.00
2004-05-03 15:30:00	:HD	35.25	35.50	34.80	35.23	8375301.00
2004-05-04 15:30:00	:HD	35.22	35.75	35.10	35.36	5134500.00
2004-05-05 15:30:00	:HD	35.23	35.40	35.03	35.26	4653801.00
2004-05-06 15:30:00	:HD	35.00	35.02	34.15	34.36	10877102.00
2004-05-07 15:30:00	:HD	33.50	34.25	32.88	33.00	15928602.00
2004-05-10 15:30:00	:HD	32.60	33.47	32.55	33.44	10169801.00
2004-05-11 15:30:00	:HD	33.45	33.52	33.12	33.49	7538102.00
2004-05-12 15:30:00	:HD	33.35	33.71	32.34	33.53	10561000.00
2004-05-13 15:30:00	:HD	33.25	34.06	33.12	33.72	8983199.00
2004-05-14 15:30:00	:HD	33.58	34.10	33.20	33.80	6948301.00
2004-05-17 15:30:00	:HD	33.25	33.75	33.07	33.47	8122301.00
2004-05-18 15:30:00	:HD	34.45	34.74	34.15	34.62	14105398.00
2004-05-19 15:30:00	:HD	34.85	34.95	33.96	34.02	7603398.00
2004-05-20 15:30:00	:HD	34.02	34.34	33.77	34.10	6761301.00
2004-05-21 15:30:00	:HD	34.25	34.82	34.12	34.47	8684699.00
2004-05-24 15:30:00	:HD	34.60	34.78	34.35	34.65	6276398.00
2004-05-25 15:30:00	:HD	34.66	35.31	34.31	35.30	7517898.00
2004-05-26 15:30:00	:HD	35.25	35.54	34.94	35.46	6815000.00
2004-05-27 15:30:00	:HD	35.50	36.02	35.42	35.84	8433898.00
2004-05-28 15:30:00	:HD	35.84	36.30	35.77	35.92	7014699.00
2004-06-01 15:30:00	:HD	35.77	35.92	35.51	35.76	6297801.00
2004-06-02 15:30:00	:HD	35.00	35.73	34.85	35.67	11178801.00
2004-06-03 15:30:00	:HD	35.50	35.99	35.22	35.48	7192000.00
2004-06-04 15:30:00	:HD	35.57	35.77	35.30	35.33	8056500.00
2004-06-07 15:30:00	:HD	35.58	35.95	35.26	35.84	7311301.00
2004-06-08 15:30:00	:HD	35.75	35.95	35.30	35.93	7613500.00
2004-06-09 15:30:00	:HD	35.48	35.74	35.32	35.44	8780500.00
2004-06-10 15:30:00	:HD	35.64	35.83	35.28	35.75	8186699.00
2004-06-14 15:30:00	:HD	35.50	35.69	35.08	35.51	5682500.00
2004-06-15 15:30:00	:HD	35.80	35.98	35.66	35.77	7589898.00
2004-06-16 15:30:00	:HD	35.78	36.07	35.50	36.00	5333398.00
2004-06-17 15:30:00	:HD	35.95	35.96	35.50	35.67	5880500.00
2004-06-18 15:30:00	:HD	35.68	35.68	35.20	35.37	13853301.00
2004-06-21 15:30:00	:HD	35.25	35.91	35.25	35.72	7814102.00
2004-06-22 15:30:00	:HD	35.35	35.41	34.77	35.04	10313898.00
2004-06-23 15:30:00	:HD	34.90	35.50	34.75	35.44	7715000.00
2004-06-24 15:30:00	:HD	35.50	36.11	35.35	35.40	8889898.00
2004-06-25 15:30:00	:HD	35.55	36.13	35.25	35.25	13575102.00
2004-06-28 15:30:00	:HD	35.50	35.75	35.35	35.46	6627699.00
2004-06-29 15:30:00	:HD	35.33	35.34	34.88	35.17	7898199.00
2004-06-30 15:30:00	:HD	35.07	35.26	34.85	35.20	6445000.00
2004-07-01 15:30:00	:HD	35.21	35.35	34.64	34.99	7660102.00
2004-07-02 15:30:00	:HD	34.99	35.19	34.49	34.69	6150699.00
2004-07-06 15:30:00	:HD	34.40	34.96	34.20	34.67	6639602.00
2004-07-07 15:30:00	:HD	34.55	35.12	34.55	35.00	5049602.00
2004-07-08 15:30:00	:HD	34.80	34.99	34.24	34.29	7180500.00
2004-07-09 15:30:00	:HD	34.30	34.50	34.13	34.37	5737500.00
2004-07-12 15:30:00	:HD	34.37	34.82	34.16	34.66	5761398.00
2004-07-13 15:30:00	:HD	34.70	34.97	34.60	34.86	4952699.00
2004-07-14 15:30:00	:HD	34.77	34.97	34.36	34.51	5486801.00
2004-07-15 15:30:00	:HD	34.66	34.66	34.31	34.33	5370699.00
2004-07-16 15:30:00	:HD	34.64	34.64	33.86	33.92	6820398.00
2004-07-19 15:30:00	:HD	33.95	34.06	32.94	33.27	10107500.00
2004-07-20 15:30:00	:HD	33.35	34.18	33.35	33.99	5870602.00
2004-07-21 15:30:00	:HD	34.22	34.27	33.53	33.53	5192199.00
2004-07-22 15:30:00	:HD	33.35	33.86	33.15	33.80	5672602.00
2004-07-23 15:30:00	:HD	33.70	33.74	32.91	33.00	7399699.00
2004-07-26 15:30:00	:HD	33.05	33.27	32.57	32.88	6551000.00
2004-07-27 15:30:00	:HD	32.98	33.80	32.95	33.43	7403801.00
2004-07-28 15:30:00	:HD	33.39	33.68	33.04	33.50	5647199.00
2004-07-29 15:30:00	:HD	33.65	34.01	33.27	33.72	4196301.00
2004-07-30 15:30:00	:HD	33.60	33.88	33.40	33.72	4397699.00
2004-08-02 15:30:00	:HD	33.72	34.22	33.56	34.03	5040500.00
2004-08-03 15:30:00	:HD	33.87	33.90	33.22	33.52	6156102.00
2004-08-04 15:30:00	:HD	33.27	33.86	33.11	33.59	5036500.00
2004-08-05 15:30:00	:HD	33.59	33.63	32.80	32.98	5542801.00
2004-08-06 15:30:00	:HD	32.55	33.25	32.39	32.90	7796602.00
2004-08-09 15:30:00	:HD	32.90	33.24	32.87	32.91	4149699.00
2004-08-10 15:30:00	:HD	33.00	33.37	32.91	33.37	4365398.00
2004-08-11 15:30:00	:HD	33.12	33.14	32.70	33.09	5846398.00
2004-08-12 15:30:00	:HD	33.14	33.38	32.88	32.95	5226301.00
2004-08-13 15:30:00	:HD	33.15	33.47	32.94	33.14	6803898.00
2004-08-16 15:30:00	:HD	33.45	34.34	33.40	33.98	9743199.00
2004-08-17 15:30:00	:HD	35.78	35.85	35.03	35.10	14738398.00
2004-08-18 15:30:00	:HD	35.00	36.09	35.00	36.03	12741301.00
2004-08-19 15:30:00	:HD	36.03	36.79	36.00	36.24	9857398.00
2004-08-20 15:30:00	:HD	36.24	36.49	36.04	36.36	5818000.00
2004-08-23 15:30:00	:HD	36.27	36.28	35.65	36.00	5654199.00
2004-08-24 15:30:00	:HD	36.19	36.40	36.07	36.33	7265699.00
2004-08-25 15:30:00	:HD	36.22	36.77	36.09	36.60	5550000.00
2004-08-26 15:30:00	:HD	36.53	36.87	36.47	36.57	3941200.00
2004-08-27 15:30:00	:HD	36.58	36.79	36.34	36.59	3429100.00
2004-08-30 15:30:00	:HD	36.55	36.80	36.48	36.53	3540200.00
2004-08-31 15:30:00	:HD	36.68	36.75	36.18	36.56	5879398.00
2004-09-01 15:30:00	:HD	36.55	36.95	36.36	36.88	5789801.00
2004-09-02 15:30:00	:HD	36.91	38.00	36.91	37.93	10562199.00
2004-09-03 15:30:00	:HD	37.76	37.88	37.37	37.48	6655898.00
2004-09-07 15:30:00	:HD	37.73	37.99	37.51	37.64	6951699.00
2004-09-08 15:30:00	:HD	37.50	37.64	37.03	37.27	6507801.00
