datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:HES	20.89	21.13	20.73	21.01	2830528.00
2004-04-08 15:30:00	:HES	21.15	21.41	21.13	21.35	1589715.00
2004-04-12 15:30:00	:HES	21.40	22.09	21.40	22.02	3184531.00
2004-04-13 15:30:00	:HES	22.08	22.16	21.55	21.58	1977919.00
2004-04-14 15:30:00	:HES	21.53	21.64	21.29	21.42	1943119.00
2004-04-15 15:30:00	:HES	21.40	21.84	21.39	21.71	2461224.00
2004-04-16 15:30:00	:HES	21.83	21.89	21.64	21.78	2323823.00
2004-04-19 15:30:00	:HES	21.78	22.25	21.78	22.24	2920829.00
2004-04-20 15:30:00	:HES	22.24	22.26	21.93	21.93	2835928.00
2004-04-21 15:30:00	:HES	21.93	22.11	21.67	21.90	1925119.00
2004-04-22 15:30:00	:HES	21.77	22.46	21.74	22.45	2349623.00
2004-04-23 15:30:00	:HES	22.38	22.49	22.09	22.38	2432424.00
2004-04-26 15:30:00	:HES	22.46	22.68	22.46	22.50	2102721.00
2004-04-27 15:30:00	:HES	22.56	23.45	22.56	23.20	3986739.00
2004-04-28 15:30:00	:HES	23.21	24.19	23.20	23.68	6960969.00
2004-04-29 15:30:00	:HES	23.70	23.73	23.30	23.46	6065760.00
2004-04-30 15:30:00	:HES	23.63	23.97	23.63	23.71	3297332.00
2004-05-03 15:30:00	:HES	23.85	24.68	23.55	24.64	5399753.00
2004-05-04 15:30:00	:HES	24.53	24.96	24.51	24.63	4394443.00
2004-05-05 15:30:00	:HES	24.45	24.65	24.09	24.59	5910359.00
2004-05-06 15:30:00	:HES	24.59	24.59	24.14	24.35	3050130.00
2004-05-07 15:30:00	:HES	24.29	24.40	23.85	23.86	3204932.00
2004-05-10 15:30:00	:HES	23.57	23.67	22.87	23.05	4614946.00
2004-05-11 15:30:00	:HES	23.05	23.82	23.05	23.74	3687336.00
2004-05-12 15:30:00	:HES	23.87	24.25	23.78	24.05	4042840.00
2004-05-13 15:30:00	:HES	23.97	24.18	23.89	23.90	2703327.00
