datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:HIG	66.30	66.41	65.56	65.85	1082900.00
2004-04-08 15:30:00	:HIG	66.60	67.49	66.45	66.70	1201300.00
2004-04-12 15:30:00	:HIG	67.00	67.54	67.00	67.45	891900.00
2004-04-13 15:30:00	:HIG	67.55	67.71	65.95	65.98	2320700.00
2004-04-14 15:30:00	:HIG	65.95	66.08	64.60	64.80	1435900.00
2004-04-15 15:30:00	:HIG	64.95	65.15	63.26	63.63	1816400.00
2004-04-16 15:30:00	:HIG	63.95	64.50	63.59	64.46	1263000.00
2004-04-19 15:30:00	:HIG	64.50	64.68	63.91	64.52	915600.00
2004-04-20 15:30:00	:HIG	64.75	64.91	62.25	62.52	1618100.00
2004-04-21 15:30:00	:HIG	62.87	63.81	62.15	63.65	2169400.00
2004-04-22 15:30:00	:HIG	63.20	64.70	62.83	64.07	1734300.00
2004-04-23 15:30:00	:HIG	64.40	64.40	63.70	63.74	1019500.00
2004-04-26 15:30:00	:HIG	63.75	64.03	63.05	63.20	795800.00
2004-04-27 15:30:00	:HIG	63.43	64.10	62.92	62.99	1571100.00
2004-04-28 15:30:00	:HIG	62.99	62.99	61.40	61.77	1434000.00
2004-04-29 15:30:00	:HIG	61.78	62.75	61.31	61.49	1310700.00
2004-04-30 15:30:00	:HIG	61.80	61.90	61.06	61.08	1142600.00
2004-05-03 15:30:00	:HIG	61.35	62.28	61.10	62.03	1547600.00
2004-05-04 15:30:00	:HIG	62.45	62.45	61.27	61.61	1571800.00
2004-05-05 15:30:00	:HIG	62.83	64.46	62.80	64.35	3610900.00
2004-05-06 15:30:00	:HIG	64.34	64.94	63.72	64.65	2104100.00
2004-05-07 15:30:00	:HIG	63.95	64.93	63.13	63.50	1857900.00
2004-05-10 15:30:00	:HIG	62.90	63.26	61.91	62.40	1960400.00
2004-05-11 15:30:00	:HIG	62.62	63.58	62.61	63.53	1603400.00
2004-05-12 15:30:00	:HIG	63.53	64.10	62.37	64.10	1583600.00
