datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:HOLX	5.25	5.40	5.17	5.24	612680.00
2004-04-08 15:30:00	:HOLX	5.26	5.31	5.20	5.25	346320.00
2004-04-12 15:30:00	:HOLX	5.24	5.44	5.24	5.42	939832.00
2004-04-13 15:30:00	:HOLX	5.38	5.80	5.31	5.51	2671420.00
2004-04-14 15:30:00	:HOLX	5.42	5.59	5.39	5.49	1335360.00
2004-04-15 15:30:00	:HOLX	5.53	5.58	5.52	5.55	1913052.00
2004-04-16 15:30:00	:HOLX	5.60	5.64	5.49	5.52	492712.00
2004-04-19 15:30:00	:HOLX	5.62	5.74	5.49	5.71	671496.00
2004-04-20 15:30:00	:HOLX	5.69	5.72	5.54	5.55	480052.00
2004-04-21 15:30:00	:HOLX	5.54	5.75	5.50	5.75	665828.00
2004-04-22 15:30:00	:HOLX	5.75	5.75	5.68	5.75	243364.00
2004-04-23 15:30:00	:HOLX	5.64	5.72	5.55	5.69	283480.00
2004-04-26 15:30:00	:HOLX	5.63	5.72	5.59	5.60	594228.00
2004-04-27 15:30:00	:HOLX	5.60	5.70	5.60	5.66	555900.00
2004-04-28 15:30:00	:HOLX	5.61	5.64	5.21	5.33	805212.00
2004-04-29 15:30:00	:HOLX	5.35	5.47	4.96	5.06	1083220.00
2004-04-30 15:30:00	:HOLX	5.12	5.14	5.01	5.04	760580.00
2004-05-03 15:30:00	:HOLX	5.01	5.20	5.01	5.04	796520.00
2004-05-04 15:30:00	:HOLX	5.11	5.43	5.07	5.33	1414280.00
2004-05-05 15:30:00	:HOLX	5.37	5.41	5.21	5.26	555968.00
2004-05-06 15:30:00	:HOLX	5.22	5.36	5.15	5.27	401924.00
2004-05-07 15:30:00	:HOLX	5.25	5.38	5.02	5.02	403608.00
2004-05-10 15:30:00	:HOLX	4.97	4.98	4.67	4.71	1003140.00
2004-05-11 15:30:00	:HOLX	4.66	4.83	4.66	4.80	439408.00
2004-05-12 15:30:00	:HOLX	4.80	4.87	4.62	4.82	523552.00
2004-05-13 15:30:00	:HOLX	4.80	4.80	4.72	4.75	569248.00
2004-05-14 15:30:00	:HOLX	4.78	4.84	4.70	4.84	580648.00
2004-05-17 15:30:00	:HOLX	4.80	4.80	4.67	4.76	632764.00
2004-05-18 15:30:00	:HOLX	4.76	4.82	4.68	4.78	479608.00
2004-05-19 15:30:00	:HOLX	4.78	4.84	4.72	4.76	356528.00
2004-05-20 15:30:00	:HOLX	4.72	4.92	4.72	4.91	699028.00
2004-05-21 15:30:00	:HOLX	4.91	5.04	4.89	4.94	601784.00
2004-05-24 15:30:00	:HOLX	4.96	5.01	4.84	5.00	261248.00
2004-05-25 15:30:00	:HOLX	4.99	5.12	4.90	5.12	430148.00
2004-05-26 15:30:00	:HOLX	5.12	5.12	4.83	5.04	341372.00
2004-05-27 15:30:00	:HOLX	4.89	5.14	4.89	5.14	464536.00
2004-05-28 15:30:00	:HOLX	5.15	5.19	5.09	5.14	313276.00
2004-06-01 15:30:00	:HOLX	5.12	5.21	5.05	5.21	249320.00
2004-06-02 15:30:00	:HOLX	5.12	5.36	5.09	5.29	1307008.00
2004-06-03 15:30:00	:HOLX	5.19	5.38	5.19	5.24	394300.00
2004-06-04 15:30:00	:HOLX	5.22	5.33	5.19	5.19	324880.00
2004-06-07 15:30:00	:HOLX	5.17	5.28	5.13	5.25	520532.00
2004-06-08 15:30:00	:HOLX	5.25	5.35	5.24	5.34	262704.00
2004-06-09 15:30:00	:HOLX	5.37	5.37	5.19	5.33	486196.00
2004-06-10 15:30:00	:HOLX	5.30	5.34	5.28	5.33	429144.00
2004-06-14 15:30:00	:HOLX	5.33	5.37	5.26	5.29	395784.00
2004-06-15 15:30:00	:HOLX	5.30	5.36	5.27	5.31	361372.00
2004-06-16 15:30:00	:HOLX	5.28	5.39	5.28	5.37	237272.00
2004-06-17 15:30:00	:HOLX	5.37	5.40	5.26	5.31	264684.00
2004-06-18 15:30:00	:HOLX	5.29	5.36	5.24	5.33	1129724.00
2004-06-21 15:30:00	:HOLX	5.35	5.36	5.27	5.28	339096.00
2004-06-22 15:30:00	:HOLX	5.27	5.46	5.25	5.38	462936.00
2004-06-23 15:30:00	:HOLX	5.38	5.53	5.37	5.50	335440.00
2004-06-24 15:30:00	:HOLX	5.50	5.58	5.42	5.42	566804.00
2004-06-25 15:30:00	:HOLX	5.51	5.72	5.51	5.71	1977184.00
2004-06-28 15:30:00	:HOLX	5.61	5.75	5.51	5.51	1161500.00
2004-06-29 15:30:00	:HOLX	5.51	5.84	5.49	5.81	789764.00
2004-06-30 15:30:00	:HOLX	5.83	5.83	5.74	5.81	586260.00
2004-07-01 15:30:00	:HOLX	5.86	5.95	5.73	5.73	607716.00
2004-07-02 15:30:00	:HOLX	5.68	5.75	5.59	5.71	351728.00
2004-07-06 15:30:00	:HOLX	5.67	5.71	5.53	5.59	441876.00
