datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:HON	33.18	33.52	32.60	32.96	2768341.00
2004-04-08 15:30:00	:HON	33.23	33.42	32.85	33.00	2537567.00
2004-04-12 15:30:00	:HON	33.00	33.43	32.94	33.33	1816779.00
2004-04-13 15:30:00	:HON	33.49	33.51	32.76	32.94	2291247.00
2004-04-14 15:30:00	:HON	32.80	33.40	32.66	32.83	2538302.00
2004-04-15 15:30:00	:HON	32.97	33.07	32.47	32.84	2331793.00
2004-04-16 15:30:00	:HON	33.02	33.55	32.86	33.38	3666858.00
2004-04-19 15:30:00	:HON	33.27	33.49	32.89	32.97	2988191.00
2004-04-20 15:30:00	:HON	33.08	33.27	32.36	32.37	2721703.00
2004-04-21 15:30:00	:HON	32.61	32.71	32.19	32.34	4545311.00
2004-04-22 15:30:00	:HON	32.32	33.47	32.18	32.94	4842891.00
2004-04-23 15:30:00	:HON	33.06	33.24	32.61	33.21	2264252.00
2004-04-26 15:30:00	:HON	33.15	33.40	32.99	33.09	1754594.00
2004-04-27 15:30:00	:HON	33.42	34.21	33.34	33.74	4745312.00
2004-04-28 15:30:00	:HON	33.80	33.82	33.22	33.48	3089975.00
2004-04-29 15:30:00	:HON	33.43	34.26	33.36	33.54	4663797.00
2004-04-30 15:30:00	:HON	33.59	33.63	32.67	32.92	3888914.00
2004-05-03 15:30:00	:HON	32.93	33.40	32.72	32.91	3070543.00
2004-05-04 15:30:00	:HON	32.90	33.51	32.77	33.15	2556684.00
2004-05-05 15:30:00	:HON	33.09	33.33	32.84	32.95	2234630.00
2004-05-06 15:30:00	:HON	32.69	33.16	32.47	32.71	1853754.00
2004-05-07 15:30:00	:HON	32.37	32.83	32.13	32.29	2048813.00
2004-05-10 15:30:00	:HON	31.89	32.33	31.43	31.66	3487974.00
2004-05-11 15:30:00	:HON	31.66	32.02	31.52	31.74	2629162.00
2004-05-12 15:30:00	:HON	31.76	31.89	31.19	31.78	3274952.00
2004-05-13 15:30:00	:HON	31.56	32.12	31.56	31.91	2214042.00
2004-05-14 15:30:00	:HON	31.90	32.11	31.37	31.87	1860162.00
2004-05-17 15:30:00	:HON	31.27	31.83	30.88	31.04	3480096.00
2004-05-18 15:30:00	:HON	31.01	31.84	30.94	31.64	3138084.00
2004-05-19 15:30:00	:HON	31.80	32.24	31.64	31.69	2963821.00
2004-05-20 15:30:00	:HON	31.42	31.73	31.07	31.44	2126439.00
2004-05-21 15:30:00	:HON	31.64	31.97	31.38	31.71	2004802.00
2004-05-24 15:30:00	:HON	31.91	32.23	31.57	31.63	2600171.00
2004-05-25 15:30:00	:HON	31.44	32.04	31.25	31.99	2305953.00
2004-05-26 15:30:00	:HON	31.87	32.08	31.57	31.98	3142601.00
2004-05-27 15:30:00	:HON	31.99	32.44	31.88	32.17	2179169.00
2004-05-28 15:30:00	:HON	32.25	32.25	31.72	32.08	1700289.00
2004-06-01 15:30:00	:HON	32.00	32.14	31.42	31.61	4136074.00
2004-06-02 15:30:00	:HON	31.63	32.23	31.62	32.07	2470132.00
2004-06-03 15:30:00	:HON	32.07	32.16	31.61	31.64	1600186.00
2004-06-04 15:30:00	:HON	31.88	32.37	31.71	32.12	1614576.00
2004-06-07 15:30:00	:HON	32.40	33.23	32.34	33.03	3029053.00
2004-06-08 15:30:00	:HON	33.05	33.24	32.76	33.14	2271395.00
2004-06-09 15:30:00	:HON	33.14	33.65	32.97	33.36	4502035.00
2004-06-10 15:30:00	:HON	33.36	33.94	33.36	33.70	4805811.00
2004-06-14 15:30:00	:HON	33.73	34.08	33.70	33.92	4091431.00
2004-06-15 15:30:00	:HON	34.03	34.70	33.32	34.24	4958752.00
2004-06-16 15:30:00	:HON	34.24	34.33	33.86	34.32	2236731.00
2004-06-17 15:30:00	:HON	34.15	34.45	34.01	34.43	2483261.00
2004-06-18 15:30:00	:HON	34.44	34.93	34.27	34.79	3603624.00
2004-06-21 15:30:00	:HON	34.68	35.06	34.44	34.52	2207844.00
2004-06-22 15:30:00	:HON	34.52	35.12	34.52	35.00	2606158.00
2004-06-23 15:30:00	:HON	34.99	35.79	34.77	35.71	3436188.00
2004-06-24 15:30:00	:HON	35.43	35.45	35.14	35.28	2711724.00
2004-06-25 15:30:00	:HON	35.11	35.44	34.70	35.04	3459928.00
2004-06-28 15:30:00	:HON	35.11	35.51	34.55	34.60	3214868.00
2004-06-29 15:30:00	:HON	34.46	35.16	34.42	34.89	2606999.00
2004-06-30 15:30:00	:HON	35.03	35.16	34.69	34.87	2904158.00
2004-07-01 15:30:00	:HON	34.79	35.01	34.19	34.33	2893864.00
2004-07-02 15:30:00	:HON	33.94	34.30	33.70	34.16	2209736.00
2004-07-06 15:30:00	:HON	33.82	34.02	33.51	33.88	2828739.00
2004-07-07 15:30:00	:HON	33.67	34.42	33.57	34.21	2439249.00
2004-07-08 15:30:00	:HON	34.08	34.41	33.75	33.83	2701220.00
2004-07-09 15:30:00	:HON	33.94	34.49	33.90	34.46	2449648.00
2004-07-12 15:30:00	:HON	34.46	34.50	33.66	34.19	3339446.00
2004-07-13 15:30:00	:HON	34.13	34.25	33.72	33.91	3086194.00
2004-07-14 15:30:00	:HON	33.51	34.06	33.42	33.77	3106151.00
2004-07-15 15:30:00	:HON	33.75	34.23	33.62	33.99	4300041.00
2004-07-16 15:30:00	:HON	34.39	34.76	34.05	34.65	5193411.00
2004-07-19 15:30:00	:HON	34.75	34.83	33.86	34.14	3865700.00
2004-07-20 15:30:00	:HON	34.01	34.26	33.80	34.18	3581040.00
2004-07-21 15:30:00	:HON	34.75	35.22	34.51	34.85	6812926.00
