datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:HRL	7.45	7.52	7.38	7.49	522800.00
2004-04-08 15:30:00	:HRL	7.53	7.53	7.42	7.44	580800.00
2004-04-12 15:30:00	:HRL	7.42	7.50	7.37	7.41	542400.00
2004-04-13 15:30:00	:HRL	7.46	7.48	7.33	7.42	668400.00
2004-04-14 15:30:00	:HRL	7.39	7.50	7.39	7.44	598800.00
2004-04-15 15:30:00	:HRL	7.44	7.49	7.41	7.45	443600.00
2004-04-16 15:30:00	:HRL	7.41	7.46	7.39	7.44	495200.00
2004-04-19 15:30:00	:HRL	7.41	7.53	7.41	7.53	436800.00
2004-04-20 15:30:00	:HRL	7.58	7.62	7.54	7.62	1145200.00
2004-04-21 15:30:00	:HRL	7.61	7.68	7.56	7.67	794000.00
2004-04-22 15:30:00	:HRL	7.62	7.71	7.60	7.71	723200.00
2004-04-23 15:30:00	:HRL	7.70	7.80	7.65	7.76	899200.00
2004-04-26 15:30:00	:HRL	7.81	7.88	7.75	7.81	722800.00
2004-04-27 15:30:00	:HRL	7.81	7.88	7.71	7.80	631200.00
2004-04-28 15:30:00	:HRL	7.75	7.80	7.68	7.80	868800.00
2004-04-29 15:30:00	:HRL	7.80	7.84	7.64	7.66	1154000.00
2004-04-30 15:30:00	:HRL	7.70	7.70	7.50	7.62	1259200.00
2004-05-03 15:30:00	:HRL	7.62	7.76	7.61	7.65	1016400.00
2004-05-04 15:30:00	:HRL	7.70	7.70	7.54	7.57	1126000.00
2004-05-05 15:30:00	:HRL	7.59	7.62	7.46	7.61	1238800.00
2004-05-06 15:30:00	:HRL	7.60	7.65	7.55	7.61	573600.00
2004-05-07 15:30:00	:HRL	7.54	7.68	7.54	7.60	798800.00
2004-05-10 15:30:00	:HRL	7.60	7.66	7.55	7.58	1975600.00
2004-05-11 15:30:00	:HRL	7.54	7.62	7.52	7.57	531200.00
2004-05-12 15:30:00	:HRL	7.54	7.56	7.44	7.54	557600.00
2004-05-13 15:30:00	:HRL	7.50	7.56	7.41	7.43	572000.00
2004-05-14 15:30:00	:HRL	7.43	7.55	7.41	7.49	410000.00
2004-05-17 15:30:00	:HRL	7.46	7.53	7.39	7.47	503600.00
2004-05-18 15:30:00	:HRL	7.53	7.58	7.47	7.58	876400.00
2004-05-19 15:30:00	:HRL	7.60	7.69	7.58	7.64	996000.00
2004-05-20 15:30:00	:HRL	7.81	7.81	7.62	7.64	1866000.00
2004-05-21 15:30:00	:HRL	7.71	7.71	7.54	7.55	938000.00
2004-05-24 15:30:00	:HRL	7.61	7.61	7.54	7.59	934400.00
2004-05-25 15:30:00	:HRL	7.61	7.67	7.53	7.62	833600.00
2004-05-26 15:30:00	:HRL	7.64	7.73	7.61	7.70	937200.00
2004-05-27 15:30:00	:HRL	7.68	7.84	7.65	7.83	1140400.00
2004-05-28 15:30:00	:HRL	7.83	7.83	7.75	7.81	796000.00
2004-06-01 15:30:00	:HRL	7.80	7.85	7.72	7.80	574800.00
2004-06-02 15:30:00	:HRL	7.84	7.84	7.75	7.78	755200.00
2004-06-03 15:30:00	:HRL	7.79	7.80	7.70	7.70	654000.00
2004-06-04 15:30:00	:HRL	7.74	7.75	7.67	7.71	796000.00
2004-06-07 15:30:00	:HRL	7.78	7.78	7.71	7.75	525600.00
2004-06-08 15:30:00	:HRL	7.75	7.79	7.66	7.76	814800.00
2004-06-09 15:30:00	:HRL	7.76	7.89	7.63	7.66	1031200.00
2004-06-10 15:30:00	:HRL	7.72	7.72	7.63	7.65	626400.00
2004-06-14 15:30:00	:HRL	7.66	7.68	7.54	7.59	935200.00
2004-06-15 15:30:00	:HRL	7.62	7.66	7.59	7.62	1100800.00
2004-06-16 15:30:00	:HRL	7.65	7.67	7.54	7.60	918800.00
2004-06-17 15:30:00	:HRL	7.56	7.60	7.50	7.55	699600.00
2004-06-18 15:30:00	:HRL	7.49	7.51	7.39	7.39	956400.00
2004-06-21 15:30:00	:HRL	7.33	7.49	7.32	7.42	1260400.00
2004-06-22 15:30:00	:HRL	7.44	7.50	7.42	7.47	1330800.00
2004-06-23 15:30:00	:HRL	7.47	7.52	7.43	7.50	1321200.00
2004-06-24 15:30:00	:HRL	7.55	7.72	7.51	7.72	1830000.00
2004-06-25 15:30:00	:HRL	7.74	7.95	7.70	7.91	2216400.00
2004-06-28 15:30:00	:HRL	7.97	7.97	7.71	7.72	1540800.00
2004-06-29 15:30:00	:HRL	7.75	7.78	7.71	7.78	733600.00
2004-06-30 15:30:00	:HRL	7.75	7.83	7.75	7.78	1654000.00
2004-07-01 15:30:00	:HRL	7.83	7.86	7.79	7.81	988400.00
2004-07-02 15:30:00	:HRL	7.75	7.79	7.67	7.67	618800.00
2004-07-06 15:30:00	:HRL	7.67	7.70	7.64	7.69	766800.00
2004-07-07 15:30:00	:HRL	7.69	7.70	7.57	7.58	778400.00
2004-07-08 15:30:00	:HRL	7.58	7.68	7.58	7.65	877200.00
2004-07-09 15:30:00	:HRL	7.64	7.66	7.60	7.62	636800.00
2004-07-12 15:30:00	:HRL	7.60	7.66	7.56	7.66	682400.00
2004-07-13 15:30:00	:HRL	7.70	7.70	7.53	7.55	505200.00
2004-07-14 15:30:00	:HRL	7.51	7.58	7.50	7.51	448000.00
2004-07-15 15:30:00	:HRL	7.64	7.64	7.50	7.62	783200.00
2004-07-16 15:30:00	:HRL	7.67	7.67	7.50	7.53	728800.00
2004-07-19 15:30:00	:HRL	7.53	7.54	7.46	7.47	767200.00
2004-07-20 15:30:00	:HRL	7.50	7.60	7.47	7.60	912000.00
2004-07-21 15:30:00	:HRL	7.57	7.57	7.38	7.38	768800.00
2004-07-22 15:30:00	:HRL	7.40	7.47	7.37	7.38	1049600.00
2004-07-23 15:30:00	:HRL	7.35	7.38	7.26	7.26	801600.00
2004-07-26 15:30:00	:HRL	7.29	7.33	7.00	7.12	2233200.00
2004-07-27 15:30:00	:HRL	7.15	7.32	7.14	7.29	1244400.00
2004-07-28 15:30:00	:HRL	7.29	7.34	7.26	7.28	1549200.00
2004-07-29 15:30:00	:HRL	7.30	7.42	7.28	7.38	1340000.00
2004-07-30 15:30:00	:HRL	7.36	7.44	7.36	7.42	1368000.00
2004-08-02 15:30:00	:HRL	7.38	7.45	7.37	7.42	962000.00
2004-08-03 15:30:00	:HRL	7.45	7.45	7.29	7.31	651200.00
2004-08-04 15:30:00	:HRL	7.29	7.30	7.14	7.24	1040400.00
2004-08-05 15:30:00	:HRL	7.25	7.25	7.10	7.11	664400.00
2004-08-06 15:30:00	:HRL	7.11	7.11	6.92	6.93	1273600.00
2004-08-09 15:30:00	:HRL	6.98	7.02	6.90	6.94	935200.00
2004-08-10 15:30:00	:HRL	6.99	7.11	6.96	7.10	1107600.00
2004-08-11 15:30:00	:HRL	7.04	7.14	6.94	7.12	1834400.00
2004-08-12 15:30:00	:HRL	7.07	7.08	6.95	6.96	780800.00
2004-08-13 15:30:00	:HRL	6.92	7.00	6.89	6.89	827200.00
2004-08-16 15:30:00	:HRL	6.92	7.06	6.84	7.05	935200.00
2004-08-17 15:30:00	:HRL	7.01	7.08	6.90	6.92	891600.00
2004-08-18 15:30:00	:HRL	6.86	7.08	6.80	7.04	1294800.00
2004-08-19 15:30:00	:HRL	6.75	6.75	6.29	6.62	6491600.00
2004-08-20 15:30:00	:HRL	6.59	6.59	6.41	6.50	3397200.00
2004-08-23 15:30:00	:HRL	6.53	6.58	6.50	6.58	1818800.00
2004-08-24 15:30:00	:HRL	6.58	6.63	6.53	6.62	1478800.00
2004-08-25 15:30:00	:HRL	6.62	6.65	6.58	6.63	1202000.00
2004-08-26 15:30:00	:HRL	6.65	6.67	6.58	6.58	1443200.00
2004-08-27 15:30:00	:HRL	6.59	6.75	6.58	6.75	2141600.00
2004-08-30 15:30:00	:HRL	6.75	6.75	6.62	6.67	1824800.00
2004-08-31 15:30:00	:HRL	6.69	6.71	6.64	6.67	2188000.00
2004-09-01 15:30:00	:HRL	6.67	6.77	6.64	6.77	1290800.00
2004-09-02 15:30:00	:HRL	6.77	6.98	6.75	6.94	1530400.00
2004-09-03 15:30:00	:HRL	6.95	6.96	6.88	6.91	1146400.00
2004-09-07 15:30:00	:HRL	6.97	7.01	6.92	7.01	864800.00
2004-09-08 15:30:00	:HRL	7.01	7.01	6.83	6.93	1620000.00
2004-09-09 15:30:00	:HRL	6.93	7.04	6.89	7.01	1389200.00
2004-09-10 15:30:00	:HRL	6.95	7.00	6.92	6.97	1746000.00
