datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:HUBB	43.20	43.20	42.18	43.17	180700.00
2004-04-08 15:30:00	:HUBB	43.22	43.79	43.22	43.63	192800.00
2004-04-12 15:30:00	:HUBB	43.50	43.95	43.11	43.35	161000.00
2004-04-13 15:30:00	:HUBB	43.65	43.77	42.80	42.85	167200.00
2004-04-14 15:30:00	:HUBB	42.85	43.35	42.68	43.35	152900.00
2004-04-15 15:30:00	:HUBB	43.21	43.64	42.57	42.82	115500.00
2004-04-16 15:30:00	:HUBB	42.90	43.35	42.76	43.19	88300.00
2004-04-19 15:30:00	:HUBB	43.35	43.91	43.18	43.79	127200.00
2004-04-20 15:30:00	:HUBB	43.94	44.29	43.70	43.92	149400.00
2004-04-21 15:30:00	:HUBB	44.00	44.22	43.42	44.03	215600.00
2004-04-22 15:30:00	:HUBB	44.13	44.50	43.96	44.00	215700.00
2004-04-23 15:30:00	:HUBB	44.20	45.25	43.84	44.95	369700.00
2004-04-26 15:30:00	:HUBB	45.05	45.50	44.31	44.42	126500.00
2004-04-27 15:30:00	:HUBB	44.62	46.00	44.60	45.90	248000.00
2004-04-28 15:30:00	:HUBB	45.65	46.45	45.15	45.70	286200.00
2004-04-29 15:30:00	:HUBB	45.70	45.85	45.15	45.49	260500.00
2004-04-30 15:30:00	:HUBB	45.40	45.65	44.79	44.94	191800.00
2004-05-03 15:30:00	:HUBB	44.84	46.00	44.84	45.84	206600.00
2004-05-04 15:30:00	:HUBB	45.74	46.10	44.67	44.82	185100.00
2004-05-05 15:30:00	:HUBB	45.02	45.87	44.74	45.47	269500.00
2004-05-06 15:30:00	:HUBB	44.97	44.99	44.43	44.69	156400.00
2004-05-07 15:30:00	:HUBB	44.49	44.84	44.01	44.11	83600.00
2004-05-10 15:30:00	:HUBB	43.86	43.90	42.48	42.75	215800.00
2004-05-11 15:30:00	:HUBB	42.60	43.74	42.60	43.33	119600.00
2004-05-12 15:30:00	:HUBB	43.23	43.40	42.80	43.37	176700.00
2004-05-13 15:30:00	:HUBB	43.00	43.44	42.98	43.17	106300.00
2004-05-14 15:30:00	:HUBB	43.10	43.25	42.71	42.94	94700.00
2004-05-17 15:30:00	:HUBB	42.70	42.70	41.85	42.00	150100.00
2004-05-18 15:30:00	:HUBB	42.20	42.54	42.15	42.15	173500.00
2004-05-19 15:30:00	:HUBB	42.32	43.12	42.31	42.37	93200.00
2004-05-20 15:30:00	:HUBB	42.25	42.70	41.90	42.66	106400.00
2004-05-21 15:30:00	:HUBB	43.00	43.43	43.00	43.29	174500.00
2004-05-24 15:30:00	:HUBB	43.49	43.72	42.72	43.45	74100.00
2004-05-25 15:30:00	:HUBB	43.27	43.90	43.01	43.80	104400.00
2004-05-26 15:30:00	:HUBB	43.65	44.48	43.60	44.48	151600.00
2004-05-27 15:30:00	:HUBB	44.50	44.85	44.13	44.25	140400.00
2004-05-28 15:30:00	:HUBB	44.30	44.85	44.07	44.82	56800.00
2004-06-01 15:30:00	:HUBB	44.65	44.85	44.40	44.79	197600.00
2004-06-02 15:30:00	:HUBB	44.92	45.00	44.72	44.90	110200.00
2004-06-03 15:30:00	:HUBB	45.03	45.05	44.10	44.15	173100.00
2004-06-04 15:30:00	:HUBB	44.35	44.50	43.82	44.00	147900.00
2004-06-07 15:30:00	:HUBB	44.25	44.38	44.05	44.19	138900.00
2004-06-08 15:30:00	:HUBB	44.30	44.65	44.17	44.46	155500.00
2004-06-09 15:30:00	:HUBB	44.40	44.47	43.85	43.98	163800.00
2004-06-10 15:30:00	:HUBB	44.00	44.18	43.89	44.18	143600.00
2004-06-14 15:30:00	:HUBB	44.22	44.43	43.50	43.74	155900.00
2004-06-15 15:30:00	:HUBB	43.99	44.94	43.97	44.77	189300.00
2004-06-16 15:30:00	:HUBB	44.87	44.88	44.35	44.68	124100.00
2004-06-17 15:30:00	:HUBB	44.20	44.80	44.15	44.64	106900.00
2004-06-18 15:30:00	:HUBB	44.40	44.70	44.20	44.36	89700.00
2004-06-21 15:30:00	:HUBB	44.31	44.51	44.06	44.21	60900.00
2004-06-22 15:30:00	:HUBB	44.15	44.15	43.05	43.42	226300.00
2004-06-23 15:30:00	:HUBB	43.30	43.93	43.27	43.93	133600.00
2004-06-24 15:30:00	:HUBB	44.03	44.50	43.78	43.93	123500.00
2004-06-25 15:30:00	:HUBB	43.78	44.91	43.71	44.85	280000.00
2004-06-28 15:30:00	:HUBB	44.97	45.15	44.55	44.62	184300.00
2004-06-29 15:30:00	:HUBB	44.79	45.14	44.79	45.05	142700.00
2004-06-30 15:30:00	:HUBB	45.30	46.71	45.28	46.71	225700.00
2004-07-01 15:30:00	:HUBB	46.81	46.93	45.52	45.70	206300.00
2004-07-02 15:30:00	:HUBB	45.82	45.82	45.25	45.33	60100.00
2004-07-06 15:30:00	:HUBB	45.38	45.38	44.60	44.74	113700.00
2004-07-07 15:30:00	:HUBB	44.80	45.27	44.53	44.69	95200.00
