datetime	symbol	open	high	low	close	volume
2005-11-16 15:30:00	:ICE	7.80	8.84	7.71	7.85	97776960.00
2005-11-17 15:30:00	:ICE	8.06	8.35	6.91	7.05	34319490.00
2005-11-18 15:30:00	:ICE	7.19	7.40	6.90	7.00	12810000.00
2005-11-21 15:30:00	:ICE	7.05	7.19	6.96	7.18	6402500.00
2005-11-22 15:30:00	:ICE	7.09	7.09	6.86	6.99	6534500.00
2005-11-23 15:30:00	:ICE	6.94	6.99	6.31	6.79	12421000.00
2005-11-25 15:30:00	:ICE	6.75	6.89	6.73	6.83	1316000.00
2005-11-28 15:30:00	:ICE	6.78	6.78	6.51	6.66	3155000.00
2005-11-29 15:30:00	:ICE	6.66	6.70	6.25	6.39	4477500.00
2005-11-30 15:30:00	:ICE	6.42	6.48	6.32	6.46	3894500.00
2005-12-01 15:30:00	:ICE	6.46	7.04	6.43	7.00	5688500.00
2005-12-02 15:30:00	:ICE	7.00	7.26	6.98	7.22	5120000.00
2005-12-05 15:30:00	:ICE	7.24	7.49	7.24	7.36	4593000.00
2005-12-06 15:30:00	:ICE	7.36	7.52	7.29	7.32	3202500.00
2005-12-07 15:30:00	:ICE	7.33	7.33	6.90	7.09	2473000.00
2005-12-08 15:30:00	:ICE	7.14	7.27	7.11	7.20	1823500.00
2005-12-09 15:30:00	:ICE	7.20	7.29	7.16	7.24	808000.00
2005-12-12 15:30:00	:ICE	7.29	7.30	7.21	7.29	953500.00
2005-12-13 15:30:00	:ICE	7.29	7.29	7.10	7.12	1843000.00
2005-12-14 15:30:00	:ICE	7.10	7.14	6.96	7.00	1446000.00
2005-12-15 15:30:00	:ICE	6.99	6.99	6.73	6.80	3273000.00
2005-12-16 15:30:00	:ICE	6.77	6.90	6.70	6.84	8170500.00
2005-12-19 15:30:00	:ICE	6.80	6.88	6.77	6.87	2242000.00
2005-12-20 15:30:00	:ICE	6.92	7.08	6.88	6.99	2423500.00
2005-12-21 15:30:00	:ICE	6.98	7.00	6.91	6.96	916500.00
2005-12-22 15:30:00	:ICE	6.96	6.96	6.86	6.94	1171000.00
2005-12-23 15:30:00	:ICE	6.89	6.94	6.81	6.85	985000.00
2005-12-27 15:30:00	:ICE	6.90	7.09	6.90	7.05	1214000.00
2005-12-28 15:30:00	:ICE	7.05	7.09	7.01	7.02	581000.00
2005-12-29 15:30:00	:ICE	6.98	7.24	6.98	7.23	1076500.00
2005-12-30 15:30:00	:ICE	7.25	7.27	7.09	7.27	923500.00
2006-01-03 15:30:00	:ICE	7.30	7.65	7.20	7.57	2993000.00
2006-01-04 15:30:00	:ICE	7.58	7.58	7.27	7.38	1196500.00
2006-01-05 15:30:00	:ICE	7.64	7.95	7.64	7.86	3478500.00
2006-01-06 15:30:00	:ICE	7.85	8.08	7.82	8.06	2306500.00
2006-01-09 15:30:00	:ICE	8.20	8.86	8.18	8.72	8725500.00
2006-01-10 15:30:00	:ICE	8.67	9.36	8.67	9.20	8667500.00
2006-01-11 15:30:00	:ICE	9.30	9.64	9.07	9.38	7560000.00
2006-01-12 15:30:00	:ICE	9.47	9.57	8.65	8.79	4841500.00
2006-01-13 15:30:00	:ICE	8.74	8.92	8.60	8.91	2011500.00
2006-01-17 15:30:00	:ICE	9.10	9.40	9.00	9.28	2610000.00
2006-01-18 15:30:00	:ICE	9.27	9.27	9.00	9.16	1397500.00
2006-01-19 15:30:00	:ICE	9.14	9.56	8.80	9.49	3310000.00
2006-01-20 15:30:00	:ICE	9.60	9.68	9.25	9.26	2313500.00
2006-01-23 15:30:00	:ICE	9.26	9.56	9.23	9.55	1744500.00
2006-01-24 15:30:00	:ICE	9.55	10.68	9.38	10.56	5615000.00
2006-01-25 15:30:00	:ICE	10.70	11.03	10.03	10.60	7019000.00
2006-01-26 15:30:00	:ICE	10.65	10.83	10.44	10.49	2424000.00
2006-01-27 15:30:00	:ICE	10.01	10.52	9.71	10.20	6929000.00
2006-01-30 15:30:00	:ICE	10.05	10.24	9.66	9.82	2970000.00
2006-01-31 15:30:00	:ICE	9.82	10.20	9.21	10.16	6552500.00
2006-02-01 15:30:00	:ICE	10.50	11.40	10.38	11.13	7184500.00
2006-02-02 15:30:00	:ICE	11.08	11.60	10.61	11.04	10589500.00
2006-02-03 15:30:00	:ICE	11.24	11.68	11.06	11.10	5804500.00
2006-02-06 15:30:00	:ICE	11.46	11.46	10.94	11.14	3958000.00
2006-02-07 15:30:00	:ICE	11.11	11.23	10.28	10.69	3577000.00
2006-02-08 15:30:00	:ICE	10.90	10.96	10.52	10.70	1954500.00
2006-02-09 15:30:00	:ICE	10.75	10.87	10.56	10.60	2131500.00
2006-02-10 15:30:00	:ICE	10.65	10.65	9.79	10.35	3580500.00
2006-02-13 15:30:00	:ICE	10.20	10.73	10.20	10.55	1660500.00
2006-02-14 15:30:00	:ICE	10.55	10.60	10.34	10.40	1478000.00
2006-02-15 15:30:00	:ICE	10.40	10.46	10.32	10.40	882000.00
2006-02-16 15:30:00	:ICE	10.45	10.47	10.22	10.31	848000.00
2006-02-17 15:30:00	:ICE	10.35	10.39	10.03	10.27	1626500.00
2006-02-21 15:30:00	:ICE	10.27	10.28	9.75	9.93	2389500.00
2006-02-22 15:30:00	:ICE	9.83	9.97	9.63	9.85	3315500.00
2006-02-23 15:30:00	:ICE	10.04	10.38	9.80	9.98	7781500.00
2006-02-24 15:30:00	:ICE	10.36	11.15	10.36	10.90	11023500.00
2006-02-27 15:30:00	:ICE	11.00	11.44	10.86	11.37	4822000.00
2006-02-28 15:30:00	:ICE	11.32	11.58	10.81	10.95	4038000.00
2006-03-01 15:30:00	:ICE	11.00	11.37	11.00	11.35	3081500.00
