datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:IDXX	14.74	14.86	14.65	14.74	748812.00
2004-04-08 15:30:00	:IDXX	14.72	14.99	14.72	14.96	1036112.00
2004-04-12 15:30:00	:IDXX	14.97	15.24	14.85	15.06	1044460.00
2004-04-13 15:30:00	:IDXX	14.99	15.18	14.50	14.53	1002356.00
2004-04-14 15:30:00	:IDXX	14.43	14.72	14.38	14.59	1582372.00
2004-04-15 15:30:00	:IDXX	14.60	14.85	14.52	14.81	860900.00
2004-04-16 15:30:00	:IDXX	14.85	15.47	14.82	15.43	1621960.00
2004-04-19 15:30:00	:IDXX	15.40	15.86	15.25	15.78	3027088.00
2004-04-20 15:30:00	:IDXX	15.81	15.87	15.35	15.60	1897972.00
2004-04-21 15:30:00	:IDXX	15.45	15.90	15.40	15.52	2155248.00
2004-04-22 15:30:00	:IDXX	15.55	15.66	15.36	15.50	1168200.00
2004-04-23 15:30:00	:IDXX	15.54	15.56	15.12	15.32	701136.00
2004-04-26 15:30:00	:IDXX	15.22	15.53	15.05	15.34	843908.00
2004-04-27 15:30:00	:IDXX	15.33	15.49	15.14	15.44	837888.00
2004-04-28 15:30:00	:IDXX	15.41	15.64	15.13	15.15	1291696.00
2004-04-29 15:30:00	:IDXX	15.15	15.43	15.14	15.35	936712.00
2004-04-30 15:30:00	:IDXX	15.35	15.46	14.86	15.31	1806724.00
2004-05-03 15:30:00	:IDXX	15.15	15.63	15.11	15.56	1425184.00
2004-05-04 15:30:00	:IDXX	15.57	15.75	15.47	15.64	946268.00
2004-05-05 15:30:00	:IDXX	15.74	15.91	15.50	15.79	714688.00
2004-05-06 15:30:00	:IDXX	15.76	15.79	15.38	15.54	641100.00
2004-05-07 15:30:00	:IDXX	15.57	15.57	15.18	15.18	1093720.00
2004-05-10 15:30:00	:IDXX	14.97	15.09	14.71	14.90	1108856.00
2004-05-11 15:30:00	:IDXX	15.00	15.25	14.97	15.06	780032.00
2004-05-12 15:30:00	:IDXX	15.16	15.29	14.70	15.26	1030588.00
2004-05-13 15:30:00	:IDXX	15.15	15.57	15.14	15.47	1089644.00
2004-05-14 15:30:00	:IDXX	15.38	15.67	15.30	15.47	730572.00
2004-05-17 15:30:00	:IDXX	15.45	15.50	15.15	15.39	649388.00
2004-05-18 15:30:00	:IDXX	15.38	15.62	15.25	15.42	650600.00
2004-05-19 15:30:00	:IDXX	15.34	15.58	15.19	15.25	1170192.00
2004-05-20 15:30:00	:IDXX	15.29	15.43	15.20	15.21	479220.00
2004-05-21 15:30:00	:IDXX	15.20	15.47	15.15	15.42	1037968.00
2004-05-24 15:30:00	:IDXX	15.28	15.47	14.88	14.90	1347932.00
2004-05-25 15:30:00	:IDXX	15.02	15.54	14.91	15.54	1551832.00
2004-05-26 15:30:00	:IDXX	15.58	16.49	15.58	16.43	3392124.00
2004-05-27 15:30:00	:IDXX	16.57	16.97	16.25	16.63	2731552.00
2004-05-28 15:30:00	:IDXX	16.55	16.70	16.41	16.44	1435112.00
2004-06-01 15:30:00	:IDXX	16.42	16.94	16.40	16.78	2069360.00
2004-06-02 15:30:00	:IDXX	16.75	17.21	16.64	16.91	1871356.00
2004-06-03 15:30:00	:IDXX	16.95	17.11	16.66	16.77	2178692.00
2004-06-04 15:30:00	:IDXX	16.71	16.87	16.56	16.62	1325464.00
2004-06-07 15:30:00	:IDXX	16.72	16.80	16.45	16.69	912856.00
2004-06-08 15:30:00	:IDXX	16.70	16.75	16.49	16.62	1242072.00
2004-06-09 15:30:00	:IDXX	16.61	16.72	16.30	16.38	1058260.00
2004-06-10 15:30:00	:IDXX	16.34	16.44	16.12	16.33	1241824.00
2004-06-14 15:30:00	:IDXX	16.36	16.49	16.12	16.24	738640.00
2004-06-15 15:30:00	:IDXX	16.27	16.45	16.15	16.16	714456.00
2004-06-16 15:30:00	:IDXX	15.94	16.42	15.80	16.36	1446572.00
