datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:IFF	35.90	35.90	35.15	35.24	414100.00
2004-04-08 15:30:00	:IFF	35.49	35.85	35.26	35.39	216100.00
2004-04-12 15:30:00	:IFF	35.25	35.46	35.05	35.13	377600.00
2004-04-13 15:30:00	:IFF	35.25	35.36	34.75	34.96	393800.00
2004-04-14 15:30:00	:IFF	34.96	35.47	34.92	35.38	542400.00
2004-04-15 15:30:00	:IFF	35.60	35.63	35.24	35.59	393400.00
2004-04-16 15:30:00	:IFF	35.85	36.16	35.55	36.03	320200.00
2004-04-19 15:30:00	:IFF	35.85	36.35	35.58	36.29	291100.00
2004-04-20 15:30:00	:IFF	36.29	36.30	35.86	35.90	488400.00
2004-04-21 15:30:00	:IFF	36.15	36.19	35.80	36.02	193700.00
2004-04-22 15:30:00	:IFF	35.82	36.57	35.81	36.45	221200.00
2004-04-23 15:30:00	:IFF	36.30	36.53	35.87	36.40	165400.00
2004-04-26 15:30:00	:IFF	36.30	36.43	36.10	36.37	213500.00
2004-04-27 15:30:00	:IFF	36.25	36.92	36.20	36.55	310200.00
2004-04-28 15:30:00	:IFF	36.67	36.67	35.60	35.80	259900.00
2004-04-29 15:30:00	:IFF	35.90	37.25	35.80	36.94	783300.00
2004-04-30 15:30:00	:IFF	36.90	37.25	36.21	36.25	474200.00
2004-05-03 15:30:00	:IFF	36.25	36.71	36.19	36.62	252100.00
2004-05-04 15:30:00	:IFF	36.44	36.64	36.09	36.39	400300.00
2004-05-05 15:30:00	:IFF	36.20	36.49	36.01	36.18	299500.00
2004-05-06 15:30:00	:IFF	36.15	36.20	35.55	36.09	341900.00
2004-05-07 15:30:00	:IFF	35.84	36.03	35.10	35.25	493600.00
2004-05-10 15:30:00	:IFF	35.21	35.60	34.94	34.99	529900.00
2004-05-11 15:30:00	:IFF	34.94	35.23	34.81	35.00	428200.00
2004-05-12 15:30:00	:IFF	34.90	35.00	34.66	34.82	434700.00
2004-05-13 15:30:00	:IFF	34.60	35.00	34.50	34.76	463300.00
2004-05-14 15:30:00	:IFF	34.76	35.08	34.40	34.75	837500.00
2004-05-17 15:30:00	:IFF	34.60	34.80	34.37	34.66	518000.00
2004-05-18 15:30:00	:IFF	34.61	34.97	34.61	34.72	423200.00
2004-05-19 15:30:00	:IFF	34.87	35.50	34.86	34.90	365100.00
2004-05-20 15:30:00	:IFF	34.85	35.22	34.83	35.01	175200.00
2004-05-21 15:30:00	:IFF	35.19	35.84	35.12	35.35	287400.00
2004-05-24 15:30:00	:IFF	35.40	35.59	35.25	35.49	193900.00
2004-05-25 15:30:00	:IFF	35.55	36.25	35.17	36.09	306900.00
2004-05-26 15:30:00	:IFF	36.09	36.25	35.72	36.08	207900.00
2004-05-27 15:30:00	:IFF	36.08	37.11	36.08	36.68	315600.00
2004-05-28 15:30:00	:IFF	36.70	36.70	35.90	35.98	313600.00
2004-06-01 15:30:00	:IFF	35.99	36.30	35.80	36.17	185200.00
2004-06-02 15:30:00	:IFF	36.30	37.02	36.25	37.02	279900.00
2004-06-03 15:30:00	:IFF	37.00	37.00	36.45	36.48	281500.00
2004-06-04 15:30:00	:IFF	36.55	36.94	36.40	36.59	137700.00
2004-06-07 15:30:00	:IFF	36.62	37.16	36.62	37.06	174800.00
2004-06-08 15:30:00	:IFF	37.15	37.34	36.92	37.33	281000.00
2004-06-09 15:30:00	:IFF	37.49	37.87	37.33	37.47	316300.00
2004-06-10 15:30:00	:IFF	37.47	37.50	37.14	37.20	184200.00
2004-06-14 15:30:00	:IFF	37.00	37.39	36.84	37.00	215000.00
2004-06-15 15:30:00	:IFF	37.15	37.40	36.90	37.18	362100.00
2004-06-16 15:30:00	:IFF	37.30	37.33	37.04	37.17	128200.00
2004-06-17 15:30:00	:IFF	37.10	37.40	36.70	37.39	228000.00
2004-06-18 15:30:00	:IFF	37.64	37.64	36.99	37.01	357300.00
2004-06-21 15:30:00	:IFF	37.05	37.18	37.01	37.11	168500.00
2004-06-22 15:30:00	:IFF	36.93	37.13	36.81	36.98	397100.00
2004-06-23 15:30:00	:IFF	37.08	37.36	36.93	37.30	261700.00
2004-06-24 15:30:00	:IFF	37.30	37.30	36.75	36.98	256400.00
2004-06-25 15:30:00	:IFF	37.10	37.44	36.80	36.93	556000.00
2004-06-28 15:30:00	:IFF	37.18	37.57	36.96	37.09	211100.00
2004-06-29 15:30:00	:IFF	37.22	37.49	37.05	37.45	295400.00
2004-06-30 15:30:00	:IFF	37.30	37.43	36.92	37.40	295800.00
2004-07-01 15:30:00	:IFF	37.18	37.44	36.75	37.09	339300.00
2004-07-02 15:30:00	:IFF	37.05	37.25	36.67	37.18	121400.00
2004-07-06 15:30:00	:IFF	37.18	37.28	36.86	36.90	223900.00
2004-07-07 15:30:00	:IFF	36.75	37.50	36.71	37.30	263300.00
2004-07-08 15:30:00	:IFF	37.15	37.45	36.91	36.96	290500.00
2004-07-09 15:30:00	:IFF	36.77	37.26	36.29	37.18	457600.00
2004-07-12 15:30:00	:IFF	37.18	37.24	36.93	37.00	291400.00
2004-07-13 15:30:00	:IFF	37.00	37.10	36.88	36.89	166400.00
2004-07-14 15:30:00	:IFF	36.95	37.04	36.71	37.00	280200.00
2004-07-15 15:30:00	:IFF	37.10	37.10	36.91	36.95	169100.00
2004-07-16 15:30:00	:IFF	37.00	37.18	36.82	37.06	182400.00
2004-07-19 15:30:00	:IFF	37.20	37.39	37.01	37.10	83500.00
2004-07-20 15:30:00	:IFF	37.20	37.29	36.94	37.29	178200.00
2004-07-21 15:30:00	:IFF	37.35	37.42	36.92	36.99	238000.00
2004-07-22 15:30:00	:IFF	36.80	37.00	36.35	36.71	233200.00
2004-07-23 15:30:00	:IFF	36.78	36.86	36.05	36.58	205000.00
2004-07-26 15:30:00	:IFF	36.59	36.59	36.00	36.00	196800.00
2004-07-27 15:30:00	:IFF	36.10	36.37	35.97	36.15	326600.00
2004-07-28 15:30:00	:IFF	36.06	36.06	35.24	35.90	358600.00
2004-07-29 15:30:00	:IFF	36.00	36.61	36.00	36.57	409300.00
2004-07-30 15:30:00	:IFF	36.64	36.68	36.29	36.54	196700.00
2004-08-02 15:30:00	:IFF	36.59	37.36	36.57	37.36	286600.00
2004-08-03 15:30:00	:IFF	37.15	37.27	36.85	37.11	354800.00
2004-08-04 15:30:00	:IFF	37.11	37.56	36.70	37.17	307100.00
2004-08-05 15:30:00	:IFF	37.07	37.07	36.43	36.51	385500.00
2004-08-06 15:30:00	:IFF	36.40	36.54	36.00	36.13	284500.00
2004-08-09 15:30:00	:IFF	36.30	36.34	36.01	36.21	193100.00
2004-08-10 15:30:00	:IFF	36.17	36.68	36.10	36.62	268900.00
2004-08-11 15:30:00	:IFF	36.59	37.11	36.18	37.10	199400.00
2004-08-12 15:30:00	:IFF	36.95	36.98	36.58	36.82	179700.00
2004-08-13 15:30:00	:IFF	36.95	37.15	36.61	36.76	234300.00
2004-08-16 15:30:00	:IFF	36.96	38.08	36.96	37.89	535100.00
2004-08-17 15:30:00	:IFF	37.80	38.25	37.67	37.88	496200.00
2004-08-18 15:30:00	:IFF	37.88	38.38	37.74	38.24	376000.00
2004-08-19 15:30:00	:IFF	38.00	38.39	38.00	38.15	201700.00
2004-08-20 15:30:00	:IFF	38.15	38.78	38.09	38.51	277700.00
2004-08-23 15:30:00	:IFF	38.65	38.90	38.44	38.49	212000.00
2004-08-24 15:30:00	:IFF	38.38	38.69	38.09	38.15	326000.00
2004-08-25 15:30:00	:IFF	38.19	38.55	38.12	38.50	398500.00
2004-08-26 15:30:00	:IFF	38.30	38.74	38.26	38.47	211300.00
2004-08-27 15:30:00	:IFF	38.60	38.76	38.32	38.48	213900.00
2004-08-30 15:30:00	:IFF	38.50	38.62	38.00	38.04	217000.00
2004-08-31 15:30:00	:IFF	38.04	38.53	37.99	38.53	420200.00
2004-09-01 15:30:00	:IFF	38.35	38.92	38.09	38.28	293100.00
2004-09-02 15:30:00	:IFF	38.45	39.08	38.26	39.00	280700.00
2004-09-03 15:30:00	:IFF	38.82	39.25	38.79	38.85	225200.00
2004-09-07 15:30:00	:IFF	39.10	39.97	39.10	39.81	536800.00
2004-09-08 15:30:00	:IFF	39.56	39.61	38.91	38.91	377900.00
2004-09-09 15:30:00	:IFF	39.11	39.15	38.76	38.80	167500.00
2004-09-10 15:30:00	:IFF	38.65	38.73	38.23	38.62	172100.00
2004-09-13 15:30:00	:IFF	38.77	38.88	38.58	38.71	179100.00
2004-09-14 15:30:00	:IFF	38.62	38.70	38.41	38.49	213400.00
2004-09-15 15:30:00	:IFF	38.60	38.69	38.07	38.08	197500.00
2004-09-16 15:30:00	:IFF	38.28	38.78	38.28	38.67	185200.00
2004-09-17 15:30:00	:IFF	38.80	39.00	38.61	38.70	176000.00
2004-09-20 15:30:00	:IFF	38.48	38.48	37.33	37.33	464900.00
2004-09-21 15:30:00	:IFF	37.15	37.61	36.69	37.58	518200.00
2004-09-22 15:30:00	:IFF	37.50	37.55	37.00	37.30	455100.00
2004-09-23 15:30:00	:IFF	37.30	37.42	36.98	37.21	342300.00
2004-09-24 15:30:00	:IFF	37.31	37.73	37.11	37.53	254300.00
2004-09-27 15:30:00	:IFF	37.50	37.82	37.26	37.54	328000.00
2004-09-28 15:30:00	:IFF	37.75	38.00	37.49	37.76	268500.00
2004-09-29 15:30:00	:IFF	37.77	37.90	37.64	37.81	282300.00
2004-09-30 15:30:00	:IFF	37.81	38.20	37.80	38.20	480400.00
2004-10-01 15:30:00	:IFF	38.20	38.77	38.19	38.77	329000.00
2004-10-04 15:30:00	:IFF	38.75	38.84	38.50	38.75	364600.00
2004-10-05 15:30:00	:IFF	38.63	38.92	38.63	38.71	267300.00
2004-10-06 15:30:00	:IFF	38.72	38.86	38.59	38.75	121300.00
2004-10-07 15:30:00	:IFF	38.76	38.76	38.34	38.41	199900.00
2004-10-08 15:30:00	:IFF	38.20	38.57	37.98	38.30	256400.00
2004-10-11 15:30:00	:IFF	38.31	38.56	38.25	38.42	181300.00
2004-10-12 15:30:00	:IFF	38.35	38.47	38.15	38.36	413200.00
2004-10-13 15:30:00	:IFF	38.40	38.40	37.84	37.94	400400.00
2004-10-14 15:30:00	:IFF	37.80	38.12	37.76	37.89	248100.00
2004-10-15 15:30:00	:IFF	38.15	38.73	38.02	38.08	225500.00
2004-10-18 15:30:00	:IFF	37.95	38.13	37.56	38.00	175000.00
2004-10-19 15:30:00	:IFF	37.90	38.05	37.24	37.33	309100.00
2004-10-20 15:30:00	:IFF	37.42	37.66	37.04	37.61	179300.00
2004-10-21 15:30:00	:IFF	37.48	37.90	37.23	37.73	124400.00
2004-10-22 15:30:00	:IFF	37.83	38.21	37.70	38.06	266600.00
2004-10-25 15:30:00	:IFF	37.90	38.20	37.48	38.10	225200.00
2004-10-26 15:30:00	:IFF	38.25	39.06	37.95	39.03	1637800.00
2004-10-27 15:30:00	:IFF	38.95	39.34	38.65	39.26	371800.00
2004-10-28 15:30:00	:IFF	39.15	39.16	36.12	37.80	923000.00
2004-10-29 15:30:00	:IFF	37.85	39.10	37.80	39.05	582100.00
2004-11-01 15:30:00	:IFF	38.95	38.95	37.58	38.48	548600.00
2004-11-02 15:30:00	:IFF	38.48	38.97	38.34	38.40	456300.00
2004-11-03 15:30:00	:IFF	38.60	38.89	38.17	38.41	272000.00
2004-11-04 15:30:00	:IFF	38.30	39.00	38.22	38.98	290500.00
2004-11-05 15:30:00	:IFF	39.20	39.58	39.20	39.40	667200.00
2004-11-08 15:30:00	:IFF	39.15	39.20	38.92	39.00	367100.00
2004-11-09 15:30:00	:IFF	38.99	39.38	38.90	39.35	396600.00
2004-11-10 15:30:00	:IFF	39.35	39.83	39.13	39.71	469900.00
2004-11-11 15:30:00	:IFF	39.63	40.40	39.63	40.35	847300.00
2004-11-12 15:30:00	:IFF	40.43	41.10	40.21	41.05	571900.00
