datetime	symbol	open	high	low	close	volume
2017-05-12 15:30:00	:IR	21.25	21.30	20.27	21.10	10933718.00
2017-05-15 15:30:00	:IR	21.01	22.30	21.01	22.02	3487278.00
2017-05-16 15:30:00	:IR	22.19	22.41	22.05	22.10	1289339.00
2017-05-17 15:30:00	:IR	22.15	22.51	21.67	22.10	1583699.00
2017-05-18 15:30:00	:IR	22.19	23.63	21.98	22.50	4075173.00
2017-05-19 15:30:00	:IR	22.56	23.49	22.32	22.72	1248618.00
2017-05-22 15:30:00	:IR	22.80	23.09	22.52	22.89	383071.00
2017-05-23 15:30:00	:IR	22.99	23.61	22.65	23.45	703985.00
2017-05-24 15:30:00	:IR	23.54	23.59	23.01	23.35	408791.00
2017-05-25 15:30:00	:IR	23.42	23.82	22.31	22.51	1080743.00
2017-05-26 15:30:00	:IR	22.55	23.24	22.36	23.03	721073.00
2017-05-30 15:30:00	:IR	23.00	23.29	22.59	22.95	843125.00
2017-05-31 15:30:00	:IR	22.97	23.18	22.67	22.93	484429.00
2017-06-01 15:30:00	:IR	22.91	23.43	22.81	22.93	486400.00
2017-06-02 15:30:00	:IR	22.89	23.10	22.60	22.65	546591.00
2017-06-05 15:30:00	:IR	22.61	22.91	21.92	22.63	422153.00
2017-06-06 15:30:00	:IR	21.83	22.71	21.83	22.29	1089496.00
2017-06-07 15:30:00	:IR	22.40	22.79	21.57	21.76	733543.00
2017-06-08 15:30:00	:IR	21.75	21.93	21.61	21.65	432553.00
2017-06-09 15:30:00	:IR	21.68	22.82	21.68	22.49	565863.00
2017-06-12 15:30:00	:IR	22.46	23.58	21.89	23.03	826169.00
2017-06-13 15:30:00	:IR	22.99	24.24	22.80	23.49	927265.00
2017-06-14 15:30:00	:IR	23.57	23.71	22.55	23.25	1988480.00
2017-06-15 15:30:00	:IR	23.08	24.55	22.77	22.99	1510315.00
2017-06-16 15:30:00	:IR	23.00	24.00	23.00	23.92	2465627.00
2017-06-19 15:30:00	:IR	24.06	24.21	23.54	23.92	460198.00
2017-06-20 15:30:00	:IR	23.72	23.72	22.21	22.62	1043702.00
2017-06-21 15:30:00	:IR	22.54	22.75	20.63	20.72	1275376.00
2017-06-22 15:30:00	:IR	20.72	21.07	19.91	21.06	1321878.00
2017-06-23 15:30:00	:IR	21.03	21.11	20.24	20.47	3690385.00
2017-06-26 15:30:00	:IR	20.42	21.05	20.08	20.50	790772.00
2017-06-27 15:30:00	:IR	20.56	21.63	20.42	21.29	1029076.00
2017-06-28 15:30:00	:IR	21.28	21.64	21.14	21.27	737567.00
2017-06-29 15:30:00	:IR	21.33	21.54	21.04	21.43	796188.00
2017-06-30 15:30:00	:IR	21.54	21.74	21.24	21.61	250831.00
2017-07-03 15:30:00	:IR	21.75	22.40	21.39	22.34	396507.00
2017-07-05 15:30:00	:IR	22.38	22.41	21.76	21.82	765815.00
2017-07-06 15:30:00	:IR	21.61	21.61	20.89	20.97	1184427.00
2017-07-07 15:30:00	:IR	20.99	21.22	20.58	20.67	953857.00
2017-07-10 15:30:00	:IR	20.63	21.48	20.55	21.34	826888.00
2017-07-11 15:30:00	:IR	21.23	21.80	21.02	21.73	656134.00
2017-07-12 15:30:00	:IR	21.78	22.34	21.73	22.13	1091807.00
2017-07-13 15:30:00	:IR	22.11	22.26	21.86	22.06	1577730.00
2017-07-14 15:30:00	:IR	22.13	22.29	21.99	22.08	211254.00
2017-07-17 15:30:00	:IR	22.06	23.12	21.92	22.97	1357054.00
2017-07-18 15:30:00	:IR	22.83	23.21	22.81	23.04	962684.00
2017-07-19 15:30:00	:IR	23.03	23.42	23.00	23.42	742424.00
2017-07-20 15:30:00	:IR	23.41	23.62	23.00	23.55	454431.00
2017-07-21 15:30:00	:IR	23.44	23.69	22.82	23.01	1163239.00
2017-07-24 15:30:00	:IR	22.93	23.15	22.71	23.14	724428.00
2017-07-25 15:30:00	:IR	23.28	23.56	22.99	23.45	1832279.00
2017-07-26 15:30:00	:IR	23.60	23.60	22.64	22.82	781210.00
2017-07-27 15:30:00	:IR	22.81	23.25	22.75	23.23	314159.00
2017-07-28 15:30:00	:IR	23.08	23.22	22.88	23.09	260792.00
2017-07-31 15:30:00	:IR	23.23	23.23	22.91	22.96	536924.00
2017-08-01 15:30:00	:IR	23.00	23.00	22.39	22.50	998199.00
2017-08-02 15:30:00	:IR	22.50	23.13	22.50	23.02	1444358.00
2017-08-03 15:30:00	:IR	23.83	24.00	22.96	23.26	2650329.00
2017-08-04 15:30:00	:IR	23.46	24.08	23.29	24.07	809595.00
2017-08-07 15:30:00	:IR	24.09	24.34	23.74	24.04	1039061.00
2017-08-08 15:30:00	:IR	24.06	24.29	23.73	24.13	626655.00
2017-08-09 15:30:00	:IR	24.04	24.06	23.48	23.60	296760.00
2017-08-10 15:30:00	:IR	23.39	23.39	22.52	22.66	1247866.00
2017-08-11 15:30:00	:IR	22.28	22.91	22.28	22.68	605297.00
2017-08-14 15:30:00	:IR	22.89	23.19	22.16	22.59	970281.00
2017-08-15 15:30:00	:IR	22.69	22.80	22.55	22.69	1061909.00
2017-08-16 15:30:00	:IR	22.80	22.87	22.59	22.75	536296.00
2017-08-17 15:30:00	:IR	22.60	22.81	21.98	22.00	417867.00
2017-08-18 15:30:00	:IR	21.91	22.18	21.76	21.97	506385.00
2017-08-21 15:30:00	:IR	22.66	22.90	22.14	22.39	714045.00
2017-08-22 15:30:00	:IR	22.52	22.85	22.40	22.78	245085.00
2017-08-23 15:30:00	:IR	22.58	23.07	22.58	22.96	612417.00
2017-08-24 15:30:00	:IR	22.98	22.98	22.64	22.70	230258.00
