datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:ITW	40.63	40.66	40.05	40.20	1622400.00
2004-04-08 15:30:00	:ITW	40.30	40.68	40.23	40.32	1780000.00
2004-04-12 15:30:00	:ITW	40.61	40.76	40.41	40.49	959200.00
2004-04-13 15:30:00	:ITW	40.50	40.50	39.77	39.96	1740200.00
2004-04-14 15:30:00	:ITW	39.99	40.47	39.93	40.31	2499600.00
2004-04-15 15:30:00	:ITW	40.50	41.05	40.47	41.05	2999800.00
2004-04-16 15:30:00	:ITW	41.30	41.66	41.06	41.59	2679000.00
2004-04-19 15:30:00	:ITW	41.52	41.88	41.52	41.60	2559600.00
2004-04-20 15:30:00	:ITW	42.45	42.45	41.81	41.82	4005200.00
2004-04-21 15:30:00	:ITW	41.82	42.80	41.66	42.75	4946800.00
2004-04-22 15:30:00	:ITW	42.77	44.70	42.77	44.70	6315600.00
2004-04-23 15:30:00	:ITW	44.46	44.46	43.41	44.05	3521800.00
2004-04-26 15:30:00	:ITW	43.74	44.35	43.45	43.52	2698200.00
2004-04-27 15:30:00	:ITW	43.90	44.60	43.82	44.07	3615600.00
2004-04-28 15:30:00	:ITW	43.95	43.95	42.85	43.05	2127800.00
2004-04-29 15:30:00	:ITW	43.05	43.50	42.84	43.10	2224600.00
2004-04-30 15:30:00	:ITW	43.14	43.54	42.90	43.11	2677400.00
2004-05-03 15:30:00	:ITW	43.40	43.76	43.20	43.76	2332800.00
2004-05-04 15:30:00	:ITW	43.61	44.25	43.37	43.77	2032200.00
2004-05-05 15:30:00	:ITW	43.62	44.00	43.41	43.80	1750600.00
2004-05-06 15:30:00	:ITW	43.72	43.75	43.16	43.50	1471200.00
2004-05-07 15:30:00	:ITW	43.27	43.85	42.70	42.99	4300200.00
2004-05-10 15:30:00	:ITW	42.80	42.80	41.59	41.89	3414600.00
2004-05-11 15:30:00	:ITW	41.98	42.32	41.75	42.16	3931800.00
2004-05-12 15:30:00	:ITW	42.12	42.81	41.55	42.79	3349200.00
2004-05-13 15:30:00	:ITW	42.40	42.77	42.16	42.21	2295200.00
2004-05-14 15:30:00	:ITW	42.95	43.14	42.12	42.83	2318200.00
2004-05-17 15:30:00	:ITW	42.50	42.51	41.83	42.43	1684200.00
2004-05-18 15:30:00	:ITW	42.38	42.91	42.37	42.74	2096600.00
2004-05-19 15:30:00	:ITW	43.10	43.66	42.76	42.83	2260800.00
2004-05-20 15:30:00	:ITW	42.88	43.34	42.72	43.20	2944200.00
2004-05-21 15:30:00	:ITW	43.40	43.64	43.33	43.62	2731800.00
2004-05-24 15:30:00	:ITW	43.85	44.25	43.84	44.20	3572200.00
2004-05-25 15:30:00	:ITW	44.20	45.23	44.09	45.05	4990000.00
