datetime	symbol	open	high	low	close	volume
2004-02-18 15:30:00	:IVZ	16.30	16.33	16.07	16.09	63700.00
2004-02-19 15:30:00	:IVZ	16.70	16.83	16.64	16.68	140200.00
2004-02-20 15:30:00	:IVZ	16.89	16.89	16.14	16.39	106300.00
2004-02-23 15:30:00	:IVZ	16.44	16.49	16.16	16.35	56200.00
2004-02-24 15:30:00	:IVZ	16.00	16.20	15.97	16.02	46700.00
2004-02-25 15:30:00	:IVZ	16.01	16.25	16.01	16.20	25400.00
2004-02-26 15:30:00	:IVZ	16.15	16.22	15.93	16.19	25500.00
2004-02-27 15:30:00	:IVZ	16.15	16.27	15.89	16.21	62800.00
2004-03-01 15:30:00	:IVZ	16.29	16.44	16.13	16.44	142000.00
2004-03-02 15:30:00	:IVZ	16.13	16.19	16.05	16.13	39000.00
2004-03-03 15:30:00	:IVZ	16.05	16.51	16.05	16.51	56200.00
2004-03-04 15:30:00	:IVZ	16.28	16.72	16.24	16.58	99500.00
2004-03-05 15:30:00	:IVZ	16.71	17.33	16.71	17.28	97100.00
2004-03-08 15:30:00	:IVZ	17.16	17.17	16.91	16.92	74200.00
2004-03-09 15:30:00	:IVZ	16.85	16.99	16.52	16.71	35200.00
2004-03-10 15:30:00	:IVZ	16.17	16.26	15.90	15.95	62600.00
2004-03-11 15:30:00	:IVZ	15.25	15.49	15.01	15.06	170200.00
2004-03-12 15:30:00	:IVZ	15.52	15.61	15.31	15.50	54500.00
2004-03-15 15:30:00	:IVZ	15.26	15.30	14.94	15.05	78100.00
2004-03-16 15:30:00	:IVZ	15.01	15.09	14.87	15.09	259400.00
2004-03-17 15:30:00	:IVZ	15.41	15.68	15.25	15.67	67000.00
2004-03-18 15:30:00	:IVZ	15.41	15.41	15.05	15.26	28600.00
2004-03-19 15:30:00	:IVZ	15.46	15.54	15.29	15.45	65100.00
2004-03-22 15:30:00	:IVZ	14.80	14.90	14.71	14.84	77200.00
2004-03-23 15:30:00	:IVZ	15.09	15.13	14.88	14.99	32100.00
2004-03-24 15:30:00	:IVZ	14.82	15.13	14.72	14.89	43500.00
2004-03-25 15:30:00	:IVZ	15.25	15.53	15.13	15.48	64900.00
2004-03-26 15:30:00	:IVZ	15.06	15.24	14.90	15.10	51400.00
2004-03-29 16:30:00	:IVZ	15.11	15.47	15.05	15.27	73500.00
2004-03-30 16:30:00	:IVZ	15.13	15.35	15.09	15.30	55600.00
2004-03-31 16:30:00	:IVZ	15.04	15.15	14.94	15.13	41100.00
2004-04-01 16:30:00	:IVZ	15.18	15.68	15.18	15.57	125600.00
2004-04-02 16:30:00	:IVZ	15.67	15.90	15.59	15.84	38000.00
2004-04-05 15:30:00	:IVZ	15.53	15.76	15.41	15.56	29000.00
2004-04-06 15:30:00	:IVZ	15.53	15.84	15.53	15.79	23200.00
2004-04-07 15:30:00	:IVZ	15.68	15.75	15.46	15.63	69300.00
2004-04-08 15:30:00	:IVZ	15.83	15.90	15.65	15.70	37300.00
2004-04-12 15:30:00	:IVZ	15.60	15.85	15.60	15.76	28800.00
2004-04-13 15:30:00	:IVZ	15.78	15.90	15.47	15.51	80200.00
2004-04-14 15:30:00	:IVZ	14.91	15.10	14.75	14.89	202600.00
2004-04-15 15:30:00	:IVZ	14.91	15.01	14.61	14.91	74200.00
2004-04-16 15:30:00	:IVZ	15.09	15.23	14.90	15.09	142100.00
2004-04-19 15:30:00	:IVZ	15.09	15.20	14.89	15.08	75400.00
2004-04-20 15:30:00	:IVZ	15.09	15.12	14.40	14.62	148300.00
2004-04-21 15:30:00	:IVZ	14.52	14.59	14.26	14.51	169700.00
2004-04-22 15:30:00	:IVZ	14.51	14.69	14.35	14.64	112500.00
2004-04-23 15:30:00	:IVZ	14.62	14.87	14.48	14.87	468300.00
2004-04-26 15:30:00	:IVZ	14.86	14.89	14.26	14.60	164500.00
2004-04-27 15:30:00	:IVZ	13.88	14.20	13.75	14.03	318100.00
2004-04-28 15:30:00	:IVZ	13.62	13.70	13.42	13.57	250200.00
2004-04-29 15:30:00	:IVZ	13.57	13.79	13.38	13.56	114900.00
2004-04-30 15:30:00	:IVZ	13.52	13.54	13.30	13.38	62000.00
2004-05-03 15:30:00	:IVZ	13.38	13.65	13.20	13.46	49500.00
2004-05-04 15:30:00	:IVZ	13.42	13.57	13.42	13.50	139700.00
2004-05-05 15:30:00	:IVZ	13.55	13.69	13.49	13.57	37300.00
2004-05-06 15:30:00	:IVZ	13.39	13.41	13.12	13.27	53400.00
2004-05-07 15:30:00	:IVZ	13.20	13.39	13.06	13.21	105100.00
2004-05-10 15:30:00	:IVZ	12.70	12.79	12.49	12.68	274700.00
2004-05-11 15:30:00	:IVZ	12.50	12.69	12.49	12.58	83800.00
2004-05-12 15:30:00	:IVZ	12.45	12.60	12.28	12.55	53000.00
2004-05-13 15:30:00	:IVZ	12.48	12.62	12.34	12.48	64600.00
2004-05-14 15:30:00	:IVZ	12.38	12.41	12.20	12.38	39300.00
2004-05-17 15:30:00	:IVZ	12.08	12.25	12.05	12.20	39400.00
2004-05-18 15:30:00	:IVZ	12.37	12.58	12.36	12.44	38300.00
2004-05-19 15:30:00	:IVZ	12.90	13.21	12.80	12.88	42000.00
2004-05-20 15:30:00	:IVZ	12.72	12.90	12.60	12.76	45300.00
2004-05-21 15:30:00	:IVZ	12.81	12.95	12.66	12.87	40900.00
2004-05-24 15:30:00	:IVZ	12.97	13.20	12.96	13.02	38800.00
2004-05-25 15:30:00	:IVZ	13.02	13.45	13.02	13.40	51600.00
2004-05-26 15:30:00	:IVZ	13.27	13.47	13.22	13.33	25300.00
2004-05-27 15:30:00	:IVZ	13.42	13.58	13.40	13.45	34500.00
2004-05-28 15:30:00	:IVZ	13.63	13.67	13.44	13.57	38000.00
2004-06-01 15:30:00	:IVZ	13.50	13.60	13.35	13.50	47800.00
2004-06-02 15:30:00	:IVZ	13.60	13.73	13.55	13.66	51700.00
2004-06-03 15:30:00	:IVZ	13.47	13.60	13.45	13.60	47000.00
2004-06-04 15:30:00	:IVZ	13.64	13.74	13.52	13.63	39600.00
2004-06-07 15:30:00	:IVZ	13.87	14.07	13.86	14.04	66000.00
2004-06-08 15:30:00	:IVZ	13.84	14.05	13.82	13.91	87400.00
2004-06-09 15:30:00	:IVZ	13.94	13.94	13.62	13.70	102900.00
2004-06-10 15:30:00	:IVZ	13.65	13.81	13.60	13.69	46700.00
2004-06-14 15:30:00	:IVZ	13.31	13.47	13.19	13.19	52100.00
2004-06-15 15:30:00	:IVZ	13.50	13.73	13.44	13.58	30000.00
2004-06-16 15:30:00	:IVZ	13.76	13.83	13.56	13.74	142100.00
2004-06-17 15:30:00	:IVZ	13.68	13.76	13.57	13.74	68800.00
2004-06-18 15:30:00	:IVZ	13.75	14.08	13.64	13.84	43200.00
2004-06-21 15:30:00	:IVZ	13.85	13.95	13.68	13.72	50100.00
2004-06-22 15:30:00	:IVZ	13.74	13.88	13.60	13.71	35700.00
2004-06-23 15:30:00	:IVZ	13.52	13.70	13.40	13.62	43300.00
2004-06-24 15:30:00	:IVZ	13.57	13.75	13.48	13.56	48000.00
2004-06-25 15:30:00	:IVZ	13.65	13.84	13.63	13.80	35200.00
2004-06-28 15:30:00	:IVZ	13.93	14.11	13.81	13.84	92400.00
2004-06-29 15:30:00	:IVZ	13.66	13.77	13.58	13.67	28800.00
