datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:JBL	30.37	30.56	29.99	30.38	930700.00
2004-04-08 15:30:00	:JBL	30.80	30.97	30.05	30.30	747400.00
2004-04-12 15:30:00	:JBL	30.30	30.63	30.28	30.38	737600.00
2004-04-13 15:30:00	:JBL	30.60	30.63	29.75	30.00	1057600.00
2004-04-14 15:30:00	:JBL	29.65	30.34	29.51	29.80	891600.00
2004-04-15 15:30:00	:JBL	29.80	29.81	28.36	29.00	1469600.00
2004-04-16 15:30:00	:JBL	29.25	29.25	28.25	28.51	1510200.00
2004-04-19 15:30:00	:JBL	28.33	28.79	28.26	28.64	1249200.00
2004-04-20 15:30:00	:JBL	28.64	28.94	28.02	28.06	1171200.00
2004-04-21 15:30:00	:JBL	28.25	29.09	28.25	28.70	1808000.00
2004-04-22 15:30:00	:JBL	28.45	29.29	28.02	28.90	1412000.00
2004-04-23 15:30:00	:JBL	29.25	29.91	29.18	29.80	1746300.00
2004-04-26 15:30:00	:JBL	29.75	29.88	28.69	28.94	995600.00
2004-04-27 15:30:00	:JBL	28.98	29.50	28.77	28.80	960400.00
2004-04-28 15:30:00	:JBL	28.47	28.55	27.25	27.41	1814100.00
2004-04-29 15:30:00	:JBL	27.41	27.50	26.51	26.93	1431100.00
2004-04-30 15:30:00	:JBL	26.93	27.11	26.07	26.39	1353100.00
2004-05-03 15:30:00	:JBL	26.43	27.16	26.35	26.75	1431200.00
2004-05-04 15:30:00	:JBL	26.75	27.19	26.51	26.95	1784900.00
2004-05-05 15:30:00	:JBL	27.10	27.35	27.07	27.33	1209600.00
2004-05-06 15:30:00	:JBL	27.05	27.51	26.77	27.28	1405100.00
2004-05-07 15:30:00	:JBL	27.05	27.49	26.39	26.39	1610900.00
2004-05-10 15:30:00	:JBL	26.20	26.35	25.65	25.95	1955500.00
2004-05-11 15:30:00	:JBL	26.60	27.18	26.41	26.69	2205600.00
2004-05-12 15:30:00	:JBL	26.69	26.75	25.44	26.40	1867600.00
2004-05-13 15:30:00	:JBL	26.35	26.89	26.16	26.40	862100.00
2004-05-14 15:30:00	:JBL	26.40	26.40	25.39	25.58	1899600.00
2004-05-17 15:30:00	:JBL	25.25	25.45	24.60	25.41	1575800.00
2004-05-18 15:30:00	:JBL	25.58	25.84	25.31	25.66	687100.00
2004-05-19 15:30:00	:JBL	26.55	27.25	26.47	26.66	2282100.00
2004-05-20 15:30:00	:JBL	26.55	26.89	26.38	26.76	1506200.00
2004-05-21 15:30:00	:JBL	26.81	27.22	26.72	27.07	911000.00
2004-05-24 15:30:00	:JBL	27.20	27.43	26.80	27.13	781500.00
2004-05-25 15:30:00	:JBL	27.17	27.84	26.91	27.72	973400.00
2004-05-26 15:30:00	:JBL	27.73	28.36	27.69	28.19	1552400.00
2004-05-27 15:30:00	:JBL	28.44	28.75	28.08	28.29	1040300.00
2004-05-28 15:30:00	:JBL	28.39	28.46	28.03	28.31	670400.00
2004-06-01 15:30:00	:JBL	28.13	28.60	28.02	28.32	663000.00
2004-06-02 15:30:00	:JBL	28.37	28.50	27.85	28.15	521000.00
2004-06-03 15:30:00	:JBL	27.95	28.02	27.37	27.37	823000.00
2004-06-04 15:30:00	:JBL	27.92	28.20	27.75	27.85	852200.00
2004-06-07 15:30:00	:JBL	28.12	29.10	28.06	29.08	1053700.00
2004-06-08 15:30:00	:JBL	28.88	28.91	28.44	28.70	1086400.00
2004-06-09 15:30:00	:JBL	28.70	28.70	27.69	27.89	1288400.00
2004-06-10 15:30:00	:JBL	28.20	28.39	27.92	28.16	725900.00
2004-06-14 15:30:00	:JBL	28.05	28.12	27.36	27.46	1100000.00
2004-06-15 15:30:00	:JBL	27.78	28.63	27.78	28.20	1062000.00
2004-06-16 15:30:00	:JBL	28.40	28.40	27.57	28.05	2263100.00
2004-06-17 15:30:00	:JBL	25.80	26.20	23.10	24.49	15833801.00
2004-06-18 15:30:00	:JBL	24.20	24.82	24.13	24.58	4409000.00
2004-06-21 15:30:00	:JBL	24.90	24.99	24.37	24.41	1922600.00
