datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:JKHY	19.92	20.10	19.75	19.97	219494.00
2004-04-08 15:30:00	:JKHY	20.11	20.11	19.69	19.90	223441.00
2004-04-12 15:30:00	:JKHY	19.81	20.04	19.55	19.64	385541.00
2004-04-13 15:30:00	:JKHY	19.55	19.85	18.94	19.20	388181.00
2004-04-14 15:30:00	:JKHY	19.07	19.42	18.81	19.00	292269.00
2004-04-15 15:30:00	:JKHY	18.95	19.00	18.75	18.89	399722.00
2004-04-16 15:30:00	:JKHY	18.81	18.94	18.55	18.71	178145.00
2004-04-19 15:30:00	:JKHY	18.78	19.17	18.53	19.08	248854.00
2004-04-20 15:30:00	:JKHY	19.26	19.28	18.46	18.55	270759.00
2004-04-21 15:30:00	:JKHY	18.62	19.35	18.55	19.10	707165.00
2004-04-22 15:30:00	:JKHY	19.04	19.25	18.81	19.10	372422.00
2004-04-23 15:30:00	:JKHY	19.24	19.24	18.70	18.85	199756.00
2004-04-26 15:30:00	:JKHY	18.77	19.30	18.77	18.98	373510.00
2004-04-27 15:30:00	:JKHY	19.13	19.44	18.96	19.29	260115.00
2004-04-28 15:30:00	:JKHY	19.13	19.28	18.50	18.57	515710.00
2004-04-29 15:30:00	:JKHY	18.67	18.83	18.21	18.40	313280.00
2004-04-30 15:30:00	:JKHY	18.39	18.56	18.11	18.30	370063.00
2004-05-03 15:30:00	:JKHY	18.26	18.75	18.10	18.60	427028.00
2004-05-04 15:30:00	:JKHY	18.75	19.04	18.54	18.95	256811.00
2004-05-05 15:30:00	:JKHY	18.84	19.00	18.36	18.71	279972.00
2004-05-06 15:30:00	:JKHY	18.57	18.68	18.36	18.50	357350.00
2004-05-07 15:30:00	:JKHY	18.60	18.88	18.08	18.11	323428.00
2004-05-10 15:30:00	:JKHY	18.03	18.19	17.70	17.91	501660.00
2004-05-11 15:30:00	:JKHY	18.09	18.53	18.03	18.51	504660.00
2004-05-12 15:30:00	:JKHY	18.48	18.71	18.15	18.71	491074.00
2004-05-13 15:30:00	:JKHY	18.63	18.76	18.46	18.65	238833.00
2004-05-14 15:30:00	:JKHY	18.72	18.74	18.25	18.34	190434.00
2004-05-17 15:30:00	:JKHY	18.20	18.37	17.93	18.19	153207.00
2004-05-18 15:30:00	:JKHY	18.24	18.50	18.23	18.38	233243.00
2004-05-19 15:30:00	:JKHY	18.35	18.85	18.10	18.10	282336.00
2004-05-20 15:30:00	:JKHY	18.20	18.30	17.98	18.14	116593.00
2004-05-21 15:30:00	:JKHY	18.15	18.29	17.95	18.09	124402.00
2004-05-24 15:30:00	:JKHY	18.14	18.37	18.01	18.32	123734.00
2004-05-25 15:30:00	:JKHY	18.33	18.84	18.15	18.80	287375.00
2004-05-26 15:30:00	:JKHY	18.75	19.10	18.68	19.08	358004.00
2004-05-27 15:30:00	:JKHY	19.11	19.33	18.97	19.33	290345.00
2004-05-28 15:30:00	:JKHY	19.12	19.42	19.12	19.37	189467.00
2004-06-01 15:30:00	:JKHY	19.40	19.51	19.35	19.42	276763.00
2004-06-02 15:30:00	:JKHY	19.49	19.60	19.31	19.39	353905.00
2004-06-03 15:30:00	:JKHY	19.39	19.40	19.05	19.05	260562.00
2004-06-04 15:30:00	:JKHY	19.10	19.19	19.03	19.10	153103.00
2004-06-07 15:30:00	:JKHY	19.05	19.19	19.00	19.13	150401.00
2004-06-08 15:30:00	:JKHY	19.02	19.17	19.01	19.11	201071.00
2004-06-09 15:30:00	:JKHY	19.21	19.24	18.84	18.85	181979.00
2004-06-10 15:30:00	:JKHY	19.00	19.15	18.86	18.90	223528.00
2004-06-14 15:30:00	:JKHY	18.85	18.90	18.51	18.59	242442.00
2004-06-15 15:30:00	:JKHY	18.65	19.06	18.48	19.00	363415.00
2004-06-16 15:30:00	:JKHY	18.95	19.36	18.95	19.36	343967.00
2004-06-17 15:30:00	:JKHY	19.36	19.36	18.81	19.01	325478.00
2004-06-18 15:30:00	:JKHY	18.89	19.48	18.81	19.45	342356.00
2004-06-21 15:30:00	:JKHY	19.32	19.50	19.32	19.42	350125.00
2004-06-22 15:30:00	:JKHY	19.50	19.59	19.32	19.50	303951.00
2004-06-23 15:30:00	:JKHY	19.37	19.76	19.35	19.70	259663.00
2004-06-24 15:30:00	:JKHY	19.53	20.00	19.46	19.93	411062.00
2004-06-25 15:30:00	:JKHY	19.83	19.84	19.48	19.48	248129.00
2004-06-28 15:30:00	:JKHY	19.69	19.85	19.51	19.57	148130.00
2004-06-29 15:30:00	:JKHY	19.47	19.82	19.37	19.63	160166.00
2004-06-30 15:30:00	:JKHY	19.53	20.10	19.53	20.10	351241.00
2004-07-01 15:30:00	:JKHY	20.08	20.13	19.80	19.88	355369.00
2004-07-02 15:30:00	:JKHY	19.88	19.93	19.64	19.73	101006.00
2004-07-06 15:30:00	:JKHY	19.76	19.76	19.23	19.25	170076.00
2004-07-07 15:30:00	:JKHY	19.24	19.50	18.80	18.80	188907.00
2004-07-08 15:30:00	:JKHY	18.76	18.92	18.19	18.46	640800.00
2004-07-09 15:30:00	:JKHY	18.40	18.65	18.34	18.64	150908.00
2004-07-12 15:30:00	:JKHY	18.70	18.92	18.46	18.82	246841.00
2004-07-13 15:30:00	:JKHY	19.00	19.11	17.82	18.34	1096821.00
2004-07-14 15:30:00	:JKHY	18.20	18.43	18.20	18.30	562550.00
2004-07-15 15:30:00	:JKHY	18.28	18.41	18.25	18.28	290956.00
2004-07-16 15:30:00	:JKHY	18.26	18.49	17.89	17.94	397077.00
2004-07-19 15:30:00	:JKHY	18.10	18.30	17.86	17.98	334093.00
2004-07-20 15:30:00	:JKHY	18.00	18.45	18.00	18.42	337671.00
2004-07-21 15:30:00	:JKHY	18.33	18.64	18.16	18.20	199614.00
2004-07-22 15:30:00	:JKHY	18.29	18.32	17.52	17.90	700668.00
2004-07-23 15:30:00	:JKHY	18.00	18.07	17.35	17.39	194420.00
2004-07-26 15:30:00	:JKHY	17.44	17.64	17.22	17.26	292513.00
2004-07-27 15:30:00	:JKHY	17.35	17.86	17.17	17.79	265345.00
2004-07-28 15:30:00	:JKHY	18.08	19.14	17.96	18.65	895919.00
2004-07-29 15:30:00	:JKHY	18.67	19.20	18.66	19.11	413498.00
2004-07-30 15:30:00	:JKHY	18.89	19.53	18.86	19.25	389230.00
2004-08-02 15:30:00	:JKHY	19.07	19.55	19.02	19.45	262355.00
2004-08-03 15:30:00	:JKHY	19.38	19.40	18.90	18.92	202385.00
2004-08-04 15:30:00	:JKHY	19.04	19.13	18.72	18.86	208404.00
2004-08-05 15:30:00	:JKHY	18.71	18.84	18.30	18.30	229084.00
2004-08-06 15:30:00	:JKHY	18.33	18.33	17.75	17.76	286476.00
2004-08-09 15:30:00	:JKHY	17.80	17.97	17.68	17.74	127168.00
2004-08-10 15:30:00	:JKHY	17.61	18.10	17.60	18.10	132694.00
2004-08-11 15:30:00	:JKHY	18.13	18.13	17.55	17.74	163828.00
2004-08-12 15:30:00	:JKHY	17.62	17.75	17.36	17.51	163109.00
2004-08-13 15:30:00	:JKHY	17.55	17.72	17.33	17.63	178505.00
2004-08-16 15:30:00	:JKHY	17.54	18.20	17.52	18.11	305546.00
2004-08-17 15:30:00	:JKHY	18.06	18.35	17.93	17.96	148453.00
2004-08-18 15:30:00	:JKHY	18.07	18.25	17.78	18.20	208110.00
2004-08-19 15:30:00	:JKHY	18.07	18.49	18.06	18.33	150624.00
2004-08-20 15:30:00	:JKHY	18.30	18.48	18.19	18.41	212371.00
2004-08-23 15:30:00	:JKHY	18.26	18.48	18.22	18.26	195742.00
2004-08-24 15:30:00	:JKHY	18.19	18.35	18.03	18.15	153399.00
2004-08-25 15:30:00	:JKHY	18.25	18.30	17.97	18.28	197414.00
2004-08-26 15:30:00	:JKHY	18.30	18.32	17.96	18.04	243464.00
2004-08-27 15:30:00	:JKHY	18.14	18.24	17.96	18.23	234041.00
2004-08-30 15:30:00	:JKHY	18.19	18.24	17.77	18.03	146271.00
2004-08-31 15:30:00	:JKHY	18.03	18.18	17.64	18.11	378274.00
2004-09-01 15:30:00	:JKHY	18.05	18.29	17.76	18.29	297999.00
2004-09-02 15:30:00	:JKHY	18.14	18.48	18.14	18.48	245353.00
2004-09-03 15:30:00	:JKHY	18.30	18.60	18.28	18.45	270144.00
2004-09-07 15:30:00	:JKHY	18.65	18.84	18.45	18.75	214872.00
2004-09-08 15:30:00	:JKHY	19.23	19.48	19.00	19.25	430345.00
2004-09-09 15:30:00	:JKHY	19.25	19.40	19.25	19.37	302951.00
2004-09-10 15:30:00	:JKHY	19.36	19.61	19.14	19.46	282034.00
2004-09-13 15:30:00	:JKHY	19.39	19.60	19.39	19.60	287269.00
2004-09-14 15:30:00	:JKHY	19.61	19.65	19.33	19.45	259896.00
2004-09-15 15:30:00	:JKHY	19.45	19.45	19.25	19.40	270510.00
2004-09-16 15:30:00	:JKHY	19.40	19.65	19.35	19.47	174635.00
2004-09-17 15:30:00	:JKHY	19.50	19.53	18.98	19.10	374217.00
2004-09-20 15:30:00	:JKHY	18.95	19.42	18.95	19.27	289111.00
2004-09-21 15:30:00	:JKHY	19.18	19.40	19.05	19.17	123668.00
2004-09-22 15:30:00	:JKHY	19.09	19.20	18.64	18.70	160518.00
2004-09-23 15:30:00	:JKHY	18.71	18.83	18.55	18.66	182047.00
2004-09-24 15:30:00	:JKHY	18.66	18.82	18.53	18.68	178218.00
2004-09-27 15:30:00	:JKHY	18.77	18.77	18.55	18.56	144936.00
2004-09-28 15:30:00	:JKHY	18.79	18.81	18.25	18.74	287100.00
2004-09-29 15:30:00	:JKHY	18.60	18.93	18.58	18.86	163481.00
2004-09-30 15:30:00	:JKHY	18.97	18.98	18.60	18.77	161250.00
2004-10-01 15:30:00	:JKHY	18.85	19.25	18.69	19.21	186678.00
2004-10-04 15:30:00	:JKHY	19.10	19.48	19.10	19.37	251991.00
2004-10-05 15:30:00	:JKHY	19.26	19.40	19.14	19.24	174225.00
2004-10-06 15:30:00	:JKHY	19.26	19.53	19.00	19.51	158953.00
2004-10-07 15:30:00	:JKHY	19.36	19.53	19.28	19.32	157798.00
2004-10-08 15:30:00	:JKHY	19.29	19.42	19.11	19.26	197296.00
2004-10-11 15:30:00	:JKHY	19.19	19.39	19.13	19.19	262744.00
2004-10-12 15:30:00	:JKHY	19.12	19.50	19.08	19.46	166252.00
2004-10-13 15:30:00	:JKHY	19.38	19.54	19.23	19.27	144223.00
2004-10-14 15:30:00	:JKHY	19.22	19.33	18.88	18.88	129739.00
2004-10-15 15:30:00	:JKHY	18.81	19.40	18.80	19.25	237799.00
2004-10-18 15:30:00	:JKHY	19.32	19.60	19.02	19.54	241880.00
2004-10-19 15:30:00	:JKHY	19.55	19.57	19.15	19.20	163487.00
2004-10-20 15:30:00	:JKHY	19.15	19.49	18.56	18.61	314083.00
