datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:JNJ	51.48	51.74	51.29	51.38	6221500.00
2004-04-08 15:30:00	:JNJ	51.75	51.80	50.53	50.87	8022199.00
2004-04-12 15:30:00	:JNJ	50.86	51.25	50.81	51.20	5347102.00
2004-04-13 15:30:00	:JNJ	51.94	52.10	51.34	51.39	10773398.00
2004-04-14 15:30:00	:JNJ	51.33	52.60	51.26	52.60	9254500.00
2004-04-15 15:30:00	:JNJ	52.98	54.77	52.87	54.52	19346800.00
2004-04-16 15:30:00	:JNJ	54.67	54.69	53.80	54.13	11373000.00
2004-04-19 15:30:00	:JNJ	53.77	54.06	53.39	53.92	7614801.00
2004-04-20 15:30:00	:JNJ	53.71	53.78	53.04	53.13	7574102.00
2004-04-21 15:30:00	:JNJ	53.05	53.95	53.02	53.68	7676199.00
2004-04-22 15:30:00	:JNJ	53.43	53.98	53.21	53.64	7143199.00
2004-04-23 15:30:00	:JNJ	53.54	53.86	53.35	53.68	6083102.00
2004-04-26 15:30:00	:JNJ	53.69	53.98	53.57	53.90	5911500.00
2004-04-27 15:30:00	:JNJ	53.90	54.65	53.89	54.36	8520102.00
2004-04-28 15:30:00	:JNJ	54.25	54.47	53.91	54.19	6545898.00
2004-04-29 15:30:00	:JNJ	54.15	54.26	53.68	54.10	6278102.00
2004-04-30 15:30:00	:JNJ	54.03	54.55	53.88	54.03	7359398.00
2004-05-03 15:30:00	:JNJ	54.22	54.99	54.14	54.93	7379398.00
2004-05-04 15:30:00	:JNJ	54.78	55.01	54.42	54.80	6534898.00
2004-05-05 15:30:00	:JNJ	54.50	54.74	54.02	54.08	6399199.00
2004-05-06 15:30:00	:JNJ	54.04	55.04	54.02	54.84	8673000.00
2004-05-07 15:30:00	:JNJ	55.02	55.98	54.96	55.30	11046000.00
2004-05-10 15:30:00	:JNJ	54.77	55.95	54.77	55.45	11477398.00
2004-05-11 15:30:00	:JNJ	55.89	56.39	54.91	55.14	8244602.00
2004-05-12 15:30:00	:JNJ	55.00	55.27	54.51	55.24	5798199.00
2004-05-13 15:30:00	:JNJ	55.24	55.25	54.57	54.93	6619199.00
2004-05-14 15:30:00	:JNJ	54.54	54.98	54.07	54.52	5393000.00
2004-05-17 15:30:00	:JNJ	54.18	55.10	54.13	54.70	6230898.00
2004-05-18 15:30:00	:JNJ	54.87	54.89	54.53	54.63	5361602.00
2004-05-19 15:30:00	:JNJ	54.79	54.84	54.28	54.28	5748699.00
2004-05-20 15:30:00	:JNJ	54.24	54.79	54.22	54.58	4560301.00
2004-05-21 15:30:00	:JNJ	54.68	55.04	54.56	54.94	6605801.00
2004-05-24 15:30:00	:JNJ	54.99	55.08	54.23	54.31	6242699.00
2004-05-25 15:30:00	:JNJ	54.15	55.70	54.12	55.36	8148301.00
2004-05-26 15:30:00	:JNJ	55.20	55.92	55.17	55.48	9076699.00
2004-05-27 15:30:00	:JNJ	55.65	55.88	55.57	55.79	5652801.00
2004-05-28 15:30:00	:JNJ	55.60	55.84	54.92	55.71	5505500.00
2004-06-01 15:30:00	:JNJ	55.23	55.88	55.15	55.77	5164301.00
2004-06-02 15:30:00	:JNJ	55.82	56.55	55.76	56.20	7908500.00
2004-06-03 15:30:00	:JNJ	56.00	56.93	55.97	56.59	8850000.00
2004-06-04 15:30:00	:JNJ	56.58	56.79	56.28	56.38	5193602.00
2004-06-07 15:30:00	:JNJ	56.53	56.72	56.17	56.72	4924102.00
2004-06-08 15:30:00	:JNJ	56.72	57.28	56.65	56.97	7499602.00
2004-06-09 15:30:00	:JNJ	56.96	56.97	56.58	56.76	3891400.00
2004-06-10 15:30:00	:JNJ	56.75	57.23	56.70	57.07	4404199.00
2004-06-14 15:30:00	:JNJ	56.79	57.19	56.79	57.01	4257000.00
2004-06-15 15:30:00	:JNJ	56.75	56.85	55.93	56.21	8312398.00
2004-06-16 15:30:00	:JNJ	56.02	56.19	55.86	55.88	4471898.00
2004-06-17 15:30:00	:JNJ	55.43	55.75	55.23	55.55	4750500.00
2004-06-18 15:30:00	:JNJ	55.49	55.58	55.02	55.25	8467898.00
2004-06-21 15:30:00	:JNJ	54.97	55.70	54.96	55.28	4514398.00
2004-06-22 15:30:00	:JNJ	55.33	55.50	55.01	55.37	5235699.00
2004-06-23 15:30:00	:JNJ	55.50	55.80	55.14	55.64	6199301.00
2004-06-24 15:30:00	:JNJ	55.59	56.05	55.55	55.69	4445898.00
2004-06-25 15:30:00	:JNJ	55.40	55.51	54.50	54.50	8379500.00
