datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:JNPR	27.02	27.30	26.80	27.21	6443293.00
2004-04-08 15:30:00	:JNPR	27.75	27.79	27.40	27.52	8186418.00
2004-04-12 15:30:00	:JNPR	27.68	27.87	27.40	27.55	4518359.00
2004-04-13 15:30:00	:JNPR	27.81	27.81	26.05	26.17	13868777.00
2004-04-14 15:30:00	:JNPR	25.77	26.29	25.66	26.04	10666586.00
2004-04-15 15:30:00	:JNPR	26.02	26.49	25.24	26.02	13539781.00
2004-04-16 15:30:00	:JNPR	25.92	25.97	24.92	25.17	15192684.00
2004-04-19 15:30:00	:JNPR	24.94	25.76	24.39	25.69	11584668.00
2004-04-20 15:30:00	:JNPR	25.91	25.97	24.76	24.91	9709309.00
2004-04-21 15:30:00	:JNPR	25.10	25.89	24.89	25.83	15817152.00
2004-04-22 15:30:00	:JNPR	25.49	26.97	25.16	26.82	28498112.00
2004-04-23 15:30:00	:JNPR	26.67	26.83	25.88	26.13	12862094.00
2004-04-26 15:30:00	:JNPR	25.79	26.04	25.09	25.32	11278453.00
2004-04-27 15:30:00	:JNPR	25.20	25.75	24.68	25.07	8676301.00
2004-04-28 15:30:00	:JNPR	24.30	24.98	23.95	24.18	12238531.00
2004-04-29 15:30:00	:JNPR	24.15	24.55	22.35	22.95	20591312.00
2004-04-30 15:30:00	:JNPR	23.00	23.05	21.62	21.88	17527648.00
2004-05-03 15:30:00	:JNPR	21.89	22.60	21.71	22.18	12394820.00
2004-05-04 15:30:00	:JNPR	22.23	23.65	20.91	23.44	20263776.00
2004-05-05 15:30:00	:JNPR	23.45	23.50	22.82	23.08	8650234.00
2004-05-06 15:30:00	:JNPR	22.79	22.91	22.51	22.83	6484320.00
2004-05-07 15:30:00	:JNPR	22.85	23.74	22.78	23.09	9310750.00
2004-05-10 15:30:00	:JNPR	22.70	22.90	22.05	22.25	10016371.00
2004-05-11 15:30:00	:JNPR	22.54	23.00	22.05	22.15	16420715.00
