datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:KR	8.45	8.54	8.40	8.46	13824398.00
2004-04-08 15:30:00	:KR	8.48	8.55	8.45	8.55	13002398.00
2004-04-12 15:30:00	:KR	8.55	8.66	8.50	8.64	12166000.00
2004-04-13 15:30:00	:KR	8.64	8.65	8.53	8.56	11908796.00
2004-04-14 15:30:00	:KR	8.56	8.58	8.42	8.47	9830796.00
2004-04-15 15:30:00	:KR	8.56	8.57	8.46	8.50	9883000.00
2004-04-16 15:30:00	:KR	8.53	8.54	8.40	8.50	5893000.00
2004-04-19 15:30:00	:KR	8.50	8.52	8.38	8.48	4454600.00
2004-04-20 15:30:00	:KR	8.52	8.54	8.46	8.48	9181000.00
2004-04-21 15:30:00	:KR	8.46	8.83	8.45	8.72	25638000.00
2004-04-22 15:30:00	:KR	8.65	8.85	8.63	8.84	13067398.00
2004-04-23 15:30:00	:KR	8.80	8.90	8.71	8.88	5062200.00
2004-04-26 15:30:00	:KR	8.85	8.87	8.69	8.75	5843400.00
2004-04-27 15:30:00	:KR	8.75	8.90	8.71	8.75	5653200.00
2004-04-28 15:30:00	:KR	8.75	8.75	8.54	8.65	7704000.00
2004-04-29 15:30:00	:KR	8.65	8.71	8.60	8.68	4505000.00
2004-04-30 15:30:00	:KR	8.68	8.80	8.64	8.75	8192000.00
2004-05-03 15:30:00	:KR	8.73	8.78	8.65	8.70	9010204.00
2004-05-04 15:30:00	:KR	8.72	8.90	8.71	8.77	6632200.00
2004-05-05 15:30:00	:KR	8.74	8.75	8.70	8.72	4491200.00
2004-05-06 15:30:00	:KR	8.65	8.71	8.60	8.68	5519800.00
2004-05-07 15:30:00	:KR	8.59	8.70	8.48	8.50	5287800.00
2004-05-10 15:30:00	:KR	8.45	8.57	8.39	8.52	4977600.00
2004-05-11 15:30:00	:KR	8.54	8.61	8.51	8.57	4229600.00
2004-05-12 15:30:00	:KR	8.53	8.54	8.34	8.43	6555200.00
2004-05-13 15:30:00	:KR	8.44	8.47	8.30	8.40	4183600.00
2004-05-14 15:30:00	:KR	8.38	8.45	8.22	8.27	7272000.00
2004-05-17 15:30:00	:KR	8.14	8.21	8.11	8.19	4578200.00
2004-05-18 15:30:00	:KR	8.17	8.30	8.15	8.30	4111800.00
2004-05-19 15:30:00	:KR	8.32	8.44	8.14	8.18	6870800.00
2004-05-20 15:30:00	:KR	8.18	8.29	8.15	8.22	3913000.00
2004-05-21 15:30:00	:KR	8.27	8.28	7.97	8.15	8548204.00
2004-05-24 15:30:00	:KR	8.18	8.23	8.02	8.10	3897200.00
2004-05-25 15:30:00	:KR	8.12	8.32	8.04	8.25	6727600.00
2004-05-26 15:30:00	:KR	8.28	8.28	8.20	8.24	7663000.00
2004-05-27 15:30:00	:KR	8.25	8.30	8.15	8.25	8395000.00
2004-05-28 15:30:00	:KR	8.25	8.37	8.24	8.35	8293398.00
2004-06-01 15:30:00	:KR	8.35	8.43	8.25	8.29	5090200.00
2004-06-02 15:30:00	:KR	8.34	8.44	8.27	8.41	4330400.00
