datetime	symbol	open	high	low	close	volume
2023-05-04 15:30:00	:KVUE	25.53	26.98	25.25	26.90	77004186.00
2023-05-05 15:30:00	:KVUE	26.66	27.03	26.21	26.50	11291975.00
2023-05-08 15:30:00	:KVUE	26.33	26.85	25.91	26.51	6308269.00
2023-05-09 15:30:00	:KVUE	26.51	26.84	26.07	26.28	4684394.00
2023-05-10 15:30:00	:KVUE	26.28	26.77	26.01	26.25	9602428.00
2023-05-11 15:30:00	:KVUE	26.03	26.33	26.00	26.00	5687334.00
2023-05-12 15:30:00	:KVUE	26.02	26.62	25.90	26.50	5433845.00
2023-05-15 15:30:00	:KVUE	26.50	27.80	26.50	27.50	7083230.00
2023-05-16 15:30:00	:KVUE	27.54	27.77	26.99	27.03	3820087.00
2023-05-17 15:30:00	:KVUE	27.30	27.70	26.60	27.22	3392263.00
2023-05-18 15:30:00	:KVUE	27.22	27.35	26.70	27.04	2648060.00
2023-05-19 15:30:00	:KVUE	27.04	27.26	26.69	27.23	1794414.00
2023-05-22 15:30:00	:KVUE	27.33	27.43	25.96	26.07	7509571.00
2023-05-23 15:30:00	:KVUE	26.01	26.26	25.81	26.00	2485156.00
2023-05-24 15:30:00	:KVUE	26.01	26.55	25.86	26.45	1953645.00
2023-05-25 15:30:00	:KVUE	26.50	26.64	25.90	26.33	2139387.00
2023-05-26 15:30:00	:KVUE	26.43	26.43	26.20	26.30	844146.00
2023-05-30 15:30:00	:KVUE	26.28	26.50	25.13	25.73	6340180.00
2023-05-31 15:30:00	:KVUE	25.62	25.62	24.99	25.09	6347752.00
2023-06-01 15:30:00	:KVUE	25.30	25.64	24.75	25.28	6072717.00
2023-06-02 15:30:00	:KVUE	25.26	25.70	24.97	25.55	2329438.00
2023-06-05 15:30:00	:KVUE	25.58	25.77	24.83	25.15	4799086.00
2023-06-06 15:30:00	:KVUE	25.00	25.39	24.90	25.17	1315152.00
2023-06-07 15:30:00	:KVUE	25.10	25.25	24.91	25.08	1626684.00
2023-06-08 15:30:00	:KVUE	24.99	25.16	24.81	25.11	2712896.00
2023-06-09 15:30:00	:KVUE	25.05	25.16	24.85	25.10	1874183.00
2023-06-12 15:30:00	:KVUE	25.01	25.20	24.75	25.02	2619908.00
2023-06-13 15:30:00	:KVUE	24.99	25.22	24.96	25.13	2039885.00
2023-06-14 15:30:00	:KVUE	25.13	25.49	25.12	25.34	2412020.00
2023-06-15 15:30:00	:KVUE	25.40	25.95	25.18	25.75	1442937.00
2023-06-16 15:30:00	:KVUE	25.85	26.26	25.70	26.25	2333040.00
2023-06-20 15:30:00	:KVUE	25.95	26.38	25.94	26.06	1487482.00
2023-06-21 15:30:00	:KVUE	26.19	26.70	25.77	26.20	3606079.00
2023-06-22 15:30:00	:KVUE	26.20	26.60	26.20	26.55	1130722.00
2023-06-23 15:30:00	:KVUE	26.55	26.74	26.27	26.48	2793408.00
2023-06-26 15:30:00	:KVUE	26.59	26.60	26.02	26.15	2507277.00
2023-06-27 15:30:00	:KVUE	26.02	26.07	25.19	25.89	2904635.00
2023-06-28 15:30:00	:KVUE	25.90	26.02	25.67	25.80	1807858.00
2023-06-29 15:30:00	:KVUE	25.74	26.22	25.71	25.99	1353886.00
2023-06-30 15:30:00	:KVUE	26.04	26.66	25.97	26.42	3936600.00
2023-07-03 15:30:00	:KVUE	26.31	26.60	25.80	26.04	7558590.00
2023-07-05 15:30:00	:KVUE	25.91	26.25	25.62	25.70	1990827.00
2023-07-06 15:30:00	:KVUE	25.55	25.80	25.38	25.62	4856965.00
2023-07-07 15:30:00	:KVUE	25.62	25.65	25.21	25.22	1793704.00
2023-07-10 15:30:00	:KVUE	25.31	25.52	25.10	25.25	2121159.00
2023-07-11 15:30:00	:KVUE	25.48	25.55	25.00	25.08	1942721.00
2023-07-12 15:30:00	:KVUE	25.27	25.37	24.96	25.25	2320852.00
2023-07-13 15:30:00	:KVUE	25.42	25.50	24.88	25.40	2477990.00
2023-07-14 15:30:00	:KVUE	25.53	25.61	24.72	24.94	3830357.00
2023-07-17 15:30:00	:KVUE	24.90	25.06	24.74	24.89	1709357.00
2023-07-18 15:30:00	:KVUE	24.75	25.03	24.75	24.81	1713515.00
2023-07-19 15:30:00	:KVUE	24.88	25.04	24.50	25.00	2870757.00
2023-07-20 15:30:00	:KVUE	23.95	24.62	22.49	24.51	36675606.00
2023-07-21 15:30:00	:KVUE	24.65	24.88	23.78	24.01	14587910.00
2023-07-24 15:30:00	:KVUE	23.17	24.41	23.12	24.16	22641618.00
2023-07-25 15:30:00	:KVUE	24.34	25.12	24.15	25.12	15018140.00
2023-07-26 15:30:00	:KVUE	25.09	25.23	24.29	24.69	10716442.00
2023-07-27 15:30:00	:KVUE	24.95	25.00	23.96	24.24	11476343.00
2023-07-28 15:30:00	:KVUE	24.23	24.43	24.05	24.40	13217823.00
2023-07-31 15:30:00	:KVUE	24.01	24.08	23.50	23.68	14634905.00
2023-08-01 15:30:00	:KVUE	23.51	23.77	23.38	23.65	14687140.00
2023-08-02 15:30:00	:KVUE	23.55	23.92	23.37	23.90	16233758.00
2023-08-03 15:30:00	:KVUE	24.03	24.43	23.75	23.99	16110957.00
2023-08-04 15:30:00	:KVUE	24.02	24.02	23.27	23.53	20999546.00
2023-08-07 15:30:00	:KVUE	23.67	23.68	23.32	23.54	15379083.00
2023-08-08 15:30:00	:KVUE	23.55	23.55	23.21	23.38	20150645.00
2023-08-09 15:30:00	:KVUE	23.30	23.44	23.06	23.35	40849128.00
2023-08-10 15:30:00	:KVUE	23.75	23.89	23.11	23.37	51365453.00
2023-08-11 15:30:00	:KVUE	23.30	23.80	23.25	23.72	46063248.00
2023-08-14 15:30:00	:KVUE	23.60	23.70	22.85	22.94	89481198.00
2023-08-15 15:30:00	:KVUE	22.92	23.77	22.64	23.26	105996543.00
2023-08-16 15:30:00	:KVUE	23.49	23.55	22.81	22.93	86179183.00
2023-08-17 15:30:00	:KVUE	23.12	23.29	22.55	22.78	71709344.00
2023-08-18 15:30:00	:KVUE	22.96	23.00	22.36	22.87	93537450.00
