datetime	symbol	open	high	low	close	volume
2006-10-13 15:30:00	:LDOS	46.70	50.51	46.42	49.94	18396423.00
2006-10-16 15:30:00	:LDOS	51.64	51.89	49.66	49.74	3335590.00
2006-10-17 15:30:00	:LDOS	49.63	49.66	48.51	49.36	1567096.00
2006-10-18 15:30:00	:LDOS	50.10	50.10	48.32	48.54	1334461.00
2006-10-19 15:30:00	:LDOS	48.54	48.86	47.27	47.44	1332386.00
2006-10-20 15:30:00	:LDOS	47.79	49.17	47.38	49.03	1295507.00
2006-10-23 15:30:00	:LDOS	49.72	49.72	48.48	48.87	1036842.00
2006-10-24 15:30:00	:LDOS	48.89	49.66	48.67	49.17	791466.00
2006-10-25 15:30:00	:LDOS	49.39	49.69	48.37	49.63	1092143.00
2006-10-26 15:30:00	:LDOS	50.07	54.74	49.63	53.04	4251637.00
2006-10-27 15:30:00	:LDOS	53.84	55.21	53.23	55.13	3496250.00
2006-10-30 15:30:00	:LDOS	55.68	57.96	55.27	55.84	1743119.00
2006-10-31 15:30:00	:LDOS	57.24	57.63	54.33	54.94	1188583.00
2006-11-01 15:30:00	:LDOS	55.49	56.12	54.25	54.25	768202.00
2006-11-02 15:30:00	:LDOS	54.25	56.03	53.56	53.59	738677.00
2006-11-03 15:30:00	:LDOS	53.95	54.85	53.84	54.52	707550.00
2006-11-06 15:30:00	:LDOS	54.66	55.68	54.30	54.91	757244.00
2006-11-07 15:30:00	:LDOS	54.94	55.35	54.28	54.83	635903.00
2006-11-08 15:30:00	:LDOS	53.59	53.89	51.64	52.68	1395005.00
2006-11-09 15:30:00	:LDOS	52.96	55.49	52.46	55.49	892602.00
2006-11-10 15:30:00	:LDOS	54.94	55.24	53.59	54.91	688255.00
2006-11-13 15:30:00	:LDOS	54.83	54.83	54.17	54.61	299220.00
2006-11-14 15:30:00	:LDOS	54.72	55.10	54.11	54.77	467489.00
2006-11-15 15:30:00	:LDOS	54.77	55.27	54.52	54.99	532292.00
2006-11-16 15:30:00	:LDOS	54.83	55.16	54.52	55.16	336209.00
2006-11-17 15:30:00	:LDOS	54.94	54.94	53.95	54.30	436835.00
2006-11-20 15:30:00	:LDOS	54.52	54.63	53.10	53.56	383864.00
