datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:LH	33.98	33.98	33.67	33.77	565726.00
2004-04-08 15:30:00	:LH	33.77	33.86	33.62	33.82	452813.00
2004-04-12 15:30:00	:LH	33.82	34.35	33.82	34.23	338620.00
2004-04-13 15:30:00	:LH	34.32	34.43	34.00	34.05	517185.00
2004-04-14 15:30:00	:LH	33.98	34.31	33.72	33.93	571313.00
2004-04-15 15:30:00	:LH	34.11	34.19	33.57	33.69	739518.00
2004-04-16 15:30:00	:LH	33.69	33.86	33.06	33.59	777931.00
2004-04-19 15:30:00	:LH	33.68	34.28	33.53	34.12	434072.00
2004-04-20 15:30:00	:LH	34.27	34.50	34.11	34.11	632309.00
2004-04-21 15:30:00	:LH	34.23	35.20	34.16	34.93	792831.00
2004-04-22 15:30:00	:LH	34.93	35.87	33.44	35.41	2192479.00
2004-04-23 15:30:00	:LH	35.39	35.39	34.53	34.70	885489.00
2004-04-26 15:30:00	:LH	34.62	35.00	34.58	34.79	570149.00
2004-04-27 15:30:00	:LH	34.79	35.06	34.40	34.44	779328.00
2004-04-28 15:30:00	:LH	34.45	34.53	34.16	34.30	688998.00
2004-04-29 15:30:00	:LH	34.34	34.43	34.19	34.34	541281.00
2004-04-30 15:30:00	:LH	34.32	34.36	34.01	34.14	475512.00
2004-05-03 15:30:00	:LH	34.11	34.45	33.91	34.33	760587.00
2004-05-04 15:30:00	:LH	34.36	34.53	34.27	34.47	645230.00
2004-05-05 15:30:00	:LH	34.46	34.58	34.41	34.50	459332.00
2004-05-06 15:30:00	:LH	34.51	34.55	34.05	34.28	409627.00
2004-05-07 15:30:00	:LH	34.28	34.35	33.61	33.86	530106.00
2004-05-10 15:30:00	:LH	33.68	33.94	32.66	33.13	711580.00
2004-05-11 15:30:00	:LH	33.42	33.68	33.11	33.33	527079.00
2004-05-12 15:30:00	:LH	33.30	33.59	32.75	33.19	668627.00
2004-05-13 15:30:00	:LH	33.21	33.92	33.16	33.77	671188.00
2004-05-14 15:30:00	:LH	33.82	34.07	33.50	33.52	414050.00
2004-05-17 15:30:00	:LH	33.53	33.92	33.08	33.66	441988.00
2004-05-18 15:30:00	:LH	33.85	34.32	33.80	34.04	509851.00
2004-05-19 15:30:00	:LH	34.28	34.33	33.75	33.75	454326.00
2004-05-20 15:30:00	:LH	33.78	34.10	33.65	33.92	368420.00
2004-05-21 15:30:00	:LH	34.37	34.37	33.79	34.30	431860.00
2004-05-24 15:30:00	:LH	34.33	34.63	34.07	34.35	640807.00
2004-05-25 15:30:00	:LH	34.28	35.20	34.22	35.05	794693.00
2004-05-26 15:30:00	:LH	35.05	35.33	34.88	35.22	503449.00
2004-05-27 15:30:00	:LH	35.29	35.55	34.53	35.08	885256.00
2004-05-28 15:30:00	:LH	35.09	35.56	34.92	35.53	529989.00
2004-06-01 15:30:00	:LH	35.52	35.95	35.43	35.69	548148.00
2004-06-02 15:30:00	:LH	35.82	35.90	35.04	35.69	475628.00
2004-06-03 15:30:00	:LH	35.65	35.89	35.51	35.53	378431.00
2004-06-04 15:30:00	:LH	35.57	35.91	35.51	35.73	279836.00
2004-06-07 15:30:00	:LH	35.94	36.06	35.87	35.97	404505.00
2004-06-08 15:30:00	:LH	35.69	36.06	35.69	35.95	374240.00
2004-06-09 15:30:00	:LH	36.04	36.25	35.85	35.85	436167.00
2004-06-10 15:30:00	:LH	35.82	36.27	35.82	36.07	524984.00
2004-06-14 15:30:00	:LH	36.03	36.03	35.60	35.73	410558.00
2004-06-15 15:30:00	:LH	35.78	35.87	35.62	35.79	710184.00
2004-06-16 15:30:00	:LH	35.74	36.20	35.69	36.07	539418.00
2004-06-17 15:30:00	:LH	36.02	36.08	35.80	36.06	323022.00
2004-06-18 15:30:00	:LH	36.06	36.54	36.04	36.48	628002.00
2004-06-21 15:30:00	:LH	36.55	36.73	36.25	36.29	629282.00
2004-06-22 15:30:00	:LH	36.30	36.42	35.84	35.98	557228.00
2004-06-23 15:30:00	:LH	35.05	35.22	34.45	35.08	1597885.00
2004-06-24 15:30:00	:LH	34.79	35.05	34.66	34.88	914241.00
2004-06-25 15:30:00	:LH	34.88	35.16	34.59	34.88	921691.00
2004-06-28 15:30:00	:LH	34.88	34.88	34.19	34.50	1096647.00
2004-06-29 15:30:00	:LH	34.50	34.50	34.15	34.17	1178712.00
2004-06-30 15:30:00	:LH	34.17	34.29	33.85	34.11	1669939.00
2004-07-01 15:30:00	:LH	34.11	34.27	33.99	34.15	920177.00
2004-07-02 15:30:00	:LH	34.19	34.19	33.83	33.85	672119.00
2004-07-06 15:30:00	:LH	33.87	33.89	33.45	33.50	847308.00
2004-07-07 15:30:00	:LH	33.59	33.65	33.31	33.44	1072667.00
2004-07-08 15:30:00	:LH	33.59	33.63	32.76	32.89	914357.00
2004-07-09 15:30:00	:LH	32.95	33.07	32.72	32.89	870356.00
2004-07-12 15:30:00	:LH	32.99	33.28	32.73	33.03	470739.00
2004-07-13 15:30:00	:LH	33.18	33.58	32.95	32.95	1062773.00
2004-07-14 15:30:00	:LH	32.97	33.34	32.86	33.01	573641.00
2004-07-15 15:30:00	:LH	32.95	33.18	32.90	32.98	677008.00
2004-07-16 15:30:00	:LH	33.07	33.33	33.01	33.05	419056.00
2004-07-19 15:30:00	:LH	33.16	33.32	32.58	32.90	551641.00
2004-07-20 15:30:00	:LH	32.86	32.91	32.61	32.64	910516.00
2004-07-21 15:30:00	:LH	32.69	32.69	31.53	31.61	2289793.00
2004-07-22 15:30:00	:LH	33.29	34.76	33.12	34.31	3438823.00
2004-07-23 15:30:00	:LH	34.23	34.44	34.06	34.20	1247391.00
2004-07-26 15:30:00	:LH	34.32	34.49	33.93	34.20	855922.00
2004-07-27 15:30:00	:LH	34.36	34.36	33.53	33.68	1341213.00
2004-07-28 15:30:00	:LH	33.50	33.73	33.11	33.62	1000264.00
2004-07-29 15:30:00	:LH	33.64	33.92	33.56	33.60	835551.00
2004-07-30 15:30:00	:LH	33.47	33.76	33.37	33.64	692607.00
2004-08-02 15:30:00	:LH	33.77	34.06	33.36	33.80	739983.00
2004-08-03 15:30:00	:LH	33.80	34.57	33.75	33.75	841837.00
2004-08-04 15:30:00	:LH	33.85	34.04	33.51	33.91	893404.00
2004-08-05 15:30:00	:LH	33.99	34.22	33.68	33.71	577948.00
2004-08-06 15:30:00	:LH	33.29	33.42	32.95	33.29	776185.00
2004-08-09 15:30:00	:LH	33.12	33.28	32.83	32.95	406251.00
2004-08-10 15:30:00	:LH	32.85	34.07	32.84	33.81	962665.00
2004-08-11 15:30:00	:LH	33.60	34.42	33.42	34.37	676310.00
2004-08-12 15:30:00	:LH	34.16	34.19	33.53	33.80	682829.00
2004-08-13 15:30:00	:LH	33.50	33.72	33.01	33.20	572361.00
2004-08-16 15:30:00	:LH	33.25	33.80	33.13	33.67	675379.00
2004-08-17 15:30:00	:LH	33.88	34.34	33.80	34.16	1371129.00
2004-08-18 15:30:00	:LH	34.16	34.16	33.84	34.07	882346.00
2004-08-19 15:30:00	:LH	34.11	34.55	34.06	34.35	610425.00
2004-08-20 15:30:00	:LH	34.49	34.62	34.36	34.39	416029.00
2004-08-23 15:30:00	:LH	34.36	34.53	34.18	34.31	713210.00
2004-08-24 15:30:00	:LH	34.45	34.79	34.35	34.79	895616.00
2004-08-25 15:30:00	:LH	34.66	34.96	34.58	34.90	597620.00
2004-08-26 15:30:00	:LH	34.90	35.39	34.76	35.23	569916.00
2004-08-27 15:30:00	:LH	35.07	35.63	34.88	35.47	732417.00
2004-08-30 15:30:00	:LH	35.47	35.48	35.10	35.23	690278.00
2004-08-31 15:30:00	:LH	35.35	35.89	35.26	35.73	591800.00
2004-09-01 15:30:00	:LH	35.65	36.41	35.51	36.12	1219453.00
2004-09-02 15:30:00	:LH	36.18	36.18	35.65	36.12	528593.00
2004-09-03 15:30:00	:LH	36.17	36.19	35.74	35.85	415331.00
2004-09-07 15:30:00	:LH	35.85	36.07	35.65	35.65	711115.00
2004-09-08 15:30:00	:LH	35.65	36.05	35.44	35.96	700871.00
2004-09-09 15:30:00	:LH	36.12	36.19	35.75	35.86	803424.00
2004-09-10 15:30:00	:LH	36.00	36.12	35.82	35.92	933564.00
2004-09-13 15:30:00	:LH	35.91	36.10	35.65	36.07	721824.00
2004-09-14 15:30:00	:LH	36.06	36.08	35.85	35.91	1109568.00
2004-09-15 15:30:00	:LH	35.94	36.08	35.94	36.03	1017724.00
2004-09-16 15:30:00	:LH	36.04	36.16	36.00	36.08	855689.00
2004-09-17 15:30:00	:LH	36.17	36.61	36.06	36.46	1033090.00
2004-09-20 15:30:00	:LH	36.48	36.94	36.46	36.93	1256354.00
2004-09-21 15:30:00	:LH	36.92	37.12	36.60	36.94	1103864.00
2004-09-22 15:30:00	:LH	36.73	37.50	36.73	37.31	1461459.00
2004-09-23 15:30:00	:LH	37.32	37.82	37.24	37.58	1561101.00
2004-09-24 15:30:00	:LH	37.59	37.89	37.46	37.56	1407796.00
2004-09-27 15:30:00	:LH	37.58	37.58	37.22	37.26	653495.00
2004-09-28 15:30:00	:LH	37.46	37.58	36.95	37.46	548847.00
2004-09-29 15:30:00	:LH	37.44	37.64	37.23	37.28	860229.00
