datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:LIN	38.35	38.49	37.84	37.99	1363000.00
2004-04-08 15:30:00	:LIN	38.30	38.47	37.80	38.01	788000.00
2004-04-12 15:30:00	:LIN	38.01	38.56	38.01	38.54	691500.00
2004-04-13 15:30:00	:LIN	38.59	38.59	37.95	38.01	1006800.00
2004-04-14 15:30:00	:LIN	38.01	38.53	37.83	37.90	1471300.00
2004-04-15 15:30:00	:LIN	38.05	38.49	38.02	38.29	826400.00
2004-04-16 15:30:00	:LIN	38.50	38.75	38.14	38.50	840100.00
2004-04-19 15:30:00	:LIN	38.32	38.59	38.12	38.48	536700.00
2004-04-20 15:30:00	:LIN	38.60	38.77	37.69	37.69	877700.00
2004-04-21 15:30:00	:LIN	37.80	38.05	37.36	37.84	1311600.00
2004-04-22 15:30:00	:LIN	37.40	38.66	37.40	38.39	1364500.00
2004-04-23 15:30:00	:LIN	38.45	38.45	37.76	38.02	830100.00
2004-04-26 15:30:00	:LIN	38.00	38.38	37.73	37.75	708700.00
2004-04-27 15:30:00	:LIN	37.75	38.05	37.40	37.60	1559600.00
2004-04-28 15:30:00	:LIN	37.72	37.73	36.67	36.80	1547200.00
2004-04-29 15:30:00	:LIN	37.00	37.15	36.24	36.31	1777100.00
2004-04-30 15:30:00	:LIN	36.70	37.33	36.33	36.55	1252900.00
2004-05-03 15:30:00	:LIN	36.65	37.11	35.83	37.01	2238600.00
2004-05-04 15:30:00	:LIN	37.00	37.57	36.62	37.17	1030600.00
2004-05-05 15:30:00	:LIN	37.05	37.34	36.52	37.21	1094500.00
2004-05-06 15:30:00	:LIN	37.05	37.15	36.66	37.00	851400.00
2004-05-07 15:30:00	:LIN	36.50	36.87	35.45	35.50	1920300.00
2004-05-10 15:30:00	:LIN	35.25	35.81	34.95	35.54	1358500.00
2004-05-11 15:30:00	:LIN	35.58	36.24	35.58	36.24	1328000.00
2004-05-12 15:30:00	:LIN	36.00	36.15	35.12	36.08	1433400.00
2004-05-13 15:30:00	:LIN	35.70	36.34	35.50	36.27	848200.00
2004-05-14 15:30:00	:LIN	36.07	36.39	35.52	36.27	1231000.00
2004-05-17 15:30:00	:LIN	35.85	35.95	34.88	34.93	1901700.00
2004-05-18 15:30:00	:LIN	35.10	35.40	34.98	35.26	1830000.00
2004-05-19 15:30:00	:LIN	35.50	36.14	34.80	35.02	1374700.00
2004-05-20 15:30:00	:LIN	35.85	35.90	35.13	35.22	1653500.00
2004-05-21 15:30:00	:LIN	35.55	36.06	35.30	35.40	1572300.00
2004-05-24 15:30:00	:LIN	35.75	36.10	35.17	35.25	1303700.00
2004-05-25 15:30:00	:LIN	35.30	36.32	35.12	36.22	1234200.00
2004-05-26 15:30:00	:LIN	36.25	36.95	36.25	36.75	1415700.00
2004-05-27 15:30:00	:LIN	37.05	37.47	36.75	36.94	1398100.00
2004-05-28 15:30:00	:LIN	37.10	37.10	36.49	36.99	908600.00
2004-06-01 15:30:00	:LIN	36.87	37.06	36.72	36.95	1061300.00
2004-06-02 15:30:00	:LIN	37.22	37.47	36.75	37.43	1028300.00
2004-06-03 15:30:00	:LIN	37.03	37.25	36.70	36.81	1065500.00
2004-06-04 15:30:00	:LIN	36.94	37.45	36.94	37.25	912800.00
2004-06-07 15:30:00	:LIN	37.44	38.00	37.40	37.98	859300.00
2004-06-08 15:30:00	:LIN	37.99	37.99	37.55	37.81	1303600.00
2004-06-09 15:30:00	:LIN	37.81	38.00	37.41	37.51	819700.00
2004-06-10 15:30:00	:LIN	37.85	37.92	37.46	37.61	599400.00
2004-06-14 15:30:00	:LIN	37.62	37.62	36.98	37.20	648700.00
2004-06-15 15:30:00	:LIN	37.60	37.80	37.31	37.41	971800.00
2004-06-16 15:30:00	:LIN	37.62	37.62	36.95	37.33	581900.00
2004-06-17 15:30:00	:LIN	37.30	37.50	37.17	37.39	955100.00
2004-06-18 15:30:00	:LIN	37.20	38.24	37.19	37.73	805300.00
2004-06-21 15:30:00	:LIN	37.48	37.85	37.35	37.48	851500.00
2004-06-22 15:30:00	:LIN	37.50	38.00	37.43	37.90	1238000.00
2004-06-23 15:30:00	:LIN	37.94	38.38	37.71	38.26	1185900.00
2004-06-24 15:30:00	:LIN	38.29	39.11	38.20	38.80	1766400.00
2004-06-25 15:30:00	:LIN	38.80	39.20	38.60	38.73	1431700.00
2004-06-28 15:30:00	:LIN	38.60	38.89	38.51	38.77	1326500.00
2004-06-29 15:30:00	:LIN	38.77	39.85	38.71	39.84	1615800.00
2004-06-30 15:30:00	:LIN	39.84	40.14	39.53	39.91	1605100.00
2004-07-01 15:30:00	:LIN	39.73	39.84	38.67	39.07	1034300.00
2004-07-02 15:30:00	:LIN	38.85	38.92	38.20	38.84	606600.00
2004-07-06 15:30:00	:LIN	38.70	39.02	38.30	38.39	961200.00
